ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,25,20,24,12,28,14,15,23,18,23,20,21,25,24,17,16,25,22,15,17,21,20,7,23,16,22,20,21,10,20,19,20,7,24,15,21
1,24,25,20,24,12,29,13,15,22,18,22,19,21,25,24,17,14,24,21,15,18,22,20,6,24,13,20,21,23,14,17,20,20,7,24,14
2,14,25,23,21,23,11,29,13,15,19,13,21,19,20,26,25,19,14,25,21,15,18,22,21,6,25,15,20,19,21,16,17,20,22,7,25
3,22,15,28,26,24,26,10,29,15,16,19,15,23,20,21,27,24,20,12,26,20,16,18,23,22,6,24,16,20,19,19,16,17,20,23,7
4,23,20,15,27,25,22,27,12,30,16,16,19,16,23,21,22,26,25,21,12,26,20,15,19,22,22,7,26,16,20,26,19,15,18,20,23
5,31,24,19,14,28,25,22,25,14,31,15,15,18,16,23,21,23,26,25,22,12,26,21,16,19,21,23,10,25,14,12,26,19,15,18,20
6,28,30,27,19,14,26,25,23,24,15,26,16,15,19,15,24,21,23,26,25,22,12,24,20,16,19,22,23,11,26,23,12,24,20,15,18
7,32,29,30,26,21,14,26,29,24,25,15,27,16,15,20,15,25,22,24,25,25,21,12,24,19,15,19,23,22,12,24,22,12,24,19,15
8,29,30,30,29,26,20,14,26,28,24,28,17,27,17,16,21,14,26,22,24,25,25,20,12,24,20,15,19,24,25,24,25,21,12,24,20
9,42,30,30,29,29,27,21,14,27,27,23,28,17,27,16,16,21,14,26,19,25,24,26,20,12,27,20,15,21,22,25,23,26,22,12,27
10,32,43,28,32,30,30,29,22,15,27,26,23,29,17,27,15,17,21,13,25,19,25,23,25,20,12,27,20,15,21,20,25,22,25,22,12
11,29,31,45,27,31,30,31,28,21,16,23,26,23,29,17,27,15,17,20,13,25,19,25,25,26,21,13,26,20,16,27,20,23,24,26,22
12,32,29,31,43,27,32,31,31,30,22,13,22,26,23,29,16,28,16,17,20,13,25,20,25,24,26,21,14,26,20,13,27,20,23,23,26
13,33,34,31,34,43,27,33,30,31,31,19,11,22,26,23,29,14,28,17,17,21,13,26,19,25,24,26,22,14,25,21,13,27,19,23,24
14,38,33,36,30,34,44,27,31,31,30,31,19,12,23,26,23,28,13,28,17,17,20,11,25,19,27,23,26,21,13,19,20,12,27,19,25
15,38,40,34,36,30,34,42,28,31,30,32,32,19,12,25,26,22,28,13,28,18,17,20,11,26,20,27,23,26,23,17,19,20,12,28,19
16,42,39,40,34,36,29,33,41,28,32,31,32,33,19,13,27,28,22,28,13,28,18,18,20,11,27,19,28,22,26,29,17,19,20,13,29
17,36,39,40,42,34,35,31,33,44,29,32,32,32,33,21,14,28,28,22,26,14,29,17,18,20,11,29,17,25,22,17,30,17,19,20,14
18,36,35,42,41,41,36,35,31,36,42,30,32,32,31,31,22,16,29,28,22,27,14,30,18,18,20,12,28,17,25,27,17,30,17,19,20
19,44,33,37,43,41,43,33,36,31,35,46,31,34,32,36,31,23,18,31,28,24,27,15,28,18,18,21,12,29,20,24,27,17,28,17,19
20,45,44,35,38,42,37,43,33,36,30,37,46,30,34,32,35,30,24,17,31,28,24,28,14,27,16,19,22,14,32,26,24,28,16,27,16
21,24,43,43,34,37,44,41,44,34,36,33,37,45,31,33,32,37,28,24,17,33,29,23,28,16,29,16,18,22,16,30,27,23,28,17,29
22,37,27,42,44,36,37,41,42,48,34,36,33,37,45,32,33,33,36,29,24,18,34,31,22,28,15,30,16,20,22,17,31,29,22,28,17
23,24,37,25,40,41,37,39,38,40,48,35,35,34,39,46,34,30,33,36,30,25,18,33,31,23,29,15,27,16,21,24,17,31,29,24,29
24,29,28,34,25,42,46,37,40,40,42,48,34,37,33,39,44,35,30,33,39,30,26,18,34,29,23,30,18,26,18,30,25,18,32,28,24
25,36,32,27,35,26,41,52,34,34,37,44,51,35,36,34,37,43,37,31,32,38,31,27,20,34,29,24,30,21,29,36,30,26,19,31,29
26,27,37,33,25,34,28,40,54,35,34,39,42,51,35,36,32,39,43,36,31,33,40,32,28,20,36,29,25,30,22,32,38,31,27,19,33
27,35,28,36,34,24,34,26,40,54,37,33,40,42,54,38,39,34,37,43,36,32,34,37,33,28,17,35,29,28,30,34,32,36,32,28,17
28,54,34,27,36,39,28,34,25,41,55,40,27,41,43,55,39,37,35,35,43,38,31,34,37,35,29,20,33,29,23,36,32,32,35,33,27
29,41,56,37,31,37,38,26,32,24,40,55,39,24,40,41,55,40,39,36,37,43,40,35,36,35,36,33,20,34,30,46,37,32,32,34,35
30,42,40,57,37,29,37,40,26,29,25,42,55,38,25,40,41,55,41,37,36,36,43,43,32,39,36,34,34,21,32,36,44,38,30,33,33
31,40,41,41,55,34,28,36,40,25,29,24,40,54,39,26,40,42,53,43,40,35,37,42,41,34,38,37,36,34,18,34,37,42,38,31,33
32,48,40,43,40,55,36,30,38,39,27,30,25,40,54,39,28,42,42,51,43,39,32,39,43,42,31,36,37,34,31,41,34,38,43,38,30
33,37,47,40,41,40,54,35,30,37,42,28,29,24,41,52,39,28,41,39,49,42,36,32,36,44,40,29,33,38,32,43,39,34,37,44,37
34,32,37,46,39,41,42,55,37,31,39,42,31,29,24,39,53,38,30,39,38,49,42,34,31,36,46,40,29,31,35,49,45,38,35,37,46
35,21,29,38,46,40,39,41,52,38,30,40,43,32,30,24,38,56,36,28,37,39,46,43,35,31,35,45,42,32,33,39,47,45,38,35,36
36,24,21,29,36,49,40,41,42,53,38,27,38,42,33,31,25,36,55,37,29,36,37,48,43,33,31,37,45,43,34,36,38,48,46,36,34
37,35,24,23,33,38,49,41,42,44,52,38,27,37,42,34,31,26,35,54,37,31,34,36,49,44,35,33,38,46,42,28,35,37,48,46,37
38,30,34,25,24,31,36,47,43,42,46,50,38,28,38,42,34,31,28,35,55,38,29,36,36,52,48,35,34,34,48,42,27,37,37,51,49
39,22,30,35,24,23,30,38,48,42,41,45,50,38,27,38,39,34,31,28,35,54,37,29,37,36,50,47,37,35,35,54,41,27,38,37,48
40,33,22,30,35,25,24,30,40,48,41,44,48,50,38,28,38,39,33,32,29,35,57,38,31,39,38,48,50,37,37,37,56,42,28,39,39
41,30,32,24,30,35,25,25,31,41,50,42,44,46,51,38,29,37,38,30,33,29,38,59,38,32,37,40,47,52,39,28,38,58,43,30,38
42,42,28,32,23,30,35,24,25,30,43,50,41,43,45,52,38,27,38,37,29,35,30,39,58,39,33,38,41,47,54,32,29,40,58,44,31
43,46,40,28,32,22,34,33,24,25,31,43,50,41,46,44,53,36,28,38,37,30,34,29,40,54,40,32,39,41,48,32,32,29,41,55,44
44,38,46,39,30,31,22,34,33,24,25,30,43,51,42,47,45,54,36,31,40,36,30,32,31,38,55,42,31,38,41,40,32,30,31,39,54
45,36,40,45,39,29,29,21,33,35,25,25,31,43,52,43,48,46,55,36,30,41,35,29,31,32,38,55,45,32,39,41,40,31,29,32,39
46,45,38,42,45,40,31,31,22,34,33,25,26,31,43,51,45,48,47,57,36,30,41,36,29,29,31,37,58,47,32,31,41,40,31,30,31
47,39,46,35,42,45,40,33,29,22,33,33,23,26,31,41,51,45,48,47,57,37,30,43,36,29,30,31,37,59,48,37,31,43,39,31,31
48,40,39,48,36,39,46,42,33,29,25,36,34,22,25,31,41,52,43,49,47,58,36,32,44,37,32,31,30,38,57,61,36,33,43,39,33
49,45,39,39,45,35,40,45,41,34,31,25,36,33,25,25,34,41,53,42,49,46,58,37,33,41,39,33,31,31,39,46,60,37,33,41,40
50,47,45,40,37,46,35,39,44,40,35,31,24,35,33,25,26,35,41,53,42,49,46,58,37,31,41,43,33,31,32,46,46,61,37,31,41
51,51,47,44,42,37,48,36,43,44,40,34,32,25,34,33,25,25,34,41,53,42,51,47,59,38,30,41,45,33,30,40,48,47,63,38,30
