ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,7,4,7,11,11,3,8,4,4,5,6,7,19,9,7,11,11,8,11,6,7,8,8,6,7,7,9,5,7,4,7,8,8,6,7,7
1,8,6,6,6,9,12,4,8,4,4,7,6,6,19,11,7,11,11,8,10,6,6,7,7,6,8,7,8,6,8,6,6,7,7,6,8
2,10,10,5,3,6,10,12,3,6,5,4,6,6,6,19,11,7,11,9,7,10,6,6,7,7,7,9,8,10,6,10,6,6,7,7,7
3,6,10,9,5,3,6,11,12,3,7,5,4,6,7,6,20,11,7,11,8,7,10,6,6,8,7,7,9,7,10,8,10,6,6,7,7
4,7,6,10,9,5,4,6,9,12,5,8,5,4,6,8,6,20,10,7,11,7,8,10,6,6,10,7,8,9,7,7,8,10,6,6,8
5,9,7,8,10,8,5,4,6,9,12,5,7,5,5,6,7,6,20,10,7,10,8,7,11,6,6,10,8,8,9,11,8,8,11,6,6
6,12,9,8,8,10,8,5,4,7,9,13,5,7,5,5,5,7,6,19,9,6,11,8,7,11,6,6,12,8,7,6,12,8,8,11,6
7,8,13,9,7,6,10,9,5,3,6,10,12,5,7,5,5,5,7,7,19,9,7,11,8,7,10,6,6,9,7,8,7,12,7,8,10
8,8,8,13,10,6,7,10,9,5,4,6,10,12,5,7,5,5,4,7,7,17,9,7,11,8,7,10,6,7,9,19,8,7,12,7,8
9,16,9,8,12,10,6,4,10,10,6,4,6,10,12,5,8,5,5,4,7,6,16,9,7,11,8,7,10,6,7,6,17,8,7,12,7
10,9,15,9,9,11,11,6,5,10,9,5,4,6,12,12,5,8,5,5,4,7,6,18,10,7,11,9,8,11,6,7,6,20,9,7,12
11,11,8,15,8,8,9,12,8,6,11,8,5,4,6,12,12,5,7,5,5,5,7,5,18,10,7,11,10,8,10,5,7,5,20,9,7
12,15,11,8,15,8,10,9,10,6,5,10,8,5,4,6,12,12,4,7,5,5,6,7,6,17,10,7,12,9,8,4,6,7,7,19,9
13,16,16,11,8,14,9,8,10,12,7,6,10,8,5,4,6,12,11,4,7,5,5,5,7,6,17,10,8,12,9,5,5,5,7,6,18
14,16,16,18,10,8,16,9,8,9,9,7,6,10,8,5,5,6,12,10,4,7,5,5,6,7,6,17,10,8,11,7,5,5,6,7,6
15,14,14,16,18,10,9,16,12,8,11,10,7,6,9,8,6,5,6,11,10,4,7,5,7,6,6,6,17,9,9,4,7,5,7,6,6
16,12,12,15,16,19,12,10,14,11,8,9,10,7,6,9,8,7,5,6,12,10,4,7,5,6,7,6,7,17,9,11,4,7,5,6,6
17,13,12,13,14,16,19,10,9,14,10,8,9,10,7,6,9,9,7,5,6,12,10,4,8,5,5,7,6,7,17,12,11,4,8,5,5
18,14,12,13,15,14,17,18,10,9,13,10,8,9,10,7,6,9,9,7,5,5,10,11,4,7,5,5,7,6,7,6,10,12,4,7,5
19,12,16,11,12,14,14,16,20,10,8,13,11,9,9,10,7,6,9,10,7,5,5,10,11,4,7,5,6,7,6,4,6,10,12,4,8
20,11,13,14,10,10,15,15,17,19,11,8,12,11,7,10,9,8,6,10,12,6,5,5,12,11,5,7,5,7,7,7,4,6,11,11,5
21,8,12,18,15,9,10,11,16,17,18,11,10,12,11,7,10,9,8,7,10,13,6,5,5,13,11,5,9,5,7,11,7,4,6,12,11
22,13,7,13,15,13,9,11,9,15,19,18,12,10,13,10,8,10,10,9,7,10,11,4,5,6,14,11,5,10,6,11,10,5,4,7,13
23,7,12,6,15,15,12,11,14,10,14,18,18,11,11,13,8,8,11,9,8,6,8,10,4,5,6,12,11,5,11,6,9,9,5,4,7
24,8,6,13,5,14,16,12,10,11,10,15,17,18,11,12,11,10,9,13,10,8,6,9,8,6,5,6,12,12,5,8,6,10,8,6,4
25,7,9,5,11,5,14,15,11,9,11,11,15,20,17,10,12,9,10,6,17,11,7,7,9,8,7,5,8,12,13,11,7,7,10,8,7
26,8,8,8,5,10,6,14,13,11,6,13,10,14,20,17,11,11,12,6,8,17,11,7,7,7,6,6,3,6,11,16,11,7,7,8,7
27,3,9,7,11,4,9,7,16,13,12,8,14,10,14,21,16,10,12,11,8,8,16,11,7,8,9,6,7,4,6,8,16,11,7,8,9
