ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,16,8,15,15,10,19,8,19,9,11,10,17,13,10,11,11,15,11,12,16,7,7,6,9,12,11,14,13,5,7,7,7,6,9,12,11
1,14,16,8,15,13,11,19,8,18,9,11,9,17,13,11,12,11,15,10,11,16,7,7,5,6,13,12,14,13,5,17,7,7,5,6,13
2,18,12,17,8,14,14,11,18,10,18,10,11,8,17,13,11,12,11,17,10,12,16,8,6,5,6,12,11,13,13,11,17,8,6,5,6
3,12,19,12,19,8,15,15,12,20,9,18,11,11,9,17,13,11,12,11,17,9,12,16,8,7,4,6,13,11,13,9,12,17,8,7,4
4,16,10,18,12,21,9,13,13,12,19,11,18,11,11,9,17,13,11,12,10,17,9,11,18,8,10,4,6,13,11,17,9,11,18,8,9
5,13,15,11,18,12,23,9,13,12,13,18,10,18,11,11,11,17,13,11,14,10,15,8,11,18,8,10,4,6,14,11,16,10,11,18,8
6,18,12,16,12,18,11,22,8,14,12,14,18,10,19,10,11,12,17,13,11,14,11,15,8,11,18,9,10,4,8,12,12,15,10,11,18
7,19,17,12,16,15,17,10,22,8,13,14,14,18,10,20,11,11,13,17,13,11,14,8,16,8,11,18,9,10,5,11,11,9,18,10,12
8,20,17,18,13,16,14,19,12,23,8,15,14,13,18,9,19,11,11,15,17,13,11,13,8,17,8,12,18,9,11,13,11,11,9,18,9
9,15,19,17,18,13,18,16,19,10,22,8,14,14,13,18,9,20,11,11,16,17,14,11,13,9,15,9,12,18,9,17,14,11,11,10,16
10,29,15,19,17,18,12,17,17,18,10,23,8,16,14,13,18,9,20,11,11,18,17,13,11,13,9,15,9,15,17,16,17,14,11,11,10
11,16,28,16,21,17,14,12,17,17,18,11,23,8,18,14,13,18,7,20,11,11,19,17,15,11,13,11,17,10,15,11,17,17,14,11,11
12,13,15,29,16,18,17,15,11,18,16,18,11,23,8,18,15,13,18,7,20,11,11,19,17,14,12,14,10,15,10,12,11,18,18,14,12
13,15,15,15,29,17,17,18,15,12,18,15,18,13,24,8,18,15,13,18,7,20,11,11,19,18,15,12,12,11,16,20,12,11,17,18,15
14,15,15,13,15,29,18,18,18,16,11,20,16,18,13,24,9,17,15,13,16,7,20,11,11,19,21,18,12,12,11,7,20,12,11,17,20
15,17,16,15,15,15,31,18,18,18,15,12,20,15,18,13,24,9,17,14,13,16,8,21,12,11,20,21,18,12,11,16,8,21,13,11,18
16,17,17,14,16,16,16,32,19,16,20,17,12,20,15,18,13,23,9,17,14,13,18,8,22,12,11,19,21,16,12,13,18,8,22,13,11
17,15,16,17,14,15,16,17,32,19,16,19,17,11,21,15,18,13,23,9,17,14,13,19,7,21,12,11,19,20,16,14,13,18,7,21,12
18,19,14,16,16,15,15,18,18,32,19,17,19,17,11,21,15,18,13,23,9,17,14,13,19,7,21,13,11,18,20,17,14,13,18,7,21
19,15,17,13,17,18,15,15,18,17,31,20,16,19,17,11,18,15,21,13,21,9,18,13,13,19,6,22,14,11,18,9,18,13,13,18,6
20,28,15,15,13,17,20,15,16,19,16,31,19,15,19,17,12,18,15,20,13,20,8,18,11,13,18,6,21,15,11,19,9,18,11,13,17
21,24,28,15,17,15,18,17,19,14,18,19,33,19,14,19,17,13,21,15,18,13,19,9,18,10,13,19,6,21,14,12,18,9,18,11,13
22,21,23,31,15,17,15,17,16,16,15,18,18,32,20,14,22,20,13,22,15,18,15,18,9,18,10,13,20,8,20,18,14,18,9,18,11
23,18,21,24,27,15,18,18,19,15,16,15,16,19,29,21,14,22,20,13,25,15,18,15,17,9,18,12,13,24,9,15,19,14,17,10,18
24,13,18,24,22,29,14,18,19,19,15,17,17,15,20,30,20,15,21,19,13,26,17,19,16,19,9,18,12,14,22,25,17,20,15,18,9
25,9,16,18,24,20,31,15,17,19,19,18,18,17,14,21,28,22,15,21,20,14,26,16,21,17,20,10,16,13,14,14,25,16,22,15,19
26,23,8,16,17,25,23,30,15,21,21,21,20,20,17,14,23,26,23,18,19,21,12,26,17,21,17,20,11,17,15,21,12,25,18,21,16
27,17,24,7,15,18,26,23,29,16,19,21,21,21,20,17,15,22,25,22,19,19,22,12,28,17,21,18,21,8,17,20,21,12,26,18,21
28,20,17,23,7,17,18,27,22,31,14,19,19,19,21,21,17,14,23,25,23,19,17,22,11,26,14,20,16,20,8,19,19,20,10,24,15
29,13,21,17,24,7,18,17,28,22,31,17,20,20,19,21,21,15,14,23,25,22,18,17,24,10,27,13,24,16,18,22,17,15,21,9,26
30,25,12,21,18,22,7,17,16,26,23,32,17,19,21,22,20,20,15,15,25,24,22,15,17,25,10,24,14,23,17,25,22,15,15,21,9
31,11,25,12,21,17,20,6,20,17,26,24,31,15,19,18,22,19,18,15,15,25,20,24,15,18,29,9,26,11,24,26,23,22,15,17,24
32,20,10,26,13,20,17,20,6,17,16,26,24,30,16,19,20,22,18,16,17,14,21,20,25,11,18,28,12,22,11,15,24,23,23,13,17
33,19,20,11,25,13,20,17,21,6,16,16,26,25,30,16,19,20,22,18,16,17,13,19,20,21,11,16,23,11,23,17,15,24,23,23,13
34,22,19,20,11,25,16,21,17,19,7,18,17,26,25,30,16,19,20,21,17,15,17,13,23,20,23,12,17,23,12,17,18,15,25,23,24
35,18,22,20,21,11,25,14,20,17,18,7,18,17,26,25,31,16,19,21,21,17,17,17,13,23,23,23,12,16,24,16,18,18,16,23,26
36,12,19,23,21,22,14,25,14,20,18,19,7,18,18,24,25,32,16,19,21,21,19,16,17,14,23,23,21,13,16,19,17,18,18,17,22
37,16,12,19,23,22,22,15,25,15,20,18,20,7,18,18,24,24,32,17,20,21,24,17,15,17,13,21,24,21,13,22,22,17,17,18,16
38,15,16,12,18,22,23,22,15,25,17,21,16,18,7,17,18,23,24,32,17,18,21,23,17,15,16,13,21,23,21,18,21,21,18,16,17
39,18,16,18,11,19,22,25,23,15,26,15,21,17,19,6,17,18,23,24,32,17,18,22,23,18,15,17,16,19,24,16,18,22,21,18,16
40,20,18,16,16,11,19,22,24,23,16,27,14,21,17,19,6,17,19,23,23,30,16,21,21,22,18,15,17,17,17,28,15,20,21,20,18
41,18,20,19,16,17,10,18,22,23,22,16,27,14,21,17,19,6,17,19,23,24,30,17,22,21,24,18,16,19,17,24,28,17,20,21,22
42,10,17,21,18,16,19,10,19,21,24,22,16,27,14,19,18,19,6,17,18,23,24,31,16,22,21,23,20,17,20,23,24,31,16,19,21
43,23,9,18,19,18,17,20,9,21,22,23,22,15,27,14,19,18,19,6,18,18,23,23,31,17,23,19,21,18,17,17,23,23,31,17,20
44,23,22,12,18,19,18,18,20,9,21,23,23,22,15,27,15,19,18,19,6,19,18,23,23,31,18,25,19,20,16,18,17,23,23,31,18
45,15,23,21,11,20,20,18,20,19,9,21,22,21,23,15,28,15,19,18,19,6,20,18,23,23,31,19,23,18,21,6,19,17,22,23,31
46,20,16,23,22,12,19,20,19,19,19,11,22,22,22,23,16,28,17,20,19,18,6,21,18,21,23,31,20,21,18,18,6,20,18,21,23
47,26,21,16,22,22,11,17,20,19,19,19,11,23,22,22,24,17,28,18,22,19,18,6,22,18,21,22,30,18,18,19,18,6,20,18,21
48,25,25,19,16,21,23,11,18,20,19,18,18,11,23,22,22,24,17,27,17,22,20,18,5,19,19,23,22,31,18,22,19,18,6,18,19
49,18,25,25,17,16,21,24,12,18,21,19,19,19,11,24,20,22,24,17,27,18,22,21,18,4,19,21,21,23,30,18,22,20,18,5,17
50,23,18,25,25,17,16,21,23,12,17,22,19,19,19,11,24,20,22,24,17,27,17,23,19,19,4,18,21,21,22,27,17,21,18,19,5
51,27,23,18,24,26,18,16,21,24,11,17,22,20,19,19,11,23,21,22,24,17,27,16,25,19,19,5,18,20,20,16,26,17,22,18,19
52,21,29,23,19,25,25,18,16,19,23,11,17,23,20,19,18,11,22,19,22,24,17,28,15,26,19,19,5,19,18,25,16,28,18,24,18
53,25,20,27,22,18,24,27,18,16,20,24,11,18,24,20,19,18,11,21,20,21,26,16,27,16,26,21,19,6,18,21,26,15,28,18,25
54,28,25,18,28,22,20,26,26,18,18,19,24,11,18,24,20,19,18,11,22,20,21,26,16,27,16,28,21,18,6,22,21,26,16,28,18
55,30,28,25,19,28,24,18,26,25,18,16,19,24,11,19,24,20,19,18,11,22,20,21,26,16,28,17,27,20,19,22,22,21,26,16,29
56,19,30,30,25,19,29,25,18,26,27,19,16,18,25,11,19,24,20,20,18,11,21,20,21,26,16,28,17,25,20,11,21,21,21,27,16
57,28,19,32,30,27,18,29,24,19,26,30,19,16,18,26,11,19,24,20,20,18,11,20,20,21,26,15,28,17,25,18,11,20,21,21,27
58,26,27,19,31,30,24,19,30,24,17,26,30,20,17,18,26,11,18,24,20,19,18,11,21,20,21,26,15,30,17,18,18,11,21,21,21
59,32,28,28,18,33,31,22,19,31,24,18,26,30,20,17,19,26,12,18,25,20,20,19,11,19,20,21,26,14,30,19,19,19,11,19,21
60,31,34,28,27,19,32,32,23,19,30,24,18,25,30,20,17,19,26,12,17,24,18,19,17,11,19,19,21,26,15,23,18,18,18,11,19
61,40,32,35,26,27,22,33,32,23,19,31,23,18,24,30,20,17,19,26,12,16,24,18,19,17,12,20,19,20,26,17,23,18,19,18,11
62,19,40,31,34,27,26,20,32,33,22,18,31,23,18,24,29,20,17,19,26,12,16,24,17,21,18,12,18,20,18,12,16,23,18,20,19
63,6,20,37,30,34,26,27,21,33,33,23,18,31,23,17,23,29,20,17,18,25,12,17,24,17,20,18,12,17,20,25,12,17,24,18,19
64,9,7,20,36,30,34,26,27,21,33,31,23,19,30,23,16,22,29,20,17,16,25,12,17,24,17,18,18,11,16,16,25,12,17,24,18
65,17,9,6,23,36,29,31,26,27,21,35,31,23,18,28,23,15,24,29,19,18,16,24,12,17,24,17,18,19,11,17,16,24,12,17,24
