ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,19,15,21,11,20,14,14,14,15,15,14,16,12,18,13,4,15,10,9,7,5,9,8,9,5,4,5,15,6,6,5,8,8,9,5,4
1,23,18,15,20,12,20,15,16,10,15,13,15,16,12,18,11,4,11,8,8,7,8,8,9,9,5,4,4,15,7,6,7,7,8,8,4
2,20,23,20,18,20,13,19,13,13,10,13,14,16,15,11,18,12,4,9,7,7,6,8,8,9,9,6,5,6,15,8,5,7,7,8,8
3,19,19,22,20,19,21,13,19,13,13,11,12,15,16,15,9,18,12,4,7,7,5,7,8,8,9,9,7,5,5,6,4,6,7,7,8
4,19,19,19,22,20,19,20,13,19,13,14,11,12,16,14,15,8,18,10,4,6,8,5,7,7,8,9,8,8,5,9,8,4,6,6,7
5,21,19,18,20,23,22,19,19,15,20,13,14,11,12,15,13,16,6,15,10,4,6,7,5,7,8,8,9,8,7,4,7,7,4,6,7
6,23,20,21,19,20,23,21,19,19,14,17,12,14,10,12,13,13,16,6,15,10,4,7,7,5,7,8,9,7,8,13,4,7,6,4,6
7,19,23,19,19,19,21,22,22,20,18,14,17,12,14,10,10,12,13,15,5,15,10,4,7,7,5,7,8,9,7,14,10,4,7,6,4
8,23,20,22,19,19,19,21,23,21,21,20,14,17,10,14,10,10,11,12,15,4,15,10,5,7,7,5,6,8,7,4,15,10,5,7,6
9,15,23,19,23,21,18,18,22,23,23,21,20,14,19,10,14,10,9,10,12,15,5,15,10,5,7,7,5,6,8,14,6,15,10,5,7
10,26,15,24,19,22,20,17,18,22,24,22,22,20,14,18,9,13,10,8,8,12,15,5,15,10,5,7,6,5,6,11,16,6,15,10,5
11,23,25,14,23,19,24,20,18,19,23,21,21,22,20,14,18,9,14,11,8,8,12,14,4,15,10,5,7,6,4,10,13,15,5,15,10
12,29,21,26,15,22,19,23,20,17,19,22,21,20,22,19,10,18,8,12,11,9,8,12,14,4,15,10,5,7,6,12,8,13,15,5,15
13,24,30,22,25,15,22,19,23,20,17,18,22,21,19,22,19,9,18,8,9,11,8,9,12,13,5,15,11,5,7,11,9,9,13,14,6
14,21,22,29,23,25,14,22,18,24,21,18,18,22,21,18,21,18,10,18,8,9,10,8,9,12,13,5,14,11,5,8,10,9,9,13,14
15,23,20,24,29,24,25,16,21,18,23,21,18,17,23,22,19,20,17,10,18,8,10,11,8,9,12,12,5,14,11,7,9,10,9,9,13
16,16,22,21,22,27,25,25,15,21,19,20,18,18,16,23,23,18,19,16,10,18,10,10,11,8,9,12,13,5,15,16,11,9,10,9,9
17,23,17,22,21,22,27,26,26,16,21,20,19,18,19,16,22,23,20,17,17,10,17,10,10,11,7,9,13,13,6,10,17,11,9,10,8
18,24,23,16,21,20,21,28,26,24,14,21,20,19,17,19,16,21,23,19,16,17,9,17,10,10,11,8,8,13,13,16,9,17,11,9,10
19,28,25,20,17,19,20,19,27,26,22,14,21,20,19,17,19,16,20,23,18,16,18,9,17,10,10,10,8,9,13,15,17,9,17,11,9
20,19,25,21,19,17,18,20,16,27,27,22,14,20,20,19,17,19,16,19,23,16,14,18,9,17,10,10,9,9,8,15,13,17,9,18,11
21,19,18,22,21,21,18,17,19,16,28,25,22,14,19,20,19,17,19,13,19,24,14,15,18,9,16,10,10,9,9,22,14,14,17,9,17
22,25,19,17,19,25,20,18,16,19,16,26,26,22,14,20,20,19,17,19,14,18,23,14,14,18,10,16,12,10,8,19,21,14,13,17,10
23,17,26,20,14,17,24,20,17,16,17,17,25,25,21,14,19,19,19,16,17,14,18,25,16,12,17,11,17,12,10,14,20,23,15,12,16
24,15,16,25,20,16,18,26,18,16,14,18,17,25,24,20,14,19,17,19,16,15,14,17,24,17,12,17,11,17,12,14,13,18,22,15,12
25,24,16,16,25,20,15,17,25,17,16,17,18,17,25,23,20,14,15,17,19,15,15,14,16,21,18,14,18,10,17,15,15,13,17,19,16
26,18,22,17,16,27,19,13,16,24,17,17,18,17,20,25,22,18,12,17,17,18,13,16,14,15,20,18,15,17,10,19,14,15,13,16,18
27,20,15,23,14,17,25,19,14,16,23,16,15,18,18,18,20,20,17,11,16,16,18,14,15,13,15,20,13,14,17,15,20,14,14,12,16
