ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,1945,1844,1862,1750,1678,1717,1592,1651,1676,1738,1619,1779,1658,1638,1670,1624,1767,1754,1805,1773,1804,1908,1914,2019,2029,2046,2130,2284,2192,2137,1791,1917,1915,2015,2000,2053
1,2071,1946,1852,1861,1753,1700,1735,1597,1659,1699,1653,1636,1800,1671,1661,1687,1659,1769,1763,1836,1803,1830,1945,1928,2036,2035,2060,2145,2284,2184,1801,1821,1945,1962,2044,2032
2,2216,2079,1939,1856,1870,1761,1712,1757,1609,1674,1641,1672,1660,1809,1697,1674,1694,1680,1788,1789,1867,1847,1859,1954,1965,2042,2061,2082,2130,2281,1882,1829,1864,1958,1996,2062
3,2341,2221,2088,1937,1855,1872,1765,1731,1769,1631,1623,1658,1701,1687,1821,1719,1703,1709,1715,1806,1803,1893,1870,1870,1987,1979,2065,2069,2088,2143,1783,1891,1870,1892,1980,2013
4,2436,2344,2222,2102,1935,1857,1870,1778,1732,1775,1564,1629,1664,1709,1708,1841,1734,1712,1728,1733,1817,1847,1928,1894,1886,2003,2004,2060,2057,2087,1840,1809,1935,1904,1919,2011
5,2593,2435,2346,2221,2105,1943,1868,1870,1786,1750,1740,1562,1642,1681,1736,1736,1857,1765,1734,1749,1763,1850,1876,1950,1919,1896,2010,2026,2053,2060,1764,1849,1858,1972,1928,1935
6,2747,2610,2438,2361,2224,2112,1943,1878,1880,1795,1717,1743,1579,1670,1705,1771,1761,1871,1790,1752,1765,1799,1880,1888,1964,1925,1924,2041,2025,2046,1758,1773,1881,1893,1980,1933
7,2781,2759,2618,2446,2365,2229,2124,1935,1888,1887,1757,1729,1758,1585,1681,1727,1800,1779,1895,1811,1769,1788,1838,1903,1905,1972,1944,1955,2048,2015,1780,1782,1819,1921,1913,1979
8,2859,2791,2771,2629,2452,2370,2227,2137,1936,1889,1861,1791,1739,1772,1593,1709,1755,1834,1805,1913,1841,1788,1818,1841,1937,1925,1991,1968,1958,2046,1830,1798,1820,1842,1963,1923
9,2891,2853,2795,2783,2632,2460,2372,2233,2144,1937,1845,1862,1812,1761,1788,1605,1732,1798,1871,1834,1941,1867,1827,1839,1864,1951,1937,2018,1980,1980,1942,1851,1830,1845,1856,1987
10,2908,2899,2849,2808,2788,2637,2468,2376,2234,2153,1897,1860,1879,1834,1774,1815,1622,1752,1832,1893,1865,1959,1906,1861,1852,1881,1972,1964,2028,1995,1862,1963,1887,1864,1858,1885
11,2911,2906,2903,2850,2804,2804,2649,2467,2380,2233,2110,1928,1880,1891,1844,1798,1837,1639,1786,1849,1932,1875,1992,1935,1879,1864,1909,1996,1980,2033,1922,1891,2006,1927,1893,1874
12,2958,2905,2911,2906,2850,2792,2802,2658,2474,2385,2214,2146,1937,1902,1913,1858,1827,1864,1651,1797,1876,1950,1897,2011,1952,1894,1878,1925,2019,1989,1861,1949,1922,2023,1958,1910
13,2892,2965,2915,2924,2900,2853,2798,2809,2665,2476,2358,2227,2153,1959,1919,1929,1878,1850,1882,1674,1822,1887,1963,1913,2036,1971,1918,1901,1929,2040,1831,1880,1972,1943,2043,1981
14,2916,2902,2965,2922,2935,2905,2852,2802,2813,2673,2469,2372,2239,2171,1976,1943,1945,1893,1869,1911,1687,1851,1912,1989,1939,2047,1985,1934,1913,1947,1727,1865,1906,2004,1951,2057
15,3070,2917,2912,2965,2926,2946,2909,2851,2806,2820,2664,2482,2381,2260,2176,1992,1964,1968,1916,1889,1925,1703,1869,1935,2027,1957,2060,1997,1952,1936,1900,1750,1888,1946,2035,1982
16,3048,3074,2919,2918,2968,2941,2954,2914,2855,2815,2821,2664,2497,2404,2276,2187,1998,1985,1996,1950,1925,1935,1727,1880,1956,2039,1969,2085,2011,1978,1905,1918,1774,1910,1980,2043
17,3132,3053,3075,2926,2923,2977,2952,2951,2914,2865,2830,2837,2676,2523,2420,2291,2197,2030,2012,2021,1968,1937,1948,1748,1911,1976,2049,2005,2100,2028,1969,1920,1937,1813,1945,1994
18,3075,3131,3051,3080,2939,2938,2993,2966,2967,2925,2882,2840,2859,2697,2528,2449,2324,2216,2050,2034,2050,1981,1966,1969,1790,1937,1998,2080,2021,2131,2047,1993,1961,1974,1861,1974
19,2929,3080,3143,3055,3078,2951,2952,3002,2981,2995,2948,2898,2851,2888,2717,2541,2477,2358,2264,2116,2068,2056,2010,1996,1995,1834,1968,2036,2091,2049,2047,2073,2024,2010,2006,1905
20,2944,2935,3091,3166,3068,3080,2958,2972,3009,2992,3040,2951,2911,2885,2931,2742,2579,2509,2395,2341,2156,2103,2112,2048,2023,2018,1880,2023,2083,2126,2110,2067,2123,2080,2040,2052
21,2828,2957,2944,3103,3180,3097,3106,2981,2994,3026,3027,3056,2972,2941,2920,2969,2770,2621,2536,2430,2387,2184,2176,2119,2093,2060,2062,1950,2069,2132,2395,2155,2141,2150,2126,2081
22,2932,2835,2963,2959,3122,3191,3106,3137,3010,3030,3061,3046,3080,2997,2962,2969,3022,2832,2649,2587,2482,2406,2255,2224,2157,2134,2134,2143,2022,2138,2466,2417,2235,2200,2186,2178
23,2771,2955,2837,2970,2972,3125,3206,3118,3161,3035,3081,3071,3062,3114,3019,3000,3029,3076,2878,2707,2634,2513,2493,2303,2248,2212,2218,2228,2189,2088,2634,2522,2483,2296,2257,2249
24,2830,2772,2963,2840,2994,2977,3139,3263,3128,3199,3084,3097,3110,3096,3147,3049,3054,3075,3123,2927,2774,2677,2592,2553,2339,2278,2294,2314,2276,2226,2774,2666,2611,2543,2342,2296
25,2991,2828,2784,2965,2849,3003,2967,3165,3294,3142,3251,3100,3134,3177,3136,3184,3088,3126,3142,3178,2976,2815,2792,2659,2598,2383,2346,2382,2388,2346,2978,2802,2774,2667,2613,2401
