ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,13,15,13,13,7,12,9,6,12,13,7,17,6,19,8,8,21,19,13,12,17,11,11,8,18,16,8,13,12,11,17,11,11,9,18,16
1,13,14,15,14,13,7,11,9,6,11,13,7,17,6,19,7,6,21,18,13,12,12,9,11,10,20,16,11,14,13,12,13,10,11,11,20
2,12,14,14,16,14,13,7,11,9,8,11,13,9,17,4,19,8,6,22,20,11,12,16,9,11,13,21,15,12,13,11,12,17,10,11,13
3,18,11,14,14,16,17,13,8,11,11,6,15,13,9,17,4,19,9,6,22,21,12,12,16,8,11,11,24,17,11,18,12,12,17,9,11
4,10,18,10,14,14,16,18,13,8,12,11,8,14,13,9,17,4,18,8,6,22,20,11,12,17,10,10,10,26,16,20,17,11,12,18,10
5,11,11,18,12,15,14,16,18,14,8,11,11,8,14,12,9,16,6,18,8,6,21,20,10,12,18,11,10,10,22,9,20,18,10,12,20
6,19,11,11,18,11,17,16,16,18,13,8,11,11,8,14,12,9,18,7,18,7,5,21,19,11,10,18,12,10,11,7,8,21,17,11,10
7,14,19,12,12,18,11,16,16,16,18,11,8,12,11,8,14,12,9,18,9,20,6,5,21,21,10,10,18,13,10,18,6,8,22,19,10
8,17,13,19,12,11,19,11,16,17,16,18,12,8,12,11,9,14,13,9,18,11,19,6,6,20,23,10,11,20,13,10,18,7,9,21,21
9,14,18,14,19,12,14,19,11,16,16,15,18,12,8,12,10,9,13,13,9,18,11,17,6,6,19,23,10,9,19,19,10,16,7,9,20
10,13,14,20,13,19,13,13,19,11,15,14,14,17,12,8,12,11,8,13,14,9,18,11,16,6,7,20,22,9,8,9,19,10,15,7,9
11,24,15,14,19,13,21,13,13,20,11,13,14,15,17,12,9,12,11,8,14,13,9,17,12,17,8,8,22,21,9,13,9,18,11,16,8
12,19,24,15,13,19,13,19,13,12,19,12,13,14,15,17,12,9,12,10,9,14,13,9,16,12,19,9,9,22,20,15,13,9,17,11,18
13,21,20,24,15,13,19,14,19,13,11,21,13,13,14,16,17,12,9,14,10,8,14,14,9,16,12,17,9,10,23,8,15,14,9,17,10
14,14,20,20,22,14,14,18,15,20,13,12,19,13,14,14,16,18,13,8,15,10,8,14,14,9,17,11,17,9,12,11,8,15,14,9,18
15,16,13,21,21,22,13,14,18,14,19,14,13,19,12,14,14,16,17,13,10,14,10,8,14,15,11,17,9,17,9,14,11,8,15,15,11
16,18,14,14,20,22,22,13,15,19,14,21,14,11,19,13,14,15,15,17,13,9,15,10,8,15,15,12,16,7,18,9,15,11,8,15,15
17,10,18,14,14,20,22,23,15,14,18,14,21,15,11,19,13,14,13,15,17,14,9,15,10,8,14,15,11,15,7,13,9,15,11,8,15
18,18,12,18,14,15,21,21,24,14,15,18,14,21,14,12,20,13,15,13,16,17,13,9,14,12,9,13,15,12,15,18,13,9,14,12,9
19,16,20,10,18,15,15,18,23,25,14,17,18,13,22,15,12,19,12,16,16,19,17,13,10,14,12,11,14,15,11,19,17,13,9,14,12
20,16,14,21,10,17,12,14,17,23,23,14,16,18,12,22,14,12,19,12,16,17,20,17,14,10,14,14,13,15,16,16,22,17,14,9,14
21,11,15,14,22,9,13,14,15,17,25,25,14,16,17,12,21,17,13,20,13,17,17,23,17,13,10,13,17,11,17,15,16,24,17,13,9
22,14,12,16,13,24,11,13,12,16,18,27,24,15,16,17,13,19,18,14,20,13,20,18,20,17,13,11,14,17,11,12,19,17,20,18,13
23,16,16,11,16,13,23,12,13,11,15,22,27,25,15,16,16,15,18,17,16,18,13,19,18,19,20,12,12,15,17,19,12,18,16,19,20
24,16,16,15,12,16,14,22,13,14,12,15,23,27,23,14,16,15,13,17,16,16,18,16,18,18,21,19,13,14,16,16,19,14,18,16,21
25,14,16,16,16,12,16,12,23,15,16,18,21,22,26,23,14,16,15,15,17,14,15,17,16,22,17,22,17,13,13,14,15,18,15,22,16
26,15,14,18,16,16,12,18,15,23,15,16,17,23,23,25,24,14,16,17,16,14,17,16,20,16,24,20,21,17,13,17,17,15,20,15,24
27,17,12,14,17,17,18,14,18,16,24,18,16,19,22,23,24,24,13,15,19,17,13,17,18,21,17,21,19,20,17,16,16,18,18,21,16
28,19,15,12,15,16,17,18,14,19,15,27,17,15,18,23,21,25,23,17,14,17,18,15,19,19,26,17,23,20,20,19,16,17,19,19,25
29,22,19,14,13,14,16,18,18,14,18,12,27,16,14,17,24,18,24,21,19,18,15,16,18,20,17,27,14,23,19,18,16,15,18,20,17
30,9,21,20,16,14,14,16,19,17,12,21,12,27,18,13,18,23,17,24,20,20,18,17,18,17,19,16,33,11,23,19,17,17,17,18,19
31,10,10,21,20,16,13,14,16,18,17,12,21,12,26,18,13,18,24,16,22,20,17,17,17,19,19,18,16,32,12,19,17,16,17,19,19
32,14,10,10,22,20,16,13,14,18,18,20,13,21,12,24,18,13,17,24,15,21,21,15,16,17,19,19,19,18,32,22,22,16,15,18,20
33,12,15,10,10,22,20,17,13,14,18,20,20,13,19,12,24,17,13,18,22,14,22,24,16,16,14,25,19,19,17,15,23,24,17,16,17
34,11,12,15,11,10,21,19,15,13,14,20,20,20,14,19,13,26,17,12,17,21,15,23,24,18,13,13,22,19,18,19,15,23,23,18,15
35,10,11,13,15,11,10,21,19,14,13,14,20,19,19,14,20,11,26,19,13,18,18,14,23,26,19,16,15,23,17,18,18,14,23,25,19
36,9,10,10,14,15,11,11,21,19,13,13,14,19,19,19,13,20,12,26,17,12,20,19,14,23,23,20,14,17,23,12,19,18,14,23,24
37,15,7,10,12,14,16,11,9,21,19,13,13,13,19,17,19,13,19,12,26,17,14,18,18,15,24,20,22,15,16,17,12,18,18,15,25
38,14,14,7,11,11,13,17,11,9,21,21,12,13,14,19,17,19,13,19,16,26,16,13,18,19,16,26,20,21,14,25,16,12,16,19,16
39,9,16,14,7,10,12,13,17,11,9,23,21,12,13,14,19,19,20,13,20,15,27,16,13,18,17,17,26,20,20,14,28,16,12,16,17
40,8,10,16,14,7,12,10,13,17,12,10,24,22,11,14,14,17,20,21,13,21,15,28,16,11,18,19,19,25,21,20,14,29,16,11,16
41,8,8,10,15,14,8,11,11,13,18,13,11,24,22,11,16,14,17,19,21,14,23,14,27,15,10,19,20,22,25,15,22,13,27,16,11
42,16,8,7,10,15,15,7,10,11,13,17,13,11,24,19,11,16,14,20,18,20,13,24,14,29,15,12,17,23,20,20,15,22,13,29,16
43,9,17,8,7,9,15,15,8,10,12,14,18,12,10,24,19,11,15,14,20,18,21,13,25,14,29,16,11,18,24,17,22,15,23,13,29
44,4,8,17,8,7,9,14,15,7,10,12,13,17,12,10,24,20,11,15,14,19,17,21,14,25,16,30,16,10,19,20,18,21,16,23,15
45,4,4,7,17,7,7,9,14,15,7,10,12,13,17,12,10,24,20,11,15,14,18,18,23,12,24,16,29,15,10,15,19,19,22,14,23
46,8,4,4,7,16,8,6,9,15,14,7,10,12,12,17,12,10,24,20,11,15,14,18,18,24,14,23,16,30,15,15,15,19,19,23,15
47,11,7,3,5,8,16,8,6,9,13,15,7,9,12,13,17,13,11,24,20,12,15,14,18,19,24,14,22,15,30,12,15,15,19,19,23
48,6,10,7,3,5,8,17,8,7,9,14,15,7,10,12,13,18,11,11,24,19,13,16,15,20,19,22,12,24,15,20,13,16,15,20,19
49,4,5,11,7,3,6,8,17,8,6,10,14,16,7,10,12,12,18,12,11,24,22,13,13,14,21,18,22,12,23,23,23,13,15,14,21
50,12,4,5,11,7,3,6,8,16,8,8,10,14,16,7,10,12,13,18,12,10,25,21,13,13,15,21,19,21,13,10,26,22,13,15,15
51,9,11,4,6,11,7,3,7,8,16,8,8,10,13,16,9,10,10,14,19,11,9,25,21,13,15,15,20,19,21,10,9,26,22,13,16
52,13,9,12,4,6,11,7,4,7,8,16,7,8,10,13,16,9,10,11,16,19,11,9,25,21,13,15,15,20,19,20,10,9,25,22,13
53,8,13,9,12,5,6,11,7,4,8,8,16,8,9,11,13,16,9,11,12,15,17,11,9,25,21,13,16,15,20,15,19,10,9,25,22
54,18,8,13,9,13,4,6,12,7,4,8,8,16,8,9,11,13,14,9,11,11,15,17,11,9,25,21,14,16,15,13,15,19,10,9,25
55,8,19,8,13,9,13,4,4,12,7,6,8,11,16,9,8,10,13,14,9,10,11,15,17,11,9,24,22,15,16,10,13,15,19,10,9
56,9,9,17,8,13,9,11,4,5,12,9,6,8,11,16,8,9,10,13,15,9,11,11,15,17,11,9,24,23,15,9,11,13,15,19,10
57,9,9,9,17,8,14,9,11,4,6,12,11,8,8,10,15,8,9,10,13,15,8,10,10,15,18,11,11,24,23,16,9,10,13,15,20
58,14,7,9,9,17,9,13,9,11,4,6,12,10,8,7,11,16,7,9,11,13,15,8,11,12,15,20,10,11,24,13,16,9,11,14,15
59,7,13,7,9,10,17,10,15,9,11,5,7,13,10,8,7,11,16,7,10,11,13,14,9,11,13,14,21,10,11,10,13,15,9,10,14
60,17,6,13,10,9,10,17,10,14,9,13,5,7,13,10,8,7,12,17,7,9,9,13,14,9,11,13,14,22,10,9,9,13,15,9,10
61,13,17,8,13,8,9,10,17,9,14,11,13,5,6,13,10,8,6,13,17,9,7,10,11,17,9,11,14,14,22,9,8,10,12,17,9
62,8,14,16,7,12,7,9,9,17,9,14,11,13,6,6,13,10,8,5,13,17,9,7,10,12,17,9,11,14,14,16,9,8,10,12,17
63,2,9,13,15,7,13,7,9,9,17,9,14,11,13,6,6,13,9,7,6,12,17,8,7,10,13,16,10,10,13,11,16,8,8,10,13
64,5,3,9,13,15,7,11,7,9,9,16,9,13,11,13,7,6,13,9,5,5,12,17,8,7,10,13,15,10,11,5,11,16,8,8,10
65,7,5,3,9,13,17,7,9,8,9,9,16,10,13,10,13,6,5,13,9,5,5,13,17,8,7,10,13,17,10,6,5,12,16,8,8
66,8,8,3,3,10,13,16,7,9,8,9,9,17,10,13,10,12,7,5,13,9,5,5,13,17,8,8,10,13,17,9,6,5,12,16,8
67,13,8,8,3,3,10,13,16,7,9,8,9,9,17,10,12,10,13,6,5,13,9,5,5,11,17,6,8,10,13,14,9,6,5,11,16
68,11,11,8,7,2,3,10,13,16,7,9,8,10,10,17,10,12,10,12,6,5,14,10,5,6,11,17,7,8,10,5,14,10,6,6,11
69,11,11,12,8,7,3,4,11,14,16,7,9,9,11,10,17,10,11,10,12,5,5,13,10,5,5,11,17,7,8,5,5,13,10,6,5
70,9,12,10,12,8,7,3,3,10,13,15,8,9,9,13,10,17,10,11,9,12,5,5,13,10,5,5,11,17,7,13,5,5,13,10,6
71,9,10,12,9,13,9,7,3,3,10,12,15,8,9,8,12,8,17,10,11,10,12,6,5,12,10,5,5,10,15,10,13,6,5,12,10
72,10,9,8,11,9,11,8,7,3,3,10,11,15,8,9,8,11,7,17,10,10,9,12,6,5,12,9,6,5,10,11,9,13,6,5,12
73,6,10,9,7,11,9,11,8,7,3,3,10,8,15,7,9,8,10,7,17,10,10,9,12,6,5,11,9,6,4,10,10,9,13,6,5
74,8,6,9,9,7,10,8,11,8,6,5,3,9,8,15,7,9,8,10,7,18,10,10,8,12,6,5,11,8,5,20,10,11,8,13,6
75,10,8,6,8,8,7,9,8,11,8,6,4,3,9,8,12,7,8,8,10,7,19,11,10,7,11,6,5,11,8,7,20,11,11,7,12
