ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,25,20,26,18,24,29,27,19,27,29,26,28,23,38,21,50,42,40,37,36,37,42,53,53,40,57,51,50,59,41,36,41,52,53,43,58
1,21,28,23,27,21,24,30,28,18,28,27,27,27,24,35,19,50,43,39,35,39,41,47,55,57,40,58,46,54,58,38,39,42,56,58,45
2,23,21,28,24,27,23,22,31,29,20,29,27,27,32,23,38,21,50,45,38,33,38,42,45,61,55,45,59,49,49,35,36,41,43,59,58
3,40,21,23,29,26,30,22,21,33,30,19,30,27,29,32,23,38,19,51,48,36,37,42,39,47,55,56,45,62,54,37,38,40,40,48,53
4,27,40,23,24,31,25,31,25,22,34,24,19,30,27,30,32,22,37,21,50,52,36,38,45,41,48,52,53,46,59,53,37,41,45,40,49
5,49,28,41,24,24,30,24,27,26,23,33,24,18,31,26,31,31,23,39,24,52,51,38,41,42,43,47,53,57,46,52,51,39,43,42,42
6,41,46,27,41,22,26,31,24,27,30,19,34,23,18,32,29,34,35,24,41,25,54,51,40,41,44,43,48,52,57,22,54,53,42,42,44
7,46,40,49,28,42,22,26,32,25,28,31,19,33,24,20,32,30,38,34,28,42,25,56,51,42,41,42,45,50,52,44,22,56,52,42,42
8,41,47,43,52,28,43,22,25,32,28,28,32,18,32,27,22,32,29,39,37,29,44,23,54,51,40,41,42,47,49,29,44,22,55,51,41
9,54,40,50,43,52,26,41,22,26,36,28,28,32,17,32,27,23,32,35,39,37,29,44,24,55,53,40,43,41,46,35,31,47,23,56,54
10,44,55,44,50,44,53,32,41,22,26,37,28,28,32,18,33,28,26,30,34,41,38,31,46,25,56,52,43,44,42,40,36,32,48,23,57
11,39,46,59,42,48,45,52,31,40,22,28,38,27,26,35,20,30,30,28,29,36,40,39,34,47,25,56,55,43,43,36,39,35,34,50,24
12,37,40,47,59,42,49,47,51,31,42,23,28,39,25,28,36,22,30,33,29,28,36,44,40,33,50,26,59,52,42,28,36,42,39,34,53
13,42,39,40,48,56,43,49,50,52,31,40,22,26,38,27,28,36,24,30,36,33,31,37,42,41,33,49,26,60,50,33,32,37,41,39,33
14,42,41,36,40,47,57,43,48,48,52,31,40,21,26,38,29,28,36,23,34,37,36,33,39,43,38,33,50,25,60,39,37,34,39,43,38
15,43,40,41,37,39,49,59,45,47,48,53,32,40,22,27,38,29,32,35,25,37,40,39,35,41,41,37,34,50,23,35,41,38,35,40,42
16,41,45,41,42,38,39,49,57,45,49,50,50,33,39,23,28,38,28,34,35,29,40,41,39,35,41,41,37,34,50,27,36,42,36,34,41
17,56,44,43,40,40,41,38,52,58,48,47,49,49,34,40,24,28,36,28,34,33,31,44,40,39,35,40,42,37,35,33,29,37,43,37,35
18,31,57,48,45,39,41,42,41,47,57,49,48,49,53,35,41,24,29,38,28,34,33,30,47,39,39,35,43,43,38,34,34,30,38,40,37
19,48,40,58,50,48,43,42,42,40,49,58,49,47,48,52,36,43,30,30,37,30,35,35,31,48,38,36,34,43,45,31,36,36,30,50,40
20,38,48,38,60,50,46,44,45,42,38,51,54,51,51,51,50,40,46,31,32,41,34,42,37,32,42,41,40,35,47,40,32,37,40,33,46
21,38,40,52,43,56,52,50,46,52,48,41,51,57,57,54,51,51,39,45,32,35,46,38,42,45,30,40,42,41,33,35,44,33,41,47,33
