ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,15,5,7,7,11,8,9,8,14,10,9,6,17,5,9,9,7,7,8,6,15,6,16,5,5,4,11,4,15,12,15,5,16,5,5,4
1,7,16,4,7,7,9,7,9,8,12,11,9,7,15,3,9,9,6,8,10,7,15,7,14,5,6,3,11,4,16,7,16,6,13,5,6
2,12,7,15,4,7,8,10,7,7,6,14,11,8,8,15,4,9,10,6,8,10,7,15,7,14,5,6,2,11,4,10,7,16,6,13,5
3,8,13,7,15,5,7,7,9,7,7,5,14,13,8,8,13,4,10,10,7,9,10,6,14,7,15,6,6,2,11,9,10,6,14,6,14
4,15,8,13,8,15,5,7,7,9,8,6,5,14,13,8,8,11,4,8,9,8,9,10,6,15,5,15,5,6,2,7,9,10,6,15,5
5,11,14,9,13,8,15,6,7,7,9,5,6,5,13,13,9,7,11,4,8,9,8,8,10,7,15,6,15,5,5,10,7,8,10,7,16
6,13,11,14,9,13,7,16,8,7,7,9,5,6,5,13,13,10,7,12,4,8,9,8,8,10,7,14,6,15,6,8,10,7,8,10,7
7,15,13,13,16,9,13,7,15,7,7,8,9,5,6,5,13,13,10,5,12,4,8,9,8,8,10,5,14,7,16,4,8,10,7,8,10
8,17,13,13,11,17,9,13,7,15,6,6,8,9,5,6,5,13,13,11,5,12,4,8,9,9,8,10,5,14,7,12,4,8,10,9,8
9,19,17,12,13,11,15,9,13,7,14,6,6,8,9,5,6,5,13,13,11,5,12,4,7,9,9,8,10,5,14,6,12,4,8,10,9
10,16,20,17,12,13,12,15,9,13,7,16,5,6,8,9,5,6,5,13,13,11,5,12,4,7,9,8,8,10,5,10,6,12,4,8,10
11,17,16,20,18,12,13,11,15,9,12,7,16,5,6,7,10,5,6,5,13,13,12,5,12,5,6,10,8,8,10,13,11,6,12,5,7
12,9,15,17,21,17,12,13,11,15,9,13,7,16,5,9,7,10,6,6,5,13,13,13,5,14,5,7,10,8,7,13,13,12,6,13,5
13,10,7,15,17,22,18,11,12,11,17,8,13,7,16,5,9,7,10,6,6,5,13,13,11,6,14,5,8,10,9,5,13,13,11,7,13
14,19,10,7,16,18,21,19,12,11,11,17,8,13,7,16,5,8,8,10,6,6,5,13,13,11,6,14,5,8,10,6,5,13,13,11,7
15,15,19,10,8,15,19,21,17,11,12,12,17,8,13,7,15,5,8,7,9,7,6,6,13,13,11,6,13,5,8,8,6,6,13,13,11
16,11,15,18,11,7,15,18,21,17,11,11,11,17,9,13,7,14,6,8,7,9,7,7,6,13,13,12,6,13,5,9,8,7,6,13,13
17,15,10,15,18,10,7,15,18,22,18,11,11,11,17,9,13,7,14,5,8,7,10,7,7,6,13,14,12,6,13,7,10,8,7,6,13
18,14,16,10,14,17,10,7,14,17,21,19,10,11,11,16,9,13,7,13,5,8,7,11,6,7,6,13,14,12,8,7,7,11,7,7,6
19,13,15,17,10,15,16,10,8,15,18,22,19,10,11,11,16,9,13,7,13,5,8,7,8,6,8,6,12,13,12,5,7,7,9,7,8
20,4,14,15,19,11,15,17,10,7,14,19,21,19,9,11,11,16,9,13,6,13,6,8,6,7,6,7,6,12,13,13,6,7,6,8,7
21,12,4,15,16,19,11,15,17,12,7,16,17,21,18,9,10,10,16,9,14,6,13,6,8,5,7,6,6,6,13,6,13,6,7,6,8
22,9,15,6,16,14,18,11,14,16,10,7,16,15,20,17,11,10,11,16,10,14,6,15,6,8,7,7,8,6,7,14,6,14,6,7,7
23,4,8,12,6,15,14,17,11,14,12,14,6,16,17,21,16,10,9,13,17,9,12,6,14,5,9,6,8,7,6,9,12,6,14,5,8
24,8,5,8,13,6,14,15,17,9,12,12,11,5,13,18,19,17,11,9,13,18,10,12,7,14,5,12,6,7,8,20,10,12,7,14,6
25,10,8,5,8,10,7,15,14,16,10,13,11,13,6,12,17,18,17,12,9,15,20,10,13,7,14,6,11,6,8,15,21,10,13,7,14
26,9,10,9,4,7,10,7,16,16,15,7,13,10,11,5,11,16,16,17,13,9,18,17,10,13,6,14,7,11,7,9,17,18,10,13,6
27,15,9,9,9,5,7,12,7,18,15,15,8,14,11,10,5,10,16,16,17,14,10,17,16,11,12,6,14,8,10,14,10,15,18,11,12
28,7,15,7,9,9,6,7,12,7,17,15,16,9,12,10,10,5,11,16,17,17,14,9,15,17,11,12,5,14,10,18,14,9,13,16,11
29,5,6,14,8,10,8,5,7,12,7,16,15,16,9,11,8,10,3,13,12,18,17,14,9,13,18,11,11,4,14,17,17,13,9,12,17
30,11,4,7,14,8,11,8,6,7,12,9,15,15,16,9,12,8,11,3,11,12,18,16,16,12,13,18,10,13,5,13,17,17,15,12,12
31,9,12,6,6,14,8,10,7,5,7,13,9,15,15,16,9,15,8,10,3,11,11,18,15,16,11,13,17,10,12,11,12,18,15,15,10
32,5,9,12,5,6,14,8,10,8,5,8,13,9,15,14,16,10,15,8,10,3,11,11,18,15,15,11,12,19,10,3,11,12,18,15,13
33,5,5,10,12,5,6,14,7,10,7,5,8,14,9,15,15,16,10,15,8,12,5,11,9,17,17,12,11,12,20,12,4,11,10,16,18
34,10,4,5,11,11,4,6,15,7,9,8,5,9,14,9,15,14,16,10,15,9,14,7,10,10,16,17,11,11,13,9,13,6,10,11,15
35,6,10,4,4,10,12,4,6,15,7,10,8,5,7,14,9,14,13,14,10,13,9,14,8,10,10,13,18,10,9,14,9,13,7,10,11
36,3,7,10,4,4,10,11,4,6,14,8,8,7,5,6,16,8,13,13,13,11,14,8,13,8,10,9,14,18,10,11,15,8,12,7,10
37,8,2,7,10,3,5,11,12,4,6,15,8,8,6,5,7,16,10,13,13,13,11,14,8,13,6,12,10,15,19,13,12,15,8,12,6
38,7,9,2,9,11,4,5,10,11,4,7,14,8,8,6,7,8,15,10,13,13,14,12,14,8,13,7,12,9,14,13,14,13,15,8,12
39,12,7,8,3,8,12,3,6,10,11,4,7,14,8,8,6,7,10,15,10,13,13,15,12,12,8,12,7,12,8,14,13,15,12,13,8
40,14,12,10,8,3,8,11,3,6,10,11,4,7,14,8,8,6,7,11,15,10,13,14,15,13,13,8,10,7,13,10,14,14,15,13,13
41,4,14,12,8,10,2,8,11,3,5,11,11,5,7,14,8,8,6,7,12,15,11,13,15,16,13,13,8,10,7,15,11,14,15,16,13
42,6,3,14,13,8,9,2,7,11,3,6,11,11,5,7,14,8,8,6,7,10,15,11,13,15,17,13,14,8,10,9,15,11,14,15,16
43,11,6,3,15,13,9,9,2,7,11,3,6,11,11,5,7,14,8,8,6,9,10,15,11,15,15,16,13,13,8,9,9,15,11,15,16
44,7,11,7,3,14,14,7,8,3,7,11,3,6,11,11,5,7,14,8,8,7,9,10,16,11,14,14,16,13,12,7,9,9,16,11,14
45,9,7,11,6,3,15,14,7,8,4,7,11,3,6,11,14,5,8,15,7,9,7,9,10,16,11,16,13,15,14,9,7,9,9,16,11
46,9,8,7,11,5,3,14,12,7,8,4,7,11,3,5,11,13,6,8,15,7,9,7,9,10,15,11,16,14,14,7,9,7,9,9,15
47,7,8,7,7,11,5,3,15,12,7,8,5,7,11,3,5,11,13,6,8,15,8,9,7,9,10,15,10,15,14,16,7,9,7,9,9
48,6,7,8,8,7,11,5,4,16,12,6,8,5,7,10,3,5,11,13,6,8,14,8,9,7,9,10,15,10,15,8,15,7,9,7,9
49,8,6,7,9,8,7,11,5,3,14,12,6,8,4,7,10,3,5,11,13,6,8,13,8,9,7,9,10,15,10,5,8,14,7,9,7
