ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,33,27,19,33,20,19,20,28,16,18,23,21,22,31,18,19,19,16,21,20,18,12,22,12,14,23,17,19,15,13,18,14,19,12,14,23
1,30,33,27,21,35,19,19,22,27,16,16,25,20,22,28,19,19,19,16,21,22,17,12,20,12,16,23,16,19,14,22,18,13,16,12,16
2,30,34,33,27,22,34,21,22,20,28,15,14,25,20,24,26,20,19,18,16,20,24,17,12,19,12,18,24,17,19,20,24,18,14,16,12
3,22,26,37,31,27,19,33,20,20,20,19,17,13,26,19,24,26,20,19,18,17,19,27,19,14,21,9,20,22,15,18,19,27,19,16,17
4,35,21,25,34,33,26,23,31,18,20,20,18,17,14,24,19,23,27,19,18,18,18,19,27,22,14,21,9,19,21,18,19,19,25,21,16
5,33,35,23,26,36,36,26,19,32,21,18,20,21,17,15,24,19,25,28,19,17,17,17,19,24,22,16,21,11,19,18,17,17,18,24,21
6,34,33,34,23,29,35,36,27,20,32,20,20,20,23,15,14,24,19,25,27,19,17,15,15,19,24,21,17,19,12,20,18,15,17,19,24
7,28,33,30,34,20,26,34,38,27,20,31,20,20,19,23,15,14,23,19,25,27,19,16,16,14,19,25,23,17,18,27,20,17,16,16,19
8,35,32,32,30,38,20,30,32,35,27,20,31,21,20,20,25,15,15,22,18,26,28,19,16,16,16,21,24,23,16,26,27,20,15,17,17
9,32,30,30,34,30,35,19,28,31,34,26,20,30,23,21,20,25,16,14,22,18,25,30,19,17,18,17,21,24,21,19,25,28,20,16,18
10,32,31,29,30,32,30,34,20,24,33,34,28,20,30,22,21,19,26,16,15,22,18,25,30,19,16,17,18,20,24,21,19,25,28,19,16
