ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,11,12,15,13,9,5,6,6,11,14,8,12,8,13,18,12,7,22,12,8,22,17,34,10,22,21,18,12,27,10,20,17,33,10,22,21
1,5,10,13,13,14,8,9,8,7,12,14,10,12,8,13,17,13,9,21,13,12,22,19,32,10,20,19,20,12,23,11,22,20,31,10,21
2,14,4,10,13,12,14,8,11,8,6,14,15,11,15,9,12,16,12,9,21,12,17,24,16,30,11,22,21,17,10,13,13,23,16,30,11
3,13,15,5,10,13,12,12,9,12,8,6,13,16,11,15,8,12,16,11,10,20,13,17,25,15,29,12,15,20,18,20,13,13,24,16,29
4,13,13,16,4,9,14,13,12,9,12,8,6,13,15,12,16,9,12,17,11,11,21,14,15,25,14,29,10,16,18,11,19,14,10,24,15
5,17,12,10,13,4,7,14,13,12,11,11,8,8,13,14,13,16,9,12,18,11,11,19,14,14,22,13,29,10,18,11,12,18,15,10,21
6,13,17,11,11,12,6,7,15,13,12,12,13,9,8,13,18,13,18,10,11,18,13,11,19,16,13,22,15,28,11,18,12,11,18,17,10
7,16,14,17,9,11,10,6,9,15,13,13,11,14,10,8,14,18,13,19,9,12,16,12,11,21,15,12,20,17,31,12,17,12,12,20,16
8,18,15,14,17,9,11,11,7,9,14,16,14,11,13,10,8,14,18,14,19,11,11,16,13,14,19,13,13,18,19,11,12,16,14,14,18
9,9,19,12,14,17,12,11,9,7,9,15,16,14,12,14,11,8,13,17,16,17,11,11,16,14,14,19,15,12,18,18,11,12,16,15,13
10,17,11,18,13,14,17,11,11,9,7,10,18,16,14,13,14,11,8,13,16,17,19,12,13,16,15,14,17,15,11,18,20,12,13,15,16
11,20,17,11,18,13,13,16,11,11,9,7,9,17,16,15,12,14,10,7,12,16,19,20,12,13,15,14,14,19,16,17,20,19,12,13,15
12,14,19,16,11,19,14,13,16,11,11,9,7,9,19,17,14,12,14,9,7,12,18,18,20,12,13,14,14,15,18,12,18,19,19,12,13
13,14,15,18,17,11,19,14,13,17,11,12,10,7,10,20,16,14,12,15,11,6,14,18,19,20,12,12,15,13,15,8,14,18,20,19,12
14,18,14,14,18,15,11,19,14,13,16,9,13,9,7,10,20,15,15,15,16,11,9,14,16,21,19,11,12,15,13,11,10,14,15,23,18
15,11,18,15,14,18,16,10,20,14,13,16,9,14,9,7,9,20,16,13,15,16,11,10,13,15,20,19,11,11,14,16,11,10,13,14,22
16,14,10,17,14,14,18,16,10,20,14,14,17,9,16,10,8,11,20,16,14,14,16,11,10,14,14,20,19,10,11,14,16,10,10,13,13
17,16,13,11,17,14,14,18,17,11,20,14,17,16,9,16,9,9,11,17,17,14,15,16,11,14,13,14,21,21,9,14,14,16,10,12,13
18,16,16,13,10,18,15,15,20,17,11,22,15,18,16,9,15,9,10,11,17,15,16,16,16,11,12,13,14,20,20,14,14,14,17,11,10
19,12,18,18,13,12,18,15,16,21,18,11,22,15,18,16,9,15,10,11,11,17,13,15,15,15,11,12,15,16,22,16,14,13,16,16,11
20,16,15,18,18,13,11,17,18,18,19,19,11,23,15,17,16,10,14,11,13,13,17,14,16,14,17,11,10,15,16,12,17,16,16,15,18
21,21,17,14,20,19,12,12,19,16,17,20,20,12,21,14,19,17,14,15,12,17,12,17,13,16,13,18,13,15,18,15,12,17,17,16,14
22,17,20,21,14,18,17,13,14,21,18,19,20,20,14,24,16,21,18,16,17,12,15,18,18,12,17,14,19,16,14,13,13,15,19,16,17
23,17,17,19,19,14,17,16,12,15,21,18,18,19,20,20,24,17,19,18,18,22,11,17,19,17,12,20,16,17,14,21,12,16,16,17,16
24,15,18,18,17,18,15,17,15,11,15,23,20,18,17,19,19,24,16,21,20,17,26,13,20,20,15,14,18,16,19,17,24,13,18,19,17
25,21,15,18,19,17,17,16,15,15,16,15,27,20,22,17,22,21,23,18,22,21,16,24,12,18,16,16,17,20,16,22,16,24,13,16,16
26,25,21,15,15,15,16,15,20,16,17,16,17,29,21,24,21,23,21,23,16,24,23,16,24,14,20,18,18,17,19,25,25,16,23,15,17
27,17,25,20,16,14,15,18,14,20,13,16,16,17,31,22,23,19,21,21,24,17,27,21,19,25,14,22,14,18,16,17,26,24,19,24,15
28,8,17,25,20,16,16,18,18,15,20,15,18,15,17,31,19,27,18,19,23,23,19,32,22,22,25,20,28,15,18,23,18,31,24,21,26
29,8,7,17,23,20,16,16,17,16,16,21,16,19,18,16,30,21,30,18,19,24,24,20,37,22,20,29,22,24,17,24,23,20,34,25,19
30,12,8,6,15,24,19,16,15,17,15,19,22,19,20,23,17,26,22,31,22,21,27,20,20,31,25,24,25,21,22,21,26,21,19,28,27
31,22,12,10,6,12,24,19,17,15,17,19,20,18,24,21,22,21,27,24,32,24,24,25,24,16,31,25,23,24,21,26,21,26,23,16,29
32,17,23,13,8,6,12,23,17,19,17,14,20,20,18,24,23,23,23,27,21,28,30,24,24,23,23,31,26,24,25,29,31,22,26,22,23
33,14,17,22,16,11,8,13,23,18,18,17,15,19,21,19,27,24,25,23,25,24,29,29,30,23,24,22,29,28,21,25,29,27,31,26,24
34,17,14,16,22,18,11,9,13,22,18,16,16,13,20,20,19,25,22,25,25,26,26,23,32,31,23,24,21,31,28,26,28,26,30,32,24
35,15,17,12,15,23,16,11,9,14,20,18,20,16,13,19,19,16,27,24,26,26,26,26,21,33,29,25,25,20,31,28,27,29,24,32,28
36,9,16,17,12,14,24,16,12,9,13,23,18,18,15,15,20,18,17,30,26,25,27,28,25,20,29,27,22,26,22,28,29,31,28,23,28
