ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,48,51,47,40,36,38,48,35,45,36,49,44,49,51,34,33,34,40,36,38,49,51,45,50,45,52,56,54,48,52,48,50,45,51,45,51
1,48,47,55,48,40,33,37,50,34,45,32,48,45,52,50,36,36,35,38,41,36,45,49,41,53,42,51,58,50,52,36,46,49,43,54,43
2,49,48,47,49,48,40,33,39,53,35,43,31,48,46,56,49,36,39,32,41,42,41,44,48,42,59,42,52,60,52,42,40,45,49,44,60
3,49,49,46,46,48,44,39,35,37,48,30,39,30,52,46,54,51,37,41,34,44,43,46,45,49,43,60,45,49,60,46,43,44,47,50,44
4,38,51,50,45,46,55,45,40,36,40,46,33,37,29,50,44,54,48,36,45,33,46,50,45,46,50,44,63,44,50,34,47,44,44,48,51
5,50,39,50,50,46,48,52,45,37,33,35,46,34,37,29,51,46,56,50,37,43,37,44,49,48,44,48,46,61,44,43,38,43,47,48,47
6,68,52,37,51,50,44,45,53,49,38,32,40,45,33,37,31,53,45,57,51,38,50,34,43,48,51,45,50,47,59,39,44,36,42,47,52
7,41,72,54,36,51,50,47,44,50,46,36,33,41,45,33,39,30,52,46,57,51,38,49,34,43,49,53,48,50,44,51,39,44,36,42,48
8,73,42,74,50,38,52,50,45,50,54,46,38,32,41,45,34,41,31,52,45,56,51,37,48,34,41,47,54,50,48,54,51,38,45,36,40
9,58,73,40,71,50,40,48,49,49,48,51,46,37,35,43,45,33,43,31,54,46,55,50,41,50,37,42,46,52,52,48,53,50,41,50,39
10,62,62,72,39,68,49,42,51,46,47,45,51,45,39,35,41,44,36,43,32,53,45,56,50,41,50,38,42,46,52,55,46,54,50,41,51
11,46,64,61,73,38,67,49,41,49,48,48,45,52,45,37,35,40,43,35,44,33,56,48,56,47,43,54,37,44,48,33,57,49,54,48,43
12,64,46,64,62,74,39,73,48,39,50,46,49,46,53,45,38,34,39,41,34,46,34,57,47,56,50,43,56,37,44,45,33,58,48,54,50
13,75,67,46,64,61,74,40,69,48,42,50,48,47,47,53,46,38,35,39,42,35,44,35,59,50,55,50,43,55,37,34,44,34,60,50,53
14,69,73,66,47,65,62,74,39,70,49,40,50,48,48,48,53,44,40,35,39,40,38,43,38,57,51,57,50,42,56,41,37,43,37,58,51
15,60,69,76,66,49,68,63,77,41,70,51,41,50,49,48,51,51,42,39,34,38,44,39,45,39,58,50,55,48,41,39,44,38,45,38,59
16,67,59,71,78,66,51,70,64,77,41,71,54,41,49,47,48,53,52,42,39,34,39,43,40,45,40,59,47,56,48,33,39,44,39,46,39
