ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,14,17,16,12,22,15,13,22,11,18,7,17,11,13,18,25,14,32,15,25,26,31,21,37,35,29,31,34,31,24,23,31,21,37,36,29
1,16,13,17,17,13,22,14,12,22,12,16,7,17,11,14,17,25,15,34,17,24,26,34,22,36,40,30,35,30,32,24,25,33,22,37,41
2,24,17,14,17,17,13,22,16,12,20,11,16,5,19,11,15,18,26,15,32,17,22,26,34,24,33,40,36,35,32,17,23,25,35,25,35
3,27,24,16,15,18,17,13,22,16,13,18,11,15,8,17,11,17,19,26,16,31,17,20,29,34,24,33,42,34,32,30,17,21,27,35,25
4,20,26,22,18,14,17,16,12,22,17,12,18,11,15,9,17,12,16,19,25,15,34,23,25,28,35,24,32,38,32,14,32,21,24,27,35
5,26,22,26,23,18,15,18,15,13,21,15,12,18,11,15,8,18,12,18,20,26,19,36,25,23,30,33,27,32,38,25,18,32,23,23,30
6,27,26,21,25,23,17,16,19,16,12,22,14,12,18,12,18,10,22,12,18,20,28,17,36,26,28,31,34,30,32,20,26,17,32,24,27
7,33,27,28,21,25,24,16,14,17,16,12,22,14,14,19,13,20,9,22,11,18,21,31,18,36,28,28,30,32,29,18,21,28,20,35,26
8,37,32,25,29,21,26,24,17,12,18,16,12,22,14,13,21,14,20,10,23,12,19,19,29,19,38,27,29,31,30,10,19,19,28,21,37
9,32,36,33,25,28,23,26,22,17,12,17,16,13,22,14,14,21,13,21,11,22,12,23,22,30,21,39,26,29,31,20,11,21,23,29,23
10,25,30,36,34,25,27,22,26,21,16,13,17,15,13,22,15,15,20,11,23,14,24,12,19,22,33,25,37,25,29,14,22,11,19,23,32
