ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,16,9,17,9,12,6,14,16,13,10,6,18,7,16,20,11,14,12,14,16,10,13,18,12,16,21,18,26,23,21,7,13,19,12,17,21
1,15,15,8,16,9,14,6,13,15,10,10,6,18,8,17,19,9,11,11,15,15,8,11,20,10,16,21,17,26,23,15,6,12,22,11,19
2,19,14,17,10,14,9,16,6,15,15,10,11,6,18,8,15,19,11,11,11,16,15,8,12,19,11,16,20,19,25,14,15,8,12,21,11
3,23,21,14,16,9,15,9,16,7,14,16,10,10,6,19,8,16,18,12,12,11,14,14,9,12,17,12,16,23,22,11,13,14,7,13,19
4,11,23,24,14,16,10,14,10,15,6,12,16,13,10,5,19,7,16,18,12,12,10,15,12,9,13,17,12,14,24,10,11,14,13,7,14
5,23,13,22,22,16,18,12,14,11,15,5,11,16,13,9,6,19,8,14,18,12,14,9,16,15,9,16,18,12,15,10,14,10,15,16,8
6,19,24,14,22,22,14,16,13,14,11,17,5,12,16,13,8,6,20,8,14,20,13,15,10,17,17,9,16,19,9,19,12,14,10,16,17
7,18,21,22,12,22,22,14,16,15,17,11,20,5,12,16,13,9,7,22,8,15,22,12,14,11,17,15,9,16,19,14,23,12,14,11,17
8,23,16,21,23,12,23,22,14,16,15,17,11,19,8,13,17,13,9,9,21,7,15,22,11,13,11,19,15,7,16,6,15,21,11,13,11
9,21,22,16,21,23,14,25,22,15,17,14,18,13,19,8,11,16,13,10,10,21,7,17,22,10,16,10,18,15,8,21,7,17,21,10,16
10,23,19,23,16,22,22,14,25,22,17,17,16,19,13,18,8,12,16,13,11,11,22,8,21,22,10,16,9,18,15,9,21,8,20,20,10
11,19,23,19,24,16,22,23,14,24,22,17,16,16,18,13,19,8,12,16,14,12,8,23,6,21,21,11,14,9,18,12,8,22,6,19,20
12,13,19,24,20,25,17,22,24,17,24,22,17,18,16,17,13,16,8,12,16,14,12,9,22,7,18,21,11,15,10,13,11,9,22,8,17
13,17,15,20,24,18,27,19,22,22,16,23,21,18,18,16,20,13,16,8,13,17,15,12,10,21,9,18,20,9,15,18,14,12,10,21,9
