ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,2,0,0,2,0,0,0,0,0,1,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
1,2,2,0,0,1,1,0,1,0,0,0,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
2,2,3,2,1,0,1,1,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
3,2,3,3,2,1,0,2,1,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,0,1,2,3,2,0,0,2,1,0,1,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,3,3,1,0,0,1,1,1,1,0,1,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,1,0,1,3,3,1,0,0,0,1,1,1,0,1,0,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,1,1,0,1,3,3,1,0,0,1,1,1,1,0,1,0,1,1,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
8,0,0,0,1,0,1,2,2,1,1,1,1,1,1,1,0,1,0,1,1,3,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0
9,1,0,0,0,1,0,1,2,2,1,1,1,1,1,1,1,0,1,0,1,1,4,2,0,0,0,0,0,0,0,1,4,2,0,0,0
10,2,0,0,0,0,1,0,1,1,2,1,1,1,1,1,1,0,0,1,0,1,1,4,2,0,0,0,0,0,0,1,1,3,2,0,0
11,2,2,0,0,0,0,1,0,0,1,2,1,1,1,1,1,1,0,0,1,0,1,1,4,2,0,0,0,0,0,0,1,1,3,2,0
12,0,2,2,0,0,0,0,0,0,0,1,2,1,0,1,1,1,1,0,0,1,0,1,1,4,2,0,0,0,0,1,0,1,1,3,1
13,1,0,2,3,0,0,0,0,0,0,1,1,2,1,1,0,1,1,1,0,0,1,0,1,2,4,2,0,0,0,0,1,0,1,2,4
14,1,2,0,2,3,0,0,0,0,0,0,3,1,2,0,1,0,1,1,1,0,0,1,0,1,2,3,2,0,0,0,0,1,0,1,2
15,0,1,2,0,2,3,0,0,0,0,0,1,3,1,2,0,1,0,1,1,1,0,0,1,0,1,2,3,2,0,1,0,0,1,0,1
16,1,0,1,2,0,2,3,0,0,0,1,0,1,3,2,2,0,1,0,1,1,1,0,0,1,0,1,1,3,2,1,1,0,0,1,0
17,0,0,0,1,2,0,2,3,0,0,0,1,0,1,3,2,2,0,1,0,3,1,1,0,0,1,0,1,1,3,3,1,1,0,0,1
18,1,0,0,0,1,2,0,2,2,0,0,0,2,0,1,3,2,1,0,1,0,3,1,1,0,0,1,0,1,1,0,4,1,1,0,0
19,1,1,0,0,1,1,1,0,1,2,0,0,0,2,0,1,3,2,1,0,0,0,3,1,1,1,0,1,0,1,0,0,3,1,1,1
20,0,0,1,1,0,1,1,0,0,1,4,0,0,0,2,0,1,3,2,1,1,0,0,3,1,1,1,0,1,0,0,0,0,3,1,1
21,2,1,0,1,0,0,2,1,0,0,2,4,0,0,0,2,0,1,2,2,1,1,0,0,3,1,1,1,0,1,1,0,0,0,2,1
22,2,2,0,0,0,0,1,1,1,0,2,2,4,0,0,0,2,0,1,1,1,1,1,0,0,2,1,1,1,0,1,1,2,0,0,2
23,0,3,2,1,0,0,0,1,1,1,1,2,2,2,0,0,0,2,0,1,1,1,1,1,0,0,2,2,1,1,1,1,1,2,0,0
24,0,0,4,2,1,0,0,0,1,1,2,1,3,3,2,0,0,0,2,0,1,1,1,1,0,0,0,2,2,1,1,1,1,1,1,0
25,0,0,0,4,1,1,0,0,0,1,2,2,1,4,3,2,0,0,0,1,0,1,1,1,1,0,0,0,2,2,0,1,1,1,1,2
26,0,0,0,0,3,1,1,0,0,0,2,5,2,2,4,3,3,0,0,0,1,0,1,1,1,1,0,0,0,2,1,0,1,1,1,1
27,1,0,0,0,0,3,2,1,0,0,1,2,5,1,2,4,3,3,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1
28,1,1,0,0,0,0,3,2,2,0,0,1,1,4,2,1,3,2,2,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1
29,1,0,1,0,0,0,0,2,1,2,0,0,1,1,3,2,1,3,2,2,0,0,0,1,0,2,1,1,1,0,0,0,0,1,0,2
30,1,1,0,1,0,0,0,0,2,1,2,0,0,1,1,5,2,1,1,2,2,0,0,0,1,0,3,1,1,1,2,0,0,0,1,0
31,0,1,1,0,1,0,0,0,0,1,2,2,0,0,1,0,4,2,1,2,2,2,2,0,0,1,0,2,1,1,1,2,1,0,0,1
32,0,0,2,1,0,2,0,0,0,0,1,2,2,0,0,1,0,3,2,2,1,1,2,2,0,1,2,0,2,0,2,1,2,1,0,1
33,1,0,0,2,1,0,2,0,0,0,0,1,1,2,1,0,1,1,2,1,1,1,1,2,2,0,1,1,1,1,2,2,1,2,1,0
34,0,0,0,1,1,1,0,2,0,0,0,0,1,1,2,1,0,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,2,1,1,1
35,3,0,0,0,1,1,1,0,2,0,0,0,0,1,0,2,1,0,1,0,1,1,2,1,2,1,1,1,0,1,1,1,2,2,2,1
36,0,3,0,0,0,1,1,1,0,1,0,0,0,0,0,1,2,1,0,1,3,1,1,2,1,2,1,1,1,0,3,1,1,2,2,2
37,3,0,2,1,0,0,2,1,1,0,2,0,0,0,0,0,1,2,0,0,1,3,1,1,1,1,2,1,1,1,1,4,1,1,1,2
38,0,2,0,3,1,0,0,2,1,1,1,2,0,0,0,1,1,1,2,0,0,1,2,1,1,1,2,2,1,0,0,1,2,1,1,1
39,3,0,2,0,3,1,0,0,2,1,2,1,2,0,0,0,1,0,1,2,0,0,1,2,0,1,1,2,2,1,0,0,1,2,0,1
40,0,3,0,2,0,3,0,0,0,2,1,2,1,2,1,0,0,1,0,1,2,0,0,1,1,0,1,1,2,1,2,0,0,1,1,0
41,0,0,3,0,2,0,3,0,0,0,2,1,2,1,2,1,0,0,1,2,1,2,0,0,1,1,0,1,1,2,1,2,0,0,1,1
42,0,0,0,3,0,2,0,3,0,0,0,2,1,2,1,2,1,0,1,0,3,1,2,0,0,1,1,0,1,1,3,1,2,0,0,1
43,1,0,0,0,3,0,2,0,2,0,1,0,2,1,2,1,2,1,0,1,0,3,1,2,0,0,1,1,0,1,0,3,1,2,0,0
44,1,1,0,0,0,3,0,2,0,2,1,1,0,1,1,2,1,2,1,0,1,0,3,1,2,0,0,0,1,0,1,0,3,1,2,0
45,0,1,1,0,0,0,3,0,2,0,2,1,1,0,1,1,2,1,2,1,0,1,0,3,1,2,0,0,0,1,0,1,0,3,1,2
46,0,0,1,1,0,0,0,2,0,2,0,2,2,1,0,1,1,2,1,2,1,0,0,0,3,1,2,0,0,0,1,0,0,0,3,1
47,0,0,0,1,1,0,0,0,2,0,4,0,2,2,1,0,1,1,2,1,1,1,0,0,0,3,1,2,0,1,2,1,0,0,0,3
48,0,0,0,0,1,1,0,0,0,2,0,4,0,2,2,1,0,1,1,2,1,1,2,0,1,0,3,1,2,0,1,1,2,0,1,0
49,0,0,0,0,0,1,1,0,0,0,3,0,4,0,2,1,1,0,1,1,2,1,2,1,1,1,0,3,1,2,2,1,2,1,1,1
50,1,0,1,1,0,0,1,1,0,0,1,3,0,4,0,2,1,1,0,2,1,2,1,2,1,1,1,0,4,1,1,2,1,2,1,1
51,2,0,0,0,0,0,0,2,1,0,0,1,3,0,4,0,2,1,1,0,3,1,3,1,2,1,0,0,1,4,3,1,3,1,2,1
52,1,3,0,0,0,0,0,0,1,1,0,0,1,3,0,4,0,2,1,1,0,3,1,3,2,2,1,0,0,1,0,3,1,3,2,2
53,0,1,2,0,0,1,0,0,0,1,1,0,0,0,3,0,4,0,2,1,1,0,2,1,2,3,2,1,0,0,1,0,2,1,2,3
54,1,0,1,3,0,0,0,0,1,0,2,1,0,0,0,3,0,4,0,2,1,1,0,2,1,2,5,2,2,0,1,1,0,2,1,2
55,1,1,0,1,2,1,0,1,0,0,0,3,1,0,0,0,3,0,3,0,2,1,1,0,2,1,3,5,2,2,2,1,1,0,2,1
56,2,2,1,1,1,2,0,0,0,0,1,0,3,1,0,0,0,3,0,3,0,3,1,1,0,2,1,3,4,2,0,2,1,1,0,2
57,1,2,2,1,1,1,2,0,0,0,0,1,0,3,1,0,0,0,3,0,3,0,3,1,1,1,2,1,3,4,3,0,3,1,1,1
58,1,1,2,2,1,0,1,2,0,0,1,0,1,0,3,1,0,0,0,3,0,3,0,3,1,1,1,2,1,3,0,3,0,3,1,1
59,1,0,1,2,2,1,0,1,2,0,0,1,0,2,0,3,1,0,0,0,2,0,3,0,3,1,1,1,2,1,2,0,3,0,3,1
60,2,0,0,1,2,2,0,0,1,2,0,0,1,0,2,0,3,1,0,0,0,2,0,3,0,3,1,1,1,2,0,2,0,3,0,3
61,0,2,0,0,1,2,2,0,0,1,3,0,0,1,0,2,0,2,1,0,0,0,2,0,3,0,3,1,1,1,0,0,2,0,3,0
62,0,0,2,0,0,1,2,2,0,0,1,3,0,0,0,0,2,0,2,1,0,0,0,2,0,3,0,3,1,1,0,0,0,2,0,3
63,0,0,0,2,1,0,1,2,2,0,0,1,3,0,0,0,0,2,0,1,1,0,0,0,2,0,3,0,3,1,1,0,0,0,2,0
64,0,0,0,0,2,1,0,1,2,2,0,0,1,3,0,0,0,1,2,0,1,1,0,0,0,2,0,3,0,3,1,1,0,0,0,2
65,1,0,0,0,0,1,1,0,1,2,2,0,0,1,3,0,0,0,1,2,0,1,1,0,0,0,2,0,3,0,0,0,1,0,0,0
66,3,2,0,0,0,0,1,1,0,1,2,2,0,0,1,3,0,0,0,1,2,0,2,1,0,0,1,2,0,3,2,0,1,1,0,0
67,0,2,2,0,0,0,0,1,1,0,1,2,2,1,0,1,3,0,0,0,1,2,0,2,1,0,0,1,2,0,1,2,0,1,1,0
68,4,0,2,2,0,0,0,0,1,1,1,1,2,2,1,0,1,3,0,0,0,1,2,0,2,1,0,0,1,2,0,1,2,0,1,1
69,1,3,0,2,2,0,0,0,0,1,2,1,1,2,2,1,1,1,3,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0
70,1,2,3,0,2,2,0,0,0,1,2,2,1,1,2,2,1,1,1,3,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0
71,3,1,2,3,0,2,2,0,0,0,0,2,2,1,1,2,1,2,1,1,3,0,0,0,1,1,0,1,1,0,3,0,0,0,1,1
72,2,3,1,2,3,0,2,2,0,0,0,0,2,2,1,1,2,1,2,1,1,4,0,0,0,1,1,0,1,1,1,4,0,0,0,1
73,2,2,3,1,2,3,0,2,2,0,0,0,0,2,2,1,1,2,1,1,1,1,4,0,0,0,1,1,0,1,1,1,3,0,0,0
