ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,27,23,22,24,19,29,23,35,22,21,35,37,31,22,26,19,23,31,25,16,22,20,18,21,21,19,16,19,26,21,22,21,19,19,22,18
1,27,29,24,21,26,18,31,23,36,23,19,34,38,30,22,24,20,23,31,26,15,24,19,19,22,20,18,15,22,27,17,24,21,19,19,21
2,31,29,30,23,21,26,22,29,21,33,18,20,34,39,30,23,24,20,25,30,26,15,23,21,19,24,20,18,16,24,25,17,22,22,18,21
3,19,29,26,30,22,21,25,23,29,21,33,16,19,33,40,27,22,23,19,25,30,27,17,23,22,19,26,20,18,17,30,26,18,22,22,17
4,16,18,29,29,28,23,21,25,22,29,24,35,16,19,35,39,26,22,22,19,26,29,26,16,23,19,19,26,22,18,24,29,26,17,22,20
5,36,18,22,28,29,28,23,20,25,25,29,24,33,19,20,37,37,26,22,21,19,24,29,25,18,24,18,20,28,23,20,23,29,26,18,24
6,29,37,18,23,29,29,30,23,19,24,23,29,24,33,19,21,38,35,25,18,22,19,24,30,25,17,24,18,20,30,18,23,23,31,25,16
7,35,29,35,18,24,27,30,28,23,20,24,22,30,22,33,20,20,37,34,24,17,19,18,24,30,22,17,25,18,21,18,16,20,23,30,23
8,34,36,28,34,18,28,29,28,28,24,22,25,22,28,22,32,22,21,37,30,23,17,19,18,25,32,24,17,26,18,25,17,16,20,24,32
9,38,35,35,26,34,19,29,29,31,28,23,23,26,22,28,21,32,24,23,36,30,24,19,19,18,24,32,27,17,27,29,26,18,16,20,24
10,32,37,35,35,26,33,19,29,31,30,29,24,24,26,23,28,23,32,24,24,36,31,23,18,19,18,26,31,24,18,35,31,25,17,16,20
11,40,31,35,35,34,31,34,18,30,32,30,27,24,24,26,23,28,22,32,23,25,33,31,23,17,19,20,27,30,25,21,34,32,24,17,16
12,27,42,30,38,34,33,29,30,20,33,36,31,28,22,24,26,23,28,19,32,24,24,33,30,22,17,19,20,26,31,25,21,34,32,24,17
13,28,27,40,28,35,35,34,30,32,20,31,36,31,27,23,26,28,23,28,19,32,23,25,33,30,22,17,20,20,25,33,25,21,34,32,24
14,40,31,28,38,28,36,33,33,30,32,17,30,37,31,28,24,27,27,21,28,19,33,24,26,33,32,24,18,20,23,22,35,26,23,36,35
15,37,40,31,30,38,27,33,32,32,29,33,17,31,35,30,28,25,28,28,21,29,18,32,24,26,33,32,27,17,19,29,22,35,26,23,36
16,29,38,43,31,28,37,26,34,33,33,29,33,17,32,36,30,28,25,29,29,20,28,19,32,25,25,33,32,27,18,22,29,22,37,27,23
17,30,29,39,40,33,27,38,24,34,35,34,29,33,17,32,38,30,30,25,29,29,21,28,19,33,25,25,35,32,27,29,23,29,22,37,28
18,42,33,29,40,41,30,29,37,25,34,36,33,29,33,19,32,38,29,30,26,31,30,22,28,19,32,24,23,34,33,30,30,24,29,23,37
19,38,43,32,30,42,39,30,27,41,25,35,38,35,30,34,18,32,36,29,30,25,31,29,26,28,19,33,25,23,36,23,31,29,27,27,22
20,36,39,39,30,30,41,38,29,29,41,25,39,36,34,29,32,19,32,35,31,30,26,29,32,27,27,22,37,24,24,31,27,28,29,28,27
21,33,37,36,39,32,29,39,40,28,28,42,24,37,41,34,31,31,22,33,37,28,29,25,28,32,29,26,25,35,24,28,31,28,27,29,29
22,32,37,39,34,38,34,28,37,39,25,26,41,25,37,43,36,31,30,24,33,40,28,31,25,31,29,29,23,27,35,37,29,33,27,31,27
23,28,30,37,40,32,36,35,29,40,35,27,27,41,22,40,43,36,32,27,23,33,41,27,30,24,28,32,28,27,29,30,38,26,34,25,29
24,27,27,30,38,39,31,34,33,27,39,32,26,27,42,24,40,41,37,33,24,24,30,40,27,30,24,27,36,31,28,24,30,41,31,34,26
25,24,27,29,32,37,36,30,33,31,29,37,32,26,23,40,26,37,41,37,32,24,23,32,37,27,29,25,28,34,31,25,27,31,40,33,34
26,23,25,30,28,33,34,35,26,34,33,32,38,33,26,21,34,29,40,41,38,32,23,23,35,36,26,28,24,30,33,30,25,26,36,41,29
27,20,25,23,30,26,30,34,37,24,33,33,34,37,32,26,21,35,29,37,40,38,30,22,24,36,36,27,29,26,29,36,30,25,28,38,41
28,27,20,24,23,27,25,35,35,37,22,34,37,34,38,33,24,24,37,31,36,40,36,29,22,27,36,33,31,33,26,42,38,27,23,27,39
29,25,26,20,23,22,27,26,34,36,37,23,38,38,34,39,37,23,25,38,32,34,39,36,31,23,27,34,34,32,34,35,39,39,31,23,27
30,20,28,25,20,23,23,28,24,35,35,37,24,35,35,35,38,37,21,26,37,33,34,43,37,35,24,34,32,35,30,33,34,42,39,33,24
31,30,21,25,26,21,23,24,27,26,38,34,34,26,37,32,32,38,35,22,26,35,38,35,44,38,32,24,33,35,34,35,32,35,43,39,31
32,27,30,23,26,25,22,22,26,23,26,38,33,31,27,38,31,32,39,36,22,25,36,40,36,41,37,33,22,31,34,25,34,33,37,43,41
33,32,26,28,22,25,24,21,21,26,26,25,36,32,31,28,36,31,32,36,37,20,25,35,37,36,40,39,32,28,35,21,25,35,35,36,44
34,23,32,27,28,22,27,25,19,22,29,28,27,36,33,31,29,36,34,32,34,35,21,26,34,36,37,39,41,36,28,35,21,27,39,39,39
35,22,26,33,30,29,21,27,26,18,23,28,27,26,35,33,28,29,38,34,31,34,36,25,29,36,35,39,35,44,35,35,36,24,30,40,38
