ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,13,8,7,15,14,20,12,19,16,17,11,17,15,14,16,25,9,20,23,21,21,17,25,21,20,19,22,23,18,19,21,17,25,20,20,19
1,16,14,9,10,15,13,19,13,19,16,15,10,18,17,17,16,25,8,24,20,23,21,19,28,21,16,23,23,25,18,23,21,18,28,21,17
2,25,16,13,11,8,14,12,18,11,17,17,15,9,19,16,20,17,23,10,23,17,23,22,19,27,17,14,24,24,25,18,23,22,17,28,19
3,7,26,15,13,10,8,14,13,21,12,17,16,15,10,20,18,22,17,22,9,22,17,27,25,17,27,17,16,27,20,22,17,24,24,15,27
4,21,7,22,16,11,12,6,15,14,19,10,17,13,15,12,18,19,23,18,21,9,23,19,25,25,16,27,18,18,28,10,22,17,23,23,15
5,19,21,6,22,19,12,9,6,14,12,16,9,17,12,14,10,17,20,25,17,20,8,23,19,21,23,15,27,21,17,21,9,23,17,19,22
6,28,16,20,7,20,18,12,11,5,14,13,16,8,17,13,16,12,18,19,24,16,23,6,23,19,19,22,15,27,22,16,24,7,22,17,18
7,27,26,16,22,6,21,17,12,12,5,13,13,14,7,17,12,16,12,18,18,19,16,24,6,25,20,20,23,15,27,19,16,25,8,24,18
8,28,25,28,15,18,4,22,20,15,12,6,13,11,16,10,17,11,15,13,18,18,17,20,24,6,24,19,18,22,15,18,17,19,25,8,23
9,29,27,25,27,16,18,6,19,18,14,15,6,10,11,17,11,17,12,14,13,17,19,18,20,21,6,21,19,15,23,17,19,19,19,23,8
10,22,29,26,25,27,15,17,4,19,19,16,15,7,11,12,17,12,18,13,16,14,18,18,19,19,22,6,21,16,16,12,18,18,20,18,23
11,21,21,28,25,25,28,17,14,5,17,18,16,16,7,12,11,17,13,18,12,16,14,17,19,19,19,23,7,21,15,17,11,17,18,20,18
12,19,21,20,29,26,27,30,18,14,5,17,18,14,15,9,12,12,17,15,19,13,17,14,18,19,18,18,21,10,22,13,17,11,19,17,19
13,25,21,20,20,29,25,25,29,20,14,5,17,20,13,15,9,11,12,18,16,18,13,17,14,18,20,17,17,23,12,18,13,17,11,19,18
14,17,24,19,20,22,30,24,25,30,19,15,7,16,20,14,15,9,10,12,18,15,18,13,16,14,18,20,18,14,27,15,18,13,16,11,19
15,27,17,24,19,21,21,31,26,25,30,21,15,7,16,20,13,15,8,10,12,17,15,18,13,17,14,18,21,20,14,17,15,18,13,16,11
16,20,28,18,25,19,22,22,30,29,26,29,18,15,8,16,18,13,14,9,9,12,17,15,19,12,17,13,18,21,20,12,17,15,19,12,17
17,20,19,27,17,25,19,22,23,30,27,28,29,18,15,8,16,18,13,14,9,10,11,17,17,19,11,17,13,18,21,11,11,17,17,19,11
18,20,19,19,28,19,26,19,21,24,30,26,27,29,17,16,8,16,19,15,15,10,10,11,17,17,18,11,20,15,19,10,10,11,17,17,18
19,12,19,19,22,28,17,25,19,20,25,31,24,26,30,21,15,8,16,18,15,16,13,13,13,18,15,18,12,18,12,16,12,12,14,18,15
20,20,13,19,22,23,27,20,25,20,21,26,32,25,26,33,22,15,8,16,17,16,15,20,15,14,20,17,19,15,18,16,15,12,14,13,20
21,15,21,13,25,24,23,29,17,24,21,22,26,34,27,27,34,22,14,8,16,16,15,16,22,15,11,19,18,17,18,16,17,17,21,13,12
22,16,15,21,13,23,26,22,31,18,22,20,22,27,34,27,28,33,23,15,8,18,17,15,15,19,16,10,21,19,18,18,17,17,17,20,14
23,23,18,17,21,17,25,27,21,33,19,27,24,25,23,36,29,30,36,25,15,8,16,18,16,12,18,16,9,21,23,8,18,18,20,15,19
24,18,24,16,20,21,18,23,28,22,32,15,33,25,28,26,36,32,28,39,24,18,12,20,17,16,9,22,15,11,24,19,11,21,17,19,14
25,14,15,23,18,19,18,21,23,27,23,33,20,35,22,27,27,39,32,28,39,26,18,14,19,17,17,12,24,14,15,26,18,11,20,18,19
26,16,14,15,21,18,17,25,22,28,29,26,33,18,40,27,28,30,39,29,30,37,28,18,13,20,20,19,14,24,17,37,28,19,11,21,20
27,21,20,16,18,23,19,17,27,23,24,31,25,36,22,42,27,30,33,40,28,29,39,31,20,13,19,24,20,16,23,28,40,32,19,11,21
28,23,23,20,18,18,24,18,18,27,24,27,34,28,38,21,42,26,31,34,43,29,32,36,32,23,17,22,27,24,15,28,30,38,32,21,14
29,17,22,23,18,18,19,29,20,18,27,24,26,30,32,37,25,43,28,33,34,39,31,31,38,36,22,20,23,30,28,38,30,29,39,35,21
30,29,22,25,23,21,18,20,28,20,19,27,23,30,29,31,35,30,41,28,36,36,41,36,32,37,36,27,21,25,29,37,42,35,32,36,36
31,32,27,22,24,21,18,23,22,28,21,19,27,23,31,32,30,34,29,38,29,34,36,41,32,31,36,41,25,22,27,36,36,41,31,30,36
32,25,32,25,21,23,22,16,20,22,26,20,20,25,22,31,29,30,34,31,38,33,34,37,38,31,31,36,38,24,21,31,38,38,40,31,32
33,18,25,31,25,21,23,22,17,21,23,27,20,19,23,23,33,28,31,36,31,38,34,34,36,35,30,30,36,43,21,38,32,37,34,36,31
34,24,19,25,29,27,22,23,23,20,24,26,29,22,20,23,25,39,27,29,35,33,36,36,36,36,33,34,30,34,38,32,37,35,38,34,35
35,23,23,21,28,27,28,23,22,26,19,21,25,24,25,20,23,25,39,27,31,34,32,40,34,34,31,35,32,33,38,36,32,40,32,39,31
36,20,21,24,20,28,28,26,21,24,23,22,21,26,24,27,20,24,25,37,29,32,35,35,37,30,34,32,34,31,33,33,35,35,37,27,37
37,18,20,18,25,23,28,26,25,22,23,23,23,21,26,24,27,18,23,28,33,29,33,37,35,43,29,33,35,38,32,28,34,39,34,42,27
38,21,17,21,18,24,22,28,26,24,23,23,23,21,20,26,24,26,18,25,29,30,27,29,36,37,42,26,31,38,38,30,28,32,37,37,40
39,21,22,18,20,19,23,25,28,27,25,24,23,26,19,21,23,24,25,21,26,29,28,26,32,36,36,36,26,32,39,28,27,27,34,38,36
40,16,19,19,18,21,19,24,25,28,27,23,22,24,24,19,20,22,24,26,21,25,32,29,25,33,36,32,36,28,31,23,31,28,26,35,38
41,22,16,21,20,20,20,20,24,25,24,27,23,19,23,22,21,20,21,25,26,21,25,31,27,25,33,33,34,33,27,20,23,30,27,26,35
42,22,20,16,19,22,18,19,19,22,25,26,29,22,19,25,22,19,21,22,25,25,21,23,32,26,27,35,35,34,32,26,20,22,31,26,28
43,24,23,20,15,20,21,18,22,20,22,24,25,28,22,20,25,22,19,20,22,23,25,20,22,32,26,30,33,34,33,22,25,19,21,32,26
44,22,22,23,20,15,19,22,17,22,19,23,24,25,26,23,20,25,22,22,20,24,21,24,21,20,33,26,29,32,34,24,20,25,20,20,33
45,22,21,22,22,20,15,19,21,17,24,20,23,23,26,26,23,21,25,21,26,19,23,23,24,20,21,33,26,31,31,21,23,22,25,19,21
