ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,6,9,10,7,2,3,8,3,1,6,3,4,3,9,5,1,2,3,3,2,3,6,2,4,4,7,4,1,3,4,3,6,3,4,4,6
1,4,6,7,10,6,3,3,7,3,1,5,3,4,3,9,6,1,1,3,4,2,4,6,2,4,4,7,4,2,3,2,2,6,3,4,4
2,7,4,6,7,10,6,3,3,6,3,2,5,3,4,3,9,5,1,1,3,4,3,4,6,2,5,5,6,3,2,4,3,3,6,2,5
3,8,7,5,6,8,9,4,4,2,5,2,2,5,3,4,4,9,3,1,2,3,5,3,3,6,2,4,6,6,2,3,5,3,3,6,2
4,5,8,7,5,6,8,9,4,3,3,5,2,1,5,3,4,4,8,1,1,2,3,4,2,3,6,2,4,6,6,2,3,4,2,3,6
5,4,5,9,8,4,6,8,9,4,3,3,5,2,1,5,3,4,3,8,1,1,2,2,4,2,3,6,2,5,5,1,2,3,4,2,3
6,9,2,5,11,8,4,6,8,9,4,4,3,5,1,1,5,3,3,3,7,1,1,2,2,4,2,3,7,2,5,1,1,2,3,4,2
7,8,9,2,5,10,8,3,6,8,10,2,4,3,5,1,1,5,3,3,3,7,1,3,2,None,4,4,3,8,2,7,1,2,2,1,4
8,11,9,9,2,5,9,8,3,6,8,9,2,4,4,5,1,1,5,3,3,3,7,1,3,2,None,4,5,3,8,3,7,1,2,2,1
9,6,11,9,8,2,5,9,8,3,6,7,9,3,4,3,3,1,1,5,3,3,3,6,1,3,2,None,4,5,3,3,3,7,1,2,2
10,6,6,13,10,8,2,5,8,8,3,6,7,9,3,4,3,3,4,1,5,3,3,3,6,1,3,2,None,4,5,3,3,3,7,1,2
