ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,33,40,45,41,40,40,40,38,41,29,25,38,23,39,18,33,26,36,33,28,33,36,38,28,42,35,41,32,36,33,32,37,37,31,42,34
1,36,38,39,42,41,38,41,41,37,42,28,28,39,23,40,20,34,28,37,34,29,34,40,36,29,44,34,39,33,39,27,35,41,37,32,43
2,34,38,35,37,38,41,36,41,40,38,41,27,30,37,26,39,23,33,29,35,35,32,34,41,35,33,43,33,37,34,37,29,35,42,37,36
3,34,35,39,36,37,39,43,37,41,42,37,41,24,31,35,26,39,25,33,30,35,34,34,35,45,38,34,42,35,36,37,36,30,35,45,38
4,46,34,35,39,35,38,40,43,36,40,42,37,42,26,31,34,26,39,26,35,30,36,36,34,35,46,39,33,42,36,30,38,37,30,34,47
5,46,49,34,34,41,35,37,38,43,36,38,42,39,40,26,30,34,30,40,28,35,31,36,40,34,37,47,39,35,42,33,31,38,40,30,36
6,51,46,48,34,32,38,33,38,38,44,33,41,41,39,39,25,32,34,30,38,28,38,32,36,41,33,39,48,40,35,26,36,32,38,42,28
7,61,52,45,47,36,31,38,32,39,40,43,31,40,43,41,38,26,32,32,30,37,28,38,33,37,40,35,40,43,39,38,26,36,33,39,42
8,50,60,52,43,46,37,30,37,34,41,40,45,30,41,43,41,39,27,34,31,29,36,29,39,33,38,39,35,37,42,29,36,27,38,33,39
9,40,52,62,54,43,46,36,30,39,33,41,40,45,30,40,45,41,38,29,36,30,30,38,31,38,33,41,40,35,38,30,29,38,29,37,34
10,48,42,53,63,53,43,46,35,30,37,32,42,39,45,29,39,45,42,39,30,36,28,31,40,34,38,35,42,40,31,35,33,29,38,32,38
11,46,50,42,54,63,58,43,45,35,30,37,31,43,38,47,29,40,44,42,42,32,37,29,31,40,33,37,34,42,41,32,36,33,29,39,32
12,59,47,51,41,54,64,57,41,45,34,29,38,31,44,38,46,29,41,43,44,42,31,38,28,31,39,34,37,33,41,42,30,37,32,31,38
13,52,57,47,50,42,54,62,56,43,44,36,29,39,30,45,38,47,29,40,41,45,43,31,38,27,33,39,33,38,33,45,43,30,37,31,33
14,56,52,58,47,51,41,54,62,56,42,43,36,30,39,30,45,39,47,27,38,40,47,46,34,38,29,35,39,31,38,41,47,45,33,36,32
15,51,57,52,56,48,51,41,54,62,57,42,44,33,30,39,30,45,40,47,27,39,40,46,48,34,38,31,33,39,30,40,41,47,47,33,37
16,54,52,57,53,56,48,51,42,54,61,53,42,44,33,30,38,30,45,40,47,30,39,41,47,49,36,38,32,36,37,30,41,41,48,48,35
17,33,55,53,59,52,54,48,52,42,55,60,53,43,44,33,30,38,30,45,41,49,31,41,45,44,49,37,36,34,36,48,31,43,44,45,48
18,62,32,53,53,59,53,54,48,53,42,53,58,54,43,45,35,30,38,29,45,40,49,33,41,47,47,51,36,35,35,41,48,34,44,47,48
19,44,61,30,54,54,56,52,53,49,52,42,51,58,54,44,46,35,31,38,30,45,40,49,33,43,45,51,50,36,36,45,41,48,34,46,45
20,48,47,63,35,53,52,59,54,57,50,53,48,52,60,57,45,47,35,31,38,31,43,43,51,34,45,52,47,50,36,32,44,42,50,35,47
21,55,45,52,60,36,54,51,60,54,58,49,53,47,55,59,63,48,50,35,31,38,32,45,47,52,33,49,52,48,48,38,33,47,45,51,34
22,54,55,45,53,60,36,54,54,54,49,57,50,55,48,55,61,63,48,47,37,33,40,34,47,48,54,35,44,55,50,33,39,35,50,46,53
