ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,2421,2829,2668,2749,2584,2369,2259,2370,2342,2089,1924,2192,2058,2033,1890,1757,1718,1669,1533,1549,1454,1437,1654,1504,1465,1410,1465,1411,1361,1283,1462,1438,1682,1492,1423,1355
1,2654,2392,2798,2584,2656,2475,2267,2174,2210,2179,1832,1922,2143,2025,1955,1818,1687,1608,1593,1519,1427,1405,1419,1632,1470,1426,1366,1421,1402,1326,1426,1445,1425,1597,1535,1401
2,2647,2650,2384,2674,2481,2531,2363,2153,2091,2064,1952,1829,1880,2117,1969,1912,1739,1619,1585,1530,1520,1428,1398,1419,1629,1445,1406,1320,1406,1363,1518,1402,1432,1408,1619,1538
3,2825,2626,2597,2322,2626,2349,2416,2277,2075,1998,1886,1941,1828,1868,2042,1915,1888,1676,1580,1521,1487,1491,1432,1402,1425,1605,1445,1384,1302,1379,1488,1490,1391,1419,1394,1619
4,2773,2810,2620,2544,2308,2494,2239,2317,2163,1990,1875,1864,1907,1832,1824,2002,1895,1846,1635,1526,1467,1481,1482,1450,1412,1411,1560,1427,1381,1277,1470,1462,1481,1382,1407,1383
5,2985,2776,2803,2544,2514,2232,2422,2154,2226,2093,1852,1875,1850,1903,1788,1808,1942,1843,1810,1576,1487,1436,1471,1499,1449,1407,1405,1532,1421,1383,1489,1448,1457,1474,1373,1397
6,3031,2963,2749,2712,2487,2441,2210,2334,2064,2147,2004,1839,1860,1850,1872,1806,1831,1894,1797,1766,1530,1477,1448,1468,1488,1431,1391,1401,1522,1409,1530,1471,1446,1453,1468,1364
7,3157,3052,2920,2689,2681,2415,2409,2217,2260,2011,2054,1997,1826,1862,1830,1880,1848,1834,1854,1735,1749,1510,1469,1454,1466,1464,1404,1391,1414,1502,1741,1517,1472,1445,1450,1460
8,3137,3162,3044,2850,2675,2635,2359,2403,2179,2209,1930,2023,1985,1830,1824,1839,1899,1859,1837,1793,1694,1741,1505,1489,1459,1460,1443,1392,1402,1411,1689,1731,1520,1472,1445,1442
9,3140,3149,3173,2998,2803,2619,2586,2305,2352,2157,2113,1903,2003,1988,1821,1810,1861,1892,1854,1832,1770,1682,1729,1512,1490,1469,1450,1441,1407,1404,1761,1683,1737,1521,1474,1438
10,3267,3119,3140,3090,2974,2726,2585,2556,2267,2333,2111,2101,1894,1981,1977,1827,1822,1860,1901,1846,1834,1749,1669,1720,1500,1493,1466,1441,1434,1408,1829,1757,1689,1739,1525,1467
11,3314,3271,3130,3095,3069,2885,2702,2560,2531,2244,2271,2102,2094,1887,1946,1993,1853,1831,1865,1885,1868,1808,1746,1659,1713,1492,1493,1463,1445,1439,1867,1826,1763,1690,1745,1518
