ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,11,10,11,12,12,11,17,10,16,14,13,9,14,18,6,6,9,14,10,17,16,20,15,20,12,20,20,36,24,28,15,20,14,21,13,20
1,10,10,9,11,10,13,11,16,11,16,13,14,8,15,17,6,8,10,13,10,17,15,21,18,20,9,20,28,33,28,17,14,20,17,21,12
2,6,14,11,10,12,9,15,14,16,11,13,14,12,9,16,15,7,8,9,13,11,19,13,23,19,23,11,23,29,34,11,18,12,22,16,23
3,14,7,13,11,10,11,9,12,13,16,11,15,15,13,9,15,15,7,9,9,13,11,19,12,23,20,23,19,24,25,13,11,17,11,22,16
4,16,14,8,14,13,10,11,9,11,13,15,12,14,15,13,11,15,15,7,8,8,13,14,19,14,23,22,26,18,25,7,13,15,17,13,21
5,20,19,15,8,14,13,10,10,9,9,13,16,14,14,17,12,11,15,15,6,8,10,13,16,17,13,23,23,27,18,10,9,13,16,14,13
6,17,20,18,17,7,15,12,10,13,9,9,16,16,15,15,17,10,10,13,14,6,9,13,12,15,17,12,24,25,26,7,11,12,13,15,15
7,16,15,20,18,17,7,15,13,10,11,9,10,16,16,18,15,19,11,10,12,14,6,8,14,13,15,17,13,23,22,14,7,10,11,14,15
8,16,14,17,21,18,17,7,15,13,10,12,10,10,16,16,19,15,20,13,9,14,14,6,8,13,14,17,19,13,25,14,14,7,11,11,15
9,21,14,14,18,23,21,17,8,13,13,10,12,11,10,16,17,18,15,20,14,8,13,14,6,8,14,14,20,19,12,8,13,14,7,11,12
10,19,20,15,15,18,25,21,17,8,13,12,11,12,11,11,18,17,19,13,20,14,9,14,14,7,9,14,15,21,18,15,9,14,14,7,11
11,13,17,22,20,16,17,25,20,17,8,15,12,11,12,12,11,18,17,19,14,19,13,10,16,14,6,8,14,15,23,18,14,10,17,14,7
12,17,13,19,21,15,15,17,25,21,18,10,15,12,12,11,12,11,17,17,20,13,20,11,9,19,14,7,11,14,17,11,20,12,10,20,14
13,18,17,12,19,19,16,15,17,25,18,17,10,14,12,11,11,12,11,17,16,20,12,20,11,7,20,14,10,12,14,20,10,21,12,10,21
14,16,17,19,11,19,20,17,16,17,26,18,19,10,15,11,10,8,12,12,17,16,19,13,19,10,8,19,15,10,11,16,19,10,20,12,11
15,22,15,17,20,13,22,19,15,16,17,27,17,20,11,15,12,12,8,12,12,19,16,18,16,15,10,8,23,15,9,19,16,18,12,18,13
16,12,21,16,20,19,12,19,19,18,20,18,26,18,21,11,13,12,12,8,11,11,19,15,19,16,15,12,11,22,16,11,19,15,19,12,18
17,19,11,22,16,17,17,11,20,19,15,19,17,27,18,21,11,13,13,11,8,11,11,17,15,19,18,16,15,12,22,12,11,17,15,19,13
18,32,18,13,20,16,17,19,12,19,20,13,21,18,28,18,21,11,13,15,12,9,11,11,17,16,19,20,17,14,12,9,12,10,17,16,17
19,16,33,19,12,21,16,18,20,14,19,20,13,18,19,27,19,22,12,14,17,13,9,11,11,16,16,20,20,17,16,12,10,11,10,17,16
20,14,16,32,19,12,24,14,16,21,16,20,19,15,18,19,26,19,20,11,15,18,14,9,11,13,18,14,25,21,16,21,12,10,12,11,19
21,19,12,16,37,20,14,22,15,18,20,15,19,18,15,19,20,25,19,22,11,14,20,15,13,10,13,18,17,25,17,14,21,13,12,10,12
22,14,21,14,18,38,21,14,23,19,13,20,17,19,18,16,20,21,25,18,21,12,17,18,15,12,14,14,21,20,22,12,16,20,13,12,13
23,13,14,25,15,19,39,19,13,23,25,15,19,18,24,19,18,21,21,26,20,24,11,23,14,14,15,16,24,23,24,24,11,18,17,13,13
24,24,14,16,24,15,20,37,20,15,27,26,20,26,20,25,19,22,19,20,26,17,24,13,24,17,20,18,24,27,28,17,24,12,20,22,16
25,16,25,16,20,24,16,20,31,21,19,27,27,19,28,19,27,18,20,22,18,24,17,26,16,28,16,22,27,21,36,27,18,26,17,23,23
26,17,15,26,17,18,22,20,23,35,23,23,25,30,27,26,24,27,17,21,23,20,24,16,27,24,30,15,30,32,30,21,27,19,32,21,25
27,16,18,16,30,21,21,25,26,18,36,25,27,24,32,34,25,26,31,15,22,27,21,27,15,30,24,36,21,38,41,28,23,30,19,33,20
28,14,20,17,17,36,22,18,26,23,18,39,27,27,23,34,31,27,31,32,16,25,32,21,30,15,29,26,41,25,38,25,29,26,33,21,32
29,26,15,19,17,17,32,22,17,27,23,19,37,26,26,23,31,33,31,29,31,16,26,30,28,32,17,33,35,50,29,20,28,31,32,37,24
30,19,24,13,23,19,19,30,22,16,28,22,20,39,28,28,21,31,32,32,27,32,21,27,28,26,31,23,35,43,54,31,24,29,28,34,35
31,22,18,26,15,23,19,20,29,21,16,28,23,18,36,30,30,21,31,29,33,27,29,20,30,26,31,31,31,42,50,27,34,26,30,28,39
32,20,23,20,26,18,27,19,18,28,19,17,29,26,17,34,29,28,22,32,31,33,28,32,26,29,26,40,35,45,49,32,28,36,27,31,30
33,20,21,23,20,26,19,26,19,19,22,25,19,29,26,20,35,30,27,24,31,31,32,29,42,25,33,30,43,48,53,29,32,29,40,27,36
34,15,19,24,25,20,26,17,25,19,21,23,26,20,31,27,24,36,32,25,25,30,33,35,34,43,26,35,40,55,52,30,31,35,34,39,28
35,30,17,22,25,26,18,27,19,26,19,25,26,24,20,29,29,24,34,32,23,25,32,31,37,32,45,32,40,46,61,25,31,30,35,33,42
36,14,30,20,21,27,25,18,25,18,25,18,27,28,23,21,28,26,24,33,33,23,26,35,34,35,31,48,43,43,47,23,26,32,29,35,31
37,16,14,32,19,21,24,26,20,25,16,26,19,27,30,23,22,27,24,25,35,30,25,26,37,33,37,39,51,42,41,29,25,27,35,28,37
38,15,14,14,31,15,20,25,27,21,25,19,27,19,27,31,23,22,29,24,24,35,29,27,27,41,31,38,45,53,37,34,29,26,28,38,27
39,15,16,15,14,30,14,20,27,24,21,29,19,29,20,28,32,20,20,29,23,24,35,28,27,28,38,33,39,47,59,24,35,27,26,29,38
40,16,12,15,15,14,30,14,21,25,25,20,28,20,30,22,28,32,19,19,30,24,23,35,34,27,30,39,35,42,50,25,24,33,30,26,31
41,19,15,13,15,16,15,28,14,19,25,27,21,28,20,30,25,28,34,20,20,34,25,25,35,32,29,36,43,35,46,33,24,26,35,30,29
42,26,18,17,13,16,15,16,29,15,21,24,26,21,28,21,29,25,28,37,20,19,35,24,25,40,34,30,40,44,33,19,35,24,26,38,32
43,23,25,18,16,13,16,17,17,29,18,19,24,26,24,28,21,29,24,25,36,20,18,34,23,25,44,32,35,42,45,18,18,33,24,25,42
