ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,22,20,27,14,25,33,29,18,24,25,13,25,24,19,25,25,25,22,12,15,18,19,22,15,7,13,13,10,17,11,15,20,22,15,7,13
1,17,23,23,28,13,25,33,28,18,22,19,12,25,23,20,26,22,25,21,11,14,20,19,22,15,7,13,15,11,15,15,16,19,20,16,7
2,24,16,23,22,28,15,26,33,29,18,18,21,12,25,23,19,26,22,25,21,11,14,21,19,21,15,7,13,15,11,11,14,20,19,21,16
3,26,24,18,22,20,28,15,23,33,29,16,19,20,12,26,22,19,25,21,25,20,12,14,20,19,21,15,7,14,14,22,11,13,17,19,21
4,26,26,22,18,25,19,28,14,23,31,29,16,18,20,14,25,21,19,25,22,23,19,13,14,21,19,20,16,7,15,25,22,14,15,21,19
5,26,25,27,23,19,26,20,28,14,24,29,29,15,17,19,13,26,22,17,25,20,23,20,14,13,19,18,21,16,7,22,23,24,17,13,19
6,30,27,25,27,23,18,26,19,28,14,24,29,28,14,18,17,14,25,22,17,24,20,24,19,14,13,19,19,21,16,24,23,24,21,14,13
7,26,29,28,25,27,24,19,28,19,29,14,24,29,28,14,17,18,15,25,20,16,24,20,24,19,14,13,21,19,20,16,24,20,24,23,14
8,21,25,28,29,25,26,23,19,29,19,27,14,24,29,25,14,17,17,15,26,19,17,26,20,25,18,14,13,21,19,22,16,25,23,24,22
9,27,22,27,28,30,25,27,22,20,28,20,29,16,24,32,25,14,17,16,15,26,20,19,26,19,25,19,14,13,20,26,21,18,25,20,24
10,18,25,20,27,30,30,26,27,24,19,29,20,29,16,24,31,25,14,17,16,17,27,20,20,27,19,25,21,14,13,21,23,21,18,26,20
11,27,17,26,20,27,28,30,26,27,25,21,29,20,28,16,26,31,23,14,17,16,19,27,20,19,27,21,25,21,13,15,21,25,21,19,26
12,32,27,19,26,19,26,28,32,26,27,24,21,29,20,27,15,25,32,22,14,17,16,17,26,19,19,26,20,25,23,17,16,18,22,21,19
13,27,32,27,20,26,18,26,28,33,26,28,24,20,29,20,27,15,25,32,22,14,17,16,16,26,19,19,26,19,25,10,17,15,20,25,21
14,41,26,34,26,21,27,18,25,28,35,26,28,24,18,27,19,26,15,24,31,23,15,17,15,16,25,22,18,27,19,24,10,17,15,18,25
15,22,41,24,35,27,22,27,19,27,29,34,26,28,24,18,27,19,26,16,24,31,23,15,17,16,16,24,22,18,27,30,25,13,17,15,17
16,30,22,42,25,36,29,23,25,19,26,30,31,26,28,24,18,28,22,26,16,23,32,24,14,17,16,16,24,23,18,27,30,27,9,17,15
17,34,31,22,43,26,37,30,24,26,18,28,30,31,26,27,24,18,27,22,26,16,23,31,23,14,17,17,16,24,23,18,26,30,23,13,17
18,24,33,31,24,40,27,38,26,24,26,20,29,30,31,26,27,25,19,26,20,26,16,23,31,22,14,18,16,16,23,23,20,24,31,25,13
19,30,22,31,28,26,38,27,42,27,27,26,20,27,30,31,26,27,25,19,27,20,25,16,21,30,23,13,18,17,16,20,23,17,23,30,25
20,30,29,23,34,29,24,39,27,41,26,29,26,20,27,29,31,27,27,25,20,28,21,25,18,19,30,23,13,16,18,27,21,24,19,21,30
21,40,29,28,23,32,30,23,38,30,44,26,30,25,23,28,28,30,27,26,25,20,28,21,25,18,21,31,24,14,17,22,26,20,23,17,22
22,27,37,30,27,25,33,31,25,38,31,42,26,31,25,23,25,28,26,28,26,26,19,28,20,26,17,21,31,24,14,24,20,27,21,26,16
23,30,26,36,29,28,25,34,32,26,36,32,43,25,28,24,25,27,28,28,28,26,27,20,29,19,25,17,22,30,25,27,24,22,28,19,26
24,32,32,27,38,28,27,26,34,28,27,36,33,43,24,28,23,25,27,27,29,27,25,26,19,29,21,26,18,23,31,27,26,23,20,29,20
25,21,32,31,29,36,30,28,23,36,27,27,35,32,43,24,27,20,24,28,27,30,28,24,26,20,28,21,28,18,22,28,27,25,24,21,28
26,22,20,34,29,28,37,32,27,24,34,27,26,34,32,42,24,26,20,23,25,25,30,30,24,26,20,28,21,27,18,25,33,27,24,25,20
27,27,21,22,33,29,29,35,30,29,23,35,27,25,31,31,41,22,25,20,22,26,22,30,30,23,26,21,25,21,28,24,22,31,28,24,25
28,29,26,22,21,35,28,29,34,30,30,24,33,26,26,32,28,40,22,24,21,20,29,22,29,30,27,26,22,24,22,20,24,22,27,27,25
29,19,27,25,24,22,33,29,30,36,32,30,24,32,26,26,31,26,38,19,24,23,22,29,21,30,27,28,27,21,24,26,20,23,23,29,26
30,24,19,27,27,24,21,34,31,29,34,32,29,22,30,26,26,30,25,38,18,22,24,22,29,20,27,26,29,26,21,21,26,23,24,21,27
31,31,23,21,27,27,22,21,35,28,29,35,32,31,22,29,25,25,30,25,38,18,22,20,21,28,20,26,26,31,21,18,21,23,23,23,21
32,30,29,23,21,27,28,23,20,34,29,32,35,33,30,21,28,24,27,29,24,36,18,22,20,19,27,19,24,25,29,35,21,23,24,20,23
33,20,33,31,22,23,26,28,23,21,33,28,31,34,33,31,21,26,24,25,30,23,35,18,21,19,20,26,20,22,23,27,33,21,21,21,20
