ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,3,None,4,3,None,3,4,1,4,2,6,2,2,1,2,3,1,1,1,2,3,None,5,4,2,None,2,2,3,6,3,None,4,4,2,None
1,4,4,None,4,3,None,2,4,1,4,2,4,2,1,1,2,3,1,1,2,3,4,None,4,4,2,None,2,2,3,2,4,None,3,4,2
2,3,4,4,None,4,3,None,2,4,1,4,2,4,2,None,1,1,3,1,1,2,3,4,None,4,4,2,None,2,2,2,2,4,None,3,4
3,2,3,4,5,None,4,3,None,2,4,2,4,2,4,1,1,1,None,3,1,1,1,3,4,None,4,4,1,None,2,1,1,2,4,None,3
4,1,3,3,4,5,None,3,3,None,2,4,2,4,2,4,1,None,1,None,3,1,2,1,3,4,None,4,4,2,None,None,2,1,2,4,None
5,9,1,3,3,4,5,2,2,3,None,3,4,2,4,2,4,2,None,1,None,2,1,2,1,3,4,None,4,4,2,2,None,2,1,2,4
6,3,9,1,4,3,4,5,2,2,3,1,4,4,2,4,3,4,2,None,1,None,2,1,2,1,3,4,None,4,2,None,2,None,2,1,2
7,2,3,9,1,4,3,5,6,2,2,4,1,4,4,2,4,2,3,2,None,1,1,2,1,2,1,2,4,None,3,1,1,2,1,2,1
8,4,3,3,10,1,3,3,4,5,2,3,4,1,4,3,2,4,2,3,1,None,2,1,2,1,2,1,2,4,None,None,2,1,2,1,2
9,2,4,2,3,10,2,3,3,4,5,2,3,4,1,3,3,2,4,2,3,2,None,2,1,2,1,2,1,2,4,2,None,2,1,2,1
10,5,2,4,2,3,9,2,4,3,4,7,2,3,4,1,3,2,2,4,2,3,1,None,2,1,2,1,2,1,2,4,1,None,2,1,2
11,3,4,2,4,2,4,8,2,4,3,5,7,2,3,4,1,3,2,2,4,2,3,1,None,2,1,2,1,3,1,2,4,1,None,2,1
12,4,2,4,2,4,2,3,8,2,4,3,5,7,2,3,4,1,3,3,2,5,2,3,1,None,2,1,2,1,3,5,2,4,1,None,2
13,2,4,2,4,3,4,2,3,8,2,4,3,5,7,2,3,4,1,3,3,2,4,2,3,1,None,2,1,2,1,2,4,2,4,1,None
14,2,2,4,2,4,2,4,2,4,8,3,4,3,6,7,2,3,4,1,3,3,2,4,3,3,1,None,2,1,2,3,2,4,3,4,1
15,2,3,2,4,2,3,2,5,2,5,9,3,4,3,6,7,2,3,4,2,3,3,2,4,3,3,1,None,2,1,3,3,2,4,3,4
16,1,2,3,2,4,2,2,2,4,2,4,9,3,4,4,6,7,2,3,4,2,3,3,2,4,3,4,1,None,2,1,3,3,2,4,3
17,1,2,2,3,2,5,2,2,3,4,4,5,9,3,5,4,6,7,2,6,4,2,3,3,2,4,3,4,1,None,4,2,3,3,2,4
18,2,1,2,1,4,1,5,3,3,3,6,4,5,10,3,5,4,6,7,2,5,4,2,3,2,2,4,3,4,1,4,4,2,3,2,2
19,6,2,2,2,1,3,1,5,4,4,3,6,4,5,11,3,5,4,5,7,2,5,4,2,3,2,2,4,3,4,2,4,4,2,3,2
20,1,5,3,1,2,2,3,1,4,3,5,4,6,4,5,10,3,5,4,5,7,1,6,5,3,3,2,2,4,3,6,1,5,5,3,3
21,3,2,5,3,1,3,1,3,2,4,4,5,4,6,5,5,9,2,5,4,4,7,1,6,5,3,3,2,2,4,4,6,1,5,5,3
22,3,2,3,5,3,2,2,1,4,4,4,4,5,4,7,5,6,9,None,5,3,4,7,1,4,5,2,3,2,3,3,4,6,1,4,5
