ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,10,13,10,12,12,4,3,8,3,11,7,9,7,10,8,6,6,5,3,6,10,8,6,12,9,5,12,12,13,4,10,9,6,12,9,5
1,13,9,12,10,11,13,4,4,9,2,13,7,9,7,10,7,5,6,6,4,6,9,8,6,12,10,6,13,12,12,6,9,9,6,12,10
2,13,11,11,11,10,11,14,3,3,10,3,14,7,9,6,11,8,6,7,7,3,6,9,8,6,14,9,7,15,11,3,6,9,8,6,14
3,14,11,9,12,11,12,11,14,3,6,8,3,14,7,8,6,10,8,6,6,6,4,7,9,8,6,12,9,7,14,7,3,7,8,8,6
4,12,13,12,10,11,11,11,12,15,3,4,8,3,12,7,9,6,10,8,7,7,6,4,8,8,11,7,12,8,7,7,7,3,8,7,8
5,15,13,13,12,9,12,11,12,13,14,3,3,8,3,12,8,8,6,10,5,7,7,6,4,8,8,9,8,12,11,6,7,7,3,8,7
6,15,18,13,12,13,10,13,11,11,12,13,3,2,8,4,12,8,8,6,10,6,8,10,6,4,8,9,10,8,12,7,6,10,7,3,8
7,8,16,17,12,12,12,9,13,12,11,12,13,2,3,8,4,11,10,7,6,9,7,8,10,6,4,8,7,10,8,9,6,6,10,7,3
8,18,8,14,18,12,12,12,9,15,11,10,12,14,4,3,8,5,12,9,8,6,9,8,8,10,6,4,8,8,8,7,9,7,7,10,7
9,17,18,7,14,18,14,12,13,9,14,9,10,12,13,3,3,8,5,12,8,8,6,9,7,8,11,6,3,8,8,8,7,10,7,7,11
10,12,19,18,8,14,17,14,13,13,10,16,9,10,12,12,3,4,8,5,12,8,8,6,10,7,8,11,7,4,7,9,8,7,10,7,7
11,18,12,19,20,8,14,19,12,13,13,9,16,9,10,12,11,3,5,8,5,12,8,8,6,10,7,7,11,7,4,12,9,8,7,10,7
12,15,20,12,19,19,7,14,19,13,13,15,9,16,9,10,12,10,3,5,8,5,12,8,8,6,10,7,6,8,6,6,12,9,7,7,10
13,12,16,18,12,19,20,8,14,18,13,12,16,9,15,9,10,12,10,3,5,8,5,12,8,7,6,10,7,7,9,8,6,12,9,7,7
14,15,11,16,18,12,20,20,6,14,18,14,12,16,9,15,9,10,12,11,3,6,8,5,13,8,7,6,11,6,7,6,8,6,13,9,7
15,16,16,11,16,18,11,19,18,5,15,17,14,12,16,9,15,10,11,12,11,3,5,8,5,13,8,8,6,11,7,3,6,8,6,13,9
16,11,17,15,12,16,16,12,19,18,5,15,17,14,13,16,9,15,10,11,12,13,2,5,8,5,13,10,12,8,11,12,4,6,8,6,13
17,14,10,15,15,11,16,17,13,18,18,5,15,17,14,13,16,9,15,10,11,13,14,2,6,8,5,13,10,12,8,13,13,4,6,8,6
18,23,15,11,17,15,10,19,17,15,21,17,5,14,16,14,12,16,11,14,10,11,13,12,3,6,8,5,13,10,12,10,13,12,4,6,9
19,11,24,16,10,15,16,11,17,16,13,19,17,5,14,17,14,12,17,12,13,10,11,13,13,3,6,8,5,14,10,10,10,13,13,4,7
20,10,10,24,16,8,14,16,11,17,16,14,20,16,5,15,17,14,11,17,13,12,10,10,12,13,3,6,10,5,14,12,10,9,12,13,4
21,19,12,10,25,14,9,15,18,11,14,17,14,19,18,6,14,17,15,11,18,13,13,10,11,12,13,4,8,10,5,13,13,10,10,12,13
22,11,17,13,6,23,15,9,14,20,10,13,17,14,18,16,6,14,17,14,11,17,12,12,9,10,12,15,7,5,12,16,12,12,9,9,12
23,16,10,19,12,7,20,14,10,14,18,11,14,16,14,16,16,5,13,17,16,12,16,12,12,10,10,11,13,6,4,13,16,13,12,10,9
24,18,16,10,21,14,6,20,15,9,15,20,10,14,21,14,17,15,5,13,17,15,11,17,14,11,11,9,11,13,6,14,12,17,15,11,11
25,11,19,15,12,19,16,8,16,18,9,14,21,11,14,21,15,18,17,6,11,16,15,11,17,13,11,12,10,11,10,16,16,12,16,14,12
26,19,13,19,16,10,17,17,4,18,15,12,13,20,11,14,18,15,18,16,7,11,16,13,14,20,12,11,10,9,12,11,16,14,13,18,12
27,8,20,17,18,14,11,19,19,4,18,20,13,17,22,12,17,18,16,18,17,8,11,11,13,14,20,11,8,14,10,8,11,13,14,14,18
28,10,9,19,20,17,14,11,22,20,5,18,19,12,19,21,14,18,19,15,17,17,7,13,11,13,13,19,12,13,12,16,7,13,12,13,13
29,20,11,7,21,19,18,15,11,20,22,7,18,19,12,19,20,13,16,21,14,16,18,14,13,10,14,13,17,12,11,16,17,7,13,11,13
30,13,18,12,8,19,19,16,15,12,20,22,7,17,19,12,19,20,13,16,20,14,16,18,15,12,12,17,13,17,13,15,16,17,8,12,13
31,21,14,17,11,9,18,20,20,15,11,22,21,8,17,18,12,17,20,14,15,17,15,19,18,13,14,12,19,15,19,17,14,18,17,14,13
32,11,21,13,15,11,11,17,21,19,14,11,21,20,9,17,16,12,15,21,12,15,20,16,20,17,13,13,15,21,12,16,17,16,20,15,13
33,21,14,19,13,17,12,11,17,23,21,14,11,22,22,7,18,16,14,16,20,13,15,19,12,20,16,13,13,18,23,12,15,23,13,18,16
34,21,22,11,18,13,17,11,10,17,21,17,14,11,21,21,7,19,17,15,15,17,15,16,20,14,20,17,15,16,19,17,14,15,23,14,17
35,12,21,20,11,18,13,18,12,8,16,23,16,13,12,22,20,6,19,18,16,15,15,15,16,22,16,20,16,15,15,15,15,15,16,23,16
36,17,11,21,19,14,19,13,18,12,8,16,23,16,13,12,22,18,6,20,16,16,14,16,14,16,21,18,18,17,17,16,14,16,14,15,21
37,12,17,11,21,19,12,16,13,18,12,9,17,23,18,13,12,24,17,7,20,17,14,13,16,14,18,19,17,20,18,17,15,13,15,14,17
38,16,12,17,11,21,20,13,16,12,23,13,10,15,22,18,13,12,24,17,9,20,17,14,13,15,13,18,19,19,22,19,16,15,13,15,13
39,15,17,14,19,12,22,22,14,16,13,24,14,11,13,19,18,13,12,24,19,8,19,17,13,13,15,14,17,24,19,7,19,15,14,13,16
40,17,15,17,12,19,14,21,21,15,17,12,24,14,10,13,19,18,13,12,24,17,9,21,16,13,13,13,13,18,22,17,8,21,15,14,13
41,14,17,15,18,12,17,16,23,21,16,19,12,24,15,10,13,19,19,13,16,24,16,11,19,15,13,13,14,12,20,22,16,10,20,14,14
42,15,14,16,14,17,12,17,17,22,19,14,19,11,22,14,11,13,19,19,13,16,26,15,11,20,16,13,13,14,12,14,25,15,10,19,16
43,12,14,14,17,15,16,12,17,18,22,20,14,17,11,22,14,10,14,19,19,13,16,26,15,11,20,15,14,13,16,13,14,25,15,10,19
44,21,10,14,14,15,15,17,13,18,17,20,20,13,18,12,22,13,10,15,18,20,13,17,24,15,11,20,17,15,12,19,13,15,24,15,10
45,18,21,10,13,15,15,16,16,12,16,17,20,19,13,18,13,22,13,10,15,18,19,13,16,26,16,12,21,18,15,18,21,13,15,24,16
46,18,18,21,10,18,14,15,18,17,11,15,17,20,19,13,18,13,22,14,12,15,19,18,12,16,26,16,10,19,18,16,19,19,12,15,24
47,14,14,17,21,10,16,14,14,16,15,11,17,18,20,19,13,17,14,21,14,12,14,19,19,12,16,28,17,10,21,12,15,19,21,12,15
48,9,14,14,17,22,10,17,14,14,16,15,10,16,19,18,19,13,17,14,21,15,11,13,19,19,12,16,25,15,11,14,11,14,19,20,12
49,5,8,14,14,17,21,10,18,14,14,17,15,10,16,18,18,18,13,17,14,22,14,11,13,18,18,12,15,23,17,22,14,11,14,18,19
50,13,4,9,14,14,18,21,10,18,15,15,17,15,10,16,18,19,18,13,17,14,22,15,11,13,17,18,12,14,24,14,23,15,10,14,17
