ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,27,11,22,17,18,13,17,19,13,18,20,27,19,12,10,5,12,13,13,12,12,7,18,14,21,14,19,12,11,14,14,7,17,14,21,13
1,17,28,10,20,17,17,15,17,21,13,15,21,27,15,13,10,4,9,13,12,11,12,8,18,14,19,12,20,13,10,13,14,8,17,15,20
2,19,17,27,8,20,18,20,15,14,22,11,14,21,27,15,12,10,4,9,12,10,10,13,9,19,14,18,12,19,14,12,13,15,9,18,15
3,29,18,17,27,9,19,18,19,14,14,23,12,14,21,26,17,11,10,4,9,11,10,10,14,9,21,14,20,12,19,13,14,12,15,9,21
4,18,31,19,18,26,10,20,22,19,15,16,24,11,15,23,26,17,11,10,5,9,11,9,10,14,9,18,12,20,12,8,13,14,12,15,9
5,20,18,33,19,18,26,9,19,22,19,15,15,24,10,16,23,25,16,11,9,6,9,12,9,10,14,9,17,13,20,8,8,13,14,12,14
6,20,22,18,32,19,20,25,11,20,21,16,13,15,24,10,16,23,24,16,11,8,6,11,13,9,10,14,8,17,15,8,9,9,14,9,12
7,23,20,22,21,31,21,19,26,11,21,20,17,13,15,24,11,16,23,24,15,11,7,7,11,15,10,12,14,8,17,14,8,9,9,16,11
8,19,24,20,21,19,32,20,16,25,11,19,18,17,13,16,22,12,16,22,25,14,12,8,8,11,15,10,11,14,8,13,15,10,10,11,16
9,16,20,24,20,22,20,31,18,16,24,12,21,18,17,14,17,21,12,15,23,25,14,12,8,7,12,16,11,11,15,24,12,13,9,10,11
10,23,16,19,25,21,23,18,31,19,18,22,11,21,18,17,13,17,19,12,15,24,24,14,12,8,7,11,15,11,11,25,25,14,13,8,10
11,29,26,14,21,23,22,22,18,31,21,19,22,11,19,18,17,13,16,18,15,14,24,25,14,12,8,9,11,15,11,13,26,25,14,13,8
12,27,31,28,19,20,25,19,22,18,30,19,20,22,11,19,18,18,15,14,17,15,14,25,25,14,12,8,9,10,15,15,12,23,23,13,13
13,20,28,29,25,17,19,25,20,21,16,30,20,21,23,11,20,21,17,15,15,15,15,14,25,24,15,14,7,10,10,15,15,15,24,23,14
14,25,20,28,29,26,20,19,24,19,18,19,30,20,21,23,11,18,20,19,16,14,14,16,14,25,24,16,15,8,9,13,14,16,15,23,23
15,27,26,19,28,29,29,19,19,26,21,19,19,30,20,21,23,11,18,19,19,17,14,15,15,14,26,24,15,15,9,19,12,18,15,15,25
16,24,27,25,21,28,27,27,18,22,26,20,20,19,30,19,21,24,14,18,19,19,17,15,15,15,13,26,24,13,14,17,19,14,18,15,14
17,21,23,24,26,19,29,26,28,19,18,26,21,21,19,31,17,21,23,14,16,21,19,16,14,15,15,13,24,22,13,22,17,17,14,18,15
18,23,20,24,23,26,20,28,27,26,19,21,28,21,21,19,32,17,21,22,14,16,22,19,16,14,15,15,13,24,22,16,25,19,17,14,18
19,19,22,22,26,24,30,22,33,26,22,21,20,26,22,22,20,33,17,21,21,13,15,24,20,16,14,15,16,17,25,14,17,22,19,17,14
20,19,20,22,19,21,24,30,18,34,28,23,18,19,26,22,22,20,32,17,21,22,13,15,26,20,16,14,14,15,17,21,14,15,24,19,16
21,21,18,19,23,22,20,24,29,18,32,26,22,18,18,27,23,23,28,32,17,21,23,10,14,27,21,17,16,18,14,19,20,10,16,24,20
22,29,22,17,18,27,22,24,25,30,16,25,23,22,19,19,25,22,21,27,33,15,21,23,11,14,27,21,16,17,17,14,20,25,11,16,27
23,21,31,20,15,15,23,22,20,18,31,16,26,19,21,19,19,28,21,21,27,33,15,21,25,12,13,27,23,14,16,31,13,21,25,12,15
24,17,19,29,21,15,18,24,22,20,21,29,15,26,18,21,21,19,27,20,21,27,33,15,22,25,14,12,27,24,15,24,32,13,22,25,13
25,18,18,20,32,22,13,16,23,21,16,26,32,14,27,20,22,20,16,26,21,20,26,33,15,21,25,12,16,28,21,20,25,33,16,21,26
26,14,17,19,17,33,21,15,17,22,21,18,27,29,15,24,20,21,19,15,25,20,22,25,35,14,21,25,13,18,27,19,19,22,35,16,19
