ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,21,21,29,20,18,17,24,16,16,35,18,22,16,26,15,21,13,23,16,24,16,24,13,12,11,11,13,11,14,14,17,23,13,13,11,12
1,12,19,22,30,20,18,17,23,17,13,29,15,19,15,25,15,21,13,23,17,25,17,23,13,13,11,11,14,12,14,25,17,23,13,13,10
2,19,12,19,21,28,23,18,15,24,16,13,30,15,18,15,25,15,21,13,23,18,25,16,23,13,13,12,13,12,13,15,24,16,23,24,14
3,19,20,13,22,21,28,21,17,15,24,16,13,31,17,19,15,25,15,21,12,21,19,22,16,24,14,13,10,13,12,20,16,22,16,23,14
4,21,18,20,13,21,20,30,21,19,16,23,17,12,30,18,19,15,24,15,21,12,21,18,22,16,23,15,13,10,14,11,20,16,22,15,23
5,30,21,19,19,13,23,22,30,20,17,16,23,17,12,33,20,19,15,24,14,22,12,18,18,22,15,23,15,13,9,22,11,18,16,22,15
6,29,28,20,19,21,11,23,19,29,22,17,16,23,17,12,34,21,20,15,24,15,22,12,18,18,21,15,23,15,13,15,22,11,18,16,22
7,30,29,28,20,19,21,11,24,19,29,21,17,16,25,17,12,34,20,20,15,24,15,20,12,18,18,22,15,23,15,24,15,21,11,17,16
8,29,31,29,30,20,19,23,12,22,20,29,21,17,16,26,17,12,33,21,20,15,24,14,20,13,19,17,22,15,24,19,24,14,21,11,19
9,30,28,32,28,29,20,20,22,11,24,20,29,21,17,16,26,17,13,33,22,20,15,23,14,20,13,19,18,21,15,21,19,23,14,21,12
10,34,30,29,31,32,27,20,19,24,11,24,19,27,21,17,17,25,17,12,33,22,20,16,23,14,20,13,19,17,21,22,21,20,23,14,21
11,22,32,30,28,28,30,27,23,18,25,12,24,20,28,21,16,17,25,20,12,33,23,20,17,23,14,20,13,19,17,31,22,23,19,23,14
12,35,22,33,31,29,28,31,29,21,22,24,12,24,20,29,22,16,17,25,20,12,33,22,20,16,22,16,22,12,19,14,31,20,20,19,22
13,24,34,22,33,33,28,29,31,27,20,18,24,12,24,20,28,23,16,17,25,20,12,29,23,21,16,22,16,22,12,20,14,29,21,20,18
14,48,25,36,22,36,33,28,28,33,27,21,18,24,12,25,19,30,24,15,17,25,21,12,29,23,22,17,22,15,22,28,20,14,28,21,21
15,36,48,26,34,22,34,32,29,31,30,24,21,18,23,12,25,19,31,25,15,16,25,21,12,29,22,22,17,22,15,18,28,20,14,28,19
16,37,37,48,26,35,23,35,34,30,28,31,23,21,17,23,12,26,19,30,26,15,16,24,21,13,29,22,22,18,22,19,18,26,20,14,28
17,36,38,39,48,28,34,22,34,34,29,29,31,22,21,18,25,12,27,18,31,26,15,16,25,21,13,29,23,21,18,22,18,17,24,20,14
18,33,37,35,38,44,29,36,25,34,36,29,29,29,22,22,18,25,12,27,17,31,26,16,16,24,21,13,29,21,20,29,23,19,16,24,19
19,33,31,33,33,34,41,28,36,23,33,35,27,32,29,23,21,18,27,13,27,17,31,25,16,15,24,19,14,28,21,21,29,21,18,16,23
20,23,36,32,32,33,34,40,26,35,23,33,33,25,32,29,23,21,18,28,13,27,18,31,24,16,15,25,19,15,28,25,22,29,21,18,16
21,29,21,37,34,35,33,34,38,25,35,22,33,35,24,31,28,22,23,18,27,12,27,18,33,25,16,17,25,21,15,12,27,22,30,21,16
22,18,33,20,37,32,34,31,32,37,25,33,24,33,35,24,32,28,22,23,19,27,13,27,17,31,25,17,19,24,21,25,14,26,20,24,22
23,24,21,29,22,35,33,37,31,32,39,23,31,25,34,34,24,33,24,21,24,19,27,15,27,17,31,24,19,20,24,22,26,15,25,20,31
24,16,25,16,24,22,35,33,38,36,32,38,24,30,25,35,31,23,32,25,21,23,21,27,16,27,18,29,21,18,18,22,23,26,16,21,19
25,16,18,21,18,24,23,35,34,37,33,30,35,23,30,27,35,31,26,32,25,20,21,21,30,15,27,20,26,20,18,22,21,22,29,16,24
26,13,19,16,22,18,25,24,31,34,39,32,31,37,24,30,27,34,29,25,35,25,19,21,23,31,18,26,20,27,20,25,21,21,24,29,19
27,30,11,16,17,20,17,24,22,29,31,40,32,29,35,25,29,26,31,29,24,34,26,19,21,23,31,17,25,23,26,36,26,20,21,24,29
28,17,31,11,16,18,23,21,24,20,31,32,39,32,32,36,28,27,26,31,26,24,33,21,21,24,23,30,17,25,23,24,33,22,20,21,22
29,30,17,32,13,18,19,19,19,25,21,30,32,38,32,30,38,27,28,25,31,24,23,34,21,21,24,23,30,17,23,26,22,32,22,20,23
30,17,28,18,29,13,18,20,20,20,25,20,30,34,39,34,29,37,29,28,25,30,25,21,33,23,21,25,22,31,17,29,27,21,31,22,19
31,14,18,28,18,29,13,16,22,20,20,22,19,30,35,35,33,28,36,26,28,26,31,24,17,31,23,21,22,22,32,26,30,25,17,31,23
32,22,16,18,29,17,31,13,16,22,20,21,23,19,31,34,35,34,29,36,25,28,24,30,25,16,29,23,21,21,20,30,25,27,25,17,31
33,21,22,14,17,28,17,33,10,17,20,20,21,24,21,31,35,34,33,28,40,25,27,26,29,24,16,27,22,19,21,24,29,27,28,25,16
34,17,21,24,14,18,29,19,32,12,18,21,20,21,24,22,31,35,33,32,27,41,25,28,26,29,26,18,28,26,17,42,23,28,27,28,26
35,21,19,21,25,14,19,30,19,32,12,18,21,20,21,25,20,31,35,34,32,27,40,27,27,25,28,26,18,27,27,28,40,24,27,26,27
36,17,23,18,21,23,13,18,30,18,33,12,18,23,20,24,24,20,33,35,34,32,29,42,28,25,22,30,27,19,26,35,29,38,25,26,24
37,18,16,23,19,20,23,13,18,29,18,35,13,18,21,19,23,24,18,34,35,34,32,28,41,28,28,22,29,28,17,36,32,27,42,24,28
38,33,18,16,21,22,20,23,15,18,31,17,35,13,18,21,19,24,24,18,34,36,35,31,29,41,29,28,22,28,25,36,33,33,28,39,27
39,11,34,19,17,22,21,21,24,13,18,31,17,35,11,19,20,18,24,25,18,33,36,31,32,29,41,31,28,22,28,34,34,32,32,28,40
40,20,10,32,20,19,21,20,22,23,14,18,30,18,36,13,19,20,18,24,25,18,33,36,33,32,27,41,32,28,23,19,33,30,33,23,28
41,35,20,11,32,18,19,23,20,22,22,14,18,29,18,36,13,20,20,18,24,25,18,32,35,35,31,29,41,33,28,25,19,33,35,33,31
42,25,35,20,10,32,19,20,22,20,21,22,14,18,29,18,36,13,19,21,18,23,24,17,31,35,33,30,29,42,30,23,25,19,32,34,33
43,28,22,32,21,11,32,18,22,22,21,22,23,14,18,30,16,35,13,19,21,19,23,24,18,31,35,32,30,29,43,18,24,24,19,32,34
44,24,31,22,32,22,11,33,18,20,25,20,22,23,14,18,30,18,35,11,21,20,19,21,24,18,33,35,33,30,30,20,18,20,24,19,32
45,26,25,29,24,32,22,10,32,19,21,21,18,22,22,15,18,30,18,34,11,20,21,19,21,24,18,33,34,33,31,19,20,18,21,22,19
46,13,25,25,27,22,34,21,11,31,20,21,21,18,21,22,15,18,29,18,32,11,19,22,19,20,24,17,34,34,31,11,19,21,20,21,24
47,26,13,26,25,27,22,34,21,11,31,19,21,22,18,21,22,15,17,29,18,32,11,18,21,19,19,23,17,33,35,31,11,18,20,20,20
48,30,25,13,26,24,28,23,34,21,11,33,20,21,24,18,21,22,16,17,29,19,33,12,18,21,19,19,23,17,33,19,32,11,18,20,19
49,23,27,27,14,27,24,29,24,34,21,13,32,20,21,24,18,21,22,15,17,30,18,34,14,17,21,20,20,24,17,29,17,32,12,18,21
50,29,24,29,27,12,25,22,29,24,35,21,12,32,20,21,25,18,20,23,15,17,30,18,34,13,18,23,21,21,23,17,31,18,33,12,18
51,31,30,24,28,27,13,26,22,31,22,33,22,12,32,19,21,25,19,21,23,14,18,31,19,33,12,19,19,20,22,14,18,30,18,33,13
52,27,31,30,24,28,29,13,27,22,28,23,33,22,12,33,17,21,25,19,21,23,15,18,32,19,33,12,18,20,20,22,15,18,29,18,31
53,26,28,31,30,24,27,27,11,26,23,30,23,32,23,12,33,17,21,27,19,20,23,14,17,32,19,32,12,17,21,19,22,13,18,30,18
54,21,26,27,32,33,25,29,30,11,24,23,30,23,35,22,12,32,17,21,27,19,21,23,14,17,32,19,33,12,17,18,21,22,14,19,28
55,31,21,27,26,33,32,26,29,30,14,24,23,30,23,39,22,12,30,18,21,28,19,21,22,14,17,31,19,34,12,26,18,21,21,14,17
56,25,30,22,29,26,32,32,26,28,28,12,25,25,30,24,38,24,13,29,18,21,28,19,21,21,14,17,29,19,34,21,28,18,21,21,14
57,41,27,29,22,27,26,31,30,26,29,29,12,25,26,30,24,39,24,12,29,18,21,28,19,21,21,14,17,28,19,20,21,28,18,21,20
58,27,39,27,29,22,28,28,34,31,26,29,29,12,25,25,28,26,39,24,12,29,19,21,28,18,22,21,13,17,27,31,21,21,28,18,22
59,22,28,39,27,28,25,27,28,35,31,28,29,29,12,23,26,28,26,40,24,11,30,19,21,27,17,22,20,13,17,14,31,21,21,28,17
60,26,22,27,37,30,30,23,29,27,34,31,28,27,28,15,22,27,28,26,41,23,12,29,19,21,26,17,22,21,14,19,14,30,21,21,26
61,32,25,22,26,36,28,30,25,31,27,36,31,27,28,27,15,21,27,28,27,40,23,12,30,19,21,26,18,22,21,39,20,14,30,21,21
62,23,33,24,22,26,36,28,30,23,29,28,36,31,25,28,27,15,21,28,28,27,39,23,13,30,19,20,26,18,22,25,36,20,14,30,21
