ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,23,25,29,25,19,16,22,23,25,18,15,26,23,19,27,26,24,25,22,20,22,17,32,40,37,33,29,38,42,46,21,16,32,40,36,32
1,29,26,24,30,25,20,17,22,21,26,18,16,26,22,20,25,25,23,25,24,21,24,18,32,36,35,36,28,37,38,22,24,18,36,35,35
2,35,29,27,23,28,27,20,17,21,23,25,18,16,25,21,22,22,24,22,23,23,20,25,20,41,33,38,34,29,37,25,21,26,18,45,33
3,26,34,28,28,24,29,26,19,18,20,22,26,18,16,26,19,24,22,21,21,25,25,21,26,22,40,32,39,33,33,22,27,24,25,20,44
4,33,26,34,29,25,24,29,26,18,18,20,22,26,19,17,25,20,23,22,20,21,27,29,22,27,19,47,33,39,33,24,25,30,22,25,18
5,32,32,25,34,31,26,25,31,28,17,18,21,21,24,17,20,23,19,21,24,20,24,28,28,20,27,20,48,32,41,23,26,27,28,20,26
6,41,32,33,26,35,28,26,25,31,28,18,17,22,21,23,17,20,23,18,19,24,20,24,29,31,22,26,23,49,33,25,22,27,26,30,22
7,62,44,32,34,28,37,29,24,26,29,29,18,17,22,22,23,16,19,24,17,18,24,25,25,30,30,26,28,24,49,16,25,23,26,27,29
8,49,62,42,32,35,28,36,29,24,25,31,28,17,15,23,21,24,17,19,24,17,22,25,29,26,28,31,26,29,28,20,20,28,29,25,26
9,58,48,61,43,31,36,30,38,30,24,25,31,29,18,15,23,21,26,18,19,23,16,23,23,27,26,26,30,28,30,23,18,23,26,28,25
10,48,57,49,61,45,32,35,29,39,31,23,26,29,29,18,16,23,21,27,19,21,26,17,22,23,28,29,27,29,30,22,25,21,22,25,29
11,54,48,56,50,60,44,32,34,28,40,31,22,26,28,29,18,16,24,20,27,20,21,26,17,23,23,30,27,28,30,21,21,27,20,22,25
12,58,56,48,55,47,59,44,31,34,28,41,31,22,26,27,29,18,18,24,20,28,23,21,27,15,25,25,29,28,27,26,23,22,27,19,25
13,49,58,55,51,53,48,58,46,31,33,30,38,29,20,26,27,27,18,18,24,22,28,25,22,31,17,26,24,30,30,22,26,26,22,29,21
14,38,49,59,57,51,54,49,59,45,31,35,30,36,28,21,26,27,28,19,18,24,21,28,29,23,30,20,25,26,30,22,21,28,28,23,30
15,55,40,50,56,57,51,53,48,61,44,31,35,29,35,29,21,25,27,25,18,18,24,24,28,29,24,33,21,24,29,18,22,26,27,29,24
16,57,56,40,50,56,58,51,52,48,58,44,33,36,28,32,30,23,25,27,25,18,19,24,26,28,29,25,33,23,23,18,19,23,26,28,29
17,60,57,55,39,48,55,57,54,51,46,59,44,33,35,28,33,32,24,25,26,25,19,19,23,27,28,30,23,35,25,25,19,20,22,27,28
18,46,59,56,54,39,49,54,59,53,52,44,59,44,34,32,28,34,32,26,26,25,25,19,20,23,27,33,32,23,35,27,25,21,20,22,27
19,43,47,59,57,52,40,51,54,62,53,56,45,60,47,33,33,28,35,33,25,25,26,31,22,20,23,28,33,32,28,27,28,27,22,20,22
20,54,40,47,58,55,53,40,52,55,64,52,56,45,60,47,31,31,28,32,35,27,25,27,33,24,22,21,30,37,33,27,27,30,33,23,21
21,42,53,41,48,60,54,55,42,52,51,63,51,55,44,59,48,34,33,28,33,35,29,28,29,32,26,28,26,35,39,33,29,30,29,32,25
22,41,41,53,46,50,58,52,63,43,54,51,63,53,52,45,58,46,33,34,30,30,35,32,27,28,32,24,32,30,35,31,34,33,29,31,31
23,40,43,39,50,45,52,59,54,63,43,54,50,66,52,50,43,58,51,32,35,32,30,38,31,32,29,40,25,35,33,29,32,36,32,32,32
24,34,38,44,36,52,48,48,61,55,67,46,52,52,67,54,49,43,59,52,33,34,31,34,42,36,36,28,40,29,40,35,31,34,44,36,36
25,37,39,39,42,33,52,44,47,60,57,62,47,55,53,65,52,49,41,58,51,33,39,36,39,41,39,40,33,38,35,32,35,33,41,41,39
26,41,38,43,40,45,34,55,45,50,57,54,63,47,48,52,64,49,48,38,55,51,34,49,39,39,45,43,40,34,45,47,33,37,40,40,47
