ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,5,9,2,3,3,1,5,1,4,1,3,4,1,0,2,1,3,4,2,1,1,1,0,0,4,5,3,2,2,3,1,1,0,0,4,5
1,2,4,9,2,4,2,1,5,1,3,1,3,5,0,0,1,1,3,4,2,1,1,1,1,0,4,2,3,3,2,2,1,1,0,0,4
2,7,3,5,10,2,3,2,1,5,1,4,1,3,5,1,0,1,1,2,4,2,1,2,1,1,0,4,2,3,3,2,1,2,1,0,0
3,3,7,3,5,9,3,4,2,2,5,1,4,1,2,5,1,0,1,1,2,3,2,2,2,1,1,0,4,2,3,5,2,2,2,1,0
4,4,4,7,2,6,9,3,3,2,2,5,1,5,1,3,5,1,0,1,1,2,3,2,2,2,1,1,0,3,2,2,4,2,2,2,1
5,1,4,6,7,2,5,9,4,3,2,3,5,2,5,1,1,5,1,0,1,2,2,3,2,2,3,1,0,0,3,1,2,5,2,2,3
6,4,0,4,5,6,2,5,9,4,6,2,2,5,2,5,4,1,5,1,1,1,2,3,3,2,2,3,1,0,0,1,2,2,3,2,2
7,2,2,0,4,5,6,2,3,9,3,4,2,2,5,2,5,4,1,5,1,1,1,1,3,3,2,1,3,1,0,2,1,1,2,3,2
8,1,2,2,0,4,5,5,2,3,9,4,3,2,2,5,2,5,4,1,5,1,1,1,1,2,3,2,1,3,1,1,1,1,1,2,3
9,4,1,1,2,0,4,6,6,4,4,11,4,3,2,2,5,2,5,3,1,4,1,1,1,1,2,3,2,1,3,4,1,1,1,1,2
10,7,4,2,1,2,0,4,5,5,3,2,10,4,3,2,2,5,2,5,3,1,4,2,1,1,1,2,3,2,1,1,4,3,1,1,1
11,6,6,4,1,1,3,0,4,5,5,2,2,10,4,3,2,2,5,2,5,2,1,4,2,1,1,1,2,3,2,1,1,4,2,1,1
12,4,6,5,4,2,1,2,0,4,6,6,2,2,9,4,3,2,2,5,2,4,2,1,4,2,1,1,1,2,3,4,1,1,4,2,1
13,5,3,6,8,4,1,0,3,1,4,5,6,2,2,8,4,3,2,2,5,1,4,2,1,4,2,1,1,1,2,2,5,2,1,4,2
14,3,2,4,6,6,4,1,1,2,0,4,5,6,2,2,8,4,4,2,2,3,2,4,1,0,4,2,1,1,1,2,3,4,1,0,4
15,4,4,2,4,7,6,4,1,1,2,0,4,5,6,2,4,8,4,4,3,3,3,2,4,2,0,4,2,1,1,3,2,3,4,2,0
16,4,4,3,2,3,6,8,6,1,3,2,0,4,5,6,2,4,8,4,4,3,3,3,2,5,2,0,4,2,1,3,3,2,3,5,2
17,6,2,4,3,2,2,6,6,4,1,2,2,0,4,5,5,2,4,8,4,4,3,3,3,2,5,2,0,3,2,4,4,3,2,3,5
18,3,6,2,3,3,2,3,7,7,4,1,2,2,0,4,5,5,2,4,8,5,3,3,3,2,2,5,2,0,3,4,3,3,3,2,3
19,7,4,7,2,5,3,2,3,7,7,5,1,2,2,1,4,5,5,1,4,9,5,3,3,3,2,4,5,3,0,7,4,4,3,3,2
20,4,8,4,6,2,6,2,2,3,7,6,5,1,2,3,1,4,5,5,1,4,9,5,3,4,3,2,4,5,3,4,10,4,3,4,3
21,6,6,8,5,6,4,6,4,2,3,7,6,5,1,3,2,1,4,5,5,1,4,9,4,2,3,3,2,5,6,2,4,9,4,2,3
22,2,4,5,9,6,8,3,6,2,2,4,7,7,5,0,3,1,1,3,5,5,2,4,9,4,2,3,3,2,5,5,2,4,10,4,3
23,6,3,4,5,9,8,6,5,8,2,2,4,8,9,5,0,3,2,1,4,4,6,3,4,9,4,2,3,3,2,4,6,3,4,9,5
24,5,7,3,3,4,8,6,8,4,5,3,1,3,9,9,5,0,2,1,1,3,4,6,3,3,9,4,3,3,3,3,4,6,4,4,9
25,6,5,10,4,4,5,8,5,8,4,5,2,0,3,10,7,5,0,2,0,1,2,4,6,4,3,9,4,3,3,0,2,4,6,4,4
26,4,7,5,6,2,3,5,7,5,7,3,4,2,0,4,9,7,4,1,4,2,1,3,4,6,4,3,9,4,2,3,0,3,4,6,4
27,5,3,6,6,7,2,2,3,7,6,8,3,4,2,1,6,9,6,6,1,5,2,1,3,3,6,5,3,8,4,5,3,0,3,3,6
28,6,6,2,7,7,7,3,2,3,6,7,8,4,4,1,2,6,11,6,5,1,5,2,1,3,3,6,4,4,9,4,5,3,0,3,3
29,2,7,4,2,7,7,7,3,3,3,5,7,8,3,7,2,3,6,10,5,6,1,5,3,1,4,2,6,6,4,5,3,5,3,0,4
30,1,3,6,4,2,6,6,6,4,3,3,5,7,9,4,6,2,3,7,10,5,7,1,5,3,1,3,1,5,6,5,7,3,5,3,0
31,5,2,0,7,5,4,6,6,6,3,3,3,6,7,8,4,6,2,3,6,8,5,4,2,5,3,1,3,1,5,8,5,5,3,5,3
32,5,5,3,2,6,4,5,6,6,6,4,3,3,6,6,8,4,6,2,2,6,7,4,3,0,4,2,1,3,1,5,8,5,4,3,4
33,6,4,6,3,0,6,4,3,8,6,6,3,3,3,6,5,8,4,5,2,2,7,5,3,4,1,2,2,1,3,3,5,7,5,5,3
34,1,7,5,5,3,0,7,4,3,7,6,6,3,3,3,6,5,7,4,5,3,3,7,5,3,4,2,2,2,2,3,3,5,6,5,5
35,3,2,7,5,5,3,1,7,4,4,8,6,6,2,3,3,6,6,8,4,5,2,2,7,7,3,4,3,3,2,5,2,3,5,7,5
36,5,4,2,7,5,5,2,0,6,3,4,8,6,6,2,3,1,6,6,7,4,6,2,2,7,6,3,4,3,4,5,5,3,3,5,6
37,2,5,3,2,7,4,5,2,0,6,3,3,8,6,5,4,2,1,6,6,5,5,7,2,2,6,6,3,3,2,6,7,6,2,3,5
38,1,1,4,1,2,7,5,6,2,0,6,3,3,8,6,3,4,3,1,6,5,4,5,7,2,3,6,6,5,3,5,4,5,6,2,4
39,2,2,0,6,2,1,6,4,5,2,0,6,3,3,7,6,3,4,3,1,6,4,5,5,7,2,4,4,6,5,6,4,6,5,6,2
40,2,1,2,0,5,2,1,6,4,6,2,0,6,3,3,7,6,3,5,3,1,5,4,4,5,7,2,6,5,6,3,5,4,4,5,6
41,4,2,2,2,1,5,2,2,6,5,6,2,0,6,3,3,7,6,3,5,3,1,7,4,4,5,7,3,7,5,3,2,8,4,4,5
42,4,4,2,2,2,1,5,4,2,7,4,6,2,0,5,3,3,7,6,3,5,3,2,9,4,4,5,7,3,7,4,3,2,10,4,4
43,3,5,4,3,4,2,1,6,3,2,6,4,6,2,0,7,3,5,7,6,3,5,3,2,9,4,5,5,7,3,3,4,3,2,8,4
44,4,3,5,6,2,2,2,1,5,3,3,6,4,6,3,0,7,3,5,7,6,3,3,3,2,11,4,6,5,8,6,3,3,3,2,9
45,3,4,4,5,4,3,3,2,1,5,3,3,6,4,6,4,1,7,3,5,7,6,3,3,3,2,11,4,6,5,6,5,2,3,3,2
46,9,3,3,4,3,4,2,2,2,1,5,3,2,6,5,6,4,1,7,3,5,7,6,3,3,3,3,9,4,6,5,7,5,3,3,3
47,9,8,4,4,4,5,4,3,2,2,2,5,3,2,6,4,5,5,1,7,4,5,7,6,3,3,2,3,7,4,5,5,6,5,3,3
48,4,9,8,4,3,5,4,4,2,3,2,3,5,3,2,6,4,5,4,1,7,4,5,7,6,2,3,3,3,6,6,6,5,7,5,2
49,5,4,9,8,4,3,4,4,4,2,2,1,3,4,3,2,6,4,5,3,1,7,4,5,7,6,2,3,3,3,0,7,6,5,7,5
50,0,6,4,9,8,3,3,4,5,4,3,2,1,3,4,3,2,6,5,5,3,1,7,4,5,7,6,2,3,3,2,0,7,5,5,7
51,7,0,7,5,10,8,3,3,4,5,4,3,2,1,3,5,3,2,6,5,5,3,1,7,4,5,7,6,3,3,6,3,0,7,5,5
52,5,7,0,6,5,10,8,2,3,5,5,4,3,2,1,3,5,3,3,7,5,6,2,1,7,4,5,6,6,3,4,6,2,0,6,5
53,7,5,6,0,5,4,10,8,2,3,5,5,4,3,2,1,3,5,2,3,7,5,6,3,0,7,5,5,7,6,6,4,6,2,0,6
54,10,7,6,6,0,5,4,10,8,2,3,5,5,3,3,2,1,3,5,2,3,7,5,6,3,0,7,5,5,8,4,8,5,6,2,0
55,6,10,7,6,6,1,5,4,10,9,2,3,5,5,3,3,3,1,3,5,2,3,7,5,6,4,0,7,5,5,2,4,7,4,6,3
56,4,5,11,7,6,6,0,5,5,9,10,3,3,5,5,3,3,3,3,3,5,2,4,7,4,6,3,1,8,6,5,2,5,7,4,6
57,10,4,5,9,7,7,6,0,4,5,11,10,3,3,5,5,3,3,3,3,2,5,2,5,7,5,7,2,0,8,2,5,2,5,7,5
58,12,10,5,5,9,8,6,6,0,5,6,10,9,3,3,5,5,3,3,3,3,2,5,2,5,8,6,7,2,0,4,2,6,2,5,7
59,7,13,10,5,6,8,8,6,7,0,5,5,10,9,4,3,5,5,3,2,3,4,2,5,2,5,8,6,7,2,3,5,2,5,2,5
60,12,8,12,11,6,6,9,8,6,7,1,5,5,10,9,3,3,5,5,4,2,3,4,2,5,2,5,8,6,5,4,3,5,2,5,2
61,10,15,7,11,10,6,6,9,8,7,7,1,5,5,10,9,2,4,5,8,4,2,3,5,2,5,1,5,7,6,6,3,3,6,2,5
62,9,10,14,8,11,11,8,6,9,8,7,6,1,5,6,10,9,3,4,6,8,4,3,3,4,2,5,1,5,7,6,6,4,3,6,2
63,7,8,11,12,8,12,11,7,6,9,10,7,6,1,7,7,10,8,4,4,6,8,4,4,4,3,2,5,1,4,5,8,6,6,4,5
64,4,7,8,12,12,8,12,12,9,6,10,10,7,6,1,7,7,10,7,5,4,5,8,4,4,4,3,2,5,1,5,4,8,6,6,4
65,4,5,7,8,11,12,8,12,12,8,6,10,10,6,6,2,7,8,11,5,6,4,5,9,4,4,4,3,2,5,4,5,4,10,6,6
66,12,4,5,7,7,13,12,8,11,13,10,6,10,10,6,6,2,7,8,11,4,6,4,5,9,5,5,4,4,2,6,4,5,4,9,7
67,9,10,4,5,8,7,11,12,8,11,14,8,6,10,10,6,6,2,7,9,11,4,6,4,5,9,4,5,4,4,10,6,4,5,4,9
68,15,9,10,4,5,7,7,13,13,7,13,14,7,7,10,10,6,6,2,7,10,11,4,6,4,5,10,4,6,4,6,11,6,4,5,4
