ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,2,6,3,2,3,3,1,6,2,1,3,1,3,3,3,1,1,2,2,2,0,1,1,4,1,3,2,2,1,3,0,1,1,2,1,3
1,3,1,5,2,2,3,2,1,6,2,2,3,1,3,3,3,1,0,1,2,2,0,1,1,3,1,3,2,2,1,2,0,1,1,1,1
2,3,4,1,5,2,2,3,2,1,6,2,2,3,1,3,3,3,2,0,1,2,2,0,2,1,2,1,3,2,1,2,2,0,2,1,1
3,3,4,3,1,5,2,3,4,2,1,7,2,2,3,1,3,3,3,1,1,1,2,2,0,2,1,0,2,3,2,1,2,2,0,2,1
4,1,2,4,2,1,5,2,3,4,2,1,7,2,2,4,1,3,3,3,1,1,1,3,2,0,2,1,0,1,3,1,1,2,2,0,2
5,3,0,2,4,3,1,5,2,3,4,2,1,7,2,2,5,1,3,3,3,1,1,1,3,2,0,2,1,0,2,2,1,1,3,2,0
6,5,3,0,2,4,2,2,5,2,3,4,2,1,7,2,2,6,1,3,3,2,2,2,1,3,2,0,2,1,0,2,3,2,3,3,2
7,4,5,4,0,1,4,3,3,5,2,3,4,2,1,7,2,2,6,1,3,3,2,1,4,1,3,2,0,2,1,3,2,3,2,1,3
8,2,4,5,4,0,2,4,3,2,5,2,3,4,2,1,7,2,2,6,1,3,3,2,1,2,1,3,2,0,2,3,3,2,3,1,1
9,3,1,4,5,4,0,2,4,3,2,5,2,3,4,2,1,7,2,2,6,1,3,3,4,1,2,1,3,2,0,1,3,3,2,3,1
10,8,3,1,4,5,5,0,2,4,3,2,5,2,3,4,2,1,7,2,2,6,1,3,3,4,1,2,1,3,2,6,1,3,3,2,3
11,3,8,3,1,3,5,5,0,2,4,3,2,5,2,4,4,2,1,7,2,2,7,1,3,3,3,1,1,1,3,2,7,1,3,3,2
12,3,3,9,4,1,3,5,5,0,2,4,3,2,5,2,4,4,2,1,7,2,2,6,1,3,3,3,2,1,1,2,2,7,1,3,3
13,5,3,3,9,5,1,3,5,3,0,2,4,3,2,5,2,4,4,2,1,7,2,2,6,1,3,3,2,2,1,7,2,2,7,1,3
14,4,4,3,3,9,5,1,3,5,3,1,1,4,3,2,5,2,3,4,2,1,7,2,2,6,1,3,3,2,2,1,7,1,2,7,1
15,4,3,5,3,3,9,5,1,3,5,4,1,1,4,3,2,5,2,3,4,2,1,7,2,2,6,1,3,3,2,2,1,7,1,2,7
16,4,3,3,4,3,3,9,6,1,3,6,4,1,1,4,3,2,5,2,3,4,2,1,7,2,2,6,1,4,3,5,2,1,7,1,2
17,8,3,3,3,4,4,3,9,6,1,3,6,4,1,1,4,3,2,5,3,3,4,2,1,7,2,2,7,1,4,3,5,2,1,7,1
18,3,10,3,3,3,4,4,3,9,6,2,2,6,4,1,1,4,3,2,5,3,3,4,3,1,7,2,2,7,1,3,3,5,2,1,7
19,8,2,10,3,3,3,4,4,4,9,6,2,2,7,4,1,1,3,3,2,4,3,3,5,3,1,7,2,2,7,4,3,3,5,2,1
20,5,7,1,10,1,4,3,4,4,4,10,5,2,2,7,3,1,1,3,3,2,4,3,3,5,3,1,7,1,3,2,4,3,3,5,2
21,3,6,6,0,7,1,3,3,4,4,7,10,4,2,2,7,4,1,1,3,3,2,4,3,3,5,1,1,6,1,3,2,4,3,3,5
22,10,3,6,6,0,5,1,4,4,4,5,7,11,4,2,4,7,4,1,1,3,3,2,5,3,2,5,1,1,5,3,3,2,5,3,3
23,3,9,3,6,6,0,5,1,4,5,5,7,6,11,4,2,4,6,4,1,1,3,3,3,5,3,2,6,1,1,1,3,3,2,5,3
24,2,3,9,2,7,6,0,5,0,4,5,5,6,6,8,4,2,4,5,4,1,1,3,4,3,4,3,3,6,2,1,1,3,3,2,5
25,6,1,2,8,3,7,6,1,4,0,5,5,5,6,6,8,4,2,2,5,4,1,0,4,3,3,4,3,3,6,4,1,0,3,2,2
26,3,6,1,2,8,2,8,6,1,4,1,4,4,5,8,6,8,4,2,2,5,4,1,0,4,2,3,6,3,3,5,4,1,0,3,2
27,0,3,6,0,2,8,2,9,6,1,5,1,3,3,5,8,7,8,4,2,3,6,4,4,0,6,2,3,6,3,2,6,4,2,0,5
28,4,0,2,5,1,2,7,2,8,6,2,5,2,2,4,5,8,7,7,4,2,3,6,8,4,0,7,2,3,6,2,3,6,4,2,0
29,2,4,0,2,5,0,4,7,2,7,6,2,5,2,3,4,5,7,7,6,4,2,3,7,8,4,3,4,2,3,4,2,3,6,4,2
30,0,2,4,1,2,5,0,4,7,1,7,6,2,5,2,4,5,4,7,7,6,4,2,6,7,7,2,3,4,2,6,4,2,3,6,4
31,2,0,2,4,1,2,5,0,4,7,2,7,6,2,6,3,4,5,4,5,6,8,4,2,6,7,7,2,2,5,6,7,4,2,3,6
32,3,4,0,2,4,2,2,5,0,4,8,2,7,6,2,5,2,6,5,4,4,7,8,3,1,5,7,5,0,1,6,6,7,4,2,3
33,3,3,2,0,2,4,2,3,5,0,4,8,2,8,7,2,6,1,5,5,4,4,6,8,3,0,5,7,4,0,4,5,7,7,4,2
34,2,2,4,2,0,2,5,2,4,5,1,4,8,2,8,7,2,5,1,4,5,5,4,6,8,2,1,3,7,4,6,4,5,5,7,3
35,4,1,2,4,2,0,2,5,2,3,6,1,4,9,2,8,7,2,5,1,4,5,6,5,6,8,1,2,4,7,4,6,5,5,5,7
36,4,5,1,2,5,2,0,2,5,2,3,7,1,4,9,2,8,6,2,5,1,4,5,6,5,6,7,2,2,4,1,4,6,5,5,5
37,1,3,5,2,2,4,2,0,2,5,3,3,7,1,4,10,2,8,6,2,5,2,4,6,5,5,5,7,2,2,5,2,4,6,4,5
