ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,25,25,26,19,16,18,20,18,25,11,11,17,13,18,10,26,17,15,13,11,9,9,11,6,7,6,7,7,8,6,9,10,10,6,7,6
1,21,26,23,22,17,13,18,22,21,26,10,10,16,9,18,10,23,18,15,13,12,10,9,11,6,8,7,7,7,7,10,10,9,11,6,8
2,27,20,25,25,23,18,17,17,21,20,27,10,11,16,9,16,8,22,16,16,15,12,10,9,10,7,8,6,7,6,14,10,10,9,10,7
3,23,23,20,25,24,23,18,14,17,21,19,27,9,12,16,8,16,8,19,16,15,15,11,9,9,10,7,10,6,7,12,14,9,8,9,10
4,24,23,24,21,25,25,23,18,14,17,19,18,32,9,12,15,7,16,8,16,16,15,12,11,7,9,10,7,10,6,17,14,13,10,7,9
5,30,23,22,24,19,25,25,23,17,15,18,17,18,30,9,12,15,7,17,8,17,16,14,12,12,7,9,11,8,10,20,18,12,13,10,7
6,25,31,22,22,23,19,26,25,25,17,16,19,18,18,29,9,11,15,7,16,8,16,16,14,12,10,7,10,11,8,10,20,18,12,13,8
7,23,25,30,23,22,22,20,27,24,24,18,15,19,18,16,28,9,13,16,7,16,8,16,16,13,12,11,7,10,10,15,8,18,18,11,13
8,20,24,25,32,25,23,24,22,27,22,23,18,15,20,17,16,26,9,13,16,7,17,7,18,16,10,13,11,7,10,8,17,8,19,18,9
9,30,20,23,25,31,23,23,22,19,26,22,22,18,15,20,17,16,26,10,13,15,7,17,7,18,16,11,13,10,7,14,6,17,8,19,18
10,33,32,19,23,25,30,23,22,22,18,25,22,22,18,15,19,17,16,25,10,13,15,7,16,7,18,17,11,13,9,14,14,7,16,8,19
11,23,31,31,19,21,26,30,23,22,22,19,24,22,22,18,15,18,17,16,23,10,13,15,7,16,8,17,16,10,13,11,13,14,7,16,8
12,22,24,31,30,18,21,26,31,24,20,23,20,23,22,22,18,12,18,17,17,22,10,13,14,7,16,7,17,17,10,21,10,13,13,7,16
13,21,22,22,32,30,18,23,27,30,25,21,23,20,23,22,22,18,12,18,17,17,22,10,13,15,6,15,8,18,17,17,21,10,13,14,6
