ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,4,2,4,2,4,5,6,4,4,4,3,5,5,9,5,2,5,4,6,3,3,3,5,4,3,8,4,5,6,0,3,4,5,4,2,8
1,6,3,2,5,2,2,4,6,3,3,5,3,5,5,8,5,2,5,4,4,4,3,4,5,6,3,9,5,5,5,4,3,4,6,6,3
2,4,6,3,2,5,2,2,5,6,3,3,5,3,3,5,8,6,1,4,3,4,4,3,4,4,6,3,9,6,5,4,4,3,4,5,6
3,3,3,5,2,2,5,2,2,5,5,5,3,5,3,3,5,9,6,1,4,2,4,4,2,3,5,6,3,8,7,4,6,4,2,3,6
4,5,2,3,6,2,2,5,2,2,5,2,4,4,5,3,3,5,9,6,1,4,2,4,4,2,3,5,6,3,7,4,4,6,4,2,4
5,6,5,2,3,6,2,2,5,2,3,4,1,3,4,5,3,3,4,9,6,1,4,3,4,4,2,3,5,6,3,2,4,4,6,3,2
6,3,6,5,2,3,6,2,2,4,2,3,4,1,2,4,5,3,3,4,9,6,2,4,3,4,3,2,3,6,6,5,3,4,4,6,3
7,6,2,6,5,3,3,6,3,2,4,2,3,4,1,2,5,5,3,3,4,9,6,0,4,3,3,3,2,3,6,6,5,2,4,4,6
8,3,6,2,6,5,3,3,6,3,2,5,2,3,5,1,3,6,5,3,3,4,9,5,0,4,4,3,3,2,3,3,6,5,2,3,3
9,3,3,7,2,6,5,3,3,6,3,2,5,2,1,5,2,6,6,5,3,3,4,9,6,0,3,3,3,3,2,3,3,6,5,1,2
10,3,2,3,6,2,6,5,4,3,6,3,2,5,1,1,5,2,5,6,5,3,3,5,10,6,1,3,3,3,3,3,3,4,7,4,1
11,6,3,3,3,8,2,6,5,4,3,9,3,2,6,1,1,5,2,5,7,5,3,3,5,10,6,1,4,3,3,5,3,3,4,7,5
12,8,7,3,2,3,8,2,5,5,4,3,10,3,2,5,1,2,6,2,4,7,5,3,3,5,10,6,1,4,3,5,5,3,3,4,9
13,10,8,6,5,2,3,8,2,5,5,5,4,10,4,2,5,1,2,6,2,4,7,5,3,3,5,8,6,1,4,1,5,5,3,3,5
14,1,10,8,7,3,3,3,9,2,5,5,5,4,10,4,2,6,1,2,6,2,4,7,5,3,3,5,7,6,1,2,1,5,5,3,3
15,5,1,9,8,6,3,3,4,9,2,7,5,5,5,11,4,2,7,1,2,6,2,4,7,5,2,3,5,7,6,3,2,1,5,5,3
16,4,5,1,10,8,5,3,4,4,9,1,6,5,5,5,10,4,4,4,1,2,6,1,4,7,5,3,3,5,7,2,2,2,1,5,5
17,7,5,5,1,9,9,5,3,3,4,11,1,6,5,5,5,9,4,4,4,1,2,6,1,4,7,5,2,3,5,1,2,2,2,1,7
18,5,9,5,5,2,10,8,5,3,3,10,12,1,6,7,4,5,9,4,4,5,1,2,6,1,4,7,5,4,3,5,1,2,2,2,4
19,2,5,9,5,6,3,11,7,5,4,3,8,13,2,7,7,3,4,8,4,4,5,1,2,6,0,3,7,5,3,2,4,1,2,2,2
20,6,0,5,9,5,8,2,10,6,6,6,4,6,11,2,6,8,4,6,7,4,4,4,1,2,5,2,3,8,4,2,2,3,1,2,4
21,8,6,1,4,9,6,8,3,10,7,9,7,4,4,11,4,8,8,4,6,6,6,5,4,2,4,5,2,3,7,5,5,3,3,2,4
22,6,6,6,0,4,7,5,8,2,9,6,9,7,5,4,10,3,9,8,3,6,6,4,5,4,2,4,5,4,4,9,5,4,3,3,2
23,4,6,4,6,0,4,7,5,7,3,11,8,11,7,5,6,8,2,8,6,3,5,6,4,6,4,2,3,5,4,2,7,5,4,4,5
24,3,4,6,4,5,4,4,9,5,9,5,11,10,8,6,4,5,9,3,9,7,4,4,6,4,7,6,1,4,5,6,3,6,5,4,5
25,2,3,5,6,5,6,4,4,11,5,11,5,12,8,7,6,4,4,9,3,9,8,4,6,6,4,6,9,3,5,7,7,3,7,5,5
26,2,3,3,4,6,4,5,4,4,11,5,13,4,11,7,7,5,3,4,8,5,9,8,3,6,6,3,5,10,4,7,7,7,2,6,5
27,4,3,3,2,4,6,4,4,5,4,13,6,14,4,9,7,7,5,4,4,8,6,9,9,4,6,6,4,5,10,8,6,7,8,3,5
28,3,6,3,3,3,4,6,4,5,4,6,12,6,12,5,8,8,8,5,4,4,10,6,10,8,3,6,6,5,6,8,11,6,9,8,4
29,5,3,7,4,3,3,4,5,6,6,5,6,10,6,12,5,5,7,7,6,6,5,9,5,10,10,3,6,6,5,7,10,9,5,9,9
30,2,5,3,7,4,3,3,6,5,6,10,7,6,10,8,11,5,5,7,6,7,6,8,10,3,11,11,4,6,6,11,6,12,10,4,10
31,2,2,5,2,7,3,3,3,4,5,6,10,5,6,10,8,12,5,3,8,6,5,7,8,9,5,12,11,3,6,6,10,7,11,9,3
32,4,2,2,5,2,7,3,3,3,4,6,6,8,4,6,10,9,10,5,3,8,5,5,8,5,7,5,11,10,3,6,6,10,8,10,6
33,2,4,3,3,5,3,8,4,3,3,4,6,6,7,4,5,10,9,10,5,2,7,5,5,6,4,6,3,9,9,3,6,6,9,8,5
34,4,2,4,3,4,4,3,8,4,3,3,3,5,8,4,4,5,9,8,8,2,1,8,8,4,7,4,5,3,10,3,3,7,8,9,7
35,5,4,2,4,3,4,4,3,9,4,3,3,5,5,7,4,5,5,10,7,8,1,2,8,7,4,7,3,5,4,8,3,4,7,7,6
36,1,5,4,2,4,4,4,5,3,10,2,2,3,5,4,8,5,4,5,10,6,9,2,2,7,6,5,6,3,6,5,8,4,4,6,7
37,2,1,5,6,2,5,4,4,5,3,12,2,2,3,5,4,9,5,4,5,11,7,9,2,3,8,8,5,5,3,8,5,8,4,4,9
38,4,2,2,5,4,2,5,6,4,6,3,12,2,2,2,5,4,9,5,5,5,12,6,9,2,4,7,9,5,6,4,10,5,8,4,4
39,5,3,2,2,5,4,2,4,3,3,9,3,12,2,3,2,5,4,9,5,5,5,12,6,9,2,4,6,10,6,4,4,10,5,8,2
40,3,5,3,2,3,9,4,2,4,3,4,9,3,12,4,3,2,5,4,9,5,5,5,12,6,9,2,5,8,10,7,4,4,9,5,9
41,1,4,5,3,2,4,7,5,2,4,4,4,9,3,13,4,2,3,5,4,8,5,6,5,13,6,9,2,5,9,7,7,5,4,10,5
42,7,0,3,5,4,2,3,7,5,2,6,4,5,10,3,8,4,3,3,5,4,8,6,6,5,13,5,9,2,5,6,7,8,5,4,13
43,6,7,0,3,5,4,2,3,8,5,3,6,4,5,10,3,8,4,3,3,5,4,8,7,5,5,14,5,9,3,5,6,7,9,4,5
44,2,6,8,0,3,4,4,2,3,8,5,4,6,5,6,10,3,8,4,3,3,5,5,8,8,5,5,14,5,9,4,5,6,7,10,5
45,4,2,5,8,0,3,4,4,2,3,11,5,2,5,5,6,10,3,8,6,3,3,6,6,8,7,4,6,13,5,3,4,6,7,7,7
46,3,5,2,5,8,0,3,4,4,2,4,11,5,1,4,5,6,10,3,7,6,4,4,6,6,8,8,4,6,12,7,4,5,6,7,8
47,1,3,4,2,5,8,0,3,4,4,1,3,10,5,1,4,4,5,10,3,8,7,3,4,5,5,8,9,4,6,5,8,3,6,6,5
48,5,1,3,4,2,6,8,1,3,4,4,1,3,10,5,1,4,4,6,11,3,8,8,4,3,3,5,8,9,4,5,5,10,5,4,3
49,3,4,1,2,4,2,6,9,1,3,4,4,1,3,10,5,1,4,5,6,8,3,8,7,4,3,4,5,8,8,10,5,5,8,5,3
50,4,4,4,1,2,6,2,6,10,1,2,5,3,1,3,9,5,2,4,5,6,8,4,8,6,4,2,3,5,8,5,10,6,5,7,4
51,2,4,3,4,1,2,6,2,6,10,1,4,5,3,1,3,6,5,2,4,5,6,8,4,8,6,4,2,3,5,4,5,9,6,5,5
52,1,2,4,3,4,2,2,6,2,6,12,1,4,5,3,1,3,6,5,2,4,5,6,8,4,6,5,5,4,3,4,4,5,9,5,6
53,3,1,3,4,3,4,2,2,6,2,5,12,1,4,6,3,1,3,5,5,2,4,5,7,7,4,6,5,6,4,3,5,4,6,8,4
54,3,3,1,3,4,3,4,2,3,6,3,5,12,1,4,6,3,1,3,4,5,2,3,3,7,7,3,6,5,5,5,3,5,3,6,7
55,6,3,3,1,3,5,3,4,2,2,6,4,5,12,1,3,6,2,1,3,4,5,2,3,3,8,7,3,6,5,3,5,3,5,3,7
56,6,6,3,3,1,4,6,3,4,3,3,6,4,6,12,1,4,6,2,1,3,5,5,2,4,3,8,6,3,6,3,4,5,3,6,3
57,7,4,6,3,3,1,4,5,3,4,3,3,5,5,6,12,1,4,6,2,1,4,5,5,2,3,3,6,6,3,3,4,4,5,3,5
58,2,8,4,6,3,4,1,3,5,3,4,3,3,5,5,6,11,1,4,6,2,2,4,5,6,1,3,3,6,6,3,4,4,4,6,2
59,5,2,8,4,5,4,4,0,3,4,4,4,3,4,4,5,6,11,1,4,6,2,2,4,4,6,1,4,2,5,6,3,4,4,3,6
60,1,4,3,8,4,5,3,4,0,3,5,5,4,3,3,4,5,6,11,1,4,5,1,2,4,4,6,2,5,2,4,5,3,4,4,5
61,3,1,5,3,7,4,5,3,4,0,3,5,5,5,3,3,5,5,7,11,1,5,5,2,2,4,4,6,2,5,3,4,5,3,4,3
62,1,3,1,4,3,7,4,5,3,4,1,3,4,5,5,3,3,5,5,7,11,1,4,3,2,2,3,3,6,2,10,3,4,4,3,2
