ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,17,11,14,21,19,8,13,10,14,11,15,14,8,13,9,13,12,12,16,7,12,13,10,7,12,22,12,13,9,9,14,11,11,6,12,23
1,16,18,10,14,20,19,7,16,11,17,12,15,14,11,13,9,13,13,14,13,7,12,13,9,7,13,21,13,12,9,8,14,12,10,6,13
2,15,15,18,10,14,19,19,8,14,11,17,12,15,14,10,12,9,13,12,13,13,7,13,13,11,7,13,25,13,12,14,8,15,12,11,6
3,16,13,15,16,11,14,19,21,7,14,10,16,12,15,14,8,12,10,12,12,13,13,8,13,15,12,8,15,24,13,10,14,8,16,14,12
4,20,16,13,16,16,11,14,18,21,7,15,9,15,12,15,13,8,11,9,11,11,13,14,9,13,15,11,8,14,22,12,10,14,9,16,14
5,10,19,16,14,15,16,10,14,19,22,7,15,8,13,12,15,13,8,11,9,11,11,12,14,9,13,15,12,7,15,13,12,10,14,9,16
6,24,9,21,17,16,15,17,12,12,20,22,7,15,9,13,13,16,13,8,10,9,11,12,12,14,11,13,16,12,5,10,13,12,10,14,10
7,21,23,9,20,15,15,15,17,11,12,18,22,7,16,12,14,12,16,13,7,11,9,14,12,12,14,11,16,15,12,11,10,14,12,11,14
8,18,21,23,8,20,16,16,14,18,14,11,18,22,7,17,12,13,14,16,13,7,13,10,14,12,13,14,11,18,14,7,13,10,14,12,12
9,22,20,21,23,9,20,17,15,13,17,16,12,18,22,7,17,12,12,15,17,13,7,14,11,14,11,12,13,10,16,13,7,13,11,14,12
10,20,20,20,21,24,8,21,18,15,14,17,16,12,18,22,7,17,12,11,14,17,13,7,14,11,14,13,13,13,10,17,12,7,13,10,14
11,16,19,19,20,22,24,8,19,18,15,15,17,15,12,18,22,7,18,13,11,14,17,12,7,14,11,14,14,14,14,10,17,12,7,13,11
12,13,14,20,19,22,22,23,8,18,18,14,15,18,12,13,18,21,7,19,13,13,15,17,12,7,13,12,13,14,14,15,11,17,12,7,13
13,24,14,14,20,19,19,22,24,8,19,15,14,15,19,12,14,18,20,7,18,13,14,15,17,12,6,14,12,13,15,14,16,12,17,12,6
14,16,25,15,15,21,20,21,24,24,9,19,14,14,14,19,12,15,17,19,8,18,13,14,15,18,12,6,14,12,14,19,14,16,12,18,12
15,17,15,25,14,15,21,19,21,25,23,8,19,14,14,14,20,12,16,20,18,8,18,14,14,15,17,12,6,14,12,8,18,14,16,12,18
16,15,17,16,24,16,14,22,20,21,24,22,8,19,13,15,15,20,13,16,21,19,8,18,14,14,14,18,11,6,13,20,8,18,14,16,12
17,21,15,17,15,25,15,15,22,20,22,25,23,8,19,13,16,14,20,11,16,21,19,8,19,13,16,14,18,11,6,20,21,8,21,13,16
18,19,20,17,17,15,24,15,15,23,19,23,25,23,9,18,14,17,15,20,11,16,21,20,8,20,13,17,13,18,11,12,20,22,8,21,13
19,13,23,22,18,18,16,25,16,16,23,20,22,25,23,11,18,14,19,16,20,11,16,21,20,8,19,13,18,15,19,13,12,21,22,8,19
20,19,14,23,22,21,17,16,20,17,16,24,20,22,24,22,10,19,14,20,17,20,11,16,22,19,8,20,13,20,13,20,13,13,23,20,8
21,23,20,15,20,22,23,18,18,19,16,18,25,20,22,24,23,10,19,15,21,17,23,11,17,24,21,9,20,14,22,15,23,14,15,24,20
22,16,22,20,16,20,24,19,21,20,21,18,18,23,22,24,26,23,10,18,14,23,15,25,11,17,24,22,9,22,15,19,13,24,13,15,23
23,15,18,22,19,15,20,23,20,21,20,23,18,18,25,22,22,26,23,12,19,15,22,14,26,11,16,25,22,9,21,19,19,13,26,14,15
24,25,13,18,21,19,14,22,22,19,21,21,23,20,18,26,21,23,24,23,11,19,15,17,15,27,11,17,24,21,10,19,19,15,15,25,14
25,25,24,13,16,24,19,15,21,23,19,22,22,23,20,16,27,19,23,24,24,12,18,15,19,16,29,11,14,25,22,12,19,20,17,17,27
26,20,23,23,14,17,24,19,16,21,25,18,22,22,19,20,15,27,18,23,25,23,13,20,17,18,18,30,12,15,23,22,12,21,19,19,20
27,25,20,22,24,14,16,22,18,18,19,25,18,23,21,17,20,16,28,18,25,25,25,15,19,16,18,19,30,13,14,25,24,13,21,18,20
28,12,24,18,21,24,14,16,24,18,17,21,22,21,24,21,17,18,16,26,19,25,26,29,13,19,21,16,22,32,17,25,27,25,11,23,22
29,15,11,25,17,21,26,14,15,23,19,19,19,22,20,23,20,16,17,16,27,19,26,26,32,12,21,23,19,25,29,19,27,26,27,10,25
30,19,14,12,24,16,20,24,15,15,23,20,19,19,23,22,21,21,18,18,16,26,21,28,26,30,12,27,26,15,24,25,20,27,25,26,9
31,18,17,14,12,24,17,21,27,15,15,25,22,19,19,24,21,20,20,18,17,18,26,22,29,25,29,11,27,24,11,17,26,22,28,23,25
32,16,17,17,13,12,23,16,22,25,15,15,25,19,20,22,24,19,20,18,15,17,17,21,22,25,23,26,9,26,20,19,16,24,23,26,22
33,21,16,16,17,12,11,23,17,24,23,17,15,25,20,20,22,23,18,21,19,17,16,16,19,22,24,22,23,9,23,19,18,16,23,22,27
34,18,21,15,16,18,11,12,23,15,26,24,17,15,25,20,19,23,24,18,20,19,18,16,15,20,21,24,22,21,9,19,19,16,16,24,22
35,13,18,21,16,16,18,12,12,23,15,25,24,17,16,23,20,19,24,25,17,20,20,19,17,14,21,25,27,24,20,20,20,21,18,16,25
36,18,13,18,20,17,16,19,12,13,22,17,24,23,17,16,25,20,19,24,24,17,19,21,19,19,14,25,27,27,25,21,19,22,21,22,16
37,14,16,14,18,21,16,18,19,10,12,23,17,27,23,17,15,24,20,20,23,23,18,22,22,20,19,16,26,27,26,23,21,22,23,22,22
38,15,14,16,14,16,21,16,19,18,11,12,24,16,25,21,16,17,24,16,19,23,25,18,22,23,20,20,16,27,27,21,25,22,22,25,22
39,15,14,14,16,15,16,21,15,19,17,6,11,24,17,25,20,15,18,23,16,18,23,25,19,22,22,25,21,18,27,18,21,25,23,21,24
40,15,13,14,14,17,15,17,22,15,19,17,7,11,24,18,27,20,14,19,23,17,18,24,26,22,23,25,27,21,17,19,18,22,25,25,21
41,21,16,13,15,16,16,16,15,23,15,20,17,6,10,24,18,25,20,13,20,23,18,19,24,25,22,21,24,26,23,23,19,18,22,23,25
42,17,19,15,14,16,15,17,17,15,23,15,18,17,7,9,24,18,25,20,13,20,23,18,19,25,27,24,22,24,25,18,25,18,18,23,25
43,11,19,19,15,14,15,15,17,17,17,24,16,18,18,6,10,24,17,24,19,13,18,25,18,20,26,31,25,23,20,14,17,27,18,18,24
44,18,11,20,19,17,14,15,15,17,17,17,23,16,18,18,8,10,25,17,26,20,13,20,25,20,18,26,31,24,24,21,14,18,26,20,17
45,18,18,10,19,19,17,14,16,15,17,18,17,22,15,16,19,8,10,24,17,27,20,13,20,25,22,20,25,32,23,24,21,14,18,25,21
46,19,18,17,11,18,20,17,13,16,15,18,18,16,22,15,15,19,9,10,23,16,28,20,13,20,26,24,20,25,31,14,27,22,14,18,26
