ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,31,19,31,30,25,24,25,19,23,30,31,21,15,16,29,20,19,25,31,25,26,34,25,26,32,24,14,28,30,26,27,34,24,25,32,24
1,33,29,18,29,29,27,23,28,21,22,22,30,19,15,16,28,20,21,22,30,25,28,34,26,26,32,22,17,26,29,27,29,35,27,25,33
2,33,29,29,20,29,28,29,23,29,21,20,21,29,19,15,16,27,21,21,20,30,25,27,35,26,26,30,23,15,28,31,27,28,37,27,25
3,25,34,31,30,18,31,28,28,22,28,22,21,22,28,19,15,15,25,20,22,21,30,26,28,35,25,23,31,24,15,23,31,27,29,36,28
4,39,24,29,31,27,18,30,28,29,21,26,21,18,22,28,17,16,14,26,21,23,21,30,24,27,37,28,24,27,24,23,22,31,27,29,38
5,35,40,26,31,32,29,19,29,31,28,20,26,21,17,22,26,17,17,15,26,21,23,21,31,24,26,37,31,24,25,21,22,22,31,27,28
6,41,38,40,26,28,30,29,19,29,31,23,20,26,22,17,22,25,18,18,16,26,21,24,21,32,25,23,37,30,23,27,21,23,23,32,27
7,37,40,36,39,26,30,31,31,21,29,29,24,20,26,22,17,21,27,17,21,16,25,22,24,21,32,25,25,36,31,17,26,22,23,23,32
8,41,37,42,36,40,28,29,31,30,20,26,28,22,22,27,22,17,22,28,17,21,17,24,22,24,22,32,26,24,37,18,17,26,22,23,23
9,44,40,35,42,35,39,29,30,29,31,18,28,28,22,22,26,23,17,22,28,17,20,18,25,23,22,22,32,25,25,18,17,18,27,24,23
10,44,44,39,37,41,36,40,28,33,29,31,18,27,28,22,21,26,21,17,22,26,17,20,20,25,23,24,23,31,27,26,18,17,19,27,24
11,59,46,42,38,37,40,34,39,31,30,30,35,18,26,28,25,21,25,26,16,23,26,18,21,20,28,25,24,24,31,27,26,18,18,21,28
12,59,58,46,41,39,35,40,34,38,29,30,30,35,18,25,27,26,21,24,26,16,23,24,18,21,20,27,25,25,23,18,27,25,18,18,21
13,50,57,58,45,43,41,35,40,35,38,29,31,30,34,18,26,28,26,23,23,26,16,24,25,19,19,20,27,26,24,24,18,26,25,19,17
14,42,49,59,58,45,43,40,40,40,35,39,30,31,29,34,19,26,29,27,23,23,26,17,26,25,18,19,20,28,26,25,24,19,27,25,19
15,39,40,50,57,59,43,45,38,37,39,36,39,30,31,31,34,19,26,29,27,23,24,27,18,24,25,19,19,21,27,23,26,24,20,26,25
16,32,38,39,50,58,59,43,43,37,37,41,39,39,30,34,31,34,18,29,33,26,23,25,27,17,24,24,19,18,20,25,23,26,24,21,25
17,63,36,39,40,48,57,61,41,42,36,36,40,39,39,30,35,34,34,19,30,33,26,23,25,26,19,24,24,21,17,33,25,23,26,23,22
18,41,62,37,39,44,48,56,59,40,44,36,36,40,39,39,31,35,35,33,21,31,32,26,24,25,27,19,24,24,21,30,32,25,24,26,24
