ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,10,14,9,10,17,12,3,12,13,14,9,8,15,18,12,16,11,7,13,6,10,13,7,14,13,15,18,14,14,16,11,12,7,15,12,15
1,15,11,13,8,10,16,12,5,13,11,12,9,9,16,17,11,15,11,10,13,7,11,14,7,14,12,13,19,14,13,7,12,13,7,15,11
2,14,14,10,13,6,9,16,11,5,12,8,9,10,9,15,15,11,16,11,9,13,7,11,14,7,14,8,12,18,14,13,7,12,13,7,14
3,13,14,14,12,14,8,9,17,12,3,8,8,9,10,9,15,14,10,18,11,8,13,9,11,14,5,15,9,12,18,8,13,9,12,13,6
4,27,15,13,13,11,13,8,9,18,12,2,8,9,7,10,9,13,14,9,18,10,9,13,9,11,14,5,15,8,12,10,9,13,10,11,13
5,23,25,14,13,14,12,12,11,8,16,9,2,8,9,10,10,9,14,14,9,16,10,8,13,10,11,15,5,16,6,16,10,8,13,10,11
6,18,23,24,14,13,13,12,14,9,8,16,9,3,8,9,10,10,9,13,13,9,17,10,8,14,11,11,16,5,17,9,17,10,8,14,11
7,18,18,20,24,14,14,12,13,13,10,8,16,9,3,8,9,10,10,9,12,13,9,16,9,9,14,11,11,15,5,14,10,16,9,9,14
8,24,18,17,18,24,14,13,13,13,15,8,8,16,9,3,7,10,10,10,9,12,13,9,16,9,9,14,11,11,15,12,14,10,16,9,9
9,30,25,22,19,18,24,14,14,14,14,11,7,8,16,9,3,7,10,10,10,9,12,13,9,16,10,10,17,11,11,9,12,14,10,16,10
10,29,31,22,20,19,20,22,16,13,11,15,11,8,8,16,8,4,8,9,10,12,9,12,14,8,15,10,10,15,11,11,9,12,15,9,15
