ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,8,4,5,4,3,6,2,5,6,3,2,6,6,7,7,2,4,4,6,6,3,1,6,3,4,6,6,8,4,8,2,2,6,3,4,6
1,4,8,3,6,5,4,6,1,5,6,1,3,6,6,8,7,2,4,4,6,6,3,1,7,3,4,5,6,6,4,6,2,2,7,3,4
2,3,5,8,3,6,5,4,6,1,5,6,3,3,5,5,7,6,3,3,4,6,6,3,1,7,3,4,5,6,6,6,6,2,2,7,3
3,4,2,5,7,3,6,4,4,5,1,2,6,3,3,5,5,7,5,3,3,5,7,6,2,1,7,3,4,5,7,4,7,6,1,2,7
4,3,4,2,5,7,5,6,4,4,5,1,2,6,5,3,5,5,6,5,3,3,5,7,7,2,2,7,3,4,5,3,4,7,7,2,2
5,4,3,6,2,5,7,5,6,2,3,3,1,4,6,5,4,5,5,5,5,3,3,5,7,7,2,2,8,2,4,3,3,4,7,6,2
6,2,4,3,6,2,4,7,5,6,2,2,3,4,4,5,5,4,6,5,6,5,3,3,5,7,7,2,2,7,3,5,3,3,4,7,6
7,3,1,4,3,5,2,4,7,5,6,3,5,3,4,3,5,5,4,5,5,5,5,3,4,5,7,7,3,2,7,5,5,3,4,4,7
8,6,3,2,4,3,5,2,4,7,6,5,4,5,3,3,4,5,5,3,5,5,5,5,3,1,5,7,7,3,2,5,5,5,2,2,4
9,7,5,3,2,4,3,5,2,4,7,6,5,4,5,3,3,6,5,5,3,5,5,5,6,3,1,5,7,6,3,5,5,5,5,3,2
10,1,7,5,3,2,4,3,5,2,4,7,6,5,4,5,3,3,6,5,5,3,5,5,4,6,3,1,5,8,6,3,5,5,4,5,3
11,10,1,6,5,3,2,4,3,5,2,2,7,6,5,5,5,2,3,6,6,5,3,5,5,4,6,2,1,5,7,5,3,5,6,4,6
12,10,10,1,6,5,4,2,4,4,5,2,2,9,6,5,5,6,2,2,6,7,5,3,4,5,4,5,3,1,4,7,5,3,4,5,4
13,11,9,10,1,6,6,4,2,4,4,6,2,6,9,6,5,6,6,2,2,6,7,5,3,4,6,4,5,3,2,6,7,5,3,4,6
14,8,11,9,10,1,6,6,4,2,4,5,6,3,6,9,6,5,5,6,5,2,6,7,5,3,4,6,4,5,3,2,6,7,5,3,5
15,8,8,11,9,10,2,6,6,4,2,4,5,6,3,7,9,6,7,5,6,5,2,6,6,5,3,5,6,4,5,5,2,6,6,5,3
16,7,8,7,12,9,10,2,6,6,4,3,4,5,6,3,6,9,6,7,5,6,5,2,6,6,5,4,6,6,4,6,5,2,6,6,5
17,6,8,8,9,11,10,10,2,6,7,3,3,4,5,6,3,6,9,7,7,5,6,5,2,6,6,5,4,6,6,6,6,5,2,6,6
18,10,6,8,8,9,11,9,10,3,6,8,3,3,5,4,4,2,6,9,7,7,4,5,5,2,6,6,7,4,6,6,5,5,5,2,6
19,11,10,6,8,8,10,10,9,10,5,7,8,3,3,5,4,4,2,6,8,7,7,4,7,5,2,5,6,7,3,7,6,5,6,5,2
20,8,11,10,7,8,9,9,10,8,10,4,8,8,3,3,6,5,5,2,6,8,6,7,4,7,4,2,5,6,7,9,6,6,5,6,5
21,8,8,11,10,7,9,9,9,9,8,12,5,7,8,3,3,8,4,7,2,7,8,6,6,4,7,4,3,5,6,6,9,6,5,5,7
22,9,6,7,10,10,8,9,10,9,10,12,13,4,6,8,3,3,8,4,7,2,5,7,6,6,4,7,5,2,6,2,5,8,6,6,5
23,3,6,6,8,11,10,7,9,10,10,14,12,12,4,7,8,3,3,8,4,7,2,5,8,7,6,7,7,5,2,7,2,5,9,7,6
24,6,3,6,5,8,9,6,7,8,9,10,14,13,13,5,7,8,3,3,8,4,7,2,5,8,7,7,8,7,6,4,7,2,5,8,7
25,8,4,3,5,7,9,9,8,6,7,13,11,12,14,13,5,7,8,3,3,8,5,7,2,5,8,7,6,8,7,8,5,7,2,5,8
26,8,9,5,3,5,8,9,9,8,6,7,12,11,14,15,14,5,9,8,4,3,8,5,7,2,5,9,8,7,8,3,8,5,7,2,5
27,4,7,10,6,3,5,8,9,8,8,8,8,12,10,14,15,14,4,9,10,4,3,8,6,7,2,5,8,8,7,3,3,8,6,7,2
28,6,2,7,10,6,3,5,8,9,8,11,8,7,12,9,13,15,15,5,8,10,4,3,8,8,7,2,5,8,8,8,3,3,8,7,7
29,5,5,2,7,9,6,3,5,8,10,8,10,8,8,9,9,13,16,15,4,7,11,4,4,9,8,7,3,5,8,8,9,3,2,8,7
