ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,15,19,17,23,8,6,13,13,16,18,17,11,11,10,17,16,14,11,17,11,7,15,11,12,9,14,11,15,10,13,8,14,10,12,9,14
1,16,15,14,14,21,11,10,14,12,15,16,17,11,11,10,16,16,13,14,16,12,10,13,10,13,9,15,11,17,12,13,10,13,11,13,9
2,17,18,14,16,14,19,9,11,12,13,12,15,18,9,11,10,18,15,14,15,17,12,10,13,10,13,9,15,13,16,16,13,10,13,11,13
3,18,18,18,19,12,15,18,9,9,12,12,12,16,18,11,13,10,18,14,14,14,16,11,11,13,9,14,11,14,14,13,15,11,11,13,11
4,22,19,18,18,19,15,16,19,10,11,13,12,12,18,18,10,10,10,18,15,14,13,14,11,11,13,10,14,11,14,15,13,14,11,11,13
5,15,22,18,18,17,16,14,16,21,7,9,13,13,11,20,19,10,11,9,18,14,13,13,14,12,11,14,10,18,10,13,13,13,14,12,11
6,16,15,21,17,16,15,17,14,11,17,4,9,13,13,13,20,18,11,12,10,18,14,13,13,13,13,11,14,11,18,17,13,13,14,13,13
7,18,17,15,21,16,17,16,15,16,11,19,7,10,13,13,13,20,18,11,12,11,18,14,14,13,13,13,11,14,11,10,17,12,14,14,13
8,21,17,19,15,21,15,17,18,17,14,11,19,8,10,13,14,13,21,18,11,11,11,18,14,14,13,12,12,10,14,11,10,17,12,14,14
9,22,22,15,17,15,22,17,16,17,17,14,11,19,8,10,12,15,13,21,18,12,12,11,17,15,14,14,15,12,10,12,12,10,17,13,15
10,24,25,21,17,16,14,21,17,16,15,16,17,11,20,9,9,13,15,13,22,18,10,13,10,17,15,13,16,15,12,18,10,13,10,17,13
11,18,21,23,21,17,18,15,21,17,16,14,16,17,13,20,9,9,14,15,14,21,17,11,13,10,17,14,14,17,15,21,18,12,13,10,17
12,34,18,23,24,20,18,16,18,23,19,16,14,16,16,14,19,9,10,15,14,13,21,18,13,13,10,17,15,14,14,13,21,18,13,13,10
13,26,33,18,21,23,20,17,17,19,22,17,16,15,14,16,15,19,10,10,16,14,12,21,18,13,13,11,17,14,14,15,12,21,19,13,13
