ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,16,16,18,20,14,24,9,17,13,16,9,13,17,17,13,21,17,16,18,20,20,22,19,15,19,20,11,18,20,20,20,22,19,16,19,20
1,26,17,16,18,20,12,25,8,15,13,14,8,13,18,15,14,20,16,17,19,20,19,24,18,18,17,19,13,17,19,20,19,23,20,18,18
2,13,23,16,18,18,20,11,25,7,15,14,14,11,15,17,17,15,17,16,15,23,20,17,24,20,18,16,21,15,18,23,20,18,23,21,17
3,24,16,25,17,18,17,20,11,23,7,16,15,13,12,15,17,17,15,18,15,17,22,22,17,25,21,19,16,21,15,17,22,22,18,24,21
4,28,23,17,24,17,17,19,20,12,23,8,17,15,14,14,15,16,18,15,19,15,17,22,22,18,24,21,19,17,21,16,17,22,22,19,24
5,31,28,25,16,25,19,17,16,22,13,22,8,17,15,15,13,16,15,18,15,18,15,18,20,21,18,24,22,20,18,20,16,17,19,21,18
6,27,31,30,24,16,26,18,18,17,22,12,22,8,17,15,16,13,15,15,17,13,20,14,18,21,21,16,24,23,20,13,23,15,18,19,21
7,37,27,32,31,24,15,26,17,19,14,20,12,23,9,16,15,16,12,15,15,16,13,22,15,19,21,23,17,24,24,15,13,23,16,18,19
8,29,35,26,31,31,24,16,25,17,19,13,20,12,24,9,16,14,16,12,15,15,17,12,20,16,19,21,24,17,24,13,16,12,19,17,18
9,35,28,34,27,31,30,25,17,24,16,17,13,20,11,25,8,16,14,16,14,15,15,17,13,22,16,18,20,24,17,16,13,16,13,22,17
10,37,35,27,32,27,30,30,25,15,24,16,17,13,20,13,24,8,16,14,16,14,15,16,16,13,21,18,18,18,24,15,17,13,17,12,21
11,41,36,38,27,34,26,28,31,27,17,25,15,18,13,23,13,24,9,17,14,16,14,15,15,17,13,21,19,16,18,17,14,18,13,18,12
12,31,38,37,35,29,34,26,28,30,26,16,25,15,17,13,23,13,24,9,17,14,16,14,14,17,19,14,22,19,17,15,17,14,18,16,19
13,36,31,37,35,35,27,32,26,29,29,25,16,25,15,17,13,22,12,24,9,20,14,16,14,15,17,18,14,23,19,20,15,17,14,17,16
14,34,35,31,37,36,38,28,32,26,29,27,25,16,25,15,17,13,21,11,23,9,19,14,17,15,15,18,18,14,22,9,20,15,17,15,18
15,35,35,37,30,38,35,36,28,34,26,29,27,25,16,25,15,17,12,21,11,25,9,19,15,16,15,17,17,18,14,23,9,19,16,16,15
16,45,38,34,37,33,36,37,36,29,32,26,29,28,25,16,25,15,17,12,22,11,25,9,19,15,16,16,16,18,19,11,23,9,19,15,16
17,34,45,38,34,36,31,37,36,37,24,32,25,28,27,26,17,26,14,17,13,22,11,25,10,19,15,17,17,19,19,23,11,23,10,20,15
18,48,33,48,37,32,36,28,35,37,39,27,33,23,26,26,26,17,26,14,19,13,22,11,24,10,20,16,16,17,18,13,23,11,23,10,21
19,33,48,32,45,36,32,36,29,37,38,39,29,32,23,26,26,26,17,26,14,19,11,23,12,24,10,20,16,16,18,19,12,23,13,23,11
20,36,33,50,31,46,33,32,37,29,35,39,41,30,32,24,26,26,28,18,27,15,18,10,24,12,25,12,21,15,16,14,18,12,24,12,24
21,39,37,31,47,36,49,34,30,38,27,33,41,39,30,32,24,27,26,28,18,26,16,20,13,24,12,25,12,23,15,26,15,19,14,24,12
22,30,40,37,35,43,37,50,34,30,39,24,32,42,38,30,32,22,31,26,29,19,27,19,19,13,23,10,23,11,24,17,27,17,18,14,23
23,27,32,40,37,34,44,38,48,35,30,39,25,33,42,38,30,32,19,32,27,30,19,30,18,21,12,23,10,21,12,30,16,30,18,19,13
24,41,25,28,40,37,33,45,38,46,34,31,39,24,34,41,37,27,34,21,33,30,28,20,28,20,18,14,22,15,23,29,29,17,29,20,18
25,28,42,25,35,35,40,35,46,35,48,31,28,42,28,37,41,34,31,36,21,31,30,29,19,32,21,17,17,24,15,31,29,30,18,33,21
26,32,24,38,22,33,32,41,38,46,36,54,32,28,38,34,38,40,37,34,39,24,33,29,31,17,32,21,15,17,22,26,32,29,31,16,35
27,33,33,24,38,20,32,32,39,36,44,39,56,33,29,41,34,39,42,37,35,38,23,29,31,30,17,33,24,16,22,40,26,30,30,30,17
28,27,32,32,27,39,21,31,30,37,34,39,42,57,34,33,38,35,39,42,37,33,40,25,29,34,29,16,33,29,14,33,41,27,30,32,28
29,19,27,35,30,27,41,22,30,30,38,33,38,43,58,37,33,35,34,41,41,36,37,40,23,28,30,28,18,31,30,38,37,42,28,28,28
30,35,19,27,31,31,27,40,24,35,30,42,35,39,44,57,36,34,35,32,47,42,33,40,40,23,29,31,31,15,33,40,35,37,41,24,29
31,32,34,19,29,30,30,26,39,25,33,27,43,35,39,44,57,36,31,37,32,44,40,35,40,38,24,26,33,26,17,44,39,36,39,40,25
32,31,33,33,19,25,30,31,28,40,22,36,24,46,36,43,46,55,36,32,40,30,43,43,33,40,37,25,30,33,25,31,42,41,35,38,39
33,33,30,31,34,20,24,31,32,26,40,20,37,24,45,38,40,45,52,37,31,39,29,43,45,32,40,32,25,29,33,40,33,43,41,35,38
34,40,32,33,32,33,20,23,28,33,28,40,21,38,23,44,36,38,43,50,40,32,41,30,42,48,35,39,34,24,36,32,40,32,40,45,37
35,36,40,30,30,33,32,19,22,27,32,29,42,23,37,24,43,35,37,44,45,41,31,44,31,42,51,36,38,37,27,42,30,42,33,39,48
36,28,37,40,29,30,33,32,21,21,26,30,29,42,23,36,25,42,36,35,45,45,39,31,42,31,41,51,38,40,38,47,39,31,41,33,39
37,20,28,37,39,31,31,33,32,23,23,28,30,30,42,23,35,25,40,36,36,46,43,41,34,41,30,38,50,40,39,46,44,41,32,40,31
38,31,18,27,38,40,29,30,33,33,24,22,28,31,30,40,24,34,28,38,35,36,47,43,41,34,41,33,40,50,40,36,46,44,41,36,41
39,35,33,17,27,40,42,32,30,34,35,23,22,28,30,30,42,24,34,30,37,35,37,43,43,42,33,39,33,39,46,35,37,44,43,43,34
40,34,34,32,17,27,41,37,29,34,33,35,23,21,29,29,29,42,23,35,32,38,34,36,44,42,41,36,40,34,39,39,34,36,45,43,41
41,37,35,34,32,19,29,42,39,28,31,33,35,23,19,29,33,29,43,23,36,33,39,36,36,45,43,40,36,44,34,31,40,36,36,47,43
42,32,40,37,35,36,18,28,40,37,30,34,33,35,23,19,30,33,27,44,23,36,34,38,36,37,45,44,42,38,43,36,32,40,36,37,46
43,40,29,40,35,33,34,18,29,40,38,29,34,33,35,22,19,30,32,27,43,23,36,36,39,36,38,50,44,41,36,23,36,34,41,36,38
44,25,40,30,39,35,32,30,18,28,43,38,32,34,31,34,22,19,29,31,27,42,23,35,35,40,35,39,49,44,40,40,23,35,33,42,34
