ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,4,8,3,2,6,8,1,1,2,4,5,1,2,7,5,10,5,2,3,5,4,4,2,2,6,11,6,12,8,6,3,3,2,2,6,11
1,8,4,8,3,3,5,7,None,None,2,3,5,1,3,6,4,10,5,2,4,5,6,5,2,3,7,11,6,10,9,5,4,3,2,3,7
2,1,8,6,8,4,2,6,8,None,1,3,3,5,2,3,6,4,9,5,2,3,5,9,5,4,3,7,11,9,11,3,5,6,4,3,3
3,7,None,9,5,10,6,2,5,7,None,1,3,2,5,3,3,6,5,7,5,2,4,5,8,5,4,5,9,11,8,2,4,5,6,4,3
4,8,7,None,8,4,10,5,2,5,7,1,1,4,3,5,3,3,6,6,7,4,2,4,4,6,5,3,6,8,12,5,2,4,4,4,4
5,7,8,8,1,8,5,8,4,2,5,9,2,2,2,3,6,3,3,5,6,7,5,2,4,4,6,5,3,6,7,8,6,2,4,4,4
6,4,6,8,9,1,8,4,8,3,2,4,9,3,2,2,3,7,3,3,5,6,7,5,1,6,4,6,5,3,6,6,8,6,1,5,4
7,7,6,7,8,8,1,8,4,8,3,1,4,8,3,2,3,3,7,4,3,5,6,8,5,1,6,4,6,6,3,5,6,8,5,1,5
8,5,6,4,6,8,9,1,8,4,8,3,1,4,9,3,2,3,3,6,4,3,5,7,9,5,3,5,4,6,5,3,5,7,10,5,2
9,5,6,6,5,8,7,8,1,8,4,7,2,1,5,9,3,2,3,3,6,5,3,5,7,8,5,3,5,4,6,5,4,5,7,9,5
10,3,5,6,8,4,7,9,9,1,8,4,7,2,2,5,8,3,3,3,3,6,5,3,5,7,8,6,3,6,4,6,5,4,5,7,9
11,3,2,5,5,5,5,6,10,8,1,9,4,7,2,2,5,8,3,2,3,4,6,5,3,5,8,7,6,3,7,4,6,5,4,5,8
12,7,3,4,6,6,7,5,6,9,8,2,9,5,8,4,2,5,8,4,2,3,4,6,5,3,5,8,8,6,3,3,4,6,5,4,5
13,8,8,4,4,6,6,8,6,6,8,9,2,9,5,8,4,1,5,9,2,2,3,4,7,4,4,5,8,7,6,2,4,4,7,4,4
14,8,8,6,3,4,7,6,7,5,5,9,10,1,9,5,8,4,1,8,9,2,2,3,4,7,5,5,5,8,7,2,2,4,4,7,5
15,5,6,9,6,3,4,8,9,8,5,5,9,10,None,8,5,8,4,1,8,9,2,2,5,4,7,5,6,4,8,9,3,2,5,4,7
16,9,4,6,8,7,3,3,6,7,7,7,5,11,10,None,9,5,8,4,2,8,10,2,3,5,4,7,4,6,4,8,9,3,2,5,4
17,8,11,4,6,8,8,4,3,6,7,7,7,5,11,10,None,11,5,8,4,2,7,11,2,3,5,3,7,4,6,2,7,10,3,2,5
18,16,8,12,4,5,8,8,5,5,6,9,8,7,5,11,10,None,11,5,8,4,2,7,10,3,3,5,3,7,4,4,2,7,9,3,2
19,11,15,9,10,6,4,8,7,5,3,9,10,9,7,5,12,11,None,11,5,8,5,2,7,11,3,5,5,4,7,8,4,2,7,9,2
20,6,10,17,9,9,5,4,10,8,4,4,10,11,9,7,5,12,11,None,11,5,8,5,2,6,11,3,6,5,3,5,9,4,2,6,9
21,9,7,11,17,10,9,4,4,9,6,4,4,9,10,11,7,4,13,11,None,11,6,8,4,3,6,10,3,6,6,10,6,9,4,2,6
22,12,9,5,10,16,9,9,4,7,10,5,4,5,9,11,11,7,7,12,10,None,14,5,8,3,3,6,9,3,6,None,12,6,9,4,2
23,4,11,8,8,11,12,9,8,4,7,11,5,4,5,9,10,10,5,8,11,10,None,14,6,8,3,3,6,9,6,9,2,13,7,9,4
24,8,3,12,6,7,12,12,7,9,7,5,9,4,5,4,10,8,10,5,9,10,11,None,15,5,9,4,2,7,8,9,10,3,14,7,10
25,12,8,4,13,8,6,11,13,10,7,7,5,7,4,5,4,10,8,9,5,9,10,11,None,14,5,6,5,4,7,9,9,12,3,13,7
26,11,12,9,4,12,8,5,11,13,8,8,8,4,8,5,4,4,10,8,8,8,8,9,10,1,15,5,8,5,6,6,9,9,12,3,14
27,8,12,14,8,5,11,6,5,11,13,9,8,9,5,7,5,5,6,9,8,8,10,5,8,10,3,17,6,10,4,8,8,7,8,13,6
28,4,8,11,12,8,5,12,7,8,11,13,9,8,8,5,7,5,5,8,11,7,10,9,4,8,10,3,16,5,9,6,9,8,6,7,14
29,9,3,10,11,12,9,7,10,7,5,12,13,9,9,8,3,7,6,4,8,9,9,11,7,4,9,10,3,19,6,9,6,11,9,6,9
30,8,11,3,9,10,12,6,7,9,6,5,14,13,9,9,5,4,7,5,5,8,10,8,9,6,5,8,12,4,19,8,9,6,10,9,7
31,8,8,10,3,9,11,10,6,7,9,8,4,14,13,8,9,5,5,8,5,5,8,8,6,6,6,3,9,12,6,6,8,8,5,8,9
32,9,6,9,10,4,11,10,11,6,7,10,8,4,14,13,8,9,8,5,8,6,4,9,8,4,6,5,2,12,13,7,6,7,8,5,8
33,3,11,7,9,10,4,9,10,9,7,7,10,9,6,14,13,8,9,8,6,7,7,3,9,7,4,9,5,5,10,8,8,5,8,8,5
34,9,4,9,7,8,10,4,12,10,9,7,7,11,11,6,14,15,8,9,10,7,6,11,2,9,8,8,11,9,4,7,8,10,4,9,8
35,9,8,4,8,8,10,10,5,11,11,11,8,7,11,9,7,14,15,8,9,10,7,6,14,5,9,10,10,11,9,9,8,8,12,5,9
36,1,9,9,4,8,7,10,11,5,11,10,11,8,7,11,9,9,14,14,10,11,11,7,9,15,5,9,9,10,12,10,9,8,9,13,5
37,8,3,8,8,5,9,8,10,11,5,10,10,12,8,9,11,9,9,13,13,8,13,12,7,10,15,8,9,9,9,9,12,9,8,9,13
38,5,8,6,9,9,4,8,7,9,12,5,8,10,12,8,10,11,9,9,13,14,8,14,10,8,11,10,8,9,10,13,9,12,8,9,9
39,11,3,9,5,8,10,4,8,8,10,12,5,7,9,12,10,8,11,10,9,13,14,8,16,10,8,11,10,9,8,11,13,9,14,8,9
40,16,10,3,8,5,9,9,4,8,7,12,13,6,7,10,11,12,8,11,10,8,11,14,9,16,10,10,10,10,10,9,10,15,10,14,9
41,8,14,9,3,8,5,8,8,4,8,7,12,13,6,8,13,11,12,8,8,10,8,11,13,9,17,10,10,10,12,9,8,11,14,10,14
42,13,8,14,9,4,8,6,10,8,5,8,7,13,13,6,8,13,11,12,9,7,10,8,12,12,9,18,10,10,10,7,9,8,11,13,10
43,9,12,8,15,9,3,11,6,9,8,4,8,7,14,13,6,8,13,11,15,9,7,10,8,11,12,9,19,10,10,9,7,10,8,11,13
44,6,11,12,8,15,9,3,9,5,9,9,4,7,7,14,13,6,8,13,11,15,9,7,10,8,11,12,9,18,10,13,9,7,10,8,11
45,12,4,10,12,8,15,9,3,9,5,12,10,4,6,7,14,13,6,8,13,9,15,9,7,9,8,11,13,9,18,9,13,9,7,9,8
46,13,9,4,11,10,7,15,9,3,9,5,12,9,5,6,7,15,11,6,8,13,9,17,10,9,9,8,11,13,9,12,9,15,10,8,9
47,15,13,10,4,11,9,7,15,8,3,9,4,12,9,5,6,7,11,11,5,8,12,9,16,8,9,9,8,11,13,8,11,9,14,8,9
48,11,15,13,11,4,11,10,7,15,9,4,9,5,12,8,6,6,8,11,8,5,8,12,9,15,8,9,9,8,11,5,8,12,9,14,8
49,6,11,15,12,9,4,10,10,7,14,7,4,9,5,12,9,6,6,9,11,9,7,8,12,11,15,8,9,9,8,9,6,8,12,10,14
50,9,7,11,15,12,10,4,10,10,7,16,7,4,8,5,12,10,6,6,8,12,9,7,8,12,11,15,8,9,9,11,9,6,8,12,10
51,9,9,7,10,15,12,9,4,10,10,6,16,7,4,8,5,12,9,6,6,8,12,12,7,8,12,11,15,8,9,6,11,11,6,8,12
