ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,27,31,38,28,24,22,21,25,24,22,19,22,19,9,15,15,19,15,14,18,23,14,14,15,16,13,16,17,11,10,25,13,14,15,16,13
1,26,27,29,35,28,23,23,21,24,25,20,17,21,20,10,15,16,17,14,15,19,22,14,14,15,13,13,16,17,11,19,23,14,14,15,14
2,23,26,30,30,35,28,21,20,21,24,22,19,20,21,20,11,13,16,16,13,15,19,22,14,13,15,13,14,15,15,13,19,23,13,13,15
3,40,23,24,27,29,34,28,22,17,20,23,22,20,19,21,18,11,13,16,15,13,16,19,22,14,13,15,12,14,16,12,14,19,22,13,13
4,34,40,24,26,29,29,34,29,22,16,22,23,22,21,20,20,17,10,13,16,13,13,16,18,23,14,14,15,12,13,14,12,14,18,24,13
5,37,33,40,21,25,29,28,32,26,21,16,21,23,22,21,20,19,17,11,13,16,13,13,16,18,23,15,14,15,12,14,15,12,15,18,24
6,38,36,33,42,21,24,32,27,30,24,21,16,19,22,22,19,20,18,18,11,14,16,15,12,15,18,24,13,14,16,15,15,16,12,13,18
7,33,38,33,33,41,21,23,31,28,29,25,21,15,18,22,22,19,20,18,18,12,14,16,16,12,15,20,25,13,14,11,15,15,17,13,13
8,38,36,37,33,31,38,20,21,31,27,27,25,20,16,18,22,23,19,20,17,16,12,15,16,16,12,14,21,26,13,16,11,15,15,16,13
9,33,38,33,37,35,34,36,21,21,29,25,27,26,20,16,18,22,24,19,20,15,16,11,14,16,16,12,13,20,26,17,16,11,15,14,16
10,42,31,38,36,36,35,31,35,22,21,29,25,27,27,21,16,18,22,23,18,20,15,16,11,14,16,16,11,12,20,18,18,16,11,15,14
11,47,44,33,37,34,36,33,31,37,22,21,29,26,27,27,20,15,18,22,25,18,20,16,15,11,14,15,17,12,13,18,17,18,15,11,15
12,24,44,44,33,38,33,35,32,32,34,22,21,29,27,27,28,19,15,18,22,24,18,18,16,15,10,14,15,19,12,20,19,17,18,15,10
13,44,23,44,44,32,36,34,33,34,33,30,20,21,29,27,27,28,18,15,18,22,24,18,18,16,15,11,13,14,19,23,22,19,17,18,15
14,44,43,23,44,48,32,35,33,33,32,32,30,20,22,29,27,26,30,17,15,18,23,22,18,18,15,15,10,12,14,17,25,21,18,17,17
