ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,38,25,33,32,25,33,32,26,27,21,26,36,28,23,16,19,33,25,26,29,20,22,23,19,19,15,14,20,18,32,19,22,22,18,18,15
1,35,38,28,34,30,26,31,30,29,29,17,26,35,29,23,16,19,31,25,27,28,22,24,24,18,18,16,15,19,18,30,22,25,24,18,17
2,34,34,38,26,36,30,26,30,30,29,26,17,27,33,30,23,15,19,30,24,28,28,24,25,22,19,19,18,16,19,26,30,24,26,23,19
3,38,31,35,37,27,31,29,23,29,27,26,27,18,29,31,29,23,15,19,29,24,28,30,22,25,21,19,19,15,16,25,27,31,23,26,22
4,37,37,30,31,38,26,35,27,24,29,25,26,27,19,31,29,29,24,15,19,26,24,28,29,21,25,21,19,17,16,28,25,27,31,22,26
5,41,35,40,33,31,43,25,30,27,24,25,24,24,27,20,32,29,29,24,15,19,29,25,28,29,23,26,22,19,19,19,31,26,28,31,23
6,46,43,39,42,37,34,37,25,31,27,23,25,24,24,27,17,30,28,29,24,15,20,30,27,28,29,23,26,22,19,14,20,32,27,28,31
7,62,48,46,37,33,37,31,36,22,30,26,23,25,24,24,26,18,31,28,29,25,15,20,28,26,26,29,23,25,23,26,14,20,30,27,27
8,49,62,48,43,34,34,35,32,36,26,26,26,23,28,23,27,27,19,31,27,29,27,15,20,28,26,26,31,23,27,30,28,14,20,30,27
9,37,50,64,49,41,35,35,35,32,34,23,26,27,23,27,23,26,26,21,32,26,30,27,16,21,31,26,27,32,22,26,31,28,15,21,31
10,42,37,50,60,46,43,34,33,39,32,32,23,26,27,22,28,23,26,26,22,33,27,30,27,16,20,30,27,27,32,30,26,30,28,15,20
11,38,43,41,51,58,47,42,33,31,35,30,32,23,26,29,23,29,23,26,26,23,33,29,30,28,17,21,32,29,27,23,30,26,30,30,17
12,44,40,43,43,48,60,48,41,32,31,33,29,30,23,25,26,25,29,23,26,27,23,33,29,30,30,18,22,32,29,29,23,29,26,30,31
13,54,44,40,41,41,50,60,49,42,34,30,33,29,29,23,25,27,25,29,22,26,27,22,33,31,31,30,18,23,32,26,28,23,29,26,32
14,53,53,39,41,39,38,50,58,47,41,34,30,32,30,29,22,27,27,25,30,23,27,27,22,34,33,31,31,19,24,25,27,28,23,31,26
15,36,52,55,38,41,41,36,48,58,49,39,33,30,31,30,28,22,26,28,24,31,23,28,27,23,33,34,31,32,19,27,25,28,28,24,31
16,47,34,55,52,36,44,40,38,46,59,52,39,32,31,30,30,27,22,28,29,23,31,22,27,27,23,33,35,31,32,22,27,25,28,28,24
17,36,47,36,55,54,37,43,40,36,47,58,51,40,31,33,29,29,26,22,28,31,23,32,24,27,27,23,32,34,32,28,22,28,26,28,28
18,46,35,45,36,53,52,38,42,40,36,45,58,51,40,30,30,32,29,25,22,29,30,22,31,24,28,30,23,32,35,31,28,21,28,26,29
19,57,49,33,46,38,56,53,36,43,39,37,45,57,50,40,28,31,31,29,25,23,31,31,22,31,26,28,31,23,32,21,33,29,21,28,27
20,43,56,49,35,46,39,53,50,36,43,36,35,46,58,48,39,26,31,30,32,22,24,31,30,22,30,26,30,32,26,26,22,33,28,21,28
21,45,39,54,49,36,47,40,55,48,36,43,34,36,45,56,49,38,26,31,28,32,22,26,29,29,22,32,29,29,31,32,26,24,30,27,21
22,45,46,40,52,45,37,49,35,53,46,34,42,35,36,44,56,50,38,24,30,29,32,24,29,30,27,23,28,30,26,32,32,26,26,31,26
