ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,6,5,8,3,3,4,5,None,None,5,13,4,2,4,7,7,2,8,3,1,4,3,3,None,4,4,2,4,5,1,4,3,3,None,4,4
1,3,5,5,6,4,1,4,5,None,None,8,12,4,2,4,6,6,2,7,3,1,4,3,3,None,4,4,2,4,3,1,4,3,3,None,4
2,9,4,5,5,6,4,1,3,4,None,2,6,12,4,2,6,5,5,2,6,3,1,4,3,3,None,4,4,2,4,3,1,4,3,3,None
3,11,9,3,5,4,6,4,1,3,4,1,2,6,13,4,1,6,5,5,2,6,3,1,4,3,3,None,4,3,1,6,3,1,4,3,3
4,6,12,9,1,5,4,6,4,1,4,5,1,2,7,13,4,1,5,5,5,3,6,3,1,4,3,3,None,4,3,3,6,3,1,4,3
5,9,6,13,9,1,6,3,7,4,1,3,5,1,2,7,12,4,1,5,6,5,3,6,3,1,4,3,4,None,4,6,3,6,3,1,4
6,12,9,7,11,9,1,4,3,7,4,2,3,5,1,2,6,12,4,1,5,6,5,3,6,3,1,4,3,4,1,6,6,3,6,3,2
7,7,12,10,5,12,9,None,4,3,7,4,2,3,5,1,1,6,12,4,1,4,6,5,3,6,3,2,4,3,4,3,6,6,3,6,3
8,12,7,12,9,6,12,9,None,4,3,8,4,2,3,5,1,1,5,12,4,1,4,6,6,3,6,3,2,4,4,1,3,6,6,3,6
9,11,11,8,11,9,7,10,9,1,5,3,8,4,2,3,5,1,1,4,12,3,1,4,6,5,3,6,3,2,5,3,1,3,6,5,3
10,9,9,11,8,11,9,7,10,9,1,5,3,9,4,2,3,5,1,1,4,12,3,1,4,6,5,3,6,3,2,12,3,1,3,6,5
11,6,9,9,10,8,11,9,7,11,9,1,5,3,9,4,2,3,5,1,1,4,12,3,1,4,6,4,3,6,3,4,13,3,1,3,6
12,9,5,9,11,12,8,11,9,7,11,11,None,5,3,9,4,2,3,7,1,1,4,12,3,1,4,6,4,3,6,1,4,13,3,1,3
13,9,8,5,9,11,12,8,11,10,6,11,11,1,5,3,9,4,2,3,7,1,1,4,12,3,1,3,6,4,3,1,1,4,13,3,1
14,10,11,8,5,10,11,10,8,11,9,7,10,11,1,5,4,9,4,2,3,7,1,1,4,12,3,1,3,5,4,7,1,1,4,13,3
15,16,10,10,8,6,9,11,11,8,11,11,7,10,11,1,5,4,9,5,2,3,7,1,1,4,12,3,1,3,5,3,7,1,1,4,13
16,4,16,10,10,7,7,9,11,10,8,13,11,7,10,11,1,5,4,7,5,2,3,7,1,None,4,12,3,1,3,2,3,7,1,1,4
17,9,5,16,11,10,7,7,9,11,10,10,13,11,7,10,11,1,5,4,7,5,2,3,7,1,None,3,12,3,1,5,2,3,7,1,1
18,12,9,4,15,11,11,7,7,9,12,12,10,13,11,7,10,11,1,4,4,7,5,2,2,7,1,None,3,12,3,7,5,2,3,7,1
19,5,13,8,5,14,12,11,7,7,10,13,11,10,14,11,7,10,11,1,4,4,7,5,2,2,7,2,1,4,11,5,7,5,2,3,7
20,7,7,13,9,5,15,11,11,7,6,13,13,13,10,14,11,7,9,11,2,4,4,7,5,2,2,7,2,1,4,4,5,7,5,2,3
21,8,7,9,12,9,6,13,11,10,8,7,13,13,13,10,12,11,7,8,10,2,4,3,7,5,3,3,7,2,1,2,4,5,7,5,3
22,6,9,5,6,12,8,7,13,11,9,7,6,11,12,13,10,12,10,7,9,9,2,4,3,7,5,2,3,7,2,9,2,4,5,7,5
23,9,5,9,6,6,13,6,7,14,10,11,7,8,11,12,13,10,11,9,7,9,9,1,4,3,9,5,2,3,7,10,9,1,4,5,8
24,6,7,5,7,6,6,12,6,7,14,12,12,5,9,11,12,12,10,9,7,7,8,9,1,4,2,8,5,2,3,7,9,9,1,4,4
25,4,7,6,5,7,6,6,11,8,6,17,12,12,6,9,10,12,12,10,9,7,6,7,7,1,3,3,8,5,2,7,6,8,8,1,3
26,6,4,7,8,5,7,6,6,9,7,8,17,12,12,5,9,10,13,11,9,9,6,6,8,9,1,4,3,7,5,10,6,6,9,9,1
27,13,6,3,7,6,5,7,6,6,10,7,8,17,11,12,5,8,9,13,11,8,9,4,5,8,9,2,4,4,7,9,10,4,6,9,9
28,7,13,6,3,9,4,5,5,6,6,11,6,9,18,12,12,4,8,8,12,11,9,9,4,5,9,8,2,4,4,10,10,10,4,6,9
29,7,6,11,7,4,9,5,6,4,6,7,11,6,9,17,12,12,4,8,8,12,11,9,9,4,6,9,8,2,4,11,10,10,10,4,7
30,7,6,6,12,6,4,10,5,6,4,6,7,11,7,9,16,12,11,3,9,8,14,10,9,9,5,6,9,8,2,10,12,9,10,11,5
31,8,7,7,5,13,7,3,9,5,6,3,5,7,10,9,8,16,12,10,4,10,7,13,9,9,12,6,5,8,8,8,9,12,9,11,14
32,5,8,7,7,6,14,6,3,9,3,7,3,4,7,10,9,8,16,10,10,6,10,7,11,8,8,12,5,4,7,6,8,9,12,8,9
