ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,13,13,11,9,10,11,12,12,15,8,10,17,13,6,8,9,16,9,10,20,11,15,15,15,21,17,8,15,15,20,12,15,15,14,20,16
1,12,10,14,12,9,10,6,11,9,15,8,10,17,12,6,7,9,16,8,10,20,10,15,17,13,19,16,10,15,16,20,12,14,16,12,18
2,15,10,10,14,12,10,10,5,11,9,11,10,10,16,14,7,5,8,15,9,11,18,10,18,18,13,17,16,12,17,11,18,13,18,19,12
3,16,12,10,10,14,12,9,12,4,11,8,11,9,10,17,15,6,4,8,15,10,10,21,12,18,17,15,16,14,12,12,11,19,14,18,17
4,13,16,12,11,9,14,12,10,11,6,10,10,12,9,9,17,17,7,4,10,20,9,10,22,13,17,17,15,18,16,19,12,11,19,14,17
5,16,15,15,10,10,8,13,13,9,11,6,10,11,12,11,9,19,17,6,6,11,20,9,11,22,14,19,15,14,18,11,19,12,12,20,15
6,16,17,15,13,9,11,6,15,12,11,11,7,10,11,13,10,8,19,17,8,5,11,21,9,14,22,17,18,16,14,8,11,21,12,14,19
7,21,16,17,16,15,11,10,6,15,12,11,11,8,10,11,13,11,8,19,17,9,4,11,20,9,18,20,18,17,16,9,7,11,21,11,17
8,14,22,17,17,16,15,11,11,7,16,12,10,12,9,9,15,15,12,8,19,18,10,6,10,23,9,16,21,19,17,15,8,9,10,23,11
9,22,15,24,18,17,19,14,11,12,7,18,13,9,13,9,9,15,15,12,9,19,17,10,10,11,23,12,18,22,19,20,15,8,12,11,22
10,22,23,18,25,16,17,18,15,11,10,6,18,12,10,13,9,9,13,16,11,9,23,17,11,14,11,24,14,18,23,11,22,15,9,14,11
11,17,22,22,17,24,18,16,17,14,14,10,6,19,12,9,14,8,10,12,15,12,9,21,15,12,15,11,25,14,18,11,11,21,12,10,14
12,29,15,21,23,18,25,17,16,16,14,16,10,6,19,11,10,16,8,10,12,16,12,9,21,16,12,19,10,25,15,15,13,10,22,15,9
13,18,31,16,21,25,16,24,19,16,17,15,17,11,6,20,11,9,17,10,9,12,17,12,12,19,16,11,19,10,27,11,17,11,13,21,14
14,23,20,30,15,19,24,16,25,15,16,17,18,14,11,7,18,10,9,16,10,10,12,16,11,12,19,18,10,19,11,10,11,17,10,12,21
15,24,22,19,32,16,18,23,14,24,15,17,17,19,14,11,7,17,10,9,15,10,10,12,16,12,11,20,19,10,18,10,10,11,17,11,11
16,32,26,22,18,32,16,17,24,14,24,17,18,17,18,13,11,7,18,10,8,15,10,10,13,17,12,11,19,19,10,15,10,9,11,17,11
17,33,30,26,22,19,31,17,17,23,15,25,18,18,16,18,12,12,6,18,11,8,15,10,11,12,17,10,12,19,16,8,15,10,11,11,17
18,22,31,30,26,21,20,30,16,14,23,13,24,19,16,16,17,14,12,7,18,10,8,15,11,12,12,16,12,12,19,10,8,15,12,13,11
19,17,22,32,29,25,19,18,31,16,14,25,15,25,18,15,16,17,14,12,5,18,10,11,12,13,12,15,15,11,11,17,10,10,14,13,13
20,22,16,26,36,30,29,19,19,32,14,15,25,17,26,18,16,16,16,14,11,6,19,11,12,12,11,14,14,15,12,6,17,11,11,15,12
21,23,20,16,22,31,28,32,23,17,33,16,14,25,18,27,21,17,16,16,13,12,9,20,11,14,12,12,17,14,15,12,8,19,11,12,16
22,20,23,20,16,21,31,26,34,23,19,34,17,13,26,19,26,22,17,17,16,12,13,12,22,8,14,13,14,18,14,12,14,9,19,10,12
23,20,18,23,18,18,22,33,30,30,23,21,30,17,15,26,20,26,21,17,19,14,14,14,11,24,12,14,14,13,17,14,14,15,9,20,14
24,13,21,20,27,20,16,23,36,28,27,25,22,29,17,16,26,20,22,19,15,19,15,12,15,10,21,14,14,13,14,15,17,12,16,8,18
25,24,13,21,20,26,16,13,23,31,28,26,28,20,28,17,16,24,18,20,19,15,17,16,14,17,11,20,9,14,15,15,16,18,15,18,9
26,15,23,14,20,22,22,14,13,22,31,27,24,29,20,28,18,18,26,15,19,18,13,21,17,14,22,12,21,9,14,19,14,20,18,16,21
27,14,15,24,14,20,20,21,14,13,22,28,27,24,29,21,29,18,20,26,18,19,18,12,20,22,15,20,14,20,9,19,19,13,23,22,15
28,11,17,14,23,13,22,22,19,16,13,25,28,23,23,31,21,26,19,22,27,22,19,20,19,22,25,15,17,16,19,22,20,22,19,25,24
29,11,11,17,15,24,14,23,21,16,17,12,25,28,21,23,30,21,24,13,20,27,20,17,22,26,26,28,16,20,19,24,21,20,24,25,28
30,17,9,12,16,18,24,16,24,22,18,18,13,23,27,18,25,32,19,23,15,23,29,22,19,24,24,28,34,17,23,22,24,23,22,24,24
31,19,15,12,12,16,18,24,16,22,27,20,20,13,22,26,18,26,33,19,26,15,24,30,23,24,30,27,30,30,18,15,22,26,24,26,31
32,26,19,15,11,11,17,15,23,15,22,27,20,21,13,22,28,15,26,29,21,26,17,29,32,25,23,26,33,30,32,28,17,21,32,26,27
33,19,23,19,14,10,12,16,15,22,15,24,27,20,21,12,21,27,14,23,25,21,25,19,31,32,21,27,28,31,33,20,29,19,32,32,23
34,19,20,22,18,15,10,11,18,16,23,16,24,27,21,23,13,22,25,17,28,29,25,24,22,32,33,21,33,32,29,27,22,31,20,33,35
35,20,21,21,23,16,12,10,14,17,17,22,16,26,28,21,25,13,24,27,17,29,29,29,27,20,31,35,20,31,29,27,27,23,31,21,34
36,22,20,20,21,22,15,13,10,10,16,17,21,19,25,25,22,26,11,25,25,16,30,33,32,26,23,31,36,22,30,19,29,27,25,30,23
37,21,22,22,19,20,22,12,13,11,11,17,17,21,19,24,25,23,25,11,29,26,17,30,34,31,30,24,30,36,24,27,20,29,30,25,34
38,18,22,21,20,21,21,22,12,13,11,12,15,18,22,19,23,27,23,25,11,31,28,22,32,36,33,32,25,32,38,31,29,23,33,32,27
39,15,17,23,20,18,22,20,23,12,14,12,12,16,17,22,18,26,27,23,25,12,32,28,25,33,36,30,32,24,34,14,30,30,24,33,32
40,23,15,16,24,21,19,20,19,22,14,13,13,12,16,16,21,18,23,27,21,25,13,33,31,27,35,36,30,32,29,23,15,29,31,26,34
41,22,24,16,17,26,20,19,22,19,23,10,12,13,12,18,16,19,18,24,26,21,24,11,34,34,25,34,35,31,35,21,23,14,38,32,26
42,16,20,23,16,17,27,20,22,20,16,23,10,12,13,11,18,16,19,18,24,27,19,23,17,35,32,27,33,35,31,25,19,22,16,38,31
43,36,16,20,24,17,17,26,19,20,20,17,26,11,12,12,11,19,14,19,18,24,28,19,22,17,35,32,25,34,35,21,27,21,20,17,37
44,19,34,17,19,26,15,19,28,19,22,22,19,26,11,12,11,12,18,14,19,17,24,28,22,24,20,36,35,25,36,15,20,28,22,22,20
45,24,18,34,16,19,27,15,18,25,20,22,23,19,26,10,12,11,13,17,14,19,17,27,31,23,26,20,39,31,26,18,16,23,32,24,24
46,28,24,18,33,16,22,25,15,19,25,20,21,21,18,25,10,13,13,13,18,15,17,17,26,26,24,25,20,40,29,16,17,16,23,28,25
47,26,28,23,18,33,16,23,26,15,19,26,21,20,20,19,25,13,13,12,14,18,17,19,16,25,25,27,27,17,39,18,18,20,16,23,27
48,19,25,27,25,18,34,17,22,26,16,21,26,21,20,17,18,25,13,13,12,11,18,17,20,16,24,26,26,28,17,12,19,18,21,16,22
49,22,20,25,29,25,18,32,18,24,26,17,22,26,21,20,17,18,24,13,17,13,11,18,18,21,19,27,26,27,27,13,12,20,17,22,19
50,21,21,18,24,28,26,18,32,18,24,26,18,22,23,20,21,16,18,26,13,17,12,11,19,20,23,19,26,26,26,16,12,12,20,18,24
51,24,21,23,20,24,27,25,19,32,18,23,26,18,20,21,21,21,17,17,28,13,17,14,12,21,21,24,18,27,29,14,16,13,13,21,19
52,19,23,22,22,19,24,25,23,20,32,21,22,26,18,20,22,21,21,17,18,28,14,18,14,14,19,20,24,19,27,26,14,17,15,14,20
53,19,15,23,19,22,19,24,25,24,20,30,20,22,26,18,17,21,22,21,18,18,26,17,19,16,13,21,19,26,19,15,25,16,17,16,13
54,18,19,16,21,18,20,20,25,25,25,18,34,20,22,26,18,17,21,24,21,18,18,25,18,19,17,13,21,21,25,18,16,25,16,17,17
55,23,20,20,15,21,18,20,20,24,24,23,19,33,20,21,25,20,18,20,24,21,19,18,25,20,18,16,13,21,21,20,20,16,26,17,16
56,13,22,19,20,18,23,18,19,19,21,24,23,20,32,22,22,28,19,18,20,24,21,20,18,25,20,17,16,13,21,21,20,21,17,26,18
57,21,13,21,19,20,15,24,17,17,21,22,24,22,18,30,22,23,27,20,19,20,23,22,20,20,26,19,15,16,13,20,21,22,21,19,28
58,21,21,13,21,21,18,16,25,16,16,21,20,24,22,18,31,21,23,27,20,19,20,23,24,26,20,27,16,17,14,20,20,22,23,26,19
59,21,19,18,14,21,19,18,14,23,16,17,22,20,22,22,19,30,21,23,28,19,19,19,23,23,25,21,28,15,15,20,20,21,22,23,25
60,20,22,20,18,15,22,19,18,14,23,17,16,22,21,21,24,18,31,20,20,29,19,19,19,21,26,24,21,28,16,25,20,21,20,21,25
61,18,19,23,16,18,13,22,17,18,14,25,17,16,22,22,20,23,18,31,22,20,29,20,21,18,21,25,26,19,28,20,26,21,22,19,21
62,15,17,19,22,17,18,12,23,16,18,16,25,17,16,21,23,19,23,18,31,22,21,27,20,22,19,22,25,25,19,22,22,26,20,22,19
63,12,13,19,19,24,15,17,12,25,16,19,16,24,17,17,20,25,18,22,18,31,22,21,26,19,21,18,21,26,25,32,20,22,27,20,21
64,11,9,14,20,17,23,16,16,11,26,17,19,16,24,17,16,20,26,17,23,19,32,22,22,25,19,20,18,21,26,19,33,21,23,26,20
65,11,12,8,13,19,17,22,15,15,12,28,17,17,17,24,19,14,22,26,19,23,19,32,22,23,28,20,19,18,22,23,20,34,22,23,29
66,18,11,11,8,16,16,17,22,16,15,11,27,17,18,17,19,19,14,22,26,18,23,18,30,20,22,27,21,19,18,20,23,19,31,21,23
67,27,18,11,11,8,14,17,17,23,15,17,11,29,17,18,17,19,19,12,20,24,16,23,18,28,22,21,27,21,20,20,19,25,19,29,23
68,13,27,19,11,11,7,13,17,16,22,17,17,11,28,18,18,17,19,19,13,19,24,16,24,18,28,21,21,27,21,20,21,19,25,19,28
69,25,13,26,18,11,9,7,12,17,14,22,13,16,11,28,18,16,17,16,19,13,18,24,17,24,19,27,19,20,28,16,20,21,20,25,20
70,19,23,12,25,18,12,9,7,13,18,15,22,11,17,10,27,15,16,18,16,20,11,20,24,19,24,18,27,19,20,18,13,21,21,21,25
71,13,17,21,11,24,17,13,10,7,13,18,15,21,11,16,10,24,15,16,18,16,21,10,20,22,19,24,19,27,20,17,18,12,21,20,21
72,28,14,17,21,12,25,17,13,10,7,13,18,16,21,11,15,8,20,14,15,18,18,18,11,18,22,20,23,21,28,17,17,16,12,19,20
73,13,28,15,16,20,12,23,17,12,10,8,13,15,16,21,11,13,11,19,13,11,18,19,17,11,18,22,22,23,21,13,17,17,16,12,19
74,20,12,29,15,15,20,12,21,17,12,9,8,12,11,16,18,11,12,11,20,14,11,18,17,18,9,19,22,21,23,16,13,17,19,17,10
75,17,19,12,27,17,15,20,10,21,16,12,10,8,10,11,16,18,10,14,11,19,14,11,17,17,17,9,18,22,23,19,15,13,16,17,16
76,12,15,19,11,27,18,16,20,10,21,17,10,10,10,10,11,18,17,9,15,11,21,10,9,17,17,16,11,17,20,11,20,11,11,16,17
77,8,12,13,18,11,24,18,15,20,11,21,17,10,10,10,10,12,16,18,10,16,11,21,10,10,17,17,16,10,17,15,11,20,10,11,16
78,13,9,12,12,18,11,25,17,13,19,10,21,15,11,9,9,9,11,16,17,11,13,10,20,11,11,16,17,16,10,13,13,10,20,11,11
79,9,11,7,10,12,19,11,21,17,12,19,9,20,15,10,9,8,9,10,15,16,10,13,11,18,11,12,16,17,16,16,12,13,11,18,11
80,9,9,11,6,10,12,18,11,21,16,13,18,9,12,15,8,10,8,8,8,14,17,11,13,12,18,12,11,14,17,13,17,12,11,12,19
81,6,7,9,9,6,11,12,15,11,17,16,14,18,8,12,14,9,11,8,7,6,15,18,11,11,10,18,12,9,13,6,14,18,12,10,10
82,5,5,6,8,9,4,10,10,14,10,18,16,15,16,9,11,13,9,5,8,8,5,13,19,10,10,10,19,10,11,6,5,12,18,11,9
83,11,4,4,6,8,8,4,8,9,13,9,10,15,14,16,10,13,13,9,5,8,8,5,12,19,9,10,9,17,10,8,5,4,11,19,10
