ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,54,50,55,48,39,34,42,37,43,51,38,33,47,43,37,38,45,24,39,47,40,39,39,48,31,29,56,36,41,42,40,37,40,47,34,31
1,48,52,48,53,51,40,33,38,37,45,42,39,35,47,44,36,39,40,25,38,45,41,40,36,44,31,31,55,37,42,44,41,38,39,45,35
2,52,49,48,46,53,52,40,35,39,34,39,43,39,36,48,42,39,39,40,25,39,46,41,38,35,42,36,31,52,36,37,47,39,37,37,43
3,70,54,50,49,47,58,51,41,37,38,34,40,44,40,35,47,41,40,37,40,26,42,47,42,34,37,42,35,32,49,28,38,48,40,34,39
4,51,67,52,50,51,49,60,53,42,40,32,33,43,43,40,34,44,40,42,37,33,27,41,49,42,33,39,43,35,32,34,28,40,49,41,33
5,69,54,66,53,49,52,49,61,53,47,35,34,35,44,44,37,36,43,38,43,38,33,28,40,48,39,34,39,44,37,38,35,29,39,49,39
6,56,72,53,66,54,52,53,48,60,52,45,35,33,34,46,47,40,35,42,39,42,36,33,27,41,47,38,34,43,45,45,37,34,29,40,47
7,68,57,74,52,66,55,51,52,50,62,51,45,36,33,34,46,48,40,36,40,37,43,35,33,28,41,48,38,34,43,36,46,36,35,31,40
8,55,71,58,72,55,70,54,50,52,49,59,52,46,40,32,34,46,46,41,38,39,37,43,34,35,31,41,48,39,35,40,37,44,36,36,34
9,61,55,73,58,75,56,70,52,52,53,49,60,54,45,41,32,32,48,48,43,37,39,37,46,32,37,31,40,48,39,40,41,37,47,33,37
10,60,61,57,73,59,75,55,68,50,53,49,48,58,57,42,41,32,30,47,48,42,37,38,39,46,33,40,33,40,47,41,39,42,39,47,33
11,66,59,60,58,74,58,76,56,65,49,50,46,48,58,56,43,40,32,29,49,48,43,39,39,41,44,35,41,32,42,48,43,39,43,41,46
12,62,65,60,59,59,75,61,76,55,68,46,50,48,49,61,56,44,43,35,28,47,48,44,39,37,41,44,37,42,34,46,48,44,39,41,40
13,57,62,66,58,62,61,75,59,75,57,65,46,51,49,51,63,57,42,44,37,26,44,50,46,39,39,40,44,37,42,28,45,49,46,40,43
14,59,54,64,67,60,60,62,73,55,77,58,64,47,53,49,51,64,58,44,44,38,26,45,51,46,39,43,41,42,35,40,28,46,50,46,40
15,66,57,56,63,67,59,62,60,74,52,76,57,64,47,56,50,51,65,57,44,43,38,27,43,53,43,39,44,41,41,43,40,29,45,52,43
16,61,67,57,54,65,68,58,58,62,78,53,74,58,65,47,57,50,51,65,57,44,42,39,27,43,53,45,41,44,41,47,43,40,29,44,52
17,82,62,69,56,55,66,69,59,59,59,78,52,74,58,64,49,57,53,52,66,57,45,41,38,28,44,52,45,42,44,58,47,43,38,30,45
18,53,82,60,71,58,55,64,70,59,61,63,75,54,74,58,63,48,56,53,53,66,57,45,41,40,29,45,52,44,42,65,59,47,43,40,31
19,57,52,80,63,69,59,54,68,71,60,59,63,74,55,74,55,60,50,55,53,52,64,57,48,40,41,31,49,51,47,53,64,60,49,42,41
20,56,56,53,77,65,69,58,55,68,71,62,54,62,74,60,77,57,62,51,54,51,54,65,58,51,40,42,30,50,50,52,53,64,61,52,42
21,63,55,54,55,77,64,68,58,53,72,71,62,55,63,75,61,73,59,62,56,54,50,52,65,58,51,41,45,30,51,50,49,53,65,61,52
22,60,59,52,55,51,80,63,70,60,56,71,75,60,56,60,73,61,71,57,67,56,52,51,52,64,57,51,41,47,30,53,50,50,53,65,59
23,53,64,59,53,55,54,78,67,71,63,57,69,83,61,58,57,70,61,69,56,65,55,54,52,51,63,55,48,44,46,66,53,53,51,52,64
24,44,54,60,60,56,56,53,77,70,65,69,62,67,82,58,63,56,63,62,65,57,69,50,51,52,54,62,51,48,43,55,69,50,52,50,56
25,47,45,53,63,61,57,57,47,74,67,71,65,64,64,87,58,60,57,58,66,64,57,70,49,53,49,52,62,57,47,62,54,70,50,53,48
26,41,47,45,53,63,62,53,58,46,74,69,70,64,67,62,82,56,63,59,58,71,60,55,68,48,52,53,56,57,55,72,66,55,67,50,52
27,53,45,47,42,52,63,61,53,58,43,76,67,75,62,69,67,80,54,57,64,58,66,62,55,66,48,56,57,54,58,63,70,66,55,66,50
28,49,51,43,46,40,49,62,57,55,58,47,78,68,75,56,71,68,77,60,52,62,58,65,67,56,64,46,55,55,54,62,64,69,70,55,64
29,53,53,54,43,48,42,52,64,62,56,60,50,77,69,73,55,69,66,77,60,56,66,60,67,67,60,62,50,53,57,56,66,64,69,69,57
30,50,50,54,56,44,50,45,53,70,59,55,58,53,76,72,70,56,72,62,78,59,57,65,62,60,68,59,62,48,49,59,57,64,65,64,69
31,45,48,50,53,52,43,50,45,53,70,59,54,59,57,77,73,74,59,74,60,76,64,53,71,60,60,71,60,65,50,74,62,54,69,64,63
32,41,43,49,54,51,52,45,50,46,51,71,58,56,57,58,74,70,75,65,71,62,72,60,55,69,65,65,75,61,65,59,72,62,57,69,68
33,51,42,42,49,56,51,51,43,48,50,53,69,62,56,56,61,75,70,74,63,71,62,73,62,55,62,66,66,78,57,69,61,76,64,56,65
34,47,51,41,46,50,60,49,52,42,48,49,53,65,62,57,56,59,74,71,76,64,71,63,74,60,58,64,71,60,77,64,69,63,75,62,59
35,42,48,55,44,45,50,60,47,50,43,49,49,51,65,62,58,54,60,80,70,74,63,72,64,71,65,60,63,75,65,75,63,71,64,72,68
36,39,46,46,54,44,47,47,60,47,50,42,48,47,52,65,65,57,53,59,79,69,76,64,70,71,74,72,59,64,77,69,76,64,72,73,75
37,41,40,47,45,54,44,44,48,61,47,53,42,48,49,54,63,66,57,52,60,80,70,72,63,68,69,75,75,54,71,77,71,73,64,71,70
38,37,44,39,47,47,53,45,45,48,61,49,52,44,49,49,57,63,65,55,55,59,78,72,74,64,70,72,76,78,60,57,80,72,76,63,73
39,48,36,46,38,48,48,54,46,44,45,63,49,52,45,51,51,57,63,65,57,56,60,81,69,72,63,74,73,78,77,57,61,84,70,73,65
40,38,48,35,47,42,49,50,54,46,43,48,62,49,52,44,51,52,58,62,64,57,58,57,78,69,70,65,74,76,78,56,60,58,81,70,72
41,54,39,48,35,45,41,49,50,52,47,45,48,61,49,56,44,49,51,58,60,62,56,60,60,80,69,75,67,78,76,65,56,61,61,81,71
42,45,56,40,47,39,46,42,50,48,54,47,45,48,61,50,56,43,49,50,59,61,60,57,61,61,79,71,74,67,79,58,64,56,62,62,80
43,38,45,54,41,47,38,45,42,52,50,59,45,46,50,61,52,54,44,49,50,59,62,59,58,62,60,80,74,72,68,60,59,63,57,63,58
44,47,37,45,54,42,48,39,44,41,53,49,58,44,47,53,62,52,55,44,49,51,57,62,59,59,61,63,80,74,72,50,60,59,64,59,62
45,45,46,38,46,53,40,46,40,43,41,52,49,57,44,48,55,60,52,55,47,45,52,59,62,63,62,60,64,80,77,47,50,60,60,66,62
46,50,47,46,41,47,52,41,45,37,44,41,50,49,55,42,47,54,60,52,54,47,49,53,59,64,62,59,60,66,83,48,50,52,60,62,66
47,55,48,47,46,37,48,53,39,43,38,44,40,50,49,55,42,47,53,61,54,53,48,49,52,58,65,67,59,60,65,54,48,50,51,60,63
48,51,55,49,46,46,38,48,55,40,48,41,47,38,51,48,55,42,47,53,61,54,52,48,50,53,60,64,65,61,57,55,54,49,52,51,61
49,47,48,55,52,48,44,40,49,56,39,48,40,47,38,52,47,54,42,46,52,61,54,51,48,51,54,61,63,64,61,58,56,55,49,52,54
50,43,43,47,55,51,47,45,41,49,56,40,47,43,46,38,51,47,54,42,47,53,61,53,54,48,50,54,62,64,68,54,61,53,54,49,52
51,45,44,43,48,54,50,45,47,42,50,57,41,45,43,46,36,52,46,52,42,46,53,60,52,56,47,51,53,60,64,47,54,60,52,55,48
52,53,44,46,42,47,56,52,46,47,42,50,56,40,46,43,45,35,54,44,51,41,44,52,60,52,57,47,53,55,60,43,46,53,60,52,56
53,59,52,44,45,42,45,55,51,44,45,44,48,56,40,50,43,44,35,55,44,48,41,44,54,62,52,56,48,54,54,49,42,46,55,62,52
