ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,21,18,25,10,19,24,23,26,18,22,23,21,29,17,21,31,23,25,26,26,32,31,35,36,24,46,31,45,49,35,33,31,34,35,24,46
1,17,24,18,24,12,21,23,23,25,20,24,23,19,32,17,23,31,26,25,23,25,31,36,36,33,26,52,32,43,44,23,33,35,37,33,26
2,24,17,25,15,23,14,19,22,21,25,22,24,23,22,30,17,26,33,27,24,23,27,33,37,40,34,27,53,31,42,25,25,35,36,41,34
3,22,24,17,24,15,23,12,19,22,21,26,23,24,23,21,30,17,27,34,27,25,24,27,33,38,39,34,31,52,32,25,26,25,36,38,41
4,26,22,24,17,24,14,23,12,19,23,21,27,23,26,25,21,29,17,27,34,30,28,24,27,37,40,38,38,31,53,29,29,26,26,39,40
5,24,23,25,26,17,23,15,22,13,19,22,21,26,22,27,26,21,30,19,29,35,31,29,25,28,37,40,36,38,32,35,31,30,27,29,39
6,37,24,23,26,26,18,23,16,23,13,18,26,21,25,21,27,27,21,27,19,30,36,30,29,25,28,44,37,37,36,27,36,31,29,27,30
7,33,40,24,24,24,25,18,24,14,23,12,18,25,21,25,20,26,27,22,28,19,29,38,31,27,25,28,46,37,36,18,26,38,32,27,26
8,35,33,40,23,27,26,25,18,24,15,25,12,18,23,21,26,20,27,31,23,29,20,33,39,30,26,28,28,47,36,32,19,30,36,30,27
9,36,37,34,39,23,31,26,24,19,24,14,25,13,20,23,23,26,19,29,32,23,30,20,32,36,29,25,27,31,47,23,33,19,30,33,29
10,40,38,35,36,39,25,28,26,24,22,24,14,27,14,20,23,22,27,20,31,33,23,30,22,32,35,29,27,27,31,32,23,33,20,30,33
11,24,42,40,38,35,39,25,29,27,24,23,24,14,28,15,21,24,24,28,22,32,34,24,30,24,30,34,30,27,27,32,33,24,32,22,29
12,27,24,42,38,40,35,39,25,27,26,24,22,24,16,28,16,22,26,24,28,22,34,33,22,30,25,31,35,29,29,21,34,33,22,32,23
13,45,27,25,41,37,39,35,41,26,31,26,25,22,23,16,28,16,21,27,24,28,22,35,33,22,28,26,33,36,30,28,21,35,34,22,30
14,45,43,26,26,40,35,36,35,39,27,32,27,25,22,23,17,28,17,22,27,24,28,22,35,36,22,29,25,31,37,26,28,22,35,37,22
15,40,44,44,25,25,41,33,38,36,39,28,32,29,26,25,23,18,27,17,22,26,23,30,22,35,35,23,32,22,31,25,25,29,23,35,36
16,33,41,43,44,26,27,40,33,40,37,39,28,31,31,26,24,25,18,28,17,23,26,25,30,21,34,37,22,32,24,23,25,28,30,22,35
17,31,38,42,44,45,26,26,38,33,39,38,39,28,29,31,29,24,26,18,27,16,26,29,25,31,23,37,37,22,31,16,25,27,27,31,24
18,39,32,37,42,47,47,27,26,40,37,42,40,40,27,29,29,29,25,28,17,28,17,28,30,25,35,25,36,35,22,28,18,27,28,27,34
19,40,37,30,34,39,49,48,27,27,38,33,41,39,40,27,30,29,29,25,28,17,29,20,31,31,25,34,27,38,35,16,29,20,30,29,28
20,32,39,41,33,32,37,52,47,28,27,37,33,41,39,42,29,30,31,29,25,30,16,30,23,30,30,22,35,25,41,28,16,30,21,29,29
21,45,35,39,39,35,35,34,50,48,28,31,38,35,41,40,42,33,29,32,30,25,31,18,31,24,28,31,20,33,27,24,28,18,32,22,27
22,32,47,31,40,40,38,38,33,47,50,29,31,40,35,43,39,45,30,31,31,34,25,30,17,32,26,28,33,23,36,31,25,29,18,32,24
23,29,33,45,34,40,41,37,39,34,46,54,30,31,46,35,40,39,49,31,37,29,34,28,32,19,31,24,31,34,26,29,32,28,32,20,31
24,37,27,33,46,32,36,40,39,41,33,45,54,31,31,47,38,41,40,50,37,36,31,38,29,36,20,31,24,30,39,38,31,35,29,36,21
25,35,34,27,29,46,33,34,43,38,45,33,47,57,28,34,49,39,46,40,52,37,33,35,42,33,37,21,36,22,30,34,36,34,39,33,39
26,34,33,37,25,31,42,34,35,37,40,55,33,49,56,33,34,48,43,48,48,50,41,34,36,46,32,35,26,37,28,50,36,39,34,45,33
27,20,33,34,35,29,32,39,34,35,39,38,51,37,52,58,36,34,52,50,51,48,47,42,40,39,46,30,39,28,40,49,51,37,42,39,46
28,24,22,31,33,38,28,31,40,33,35,38,41,52,38,53,56,37,39,55,56,52,52,49,44,44,49,51,38,39,29,53,53,52,42,47,47
29,28,23,23,30,30,40,32,31,37,35,35,41,42,52,38,52,55,35,37,55,58,50,53,47,49,49,53,60,40,44,59,51,53,52,47,50
30,31,31,23,23,31,31,39,33,28,43,35,34,40,50,52,40,56,59,38,37,58,57,57,51,50,52,55,60,56,39,60,62,55,53,51,50
31,40,28,33,27,21,32,32,37,33,29,44,35,35,37,49,56,42,57,60,36,35,65,57,58,56,52,55,60,62,52,31,62,62,58,56,54
32,23,41,28,31,24,20,30,32,36,34,27,43,36,38,38,51,56,46,57,65,35,37,68,57,57,60,59,55,55,61,35,34,65,59,56,63
33,31,23,41,29,31,23,21,30,33,39,35,27,45,34,40,36,50,57,47,58,65,35,36,72,57,58,62,59,57,50,64,36,34,69,60,60
34,34,30,26,40,30,30,23,22,32,34,41,37,29,46,38,43,38,54,58,50,58,70,36,43,77,59,54,70,59,54,57,68,37,35,74,60
35,28,35,28,25,41,33,31,26,21,35,36,43,38,31,47,40,44,39,55,55,53,60,71,37,41,81,64,58,75,64,56,58,68,39,42,76
36,20,30,34,27,28,42,32,31,27,22,35,35,43,39,31,47,41,44,43,57,53,58,58,68,41,41,75,64,60,74,55,58,57,69,42,41
37,27,20,30,35,29,28,40,31,31,27,22,37,35,43,40,33,46,42,44,43,59,53,60,59,73,41,43,79,66,60,61,57,60,60,72,42
38,22,27,22,30,35,28,27,40,32,31,26,23,37,35,42,38,34,45,44,46,44,62,54,59,61,72,42,46,79,62,48,65,58,61,62,71
39,31,24,27,22,30,37,29,28,41,32,31,26,23,37,35,44,37,34,44,46,47,42,61,57,64,64,73,40,47,81,48,46,63,60,65,63
