ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,43,64,48,45,46,45,33,45,37,29,24,37,35,29,15,22,22,24,20,16,11,14,17,9,12,16,14,6,3,8,12,13,16,9,12,16
1,44,44,64,46,41,42,37,33,42,37,19,25,37,33,26,13,20,21,22,16,16,11,14,17,7,9,13,13,4,5,16,12,14,15,7,10
2,52,45,41,60,43,42,40,32,28,41,31,20,22,35,32,24,13,19,19,20,14,18,12,14,16,8,10,13,12,4,18,17,13,14,14,8
3,43,49,43,41,56,40,40,41,32,24,38,29,20,23,35,31,24,13,16,18,17,14,17,12,12,16,8,9,13,9,17,17,16,13,13,14
4,69,43,46,42,41,52,40,38,40,31,20,38,28,19,23,34,31,26,13,15,16,17,14,17,12,13,13,9,9,13,18,17,17,15,13,13
5,55,66,43,44,41,40,52,38,40,39,29,21,37,26,16,23,32,32,22,13,13,16,17,14,17,12,13,13,8,8,16,18,17,17,15,13
6,50,55,64,44,42,43,38,49,35,39,35,27,19,38,25,16,23,31,31,22,12,14,16,17,14,16,12,13,13,8,10,15,18,17,16,15
7,41,50,56,65,46,43,40,40,46,35,35,35,26,18,38,26,17,23,30,31,23,12,14,16,17,14,17,12,13,11,22,10,15,17,17,16
8,52,40,49,55,62,42,42,41,39,44,35,35,34,26,19,38,25,19,23,28,31,23,12,13,16,17,14,17,11,13,31,22,10,15,17,17
9,66,50,41,49,56,60,42,39,39,41,44,33,33,33,25,20,38,25,19,23,27,31,23,10,13,16,17,15,15,12,26,32,21,9,15,17
10,58,64,51,41,47,53,60,43,38,39,40,44,33,34,32,25,21,34,23,19,23,27,31,23,10,12,16,17,16,16,22,26,32,21,9,14
11,66,55,64,49,44,44,52,59,41,35,39,40,42,32,34,32,25,22,33,21,18,23,27,30,23,10,12,16,17,15,19,22,26,30,21,9
12,57,65,52,62,48,43,44,50,58,42,34,39,38,43,31,34,32,25,22,32,21,18,23,27,29,21,10,13,16,18,20,19,22,26,30,20
13,65,58,65,51,61,45,39,43,49,57,40,35,39,38,42,31,34,34,24,23,33,19,18,23,26,30,19,10,13,17,33,19,19,22,26,31
14,65,66,57,62,51,61,45,41,42,50,56,39,34,38,37,42,30,34,33,23,23,33,20,18,23,26,29,19,10,14,22,33,20,19,22,26
15,66,64,61,57,58,49,60,45,39,41,47,54,39,35,39,37,42,29,33,33,21,23,32,18,18,23,26,30,19,8,23,22,33,19,19,22
16,62,62,64,59,55,56,46,57,46,40,38,44,53,39,33,38,37,42,29,32,33,21,23,32,19,18,23,26,30,19,31,23,22,33,19,19
17,70,66,59,63,56,54,52,48,54,44,38,38,42,53,40,32,38,37,41,29,32,33,21,23,32,19,18,21,26,30,33,31,21,22,33,19
18,50,68,63,59,61,56,50,50,45,54,47,37,38,42,52,39,32,39,36,42,28,32,33,21,24,32,19,18,21,25,27,33,31,20,23,33
19,65,50,70,59,55,57,56,49,45,40,56,40,36,37,42,51,39,32,38,35,42,28,33,29,20,23,33,18,20,22,38,27,34,29,19,22
20,56,64,48,66,60,52,55,50,47,45,39,55,39,36,40,42,48,38,29,37,35,42,27,33,29,19,22,33,16,19,32,38,26,33,30,20
21,56,48,62,45,69,54,51,52,49,44,45,38,52,38,33,36,42,47,39,28,36,35,41,27,31,28,20,23,33,15,33,32,37,26,32,29
22,57,53,46,57,44,66,54,49,51,47,45,44,39,49,37,33,36,42,44,38,26,33,33,38,27,30,28,20,24,32,25,31,32,35,27,31
23,51,54,51,42,52,40,60,51,48,47,46,40,41,38,47,37,31,35,41,41,37,26,34,34,37,26,30,27,16,20,38,25,32,31,36,26
24,55,51,51,49,40,50,38,59,47,44,51,47,39,39,37,47,35,29,31,40,39,34,24,34,33,37,27,27,28,15,42,34,23,32,30,35
25,44,53,50,48,45,37,48,37,55,44,45,45,45,34,36,37,43,35,27,30,41,37,36,24,33,33,37,28,24,24,43,39,35,23,32,29
26,42,42,49,47,45,42,35,47,35,54,43,41,44,42,33,36,37,42,35,25,29,42,33,34,24,32,24,35,26,25,28,43,34,33,23,30
27,46,41,43,50,47,41,41,36,49,34,51,41,38,44,36,33,34,33,40,34,21,28,40,34,33,22,30,20,31,22,22,28,40,34,31,20
28,35,43,38,44,46,43,37,36,33,46,31,47,41,36,42,37,34,34,33,40,31,22,29,39,31,28,22,29,17,27,31,24,28,38,32,27
29,50,38,44,41,41,42,36,38,37,34,46,28,46,41,33,41,36,32,32,32,34,32,20,24,37,29,24,18,28,16,34,31,21,25,37,31
30,38,44,32,41,35,37,43,35,36,34,34,47,28,42,36,29,37,36,29,31,31,33,28,20,23,34,28,22,16,23,30,34,28,21,23,34
31,21,36,45,32,40,33,36,43,35,32,38,33,47,29,39,36,29,34,33,28,28,31,32,25,20,22,34,27,19,17,31,28,34,25,20,23
32,43,21,33,43,29,36,33,31,38,35,31,39,32,48,26,37,32,29,30,29,27,26,27,31,21,16,19,28,26,16,27,28,28,34,22,17
33,38,40,21,32,43,27,36,31,32,37,33,31,38,31,48,25,36,30,27,30,25,25,26,24,32,19,13,20,26,24,24,25,28,27,36,20
34,24,38,39,19,32,40,27,34,30,29,35,29,31,36,32,48,25,36,29,26,27,25,24,23,20,30,20,13,19,22,31,24,25,26,18,33
35,39,24,35,39,19,31,40,26,33,29,26,34,29,30,34,29,44,25,36,28,25,24,24,23,24,18,29,20,11,16,29,29,24,24,27,17
36,25,39,24,35,37,19,30,40,25,32,30,27,34,30,28,33,28,40,25,35,26,22,24,24,23,18,16,29,19,11,26,27,30,24,24,21
37,34,26,38,22,35,36,18,29,38,26,33,30,27,32,30,28,32,27,37,25,35,25,23,25,22,21,19,16,27,18,32,26,27,30,21,23
38,31,33,23,38,22,33,35,20,28,37,26,32,28,26,31,30,26,31,27,36,25,35,27,23,26,22,22,19,15,27,24,33,28,27,29,21
39,46,32,33,23,39,20,37,34,20,29,37,25,30,26,27,31,30,27,29,27,32,24,36,27,24,23,21,23,19,12,30,24,34,28,27,27
40,33,46,28,32,22,37,19,34,34,19,30,37,25,31,26,27,31,29,27,28,25,31,24,34,27,24,24,20,23,20,23,29,24,33,28,26
41,44,32,44,27,30,21,39,20,31,32,19,28,36,25,30,26,26,30,27,27,28,23,31,23,34,27,25,25,21,24,29,22,29,23,33,28
42,41,43,32,44,28,30,20,41,17,31,33,20,25,36,25,29,26,26,30,26,27,30,24,29,22,34,27,24,26,19,27,30,22,28,22,32
43,34,40,41,32,42,28,30,19,37,16,33,33,20,25,34,25,28,26,22,30,26,27,30,24,29,22,34,26,23,27,27,27,30,22,28,22
44,31,32,41,41,29,43,30,27,20,37,17,32,33,20,25,33,24,28,26,22,30,26,26,30,26,29,20,34,26,24,29,27,26,30,23,28
45,33,31,32,41,40,29,43,27,29,19,36,17,32,33,20,25,33,23,27,26,22,31,26,26,30,26,28,19,33,26,22,30,26,26,30,23
46,41,32,31,31,38,40,26,42,29,28,20,36,17,31,33,20,25,35,23,27,28,22,31,25,26,30,24,30,19,32,25,22,30,26,26,29
47,33,37,32,32,30,39,39,27,43,27,29,20,34,17,31,32,18,24,35,22,26,28,22,31,25,27,30,23,28,19,26,25,22,30,26,27
48,39,34,38,33,30,29,38,39,25,42,27,28,20,34,17,31,32,17,25,33,22,27,28,22,30,25,27,28,21,28,22,27,25,22,29,26
49,41,37,33,35,31,29,28,39,40,24,44,27,27,18,32,16,31,32,16,24,33,22,27,26,22,31,25,27,29,20,30,21,27,24,22,30
50,45,41,38,34,34,32,30,28,37,40,26,44,27,27,18,31,16,29,30,16,23,33,22,27,26,22,32,25,27,27,23,31,21,27,24,22
51,43,43,41,33,33,35,31,31,29,38,39,26,44,27,27,18,32,18,29,30,15,23,32,22,27,26,22,29,26,26,17,23,30,20,27,24
52,36,43,43,40,32,32,33,31,31,26,40,37,27,44,27,27,18,32,18,29,30,15,21,32,22,27,24,22,29,27,28,17,22,30,21,26
53,39,36,45,44,38,29,31,32,31,30,28,40,37,27,44,27,25,18,32,18,29,30,17,21,32,22,27,24,22,30,28,28,18,21,30,21
54,30,37,36,42,43,39,30,32,33,32,31,28,40,37,27,43,26,25,18,31,18,29,30,17,21,31,22,26,25,22,17,29,28,18,21,29
55,33,28,37,35,42,40,38,30,32,33,31,29,28,40,37,26,43,26,25,17,30,18,29,30,17,20,31,20,26,26,31,17,29,28,18,20
56,34,32,29,37,34,43,41,38,32,32,33,30,29,28,40,37,26,42,25,25,17,30,18,28,30,18,20,29,19,24,17,33,17,28,28,18
57,37,33,32,30,35,34,43,41,38,30,31,33,30,29,29,38,37,26,40,24,25,17,32,16,28,30,17,20,29,19,25,17,34,15,28,28
58,35,37,34,31,27,34,34,44,39,37,30,31,32,30,29,28,39,37,26,39,24,26,17,32,15,28,31,17,19,27,25,27,17,34,14,28
59,36,31,37,33,31,27,34,32,42,39,37,29,30,30,30,29,27,38,37,25,38,24,27,16,32,16,27,31,16,19,38,25,27,16,34,15
