ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,0,3,6,4,2,6,1,2,2,3,3,3,3,1,5,2,5,4,3,5,5,5,9,9,5,15,10,8,9,9,5,5,9,8,7,15
1,4,2,3,6,4,2,6,2,2,0,3,3,3,3,1,5,3,4,5,4,5,7,8,9,9,5,16,10,8,10,5,6,7,9,8,7
2,9,5,1,3,5,4,2,6,1,2,0,3,5,2,3,2,6,3,4,5,4,5,7,5,10,10,4,16,10,8,4,5,6,5,10,8
3,7,10,5,1,3,5,4,3,6,1,2,0,3,7,2,3,3,6,3,4,4,4,6,7,6,10,9,5,15,10,4,5,6,7,5,10
4,8,8,10,5,2,3,5,4,2,6,2,2,0,3,7,2,3,4,6,3,4,4,6,6,8,7,10,9,4,15,3,4,7,7,8,5
5,6,8,7,10,4,2,3,6,4,1,6,1,2,0,4,7,2,4,3,6,2,4,2,6,6,8,6,11,6,4,2,3,3,7,8,8
6,6,7,8,7,10,4,2,1,6,4,2,6,1,2,0,4,8,2,4,2,6,2,4,2,5,6,8,5,10,6,6,2,3,3,6,8
7,6,7,7,8,7,9,4,2,2,6,6,2,9,1,2,0,4,8,2,4,2,7,3,4,4,7,6,8,5,10,2,7,2,3,4,6
8,5,5,8,6,9,6,9,5,1,2,6,6,2,9,1,3,0,4,8,1,4,4,7,2,4,4,7,6,8,5,4,4,7,2,3,4
9,10,5,5,8,6,9,6,8,5,1,3,6,6,3,9,1,4,0,4,8,1,4,5,8,2,5,4,7,7,9,1,4,4,7,2,3
10,8,11,6,5,8,7,9,6,8,5,2,2,6,6,3,9,1,4,0,4,8,1,4,5,11,2,5,4,8,8,7,1,4,4,10,2
11,6,8,11,6,5,9,8,9,6,8,5,1,2,6,6,3,9,0,4,0,4,8,0,4,3,11,2,5,4,6,4,7,0,4,3,11
12,3,7,8,10,6,5,9,8,8,6,8,5,1,4,6,6,3,9,0,5,0,4,10,0,5,4,10,2,4,4,0,4,8,0,4,3
13,11,3,8,8,10,6,5,9,8,8,6,9,5,4,3,7,6,3,9,0,4,0,4,9,1,5,4,10,4,4,4,0,4,7,0,4
14,5,10,3,7,7,9,6,5,9,7,9,6,9,5,4,3,6,6,4,9,0,4,0,4,10,1,5,4,10,4,0,4,0,4,8,0
15,14,5,10,2,6,6,10,7,5,9,7,9,6,10,5,4,3,6,6,4,9,1,4,0,4,9,1,5,2,10,9,1,4,0,4,8
16,8,14,6,10,2,6,6,9,7,5,8,6,9,7,9,5,3,3,6,6,4,7,2,4,0,5,9,1,4,2,4,8,2,4,0,5
17,7,8,17,6,10,3,6,6,9,7,6,8,6,9,7,9,5,3,3,6,6,4,7,2,4,0,5,8,1,4,7,4,8,1,4,0
18,11,7,8,17,6,9,3,6,5,9,8,7,7,6,9,8,9,5,3,3,6,6,5,7,2,5,0,5,9,1,7,7,4,8,1,5
19,6,10,8,8,16,6,9,2,6,5,9,8,7,7,6,9,9,9,5,3,3,8,8,5,7,2,5,0,5,8,3,8,8,4,9,1
20,9,8,8,8,7,16,5,10,3,7,6,8,7,7,7,6,10,9,9,6,3,2,9,8,5,7,2,6,0,6,3,2,8,8,4,9
21,10,8,8,8,8,7,15,5,8,4,7,6,8,7,7,9,6,10,10,9,6,4,2,9,9,5,8,2,6,1,6,4,2,8,9,4
22,10,10,8,8,8,7,7,15,5,10,4,7,6,8,7,7,9,6,9,11,10,6,5,2,10,10,5,9,2,5,9,6,5,2,8,11
23,6,9,10,7,6,8,9,6,14,8,7,7,5,7,7,7,7,9,8,9,12,9,6,6,2,10,9,5,10,2,12,9,6,5,2,9
24,7,6,7,10,5,7,8,10,5,12,11,8,5,5,6,7,6,8,9,8,9,16,10,7,8,3,10,8,5,10,9,16,10,7,7,2
25,6,8,8,8,11,6,7,7,9,3,8,10,7,5,5,6,7,6,8,9,8,7,16,13,8,10,3,11,5,4,9,8,16,13,7,10
26,8,7,6,8,8,11,6,5,8,10,5,8,12,5,6,6,5,7,7,8,9,11,7,18,14,7,10,3,10,7,9,14,9,17,14,6
27,9,8,6,6,8,8,10,6,4,6,12,7,8,10,5,6,7,7,8,7,8,12,9,6,19,12,6,7,2,10,8,13,11,9,17,14
28,9,10,8,5,5,8,9,10,5,3,9,10,9,10,9,5,9,6,6,9,6,8,13,8,7,21,14,5,8,5,7,7,15,11,11,19
29,10,11,9,8,4,5,8,9,10,5,5,9,9,8,9,9,7,9,9,7,10,6,11,13,10,10,22,14,4,8,10,8,11,15,13,13
30,7,9,9,9,8,3,4,8,9,9,6,4,7,9,8,8,9,7,7,9,8,14,7,14,15,11,10,23,12,3,7,14,8,13,17,13
31,13,7,8,9,8,7,3,2,8,9,12,6,4,7,9,9,10,9,8,6,8,13,16,11,15,17,11,8,17,13,7,7,16,11,15,17
32,2,12,7,7,8,7,7,2,2,8,12,11,6,4,6,9,11,9,9,7,4,13,18,14,10,16,15,9,5,22,5,11,7,12,11,15
33,3,1,12,7,7,8,7,7,2,3,8,12,11,7,4,6,9,10,8,10,8,6,15,17,18,12,16,15,10,11,8,6,14,15,16,11
34,5,3,1,12,8,6,8,8,8,3,4,7,12,11,6,4,5,9,11,7,8,9,4,15,17,18,14,15,12,11,8,9,4,12,16,17
35,13,4,3,1,11,7,6,9,8,8,4,4,7,12,12,8,4,5,9,12,7,10,11,3,19,17,16,14,14,14,8,9,11,4,14,18
36,7,12,5,3,1,11,7,7,10,8,7,4,4,7,12,13,9,7,4,8,12,7,10,10,2,18,17,16,13,14,12,8,9,11,3,14
37,2,8,12,5,3,1,11,7,7,10,8,7,5,3,7,12,12,10,7,4,8,13,8,10,13,4,17,18,16,10,9,13,9,9,12,5
38,3,2,8,11,5,3,2,10,8,7,13,10,8,5,3,7,12,12,9,8,4,9,14,9,12,12,4,18,22,13,4,10,14,10,11,11
39,6,1,2,7,8,5,2,1,10,8,8,13,9,8,4,4,10,13,12,9,7,4,11,15,9,13,11,4,17,24,7,4,13,14,10,13
40,5,6,1,2,7,9,6,2,1,10,8,8,13,9,8,4,5,10,13,11,9,6,4,10,15,9,13,10,4,15,10,6,4,12,13,10
41,6,5,8,1,1,6,8,6,2,1,12,5,8,13,9,8,4,4,10,13,11,11,7,5,12,16,10,12,10,5,11,11,7,5,12,15
42,6,6,5,8,0,1,6,7,6,2,2,12,5,7,13,9,8,3,5,9,13,14,11,7,6,12,17,11,12,9,12,15,11,7,5,12
43,6,7,6,5,7,0,1,6,7,6,4,2,12,5,7,13,9,8,3,6,9,13,15,11,7,7,13,16,10,12,9,13,15,11,7,7
44,6,6,7,6,5,6,0,1,6,7,7,4,2,12,5,7,13,9,10,3,7,9,13,15,11,7,7,14,17,11,7,9,13,14,11,8
45,12,7,6,7,5,5,5,0,1,8,7,7,4,2,12,4,7,12,9,10,3,7,10,13,14,13,8,7,13,17,3,7,10,12,13,12
46,3,12,6,6,7,6,5,4,0,1,8,7,7,4,2,12,6,7,12,9,10,4,9,10,13,14,13,9,9,11,10,4,8,10,12,13
47,9,2,11,6,6,7,6,5,5,0,2,8,7,7,4,4,11,6,7,11,10,10,4,12,10,14,15,12,9,9,10,10,4,10,10,13
48,6,8,2,11,7,7,8,6,5,5,0,2,8,8,8,5,4,11,6,7,11,10,10,4,12,11,13,15,12,10,11,10,10,4,10,10
49,4,6,8,2,11,6,6,8,6,5,4,0,2,8,8,8,5,4,11,6,7,11,10,11,4,11,11,14,15,11,7,11,10,11,5,10
50,7,4,6,8,2,11,8,6,8,6,5,4,0,2,8,8,8,6,4,10,6,7,13,10,11,5,12,11,14,15,6,7,13,10,11,5
51,2,6,4,6,8,2,11,6,6,8,7,5,5,1,2,8,8,8,6,4,10,6,7,13,10,11,5,11,11,13,10,6,8,12,10,12
52,7,2,6,4,6,8,2,11,6,6,9,7,5,5,0,2,8,8,8,6,4,10,7,7,13,11,11,5,10,11,4,10,7,8,12,10
53,7,7,2,6,4,6,8,2,11,6,7,9,7,6,4,0,2,8,8,8,8,4,12,8,7,13,12,12,5,10,8,4,11,8,8,12
54,4,7,7,3,6,4,7,8,2,11,8,7,9,8,5,3,0,2,8,8,8,10,4,11,8,7,13,10,11,5,8,9,4,10,8,8
55,6,5,8,7,3,5,6,6,8,2,13,9,7,9,8,6,3,2,2,8,10,9,10,3,10,8,7,13,10,10,10,9,9,3,9,8
56,10,6,4,7,7,3,5,7,6,8,3,12,9,7,10,8,6,3,2,2,8,10,9,10,3,10,8,7,13,10,8,10,9,9,3,9
57,12,12,6,4,7,7,3,4,6,6,9,3,12,8,7,10,8,6,4,1,2,8,10,10,11,3,10,8,7,13,2,8,10,10,10,3
58,8,12,10,6,4,7,6,3,4,6,6,9,3,12,8,7,9,8,6,4,2,2,8,10,9,10,3,10,8,7,1,2,8,10,8,10
59,4,6,12,10,6,4,7,5,3,4,7,6,10,3,12,8,7,9,8,6,4,3,2,8,9,9,10,3,10,8,4,1,2,8,9,8
60,4,5,6,12,9,6,4,7,6,3,5,6,6,10,3,12,7,7,7,8,6,4,3,3,8,9,9,10,2,10,6,5,1,3,8,9
61,10,4,4,6,12,9,6,4,7,8,4,5,6,6,10,3,12,7,7,7,8,6,5,3,3,8,9,9,10,2,7,6,6,1,2,8
62,2,11,4,4,6,12,8,6,4,8,8,4,5,6,6,10,3,12,7,7,7,8,6,5,3,3,8,10,9,10,7,7,6,6,1,2
63,3,2,10,3,4,6,11,8,6,4,8,8,4,5,6,6,10,3,12,6,7,7,8,6,5,3,3,8,10,9,7,7,7,6,6,1
64,0,3,2,10,4,4,6,9,8,6,5,7,7,4,5,6,6,10,3,13,6,8,8,8,6,5,3,3,8,10,6,8,8,7,6,6
65,2,0,2,2,10,4,4,6,9,8,4,5,8,7,4,5,6,6,10,3,13,7,8,8,8,7,6,3,3,8,12,7,8,8,7,6
66,6,2,0,2,2,9,4,4,7,8,9,5,6,8,7,4,5,6,6,9,3,13,7,8,8,7,7,6,3,3,3,14,7,8,8,7
67,8,6,2,0,2,2,8,4,4,6,8,9,5,6,8,7,4,5,6,6,9,3,11,7,8,8,7,6,5,3,9,3,12,7,8,8
68,3,8,6,2,0,2,2,6,4,4,7,8,9,5,6,8,7,4,5,6,6,9,3,11,7,8,8,7,6,5,7,10,3,12,7,8
69,3,3,8,6,2,0,2,2,6,4,5,7,7,10,5,6,8,7,4,5,6,6,8,3,11,7,7,8,7,6,6,6,9,3,12,7
70,3,4,3,8,6,2,0,2,2,5,4,5,7,7,10,4,6,8,5,4,5,6,6,8,3,10,7,7,8,7,5,6,6,9,3,11
71,6,3,4,3,8,6,2,0,2,3,5,4,5,7,7,11,4,5,8,6,3,5,6,6,7,3,10,6,7,8,3,5,6,6,8,3
72,6,6,3,4,3,7,6,2,0,2,2,5,5,5,7,7,12,4,5,8,6,3,5,6,6,7,3,9,6,7,6,3,5,6,7,8
73,0,6,6,3,4,3,6,6,2,0,2,2,5,5,5,6,7,12,4,5,8,6,3,5,6,7,7,3,8,6,6,6,3,5,6,7
74,3,0,5,5,4,4,3,6,5,1,0,2,2,6,5,5,6,6,10,4,5,8,6,3,3,6,7,7,3,8,5,6,6,3,3,6
75,4,1,0,5,5,2,4,3,6,5,2,0,2,2,6,5,5,6,6,10,4,5,8,5,3,4,6,7,7,3,5,5,6,5,3,4
76,7,4,1,0,4,5,2,4,3,6,4,2,0,2,2,6,5,5,6,6,10,4,5,8,5,3,4,6,7,7,9,5,5,6,5,3
77,2,7,5,0,0,3,5,2,3,3,5,4,2,0,2,2,5,4,5,6,5,10,4,5,8,5,2,4,6,7,5,9,5,5,6,5
78,0,1,6,5,0,0,3,5,2,4,2,4,4,2,0,2,2,5,3,5,6,3,10,4,4,8,5,2,4,6,6,4,9,5,4,6
