ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,33,50,61,41,37,43,52,42,48,40,43,35,36,36,25,32,30,28,29,29,32,27,30,30,27,32,33,39,38,31,30,27,29,30,26,33
1,64,36,48,57,40,33,44,56,43,47,36,43,34,36,34,26,32,33,28,32,29,32,28,29,30,26,33,33,38,38,28,33,29,28,32,22
2,47,63,43,47,55,36,33,43,52,37,42,37,40,34,36,30,27,32,34,28,33,30,33,28,29,31,27,33,33,36,29,28,34,29,27,29
3,43,46,64,39,48,55,39,33,45,52,33,43,38,41,34,37,30,27,35,35,27,33,30,34,30,27,33,28,29,31,27,29,28,36,31,20
4,52,43,50,63,42,50,54,37,31,46,47,32,42,37,39,35,35,31,27,36,34,28,31,30,34,31,28,31,27,27,31,28,29,28,37,30
5,52,54,44,52,63,43,52,55,36,34,44,49,32,42,39,39,36,36,30,27,36,34,25,31,31,34,30,29,30,27,35,32,26,29,29,35
6,63,53,55,45,53,64,41,53,57,35,37,45,50,32,43,38,40,38,37,29,27,36,34,26,34,32,35,31,29,30,27,36,33,26,31,30
7,42,61,57,55,45,50,66,41,50,58,32,39,45,50,33,43,39,39,39,35,30,27,34,34,27,33,31,35,30,30,30,27,34,33,25,31
8,55,43,63,56,55,45,50,64,42,47,58,33,38,45,51,34,43,41,38,38,34,30,28,34,34,27,32,28,36,30,36,33,27,35,31,25
9,50,52,44,62,55,54,45,51,65,43,45,58,33,37,47,51,38,42,40,38,40,34,29,28,35,34,26,32,26,37,37,36,33,29,36,31
10,47,47,53,44,64,55,57,47,51,66,47,45,58,33,38,47,49,38,39,42,37,39,34,29,29,35,34,28,29,26,37,38,36,33,29,36
11,59,45,48,53,46,63,55,55,43,52,64,46,45,57,34,39,47,47,37,41,43,36,39,33,30,28,33,34,28,30,44,36,38,35,34,29
12,44,58,44,48,54,43,64,56,55,42,52,62,46,45,57,35,38,50,47,38,41,45,38,39,34,32,28,33,31,28,45,46,38,36,36,35
13,58,42,57,44,47,55,44,67,54,54,44,52,62,46,45,54,37,40,50,48,38,41,48,36,39,34,32,30,34,31,38,45,48,36,37,36
14,64,57,44,56,45,47,53,44,67,54,57,43,51,62,46,45,54,39,41,51,49,37,42,47,35,42,33,32,30,35,49,37,45,47,37,39
15,71,65,57,45,57,46,46,54,44,64,57,58,43,51,62,47,45,54,40,43,52,50,37,43,46,36,41,34,33,30,48,48,37,45,46,37
16,53,70,63,58,43,57,44,49,53,45,66,56,57,44,51,63,46,48,54,41,45,50,52,38,43,45,35,41,35,35,41,46,49,38,45,45
17,57,56,69,61,58,42,57,46,50,53,46,66,56,56,44,50,65,45,45,53,42,44,50,53,39,43,46,37,40,35,41,40,47,49,40,44
18,47,57,54,68,60,57,42,55,46,50,52,47,68,56,56,43,48,66,45,46,52,42,43,49,54,38,42,46,36,41,53,41,40,47,58,39
