ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,15,15,12,18,19,15,16,14,8,14,14,16,18,15,10,11,10,12,8,13,11,13,6,10,5,12,7,9,5,12,9,11,7,10,8,11
1,18,16,15,13,17,17,16,15,13,8,12,14,15,17,15,12,13,12,11,8,15,10,11,6,10,7,13,9,10,6,11,9,10,7,11,9
2,21,17,16,15,12,16,16,19,15,12,10,11,13,15,17,16,13,13,12,12,7,16,10,11,5,10,6,13,8,10,7,11,9,10,7,11
3,17,22,16,15,17,12,16,16,19,16,12,10,11,13,15,15,15,13,13,12,12,7,15,10,9,6,11,7,13,10,14,7,10,9,11,8
4,20,17,22,16,13,14,11,17,16,18,14,12,10,12,11,14,16,16,15,12,12,13,9,16,7,10,7,11,8,12,13,15,8,11,8,11
5,18,18,17,20,15,15,13,10,17,18,15,12,12,11,12,11,14,15,16,16,11,13,12,9,13,6,9,8,11,8,12,13,13,7,13,8
6,21,19,18,17,18,15,13,13,10,17,16,16,12,12,11,11,16,16,13,16,17,11,13,12,7,13,7,10,8,11,16,10,12,13,7,13
7,19,22,18,17,18,17,17,14,13,9,15,16,17,13,13,12,11,16,15,13,16,17,11,13,12,7,11,7,10,8,14,16,10,12,14,7
8,26,17,20,17,17,18,19,16,14,13,8,15,16,17,14,13,11,13,16,15,13,16,17,11,13,13,6,11,9,12,14,14,15,10,12,14
9,19,23,19,20,19,17,19,19,17,13,15,8,15,16,18,15,15,11,13,16,15,13,16,18,8,14,12,6,11,9,16,13,13,15,11,12
10,24,18,22,19,21,19,16,19,19,15,14,16,9,17,19,18,15,16,11,13,16,16,14,17,16,9,14,12,7,12,19,17,12,14,15,11
11,29,25,20,23,21,21,18,19,18,19,15,16,14,9,18,19,17,15,16,11,13,16,16,13,14,14,8,14,14,7,12,19,17,11,12,13
12,31,28,26,20,23,19,22,19,18,19,17,15,16,14,9,18,19,17,14,16,11,13,16,16,10,14,15,9,13,14,11,11,18,17,11,12
13,24,28,28,24,20,24,19,22,18,17,18,17,15,15,14,10,18,19,18,16,16,11,13,16,11,10,13,15,11,13,14,10,11,18,10,11
14,23,25,27,28,24,20,23,19,22,18,18,19,17,15,15,13,11,18,19,18,16,16,11,15,15,11,11,13,15,11,13,14,10,12,18,10
15,36,25,25,29,27,23,21,24,18,22,17,19,18,17,15,17,13,10,17,19,17,15,16,11,11,16,12,11,14,15,18,13,13,10,12,19
16,31,37,25,25,31,27,21,21,24,19,24,18,19,18,16,13,18,13,11,16,18,17,15,16,7,11,17,11,12,13,19,18,12,13,10,12
17,48,30,35,25,25,30,27,21,20,24,19,24,18,19,18,16,13,19,13,12,16,18,17,15,12,7,11,18,12,12,14,20,17,11,13,10
18,28,47,29,33,26,27,30,26,20,22,25,19,25,18,19,18,15,14,20,13,13,17,18,16,12,12,9,11,18,13,9,14,20,16,11,13
19,17,27,49,30,36,25,26,31,26,19,26,27,17,26,20,21,21,19,14,22,12,14,17,17,14,13,13,10,11,20,15,10,13,20,16,11
20,24,15,27,50,29,33,27,27,34,26,18,22,27,17,25,20,20,20,19,15,21,14,14,17,14,14,13,14,11,11,23,16,10,13,13,16
21,18,26,16,27,46,28,35,27,25,34,26,16,24,27,17,22,21,20,20,19,16,20,13,14,12,11,14,12,14,11,16,24,14,11,14,11
22,19,22,25,15,29,40,29,36,28,24,38,23,18,25,24,17,26,21,19,20,19,18,19,14,11,12,11,15,14,16,17,17,25,15,11,14
23,21,19,20,25,15,27,37,30,33,27,24,37,22,18,23,25,17,25,23,19,17,19,17,18,13,11,12,12,14,13,15,16,16,25,15,11
24,23,19,15,19,23,17,28,37,28,31,33,25,35,23,18,22,24,16,24,25,18,19,20,18,16,14,10,14,12,14,18,15,17,16,11,16
25,21,23,18,15,21,22,16,27,36,28,28,26,26,36,22,18,22,25,14,26,25,16,18,20,15,16,13,10,14,12,26,17,15,18,15,11
26,15,21,24,17,13,22,17,16,26,35,31,26,26,26,37,20,19,22,25,14,26,27,14,18,22,14,17,14,9,15,29,28,14,16,18,14
27,17,13,20,22,16,12,21,19,17,22,36,30,26,25,25,38,21,20,22,25,12,26,25,15,19,22,14,15,17,8,15,30,29,16,17,18
28,16,18,13,21,22,16,15,22,19,18,23,35,29,26,27,22,36,21,21,21,25,12,28,23,11,18,16,16,13,17,27,15,32,29,15,16
29,18,13,17,14,21,21,16,18,22,19,17,24,38,27,27,29,20,37,21,18,20,27,11,28,22,13,16,14,15,12,22,28,14,32,16,15
30,17,18,14,16,15,21,20,17,18,20,21,15,23,38,27,26,28,19,39,21,20,19,26,10,21,18,12,16,15,13,17,20,29,13,19,13
31,18,17,17,16,17,14,20,18,16,18,22,19,14,18,36,26,26,31,17,37,20,15,18,27,9,23,19,13,16,15,21,14,19,29,13,21
32,14,18,16,18,18,17,13,21,18,16,17,20,19,15,18,34,25,26,29,17,35,19,13,19,20,10,23,17,13,13,39,21,14,22,20,14
33,22,13,17,15,18,18,17,14,22,17,14,18,22,19,16,18,33,25,24,30,15,33,17,13,16,21,12,21,13,13,13,42,22,14,20,21
34,24,22,13,17,15,17,15,17,17,22,16,14,19,21,20,15,19,31,26,22,30,17,37,19,13,13,21,10,21,11,27,15,44,22,13,17
35,21,23,22,13,17,16,16,16,16,17,23,17,15,22,20,18,19,19,29,26,21,29,16,36,14,11,15,21,11,20,20,29,15,45,13,12
36,17,23,23,23,14,18,16,14,16,16,16,23,17,15,22,20,18,18,19,28,25,21,28,18,29,16,11,16,22,12,27,19,28,15,25,14
37,19,17,23,23,22,14,18,15,16,15,15,16,23,16,16,22,20,19,18,21,28,25,19,28,18,26,13,10,17,21,31,30,17,27,15,22
38,15,20,16,21,23,22,12,17,15,17,16,16,16,21,16,17,20,19,18,18,20,27,24,17,27,14,26,13,10,17,20,30,31,15,27,13
39,12,15,21,17,20,23,22,13,17,16,15,17,16,16,20,15,15,19,18,18,17,20,26,23,11,27,14,27,11,9,15,18,29,31,15,26
