ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,19,20,19,24,15,21,12,14,10,11,15,11,11,9,9,16,8,16,8,12,19,16,15,7,11,17,31,21,23,16,19,16,15,6,11,16
1,24,17,17,19,23,15,22,15,16,10,13,15,11,9,11,10,18,8,16,8,13,16,17,12,8,15,22,34,21,28,13,19,17,13,9,15
2,17,26,16,17,17,21,14,23,14,15,10,13,14,10,9,13,10,16,10,16,9,14,15,19,13,11,17,27,34,21,9,13,19,18,14,12
3,19,16,25,17,15,17,21,15,22,14,14,11,12,9,9,9,16,8,16,8,16,10,12,15,17,17,12,19,28,30,15,9,12,18,16,16
4,21,18,16,26,18,18,17,20,15,22,15,15,11,14,11,9,10,17,10,14,9,17,10,10,16,17,17,13,21,26,10,15,10,12,18,17
5,13,20,18,16,26,19,17,15,21,16,23,17,14,11,14,12,10,10,18,10,11,9,17,11,9,16,18,17,13,23,11,10,16,11,11,18
6,21,12,21,20,18,26,19,19,16,22,18,22,18,14,14,14,13,11,11,16,10,10,11,16,9,11,17,19,17,12,10,11,13,16,10,12
7,11,21,14,22,19,17,25,18,20,15,21,18,22,17,15,13,13,13,11,11,16,11,11,11,16,11,10,19,19,19,16,10,11,12,17,12
8,22,11,21,14,23,19,18,24,18,21,15,22,17,22,16,15,13,13,13,12,11,15,13,12,10,16,12,14,22,18,12,16,10,11,12,16
9,26,19,11,22,13,24,19,16,24,17,21,15,21,17,22,14,17,14,13,13,13,11,16,14,12,14,14,13,14,20,12,12,17,14,11,14
10,26,28,17,11,22,12,25,18,16,23,17,20,13,20,17,23,14,17,18,15,14,14,13,15,15,12,13,12,15,14,13,12,15,14,15,12
11,29,24,28,17,13,22,10,25,17,16,21,16,20,12,20,16,20,14,17,18,15,15,14,13,14,16,13,13,11,16,13,13,14,14,14,16
12,13,31,24,29,16,13,22,11,24,17,19,20,17,20,12,21,17,18,14,18,18,14,17,16,13,14,15,15,13,15,17,17,16,13,12,13
13,23,15,29,25,29,17,15,22,10,24,17,19,20,17,20,12,21,17,19,11,21,18,13,17,15,16,17,16,14,14,20,20,14,17,15,15
14,19,23,15,31,26,28,16,16,20,10,25,16,20,18,17,20,13,21,18,18,12,21,18,13,17,16,16,18,15,15,13,21,19,14,17,14
15,24,20,24,15,33,26,30,16,15,18,12,25,15,18,18,18,21,12,22,18,19,13,22,18,14,22,16,17,19,14,19,13,22,18,15,19
16,19,24,20,25,14,32,27,30,16,16,20,12,25,14,17,18,19,22,12,23,18,19,14,23,18,14,24,18,17,18,17,17,15,22,18,14
17,13,20,24,21,23,14,33,26,29,17,17,20,12,24,13,17,18,17,22,11,24,17,20,14,23,18,15,23,17,16,23,17,20,15,23,18
18,18,12,21,22,20,24,15,30,25,26,18,16,22,12,23,13,16,18,17,22,11,23,17,21,13,25,19,15,21,17,11,25,19,22,15,25
19,18,17,12,17,23,19,26,14,30,26,27,18,18,23,12,25,13,17,17,19,22,11,24,18,21,13,25,22,15,21,22,11,23,20,20,15
20,14,23,19,15,17,22,18,25,14,29,26,26,19,19,22,12,25,13,17,17,20,19,11,22,17,20,14,27,22,18,20,20,11,22,19,19
21,20,17,22,19,15,20,22,19,23,14,30,26,27,19,18,21,13,24,17,15,17,21,19,11,20,18,22,14,27,22,17,17,22,12,21,20
22,20,20,17,20,20,17,20,23,20,25,15,30,28,29,19,18,21,14,22,17,15,15,21,19,11,25,18,23,14,28,14,17,17,24,13,25
23,28,23,23,18,20,21,17,22,22,24,26,15,30,27,29,16,21,22,13,22,19,16,14,21,20,12,25,19,25,17,20,14,15,20,25,13
24,18,29,20,22,20,23,25,14,22,22,25,27,18,27,23,29,17,21,21,17,26,16,18,17,19,23,14,32,20,31,26,20,17,19,21,28
25,21,19,27,20,22,23,22,25,14,24,20,25,28,20,27,23,28,22,22,19,21,26,18,18,26,20,24,19,35,26,21,27,21,20,25,22
26,33,20,22,28,21,20,24,24,25,16,22,19,26,30,20,24,19,28,23,22,19,22,29,18,20,26,22,32,23,39,20,21,31,20,23,26
27,28,29,18,20,28,20,18,23,25,25,19,21,18,29,32,22,22,21,32,22,21,20,20,29,19,22,25,31,32,24,22,20,22,30,21,24
28,20,29,26,17,19,29,18,20,25,24,26,19,18,20,30,34,23,23,22,32,25,22,18,18,30,22,25,33,29,36,27,22,20,21,31,26
29,30,19,28,28,18,20,28,21,22,26,23,26,21,18,21,33,38,29,22,24,30,25,21,17,20,30,26,26,37,29,29,28,24,20,22,32
30,28,31,20,26,23,19,18,30,21,21,26,26,26,19,19,21,36,33,30,26,24,31,25,18,22,26,33,29,24,36,28,30,26,23,24,28
31,24,26,31,20,25,25,17,20,27,22,22,25,27,29,22,18,28,34,33,31,26,28,30,20,18,26,32,37,31,23,27,29,28,22,23,31
32,25,25,26,32,19,24,24,16,19,28,19,22,23,23,28,23,19,30,34,32,29,27,25,29,25,21,32,39,44,36,27,28,28,29,26,28
33,24,26,23,26,32,18,24,24,16,21,27,19,24,23,25,27,26,20,28,32,29,30,27,24,27,22,27,36,40,47,32,32,26,26,27,26
34,23,23,26,24,28,31,18,24,23,16,21,26,19,23,22,26,26,27,19,30,33,31,30,25,25,33,25,34,36,38,34,32,29,24,27,32
35,17,22,21,27,22,29,28,18,25,22,18,21,27,21,23,22,24,28,28,19,31,33,34,28,25,22,37,30,41,35,32,34,35,26,23,26
36,18,17,23,21,28,21,29,28,17,26,22,18,20,26,21,24,25,25,32,29,21,34,39,33,29,25,24,39,32,43,21,32,37,34,27,24
37,10,18,18,22,20,29,22,29,30,17,27,23,18,19,25,20,22,27,28,32,30,23,33,38,32,33,30,27,41,36,27,21,36,36,34,30
38,9,10,18,19,20,18,28,22,29,29,18,27,23,17,19,25,19,22,27,29,31,29,20,31,39,32,36,31,26,36,32,28,23,34,39,35
39,22,9,10,18,20,22,19,26,21,29,30,20,27,23,18,18,28,22,23,27,33,30,29,19,29,40,36,40,33,26,33,32,29,23,33,39
40,24,19,8,10,15,20,22,18,24,21,26,30,19,26,24,18,18,31,26,24,27,35,30,28,21,28,39,38,38,30,27,33,31,27,24,31
41,11,24,19,8,11,15,21,23,17,25,22,26,32,19,25,23,19,17,31,26,25,29,35,29,30,22,28,44,39,39,23,28,35,31,29,25
42,8,12,25,20,7,11,14,22,23,16,23,21,26,31,19,26,22,18,16,30,26,24,27,33,31,31,24,29,42,43,26,23,28,33,32,30
43,15,9,12,25,20,8,11,14,22,22,17,23,20,25,32,19,29,22,18,16,31,26,26,26,31,31,32,26,31,38,30,27,26,26,33,34
44,13,14,10,12,25,20,7,11,14,22,22,16,22,20,24,32,19,31,21,18,17,30,25,26,25,28,31,33,26,31,17,31,26,26,25,31
45,19,12,15,11,12,26,20,8,12,14,22,22,16,23,20,26,32,19,29,22,19,17,28,24,28,24,30,32,34,28,20,17,29,25,27,24
46,19,19,11,16,12,14,25,19,8,12,15,22,22,18,23,20,28,33,19,29,23,21,19,28,25,27,24,29,31,35,22,20,19,28,25,28
47,16,18,19,10,16,12,15,25,21,8,14,14,22,22,18,24,20,28,34,17,31,22,21,19,27,27,26,24,29,35,32,22,22,19,27,27
48,22,16,18,20,9,16,12,11,25,20,9,13,14,22,23,17,23,20,28,33,17,32,21,20,19,26,28,29,24,32,17,32,23,21,20,27
49,14,22,15,18,21,9,15,11,11,25,20,9,13,14,22,22,17,23,20,28,33,18,33,21,20,18,27,26,29,25,33,17,33,23,21,19
50,17,15,22,15,19,22,10,15,11,12,25,20,9,13,13,23,23,18,26,22,28,33,18,33,22,21,19,28,30,29,28,33,17,32,23,22
51,19,17,16,24,16,18,21,11,15,12,13,25,21,9,12,14,24,23,18,26,21,28,33,18,32,21,22,21,29,29,21,29,34,18,31,22
52,11,18,17,16,24,17,18,20,11,17,13,13,25,21,9,12,14,23,22,18,26,22,26,34,16,32,21,24,21,29,28,21,27,35,17,31
53,11,10,18,19,15,24,16,19,21,12,19,13,13,26,20,9,12,14,23,22,18,27,22,26,33,18,33,20,24,22,17,29,21,27,35,18
54,9,12,9,16,18,15,25,16,20,21,14,19,14,12,26,21,9,14,14,23,22,20,29,23,26,35,19,34,22,25,20,17,30,21,26,36
55,8,11,12,9,18,19,16,27,17,20,22,14,18,14,12,24,20,12,14,15,23,21,20,28,24,27,36,19,34,24,21,20,19,28,22,27
56,13,8,11,14,9,19,19,17,27,18,19,22,14,18,14,13,25,21,13,14,15,23,20,20,27,23,25,37,19,32,16,21,19,19,27,22
57,14,14,8,11,13,9,20,20,17,28,20,20,22,14,18,14,13,24,21,12,14,15,22,20,19,28,21,26,37,19,13,16,21,18,18,27
58,20,15,14,7,10,15,8,19,22,15,27,20,20,23,14,19,13,15,24,21,12,15,15,21,22,18,27,20,26,35,10,13,17,21,20,18
59,19,20,14,15,6,11,13,7,20,22,16,28,20,20,23,15,18,13,14,24,21,12,15,16,22,22,18,28,21,26,21,10,14,18,21,21
60,18,18,19,16,15,7,11,12,8,20,21,12,28,19,20,23,18,18,13,15,24,21,11,15,17,21,21,18,30,22,25,21,10,14,18,21
61,11,17,17,19,15,15,7,11,11,8,21,21,12,28,19,18,23,18,17,13,15,23,21,7,15,17,22,21,18,30,14,26,21,7,14,18
62,8,12,17,16,18,15,15,8,11,11,9,20,20,12,27,19,18,22,18,17,12,15,22,21,7,16,19,23,23,18,12,14,24,21,7,15
63,11,8,12,17,16,17,16,15,8,11,11,10,20,20,13,26,18,17,23,18,14,11,15,22,21,6,16,21,23,22,16,12,14,23,21,7
64,7,12,7,12,16,16,17,15,14,8,11,13,10,20,18,14,26,17,17,23,18,14,12,13,23,21,7,14,22,23,20,16,11,13,23,21
65,4,7,11,7,12,16,16,17,14,14,9,11,13,10,18,18,12,26,17,17,22,17,14,12,13,23,21,7,13,22,22,20,16,11,13,22
66,12,5,5,12,6,12,15,16,17,15,17,9,11,14,10,17,18,12,26,16,16,21,16,14,12,13,22,23,7,14,17,22,18,17,11,13
67,8,14,4,5,12,6,10,15,16,18,15,17,8,11,13,10,17,19,12,26,16,15,20,15,15,11,13,20,23,7,16,17,21,17,18,10
68,10,7,14,4,5,9,6,9,14,16,18,15,16,8,11,12,10,17,19,12,26,15,15,20,15,16,11,14,20,22,25,16,16,21,17,19
69,13,9,6,14,4,4,10,7,9,14,16,18,15,16,8,12,12,11,17,19,12,26,15,14,21,15,16,10,14,20,13,26,16,16,22,17
70,5,13,9,6,14,3,4,8,6,9,16,17,18,15,14,9,12,12,11,16,19,13,26,14,14,21,15,18,10,14,18,13,25,15,16,22
71,10,5,14,9,7,14,4,4,8,5,12,15,15,18,15,14,9,12,11,9,16,18,14,26,14,15,21,15,16,10,18,18,14,25,16,16
72,7,9,6,12,10,9,14,3,3,8,5,12,15,16,19,15,15,8,12,10,9,16,18,14,26,17,15,20,15,16,10,18,17,14,25,17
73,2,6,9,6,11,8,8,17,2,2,8,5,12,15,15,19,15,15,8,10,10,8,15,18,14,25,17,15,18,13,10,10,16,17,14,24
74,10,1,6,9,6,12,8,6,14,3,2,8,5,12,13,14,20,15,15,8,9,9,7,14,18,14,24,17,13,18,9,10,7,15,17,14
75,5,9,1,6,9,6,13,7,6,12,5,2,8,5,12,12,14,20,16,15,7,9,10,7,14,13,14,23,17,16,7,9,10,7,15,13
76,3,6,9,None,6,10,6,12,7,6,13,5,2,7,3,11,12,13,19,17,14,7,8,10,7,15,13,15,19,16,14,7,8,10,7,15
77,4,1,6,9,None,6,9,6,11,9,8,15,4,2,7,3,10,12,11,18,16,13,6,7,10,8,17,12,16,19,16,14,6,7,10,8
78,1,3,1,5,9,1,5,9,5,11,10,7,12,4,2,7,1,10,10,10,19,16,14,6,7,8,8,16,12,15,19,16,13,6,7,8
79,3,1,3,1,4,9,1,5,9,5,8,10,6,12,4,1,6,None,10,9,10,18,12,13,6,7,8,8,15,12,11,19,12,12,6,7
80,3,3,None,3,1,4,10,1,5,9,4,8,7,5,11,6,None,5,None,10,9,9,17,12,13,6,6,8,7,13,10,10,18,12,12,6
81,2,2,3,None,4,None,3,8,1,5,10,4,8,6,5,11,4,1,5,3,9,9,9,17,13,13,6,6,8,7,8,10,10,18,13,11
82,4,1,2,3,None,6,None,5,8,1,4,10,6,8,5,5,9,4,2,5,3,8,9,9,16,14,13,6,5,7,3,8,9,10,17,14
83,1,4,None,2,2,None,5,None,6,7,1,4,10,6,7,6,4,8,4,2,5,3,6,9,8,16,12,12,6,5,4,4,5,9,9,17
84,3,1,2,1,2,1,None,7,None,4,8,1,1,10,6,6,5,4,7,4,2,5,3,6,8,7,16,11,9,5,2,4,3,5,8,8
85,2,3,3,2,1,1,1,None,1,1,2,8,1,None,10,6,6,5,4,8,4,2,4,3,7,8,7,17,11,8,4,2,3,3,5,8
86,2,2,2,2,1,1,1,None,1,1,1,1,10,1,None,10,5,5,2,7,7,4,2,2,3,7,7,7,14,11,6,4,2,2,3,5
87,2,2,2,1,1,1,1,None,None,1,1,1,1,10,1,None,9,5,6,2,7,7,4,None,2,3,4,7,5,10,6,6,4,None,1,3
88,1,2,1,1,1,1,1,None,None,1,1,1,1,1,10,1,None,9,4,6,1,7,6,4,None,2,3,2,6,4,1,6,6,4,None,1
89,1,1,1,1,None,1,None,None,None,1,1,1,1,1,1,7,1,None,8,5,6,1,4,5,2,None,3,2,2,6,6,1,4,5,2,None
90,2,2,2,2,1,1,1,None,1,1,1,1,None,1,None,1,5,None,None,6,5,4,1,2,4,2,None,2,2,2,4,6,1,2,4,2
