ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,8,7,3,8,5,7,4,8,5,11,3,10,10,14,8,14,6,14,14,14,10,4,11,15,12,12,6,12,12,11,10,5,11,15,12,11
1,4,6,7,4,8,5,9,6,7,3,10,3,10,10,14,8,13,6,16,14,14,12,4,12,14,10,14,9,14,11,14,13,5,12,14,10
2,7,5,6,8,4,6,5,7,4,6,4,10,2,8,10,13,8,13,6,17,14,16,13,5,12,11,10,16,9,12,14,15,14,7,12,12
3,6,7,4,5,8,5,5,5,8,6,6,4,8,2,9,10,13,8,12,6,15,15,12,14,6,12,12,9,15,9,15,14,13,12,7,12
4,9,7,9,4,6,6,4,5,5,7,4,6,3,9,2,10,10,12,10,10,8,14,14,12,14,6,12,14,11,15,6,14,13,14,12,7
5,7,10,8,8,5,7,7,8,6,6,8,4,7,3,11,2,11,10,11,10,9,6,13,14,14,13,5,12,14,11,9,5,13,13,15,11
6,9,5,11,9,7,7,6,7,7,7,5,8,4,7,3,11,2,11,10,11,9,8,7,13,15,13,11,4,11,14,9,8,6,12,14,14
7,17,9,7,11,8,8,7,7,9,7,6,5,7,5,7,4,13,3,11,9,13,8,9,6,13,13,16,13,5,12,13,8,8,6,12,13
8,16,18,12,7,10,8,9,9,8,10,8,6,5,7,5,7,3,13,5,11,8,13,9,9,7,16,14,16,13,5,9,13,9,9,7,15
9,9,15,16,11,7,10,9,8,8,9,9,8,6,5,6,5,8,4,15,5,11,8,12,8,10,9,18,14,15,15,11,9,12,8,9,8
10,17,9,15,11,12,4,10,9,8,9,10,9,8,7,4,6,5,8,6,14,5,11,8,11,7,11,8,18,14,15,5,11,9,11,7,10
11,15,17,9,15,13,12,6,12,9,8,8,10,12,9,7,4,5,6,9,7,14,6,11,8,11,8,10,8,18,15,13,6,11,9,11,8
12,16,15,16,10,14,14,12,9,9,10,7,8,10,12,10,7,4,5,6,10,7,12,6,12,8,12,7,9,8,19,6,12,6,12,9,12
