ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,13,9,13,17,11,11,16,10,14,6,9,11,3,7,9,10,4,8,6,13,8,6,4,7,12,11,10,3,10,6,7,6,4,7,12,11
1,10,14,7,15,17,11,11,14,10,13,5,9,11,4,5,9,12,4,8,3,15,10,6,4,7,11,10,10,3,12,13,9,6,4,7,11
2,17,11,13,7,12,16,11,13,14,11,12,5,10,11,4,5,9,12,3,8,3,16,10,6,5,7,11,9,11,3,4,14,9,6,5,7
3,19,18,11,13,7,12,15,10,11,14,13,13,6,10,12,6,5,9,12,3,9,2,14,10,6,5,6,9,10,11,8,3,13,9,6,5
4,12,19,17,9,14,6,12,14,11,10,14,16,13,5,9,12,7,5,9,12,2,8,1,14,9,6,6,6,9,10,2,7,2,13,8,6
5,15,10,19,17,9,14,6,12,14,9,10,14,16,13,6,9,10,7,6,9,12,2,8,1,14,7,7,6,5,9,12,2,7,2,13,6
6,19,16,9,19,18,9,14,7,11,14,10,12,13,16,13,7,9,10,7,6,9,12,2,8,1,15,7,7,6,5,10,12,2,7,2,14
7,14,19,17,12,17,18,10,16,6,12,12,8,12,13,17,12,7,9,9,7,5,9,11,2,8,1,14,6,6,6,4,10,11,2,7,2
8,17,14,19,17,10,17,18,10,15,6,14,15,11,12,14,16,12,9,9,9,7,5,8,11,2,8,2,14,6,6,7,4,9,11,2,7
9,14,15,14,22,17,9,17,18,11,15,5,13,15,11,12,15,16,13,10,9,9,8,5,8,11,2,7,2,14,6,9,8,4,9,11,2
10,11,13,15,13,19,16,9,18,18,12,18,6,13,15,11,11,15,17,13,11,9,9,8,5,8,11,3,8,3,13,10,10,8,4,9,11
11,14,10,13,18,15,19,16,9,18,18,10,16,6,14,15,10,11,14,17,13,11,10,9,8,5,8,12,3,7,3,10,11,9,8,4,9
12,18,13,7,14,16,15,19,15,10,17,17,9,16,7,14,16,11,11,14,17,12,11,10,9,8,5,8,12,2,7,11,10,10,9,8,4
13,14,18,12,8,16,17,16,20,16,9,20,16,9,16,7,13,16,11,11,14,16,13,11,10,9,8,5,8,12,2,16,11,10,10,9,8
14,13,14,17,12,7,16,15,15,19,16,10,20,16,9,17,6,14,16,11,11,14,16,13,11,10,9,9,5,9,12,14,17,11,10,10,9
15,14,13,14,17,12,7,15,13,15,19,17,10,20,16,10,17,6,14,16,11,11,14,16,13,11,10,8,9,5,9,8,14,17,11,10,10
16,24,13,13,14,16,13,6,16,14,13,19,17,10,20,16,11,17,6,14,16,11,11,14,16,13,11,10,8,9,5,10,8,14,16,11,10
17,16,24,12,12,15,16,13,7,16,14,15,19,16,11,21,17,11,17,6,14,16,12,11,14,15,13,12,10,8,9,17,11,8,14,15,11
18,14,16,24,15,14,16,17,13,8,16,18,15,19,14,12,19,17,11,16,6,14,15,11,11,14,15,12,13,9,8,13,15,10,8,14,15
19,16,15,16,23,14,13,16,18,14,9,18,17,13,21,14,12,19,17,10,16,6,14,16,11,12,15,14,14,12,9,6,13,17,10,9,15
20,20,16,15,15,25,12,14,16,18,14,8,18,18,14,20,13,11,19,17,10,15,5,14,16,10,12,14,14,13,13,16,5,13,16,10,9
21,19,19,14,14,14,24,14,16,14,17,15,7,18,19,15,19,12,12,19,18,9,14,5,14,16,11,12,13,15,13,10,15,5,13,16,11
22,14,15,19,15,15,11,26,13,13,13,18,14,9,18,18,13,20,10,12,18,18,10,13,4,16,16,11,12,13,16,17,11,14,4,15,16
23,12,12,16,19,15,13,10,25,12,14,15,18,16,10,17,15,14,17,10,12,17,18,12,13,4,17,17,13,11,13,17,18,12,13,4,16
24,11,10,17,16,17,16,14,11,24,13,16,15,17,15,10,18,16,13,17,10,11,18,17,13,13,4,18,17,13,11,10,19,17,14,13,4
25,12,11,10,12,16,19,13,13,14,23,8,12,15,14,12,11,17,17,13,15,11,11,17,18,12,16,6,18,19,13,12,10,18,17,13,15
26,12,11,9,10,11,17,16,11,13,13,25,9,12,13,14,10,12,16,16,13,15,9,11,18,17,11,17,5,18,18,15,10,10,19,17,12
27,15,13,10,9,9,12,14,16,9,14,14,23,8,13,15,14,9,11,17,13,11,13,10,12,20,17,13,14,3,16,11,13,11,11,19,17
28,17,13,11,11,9,10,12,13,13,6,14,14,24,11,14,13,15,8,11,15,12,9,13,12,13,21,20,12,13,3,16,10,13,12,12,20
29,9,14,13,11,11,9,9,11,13,14,6,14,14,23,15,13,12,15,9,11,15,14,9,13,12,13,20,17,12,14,14,16,10,13,12,12
30,11,10,13,13,14,10,9,10,14,14,14,7,13,14,22,16,15,12,15,8,12,13,16,11,13,11,17,19,15,14,12,13,18,12,12,12
31,10,10,9,16,13,13,9,11,9,17,14,14,7,13,12,21,16,14,12,15,8,11,10,15,11,13,13,14,21,14,8,12,10,17,12,13
32,14,10,10,9,15,15,13,10,12,11,18,17,14,7,13,13,21,16,17,11,16,10,11,10,16,13,13,15,14,21,15,10,13,11,17,14
