ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,38,38,47,36,24,31,30,34,37,34,40,34,25,38,36,39,46,37,55,50,41,39,38,62,61,54,51,66,76,67,41,39,36,57,61,55
1,43,37,37,48,38,27,31,30,33,36,37,42,34,24,40,37,45,47,39,55,53,40,42,40,62,65,59,55,72,70,51,42,43,39,60,64
2,43,43,38,40,49,38,26,31,32,35,38,37,41,33,25,41,37,44,51,41,54,51,42,40,40,63,61,66,53,70,56,49,44,39,40,62
3,49,43,42,40,40,51,37,27,35,32,37,39,38,37,34,26,40,40,44,53,41,57,51,42,42,43,63,60,69,56,42,55,50,43,39,42
4,42,48,44,42,42,38,53,36,28,36,32,38,37,41,36,33,30,42,40,44,51,41,57,52,41,45,43,63,60,67,49,42,55,50,42,40
5,57,44,48,41,42,43,39,52,37,28,38,32,37,38,39,38,36,32,44,41,48,51,44,55,53,39,49,44,59,58,46,50,46,56,51,42
6,63,59,43,48,39,41,43,40,53,36,31,39,32,39,38,40,38,36,37,43,40,50,52,43,49,52,42,52,38,65,39,48,53,45,53,50
7,58,63,58,44,48,41,44,44,43,52,36,30,40,35,40,42,42,38,36,37,44,41,50,54,47,50,51,46,48,41,44,39,48,55,48,54
8,66,59,64,57,45,49,43,44,45,43,55,37,28,37,35,41,41,44,38,38,37,44,37,49,51,46,51,51,46,48,35,41,37,49,52,47
9,58,69,62,62,60,49,50,41,44,44,45,53,39,29,38,34,41,41,44,37,38,39,45,37,50,54,51,55,53,43,37,38,43,36,49,54
10,68,61,66,61,64,58,51,50,42,42,45,45,52,39,29,38,33,42,45,45,38,38,35,45,36,51,54,50,55,57,38,38,34,43,35,52
11,67,68,62,67,61,68,59,52,50,43,42,44,45,52,41,30,37,35,41,47,45,36,38,35,46,36,52,54,50,61,41,37,36,35,43,34
12,72,66,66,63,66,61,71,61,53,50,45,42,42,45,54,41,33,37,35,43,48,45,36,39,37,46,39,55,52,51,49,42,36,36,37,44
13,68,76,68,66,66,66,63,72,62,53,51,52,42,42,47,55,43,32,37,37,42,50,47,35,40,37,46,42,60,50,40,45,44,36,39,38
14,59,68,77,71,66,65,69,65,76,60,54,51,48,42,44,47,54,43,32,35,37,44,51,49,35,40,38,47,47,56,39,42,46,45,36,40
15,62,62,70,77,69,62,66,72,65,73,62,55,50,49,43,45,47,55,43,31,34,37,45,50,47,40,41,41,50,43,33,40,42,46,45,41
16,64,66,59,73,77,69,62,65,72,65,72,63,55,51,51,44,47,49,57,42,32,30,43,45,49,50,43,41,43,55,33,31,44,43,45,48
17,71,63,71,61,71,78,71,64,67,75,64,73,63,57,51,52,44,52,50,57,43,33,31,46,44,47,50,47,47,43,41,34,31,46,44,44
18,56,73,61,71,58,75,75,72,64,66,75,65,73,63,56,53,52,44,54,50,57,45,33,36,49,46,45,50,47,47,60,45,34,36,48,44
19,52,60,76,61,68,62,76,78,72,66,69,75,63,74,66,56,56,54,46,57,52,56,44,34,36,48,46,44,47,51,52,59,45,35,38,47
20,57,55,60,79,63,71,65,79,78,75,65,69,77,65,74,67,56,60,52,47,57,55,60,43,36,38,49,49,48,45,55,54,61,46,37,41
21,43,58,55,60,78,63,77,67,85,75,75,67,71,74,65,77,71,60,63,51,50,59,58,64,46,41,41,52,49,46,48,57,57,68,50,41
22,62,46,58,58,58,79,63,78,68,81,76,71,70,67,75,69,78,71,60,63,51,50,58,60,65,47,43,41,54,50,50,50,59,60,71,52
23,60,62,46,58,53,58,76,64,80,67,89,79,72,72,73,81,75,82,76,61,64,55,54,61,59,73,45,50,46,54,62,54,51,59,59,80
24,58,62,66,45,58,60,59,83,69,77,68,89,78,76,77,72,82,78,87,81,66,67,53,60,63,62,77,53,48,48,65,63,55,60,63,60
25,48,61,61,67,48,62,59,60,86,70,84,71,85,80,76,79,74,90,83,92,83,71,72,56,61,67,71,77,59,51,85,66,69,56,59,64
26,60,50,63,64,67,53,62,60,63,92,71,83,71,87,78,82,86,78,88,86,91,88,77,71,65,62,67,70,82,66,91,88,69,68,62,62
27,60,64,53,65,66,66,55,66,61,62,97,78,84,72,91,75,80,91,81,83,89,87,96,70,67,71,57,70,80,75,91,94,96,71,65,67
28,50,64,61,52,56,68,67,59,67,65,62,98,73,86,74,95,75,85,97,87,88,91,89,102,64,71,68,64,70,88,87,93,98,104,64,71
29,52,48,68,65,51,56,65,64,64,72,68,66,102,75,85,76,99,79,90,101,87,86,97,88,108,69,75,68,74,69,88,86,89,94,108,70
30,49,55,52,68,63,50,56,64,64,68,71,67,68,96,80,82,80,102,82,92,105,86,89,100,93,110,76,85,84,71,106,86,91,93,94,115
31,58,53,59,51,71,68,51,56,65,63,66,72,67,67,94,80,87,84,110,84,89,109,85,96,100,97,110,83,91,84,88,108,89,97,93,96
32,68,54,53,61,50,71,66,55,55,67,62,62,72,65,67,96,82,85,89,111,92,82,118,85,102,96,108,114,83,87,88,91,116,86,102,88
33,76,72,52,54,61,51,71,67,51,57,70,62,62,71,67,69,93,85,86,92,113,87,87,110,94,104,103,109,109,85,113,85,88,111,92,105
34,64,79,73,54,52,62,51,72,68,49,54,69,64,60,76,68,71,90,85,84,95,114,93,84,111,97,111,111,113,109,95,114,87,90,110,93
35,65,64,78,73,56,54,63,51,73,67,51,55,71,64,64,77,69,71,91,85,89,103,126,97,82,115,98,113,121,117,92,98,120,96,89,116
36,59,66,65,76,75,56,54,63,54,76,65,56,55,71,64,61,77,74,75,93,90,95,109,127,97,88,115,102,110,124,88,95,101,126,94,93
37,58,58,68,67,78,77,60,54,67,53,80,67,57,55,76,67,63,78,76,74,94,91,94,106,125,96,92,118,99,110,91,88,97,99,122,94
38,57,60,58,71,67,75,76,61,55,67,53,79,68,57,55,74,70,63,80,76,76,97,93,92,104,126,97,98,116,101,79,94,92,94,106,122
39,47,57,60,60,71,64,74,76,63,56,69,52,77,69,56,56,71,68,65,82,77,77,96,89,92,107,126,106,98,120,76,79,97,88,93,110
40,51,46,56,62,61,71,66,79,77,67,58,70,52,75,68,56,57,73,71,69,79,77,76,103,84,97,114,132,118,96,77,77,79,104,87,100
41,56,55,46,55,61,61,77,67,79,77,68,60,69,53,76,69,56,59,77,75,68,82,77,76,101,87,100,111,134,117,67,79,78,79,104,91
42,42,54,54,47,52,64,63,76,67,83,80,74,60,68,52,76,68,57,61,79,78,69,84,78,78,101,88,101,115,135,82,66,82,80,83,106
43,56,44,54,55,46,51,65,65,78,66,82,81,72,59,67,50,78,68,58,62,84,78,67,83,75,82,106,89,107,120,87,81,67,81,79,87
44,57,57,46,55,53,47,49,66,66,76,68,82,80,71,59,66,55,81,68,58,64,82,79,69,82,82,88,106,88,105,67,89,81,69,81,86
45,54,58,57,47,57,53,48,49,66,65,77,70,81,80,69,63,68,57,82,70,58,62,78,81,66,77,83,90,110,95,58,65,89,82,68,80
46,55,54,58,56,48,57,56,48,49,64,67,76,70,81,80,68,63,67,57,83,71,54,67,82,80,64,79,92,91,112,74,54,66,80,80,67
47,47,58,52,60,56,49,59,57,46,51,66,67,77,70,82,77,67,67,66,54,88,73,55,63,82,80,62,84,92,96,88,74,56,68,81,80
48,54,51,60,53,60,56,48,59,57,45,52,66,66,77,69,81,76,66,66,66,60,86,71,56,70,84,83,65,85,90,56,86,75,57,74,83
49,57,54,45,62,51,60,57,50,59,57,45,49,68,67,77,69,83,76,68,67,69,60,87,72,58,75,87,86,71,88,70,58,87,77,60,79
50,39,53,54,46,63,51,63,57,51,60,60,49,49,69,68,78,70,83,80,68,70,70,59,89,74,59,79,93,84,78,70,69,58,88,79,60
51,57,39,52,52,45,63,53,64,57,48,62,62,48,49,64,70,78,73,85,78,70,69,72,62,87,83,59,82,93,87,67,67,72,61,88,86
52,43,58,40,54,54,44,61,52,64,56,48,61,58,50,48,64,70,79,71,85,79,69,73,72,61,84,84,63,84,90,81,66,68,72,61,85
53,48,43,59,39,54,53,45,62,54,64,56,49,62,57,50,48,63,68,83,71,85,84,72,70,76,62,84,88,63,79,88,85,69,74,75,62
54,41,46,43,60,39,55,55,44,63,52,63,55,49,63,56,51,47,62,68,82,72,83,86,71,72,74,61,86,88,68,73,85,89,69,75,74
55,61,41,45,44,54,38,54,55,44,63,54,63,55,49,62,56,49,51,61,68,84,73,82,86,69,72,74,59,84,91,87,72,83,89,66,75
56,42,60,40,44,44,55,38,55,55,44,64,54,63,55,51,65,59,49,53,62,70,84,73,82,88,70,71,77,61,86,71,87,68,84,91,67
57,52,40,59,38,44,47,54,38,54,57,45,63,53,61,55,50,62,57,50,52,62,72,86,75,82,90,74,73,75,63,66,70,89,71,85,89
58,41,52,40,60,38,44,49,51,38,51,53,43,63,52,61,56,50,60,59,49,52,61,73,86,76,81,92,73,76,76,49,63,73,90,74,84
59,42,42,52,40,59,36,45,47,53,39,52,53,40,63,51,61,56,52,54,57,50,53,61,73,88,77,82,93,72,78,49,50,63,73,93,75
60,39,42,42,53,41,57,38,43,47,53,41,53,53,40,65,54,63,58,53,54,57,49,53,60,72,90,77,81,94,70,58,50,50,62,72,95
61,44,40,40,42,52,43,58,38,44,48,53,41,54,53,41,65,55,65,60,52,53,57,51,53,61,71,89,77,82,91,55,57,50,51,62,71
62,34,44,40,41,44,53,43,60,38,44,47,54,41,54,53,41,66,55,68,60,52,52,57,52,50,62,70,90,75,82,53,54,58,50,49,63
63,16,32,44,42,41,42,54,43,62,38,45,48,53,40,54,53,40,66,57,64,59,54,51,58,54,52,65,69,87,74,59,55,53,59,52,51
64,18,17,32,44,40,41,43,52,45,64,38,44,48,53,40,55,51,48,67,56,61,58,53,52,59,56,50,67,71,84,63,58,53,53,60,54
65,21,19,15,31,44,43,42,41,53,46,62,39,43,51,54,40,54,53,47,64,56,57,58,56,49,59,55,45,69,72,57,62,58,56,53,61
