ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,15,28,28,9,25,31,13,23,25,20,19,25,16,15,15,28,27,24,24,24,18,29,22,33,24,14,25,32,12,28,18,29,22,31,24,15
1,33,17,29,26,10,26,29,14,24,25,19,21,25,17,16,15,30,26,25,24,24,19,33,22,28,21,14,27,31,14,22,19,33,23,28,22
2,28,33,16,29,26,11,26,30,16,23,24,21,20,26,18,16,18,30,25,24,20,21,18,29,22,27,23,19,24,27,18,19,18,29,24,26
3,25,27,32,16,27,25,8,25,29,16,23,23,20,20,26,18,16,18,30,24,24,22,23,19,28,22,27,20,19,21,21,20,21,17,29,24
4,24,24,24,32,16,27,25,12,26,31,17,20,23,20,19,26,18,18,17,31,24,24,28,21,18,29,21,30,20,20,26,21,21,20,17,29
5,22,22,24,25,33,16,29,25,12,25,31,16,19,23,24,19,26,17,19,17,31,23,24,27,22,16,26,23,30,21,30,25,21,26,21,16
6,23,22,23,25,25,31,17,29,24,9,27,29,16,18,24,24,19,25,18,19,16,32,24,22,25,20,15,25,22,27,15,29,25,20,24,19
7,28,25,24,22,25,25,31,17,30,24,11,25,30,14,18,22,23,20,25,16,19,15,33,24,22,24,20,13,27,23,17,15,30,24,21,24
8,27,28,24,21,22,25,24,31,18,27,22,11,24,30,14,17,23,23,19,26,17,20,15,31,24,22,24,21,13,29,18,18,15,28,24,21
9,26,27,28,23,23,25,24,24,33,18,27,22,12,24,30,14,16,23,24,18,24,16,19,16,32,25,21,23,20,15,27,17,18,16,30,26
10,24,27,27,27,24,23,22,26,24,33,17,27,22,13,25,30,14,16,23,26,18,23,18,17,16,33,26,20,24,19,21,26,19,17,17,31
11,22,24,26,27,28,23,22,22,26,24,35,17,27,21,13,25,30,16,16,23,27,18,25,18,19,16,32,26,20,24,25,21,27,19,17,16
12,34,22,25,26,26,28,23,22,23,26,25,34,17,27,22,13,25,30,17,16,23,27,18,25,16,19,16,30,26,21,24,25,21,26,17,17
13,30,35,21,24,26,26,30,24,22,24,24,25,34,16,27,22,12,24,30,17,15,23,28,19,25,18,18,16,29,27,16,25,26,21,26,18
14,29,31,35,21,25,26,26,31,26,22,27,24,25,34,16,29,23,12,24,31,16,17,23,27,20,25,18,17,16,29,16,17,25,26,21,25
15,31,28,32,36,20,25,27,25,30,26,22,27,24,25,34,17,29,22,12,23,30,16,18,24,27,19,26,18,15,18,29,16,18,26,26,22
16,29,31,30,32,35,21,25,27,25,28,24,23,27,23,25,34,16,29,23,12,23,30,17,17,23,30,19,27,18,15,24,29,17,18,25,29
17,40,29,32,31,32,35,20,26,27,26,31,24,22,26,22,27,33,17,27,23,14,23,31,15,17,24,29,21,27,18,14,24,30,16,18,26
18,28,40,30,33,31,34,37,20,27,29,27,31,25,22,25,23,28,32,16,27,26,13,23,30,15,16,24,29,22,26,24,13,24,29,15,17
19,22,31,40,30,31,32,35,40,19,26,32,29,32,25,22,27,23,29,30,17,27,22,12,21,28,16,16,26,30,21,26,21,12,22,28,16
20,36,26,33,39,29,30,30,35,37,18,31,32,29,33,22,20,29,25,29,29,17,27,23,10,23,27,16,16,28,28,16,26,23,11,24,28
21,31,38,30,30,40,31,33,31,37,38,20,32,31,31,31,24,19,31,26,31,26,17,28,23,11,23,28,21,17,28,27,16,27,23,11,24
22,47,31,39,30,34,43,35,33,32,37,41,20,30,31,30,31,23,21,27,29,31,27,19,26,25,9,22,30,21,20,30,27,18,25,25,10
23,18,46,31,39,29,38,43,34,34,30,40,42,21,31,32,29,32,25,19,29,31,34,31,19,25,23,10,24,31,22,30,33,28,19,23,24
24,25,20,44,31,34,25,37,40,36,34,34,43,39,21,34,31,25,33,26,19,29,35,37,33,25,24,30,15,25,33,28,35,34,38,25,24
25,35,25,22,43,32,37,24,34,40,36,33,33,41,41,22,35,30,26,36,28,20,31,36,37,37,25,27,29,16,24,21,30,36,34,38,26
26,26,35,26,22,43,35,38,25,32,40,39,32,34,39,43,24,35,29,27,36,28,23,30,32,42,38,26,30,27,19,27,22,31,32,39,38
27,27,26,36,27,21,45,36,37,25,33,44,40,32,31,39,43,23,38,29,27,35,29,26,26,34,42,38,28,31,28,35,28,26,27,35,39
28,22,26,27,31,26,20,44,31,38,24,33,44,40,32,30,42,41,25,36,30,28,34,31,29,28,37,42,38,27,27,26,35,29,28,28,36
29,31,22,26,27,31,26,17,45,32,36,21,31,46,37,32,28,42,41,26,37,28,27,30,30,32,30,39,47,38,25,28,26,31,28,32,30
30,30,29,22,26,27,32,27,18,45,30,38,20,29,47,36,35,27,41,42,29,40,30,29,29,32,28,30,41,45,38,42,30,27,30,29,27
31,16,30,30,22,26,29,30,28,19,44,30,36,20,32,48,35,39,25,42,41,29,37,32,28,26,32,34,26,39,42,26,39,33,27,28,29
32,23,18,30,29,21,25,27,32,28,19,48,32,36,18,33,48,34,39,25,39,38,31,38,30,25,21,34,33,27,37,40,27,39,32,26,27
33,22,23,18,28,30,21,25,27,32,27,17,45,31,35,19,32,46,33,40,26,35,39,31,40,30,25,24,30,31,27,37,40,28,41,32,26
34,16,24,24,17,29,28,20,24,25,31,26,16,44,30,35,19,31,46,30,41,27,38,40,30,37,30,23,23,31,31,31,39,41,27,40,33
35,20,16,24,24,18,27,29,20,24,26,33,25,15,44,31,35,21,32,46,29,43,30,39,36,28,35,25,23,23,31,40,33,40,35,26,38
36,17,22,17,24,27,17,28,29,24,23,27,33,27,15,43,31,36,21,33,45,29,39,30,42,32,28,34,25,24,27,31,37,32,42,33,29
37,14,18,21,19,25,24,17,27,29,23,23,27,33,29,17,43,30,36,22,32,42,31,38,32,41,31,28,37,26,24,45,33,36,33,41,32
38,25,15,19,21,16,24,24,16,27,30,22,23,27,33,29,17,42,30,35,22,33,42,33,36,33,40,29,27,36,27,32,45,35,34,32,40
39,17,26,14,19,22,19,24,26,16,27,30,22,23,27,32,29,18,41,29,34,23,33,43,33,37,33,39,30,28,37,22,33,46,34,35,32
40,19,17,27,16,18,22,18,24,25,16,26,30,22,22,26,31,30,18,40,27,34,23,35,43,33,33,34,42,32,30,36,23,35,44,33,33
41,25,19,17,27,15,20,23,19,25,27,15,25,29,22,22,26,31,31,18,39,28,34,24,35,42,33,32,35,39,31,28,37,23,34,42,32
42,28,24,19,17,28,14,18,25,19,27,25,15,26,29,23,21,25,31,29,18,38,29,35,21,34,37,33,33,32,37,39,29,38,21,33,38
43,15,27,23,19,18,28,15,18,23,19,26,26,15,28,29,28,21,25,30,28,18,38,30,37,19,33,37,33,33,32,18,39,29,38,19,32
44,18,15,27,23,20,19,27,16,18,23,19,27,25,15,29,29,29,22,26,31,28,19,39,30,35,19,33,37,33,33,26,19,40,29,36,19
45,21,19,15,27,24,19,20,27,18,18,24,20,26,24,15,29,28,29,23,25,33,28,21,39,30,37,19,33,38,32,33,26,21,39,29,38
46,16,20,20,16,26,23,18,20,27,17,19,24,20,26,24,15,30,28,29,24,26,33,28,21,39,30,38,19,34,39,26,34,26,21,39,29
47,8,19,20,21,16,26,24,18,19,27,17,19,24,20,26,24,15,30,28,29,23,28,33,26,19,39,29,40,22,34,23,27,34,25,20,39
48,13,10,17,20,20,17,26,23,18,19,27,17,19,24,20,26,25,16,30,28,29,24,28,34,26,19,40,27,40,24,28,23,27,34,24,20
49,26,13,9,17,20,24,17,26,23,18,18,27,17,19,23,18,26,25,16,30,27,30,24,26,36,25,21,40,26,39,27,29,23,26,35,24
50,20,25,12,10,17,20,23,19,29,22,18,18,26,17,19,23,18,23,25,20,30,28,31,24,28,36,25,21,40,27,31,28,30,23,28,35
51,29,20,25,12,9,19,21,25,18,27,23,18,18,26,17,20,23,20,23,25,20,30,27,30,24,27,37,24,22,41,18,32,27,30,23,27
52,18,27,19,24,12,9,19,21,24,18,28,23,18,17,26,17,20,23,19,22,25,22,30,28,31,24,25,35,25,22,26,18,31,28,30,23
53,27,20,28,19,23,12,9,19,23,24,19,28,23,21,17,26,17,21,24,19,22,24,22,30,28,33,24,24,35,26,25,24,18,31,28,31
54,25,29,18,27,21,26,12,9,18,22,23,19,28,23,21,17,26,16,21,23,19,23,24,21,30,28,32,23,24,33,19,25,24,18,31,28
55,17,24,27,18,27,20,26,12,10,19,22,23,19,28,23,19,17,26,16,22,22,19,23,24,21,30,28,31,23,24,23,18,25,24,18,32
