ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,14,12,9,8,5,12,17,15,11,14,14,11,9,12,9,8,16,13,16,17,8,16,10,9,13,15,10,10,7,9,7,15,9,9,12,15
1,9,16,9,9,7,6,12,17,15,11,13,14,11,11,13,10,7,17,13,16,17,7,15,10,9,15,12,11,7,5,18,6,15,11,10,14
2,18,9,17,10,9,6,5,13,17,18,10,12,14,11,12,13,10,7,16,12,16,20,6,15,11,9,13,10,12,7,16,20,6,16,12,10
3,15,18,8,15,10,11,7,5,14,17,17,10,12,16,9,13,14,11,6,17,13,17,19,6,15,11,7,13,10,12,13,17,19,6,16,12
4,10,16,19,8,16,11,11,8,6,15,18,18,10,14,16,9,12,14,13,6,17,12,17,19,6,15,13,11,14,10,17,12,17,20,6,15
5,15,10,17,18,8,16,9,11,8,5,15,16,18,11,14,17,11,12,12,13,5,17,11,18,20,6,17,12,12,12,5,17,12,18,21,6
6,18,16,10,18,18,9,15,10,13,9,6,14,16,18,11,13,18,8,13,13,12,5,16,11,15,20,5,20,12,15,12,5,16,12,15,21
7,12,17,14,11,18,19,8,16,11,13,7,7,14,16,19,11,12,16,9,12,14,13,5,16,11,15,17,4,22,12,14,13,5,16,12,14
8,18,14,18,14,9,18,19,10,15,13,13,7,8,14,16,19,12,12,16,9,11,14,13,6,16,11,14,18,4,20,10,14,13,6,16,12
9,18,17,14,17,14,9,18,22,9,15,10,13,7,8,14,16,18,13,11,16,9,11,14,13,6,16,12,14,20,5,10,10,14,12,6,16
10,15,21,17,13,17,14,9,17,20,11,15,10,13,7,8,14,17,18,13,11,16,8,11,14,12,6,15,12,14,19,16,9,10,14,12,6
11,13,14,20,21,13,21,13,9,17,21,10,16,10,13,6,8,15,18,17,13,11,16,8,9,14,12,6,16,12,13,10,16,9,9,14,11
12,24,11,15,19,20,14,20,14,9,17,19,10,15,10,13,6,8,15,19,17,15,11,16,7,9,14,11,7,17,12,14,10,16,9,9,14
