ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,27,19,14,17,21,28,18,19,12,6,16,13,19,23,17,16,14,14,16,21,10,15,17,18,17,20,22,27,21,26,9,15,17,18,16,21
1,25,27,18,10,15,20,30,16,18,15,6,16,13,19,22,19,18,13,14,17,19,9,14,18,19,19,24,27,28,22,19,9,14,18,20,17
2,28,22,28,21,10,13,20,30,16,19,14,10,16,14,18,22,19,18,13,15,17,21,10,14,22,20,19,28,26,25,17,20,10,15,22,20
3,16,27,23,29,22,9,13,21,27,15,19,14,10,17,16,20,21,17,18,12,16,15,23,13,15,26,21,24,28,28,14,16,23,13,14,25
4,29,16,26,25,28,22,9,13,21,29,15,19,13,10,16,17,21,21,16,16,10,16,16,23,15,14,25,23,22,24,9,14,17,23,15,14
5,26,28,16,28,23,27,22,10,15,22,27,14,20,13,11,19,15,22,20,16,16,11,16,17,22,14,14,26,22,22,16,10,14,16,21,14
6,17,28,27,16,25,26,27,22,7,17,18,28,18,19,13,10,18,15,22,21,18,15,12,17,19,22,13,14,23,24,16,16,11,15,18,22
7,32,17,27,27,17,26,25,28,23,7,14,18,29,19,20,12,10,18,17,22,19,18,15,12,16,20,22,11,17,21,19,17,16,11,15,19
8,24,36,18,27,27,17,25,24,27,23,7,16,18,30,19,20,11,11,18,17,22,19,18,19,13,18,20,23,11,17,22,19,18,18,12,16
9,27,25,37,18,28,25,15,27,25,27,22,7,17,18,30,22,19,11,12,18,17,23,18,20,18,14,17,20,25,10,16,23,19,18,17,13
10,37,28,26,39,18,27,26,17,27,26,27,22,7,17,19,31,24,19,13,12,17,17,24,20,19,18,14,16,20,26,18,17,25,20,18,17
11,33,34,27,27,36,19,26,26,17,25,24,28,23,6,17,19,35,23,19,15,12,18,17,24,21,20,19,15,15,21,12,20,17,26,21,20
12,32,33,34,30,25,35,18,26,25,17,22,26,28,23,6,19,17,36,23,19,17,12,18,16,25,22,21,20,14,15,17,12,20,16,26,23
13,31,33,32,38,27,25,39,19,26,24,16,20,27,28,23,6,19,17,36,22,19,16,12,18,17,25,25,21,19,14,19,16,12,20,16,27
14,42,29,32,33,37,25,23,33,20,26,25,17,20,27,28,23,5,20,17,36,22,20,15,14,18,17,25,25,21,19,25,20,15,13,19,16
15,35,42,30,34,32,38,26,23,34,20,26,24,17,20,27,28,20,6,21,18,36,24,20,16,14,18,17,25,23,23,36,26,20,16,14,18
