ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,31,22,19,22,23,28,25,20,20,27,28,17,24,30,26,23,20,21,22,20,20,26,29,31,45,32,33,38,40,44,21,27,29,30,45,32
1,24,31,21,17,22,21,27,21,16,19,27,26,17,24,29,22,24,21,23,22,21,23,26,34,32,46,33,33,41,39,21,25,27,36,32,45
2,19,24,30,22,18,24,25,28,24,16,17,28,25,17,25,29,26,19,23,26,24,22,25,26,33,28,49,36,32,42,22,22,27,29,36,29
3,31,20,26,31,22,18,21,23,29,24,16,17,29,25,16,25,30,24,21,24,24,23,25,28,32,34,30,47,37,34,24,22,25,29,33,37
4,30,29,21,26,31,21,19,18,22,31,25,16,18,28,25,16,26,32,24,24,24,24,25,23,27,30,36,31,46,34,25,26,24,25,28,32
5,22,29,27,20,28,29,22,21,22,21,30,25,13,20,29,24,16,25,33,23,23,25,25,29,25,26,35,39,30,41,22,25,27,28,27,27
6,24,24,31,28,20,26,30,21,21,20,21,28,25,13,19,31,28,17,25,33,25,24,27,25,30,26,32,36,40,31,26,23,27,28,29,28
7,39,23,24,34,27,22,23,31,20,21,22,21,28,24,13,19,32,29,18,25,33,27,28,27,25,29,29,31,37,40,34,26,26,29,27,29
8,33,42,24,26,34,27,22,23,32,19,21,22,22,29,24,13,20,31,28,18,26,36,29,28,26,25,27,28,31,37,26,35,27,26,28,27
9,30,36,41,25,26,34,27,23,24,33,20,20,24,21,30,23,13,21,29,28,19,26,33,31,30,29,26,28,28,32,20,25,33,30,28,30
10,31,30,34,41,23,28,36,26,22,22,35,21,20,22,21,30,23,13,21,31,29,18,29,35,30,31,29,28,28,30,30,19,28,34,29,29
11,25,32,29,36,42,24,31,35,26,22,24,35,20,21,24,21,32,25,13,21,31,29,23,29,35,27,38,29,30,31,30,30,19,29,34,28
