ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,34,16,31,23,33,28,32,31,33,37,24,30,41,35,38,28,26,28,38,43,34,39,40,28,31,42,31,30,34,34,36,39,41,28,32,41
1,44,32,19,29,26,31,28,33,30,34,37,24,31,40,35,38,26,25,30,38,43,39,38,40,29,30,38,33,32,36,41,38,38,39,29,32
2,45,45,33,19,32,29,33,30,35,32,32,39,27,32,41,33,39,25,27,33,39,43,37,39,39,27,32,41,33,34,37,41,40,39,39,28
3,43,44,41,33,20,31,29,31,28,38,28,34,40,30,34,42,32,39,25,28,34,43,43,36,40,39,28,34,37,31,36,41,41,39,41,40
4,46,45,40,37,31,21,31,30,33,28,35,33,35,41,29,35,43,33,39,24,28,36,40,42,37,41,40,28,36,34,27,38,40,39,40,42
5,41,45,44,39,39,33,22,31,33,30,27,33,31,34,41,28,35,45,33,38,24,26,35,41,40,35,38,40,33,38,26,26,37,40,38,38
6,48,44,44,42,41,39,32,22,30,35,30,28,34,30,33,44,31,31,46,36,39,24,27,35,40,41,33,41,38,34,38,25,26,38,39,40
7,54,47,39,46,44,42,44,31,23,32,35,31,29,34,31,33,43,34,32,48,36,39,26,27,35,40,43,32,42,41,36,38,27,27,38,39
8,41,51,43,41,48,43,42,43,31,24,28,35,31,31,35,33,32,42,33,31,48,37,38,27,29,37,40,43,33,43,48,37,37,28,28,39
9,42,43,49,42,41,48,45,44,45,32,25,29,36,32,30,37,33,33,41,36,33,47,37,39,30,27,36,39,45,32,33,47,37,36,31,27
10,52,39,43,50,43,41,47,42,45,46,30,25,28,34,30,29,36,34,33,41,37,34,46,36,41,32,27,34,39,46,38,34,45,37,37,34
11,47,51,38,41,51,46,41,47,43,44,47,30,26,29,35,30,29,37,35,36,41,38,34,46,37,42,32,28,37,40,40,40,32,47,38,39
12,54,49,52,37,44,50,46,42,48,43,42,46,33,26,31,34,32,31,37,36,38,43,37,34,47,36,42,32,32,39,39,42,40,32,49,37
13,50,56,47,53,41,43,50,50,45,48,44,43,46,33,26,30,35,33,30,36,36,36,44,37,34,48,36,43,33,33,35,39,43,40,34,50
14,50,51,55,47,53,39,47,48,47,45,46,43,42,47,34,26,33,35,33,30,35,37,35,43,39,35,48,36,42,32,38,36,37,44,42,34
15,49,49,50,54,48,55,40,44,51,50,44,45,43,42,46,34,26,35,36,33,29,34,38,34,44,40,35,48,37,41,31,40,36,37,44,43
16,48,51,48,47,54,47,54,40,45,49,49,45,45,43,41,47,35,27,35,36,34,31,34,38,34,43,42,35,50,38,34,33,40,36,37,44
17,51,50,51,47,49,51,48,55,39,47,48,47,43,45,43,43,48,35,28,36,39,35,30,35,38,34,43,43,37,50,38,35,31,42,36,37
18,30,52,47,51,46,48,55,49,57,41,45,50,47,44,45,40,41,49,35,28,35,37,35,31,36,40,34,43,42,37,34,36,36,33,43,38
19,45,30,46,48,53,45,51,55,48,57,42,42,52,45,45,46,38,43,51,35,27,37,34,35,32,39,34,33,42,41,27,36,34,34,34,45
20,36,46,27,52,50,56,48,51,53,50,55,44,44,52,45,46,46,37,45,52,36,28,36,34,36,30,37,37,36,43,34,28,38,34,35,32
21,31,37,41,29,53,49,59,47,49,55,50,56,44,47,51,44,44,46,38,43,51,38,25,38,33,35,30,35,37,35,50,35,27,39,33,35
22,27,32,38,51,32,56,52,60,50,48,52,51,51,44,46,50,46,44,47,40,42,51,34,27,37,33,36,28,35,38,41,52,31,30,37,33
23,45,31,35,36,49,36,60,47,62,55,52,54,54,46,46,46,48,46,45,49,40,42,50,33,27,33,32,39,32,42,43,44,54,32,28,33
24,36,49,33,39,44,51,37,65,51,65,45,47,52,55,46,43,46,47,50,45,51,40,45,47,38,31,33,30,35,32,51,41,45,48,35,33
25,29,33,48,31,40,44,53,38,67,54,68,49,44,58,55,48,48,46,46,50,46,54,39,47,45,32,30,34,33,41,44,52,40,47,49,31
26,44,32,40,53,32,44,48,51,35,62,56,70,49,51,55,56,51,44,48,50,52,40,59,40,45,41,32,27,39,33,52,44,55,42,43,44
27,45,46,37,41,52,36,46,48,57,38,67,60,68,47,52,56,60,54,43,55,57,46,43,61,46,43,42,33,31,42,57,52,44,58,46,41
28,48,44,43,35,38,52,45,50,55,57,42,65,66,66,50,56,60,59,51,39,55,62,53,44,62,42,41,37,36,34,56,59,53,43,60,41
29,46,49,49,45,34,43,53,47,52,56,55,44,67,65,67,54,56,58,66,49,42,57,61,61,42,64,41,46,34,35,42,57,59,59,40,59
30,50,48,50,44,45,37,40,53,48,53,50,57,43,62,65,62,56,54,61,65,49,42,55,62,55,38,63,42,45,28,48,42,55,64,52,35
31,55,51,49,49,43,43,38,47,55,47,56,45,60,43,61,69,65,59,54,65,64,49,42,61,60,63,36,61,39,40,63,47,40,60,61,56
32,51,59,50,54,51,45,44,39,46,55,46,58,46,65,45,63,65,67,60,57,61,61,48,41,63,59,61,41,55,36,61,62,49,40,62,58
33,52,50,61,47,55,54,49,42,36,50,56,43,55,48,66,46,60,64,61,61,56,63,60,51,45,61,54,54,37,53,56,63,62,53,43,62
34,62,51,51,60,51,58,57,50,50,42,49,58,47,57,48,65,46,59,61,60,61,58,60,65,55,43,62,60,51,37,60,58,61,67,58,42
35,58,58,50,50,61,50,60,58,51,52,40,47,58,48,56,46,65,49,61,59,55,68,58,62,68,53,48,63,53,50,55,62,57,61,71,55
36,42,62,57,52,56,64,56,60,52,53,54,39,47,57,50,54,43,66,51,62,63,61,70,58,61,67,52,48,65,53,66,59,64,57,61,72
37,37,37,63,55,51,54,63,53,61,60,54,52,37,49,59,53,55,42,65,51,63,64,60,71,57,57,61,53,50,68,65,65,59,69,58,59
38,44,35,35,63,52,57,55,64,52,60,53,54,52,39,48,58,55,56,41,63,53,66,65,59,70,57,62,62,56,51,54,66,66,57,70,60
39,41,46,35,36,60,49,56,57,67,57,61,54,51,48,38,48,60,53,57,42,66,54,69,64,65,70,61,63,65,60,68,53,69,67,61,72
40,39,41,48,35,39,61,48,56,56,66,55,61,54,53,47,36,49,62,58,56,42,63,55,68,61,65,73,61,63,65,41,66,54,68,65,62
41,52,44,41,44,36,38,61,51,61,57,66,55,60,55,53,49,34,51,61,58,54,44,61,56,69,61,61,76,66,62,54,44,64,54,69,65
42,41,54,44,39,51,38,35,62,48,61,55,67,56,60,56,52,48,35,53,60,59,56,47,62,56,66,61,60,74,67,57,56,46,66,55,66
43,39,43,53,43,40,50,40,36,62,47,62,55,67,59,60,56,50,51,34,54,58,63,59,47,65,56,65,62,59,76,56,58,58,46,68,55
44,38,36,42,50,44,42,48,39,38,66,46,63,57,66,60,60,56,49,52,34,52,58,65,57,49,67,58,68,64,66,51,59,59,56,47,70
45,37,39,38,44,54,44,41,47,39,38,64,47,61,56,66,59,61,55,50,52,34,52,54,66,58,46,68,58,72,66,34,52,56,66,57,45
