ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,43,32,48,41,28,33,28,27,25,27,23,17,23,19,34,29,26,37,28,45,35,27,34,41,37,42,47,47,46,44,35,27,36,41,38,42
1,35,44,33,45,37,27,37,33,29,29,26,22,18,22,19,32,33,26,38,28,43,36,26,36,41,40,41,44,46,45,41,36,27,37,42,40
2,36,38,43,34,46,39,26,36,29,31,32,27,25,19,22,18,31,32,26,38,26,43,37,29,36,37,41,41,43,44,28,42,37,29,38,39
3,42,39,39,43,31,45,41,27,36,33,31,32,29,23,21,23,19,30,34,25,37,28,42,36,28,37,40,39,42,43,38,29,41,36,28,38
4,41,43,38,39,42,31,44,39,28,37,32,32,32,31,22,20,25,19,26,35,26,40,33,40,39,25,42,41,41,42,25,40,33,40,39,26
5,48,41,43,39,36,45,31,45,40,30,34,33,35,32,30,23,21,25,20,25,37,26,38,33,42,40,28,41,41,43,38,25,39,34,42,39
6,43,44,40,45,38,35,46,29,44,38,28,36,32,34,32,30,24,21,27,22,26,40,25,37,34,44,40,27,43,41,28,40,24,36,33,44
7,61,42,45,40,48,39,39,47,30,43,36,28,35,31,36,32,30,26,21,27,23,30,40,25,33,32,47,42,27,42,26,30,40,24,34,32
8,61,61,44,47,39,47,38,40,44,30,44,36,28,35,31,37,32,31,25,22,28,28,29,42,25,34,35,49,43,29,28,29,29,40,24,35
9,59,64,64,45,45,39,47,39,40,43,30,45,36,28,35,28,37,31,30,26,23,30,26,29,42,23,40,38,50,42,22,29,27,29,40,23
10,64,58,69,63,46,43,39,47,39,40,44,30,49,37,29,34,29,37,28,30,27,24,29,25,30,40,25,42,39,52,26,24,28,27,30,39
11,68,66,58,67,62,44,42,40,47,39,42,45,31,49,37,31,32,29,38,28,31,28,23,29,28,30,41,25,44,40,28,27,23,28,30,30
12,52,67,66,56,70,65,44,43,42,50,39,44,44,33,47,37,31,31,28,38,28,31,30,24,30,28,33,45,28,41,26,28,29,25,29,30
13,51,50,68,66,56,69,63,42,41,42,49,40,42,45,33,48,36,31,31,28,38,25,32,30,26,28,28,33,41,28,37,24,29,30,27,28
14,54,52,50,66,67,56,71,63,41,45,43,49,40,42,45,33,48,35,33,33,26,38,25,32,30,27,34,30,32,42,27,36,23,30,30,27
15,54,54,54,50,68,68,54,70,62,44,42,44,49,42,45,45,32,48,35,34,34,27,38,25,32,31,30,37,29,34,34,28,36,23,30,30
16,63,53,54,55,51,67,67,53,67,63,45,42,44,51,42,44,45,32,44,37,35,33,29,39,25,34,32,29,38,30,34,33,30,37,23,33
17,54,62,53,53,55,51,67,71,53,68,66,44,41,44,54,41,43,45,32,43,39,37,34,29,40,24,34,34,29,36,43,35,34,31,38,23
18,51,51,62,52,54,55,51,71,71,55,69,67,45,42,45,54,38,42,47,33,45,40,38,36,29,44,27,34,37,30,45,44,36,36,31,42
