ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,11,10,11,9,12,13,9,9,8,7,15,12,13,7,1,11,9,8,11,8,7,3,5,12,5,8,6,None,6,5,7,3,4,12,5,8
1,12,11,10,11,9,10,13,9,9,10,7,15,12,13,6,1,10,9,8,12,7,7,3,5,12,4,8,6,None,6,8,7,3,5,12,4
2,22,11,10,10,11,9,11,13,10,8,10,7,17,12,14,6,1,10,9,8,12,7,7,3,4,12,4,8,6,None,12,8,7,3,4,12
3,16,22,11,11,9,13,9,10,13,10,8,10,8,17,12,14,6,1,10,9,8,12,6,7,3,4,12,4,7,5,8,12,7,7,3,4
4,11,15,20,11,12,9,12,10,10,14,7,8,10,8,16,12,14,6,1,10,9,8,12,6,6,3,4,12,4,7,9,8,12,7,6,3
5,12,9,15,20,11,11,10,10,11,9,11,7,8,9,8,15,12,14,6,1,9,9,8,12,5,6,3,4,12,4,9,9,8,12,6,6
6,13,10,8,15,19,12,10,9,10,10,8,11,7,8,9,8,15,12,14,6,1,9,9,8,12,5,6,3,4,12,1,9,9,8,11,6
7,11,12,10,8,15,19,12,10,9,10,7,8,11,9,9,9,10,15,12,14,6,1,9,9,8,12,7,6,3,4,6,1,9,9,8,11
8,11,10,12,10,8,15,19,14,10,9,6,7,8,11,9,9,9,10,13,12,14,6,1,9,9,8,11,7,6,3,14,6,1,9,9,8
9,9,14,10,12,11,9,15,20,12,10,10,5,7,8,11,8,9,9,10,13,11,14,6,1,9,9,8,11,7,6,10,14,6,1,9,9
10,10,8,12,9,13,11,8,15,19,12,11,10,4,7,8,13,8,9,9,10,13,11,14,6,1,9,9,8,11,7,14,10,14,6,1,9
11,12,11,8,13,11,12,11,8,14,19,8,10,10,4,8,8,13,8,9,9,10,13,11,14,6,1,9,9,8,11,10,14,10,14,6,1
12,12,11,11,8,13,10,12,11,10,14,20,8,13,10,4,9,8,13,8,9,9,10,13,11,14,6,1,9,9,8,9,10,14,10,14,6
13,14,12,11,11,8,12,10,11,10,8,14,20,8,13,8,5,10,8,13,8,9,9,10,13,11,14,6,1,9,9,9,9,10,14,10,14
14,13,14,12,12,10,7,12,11,11,10,6,13,20,8,13,8,6,10,8,13,9,9,9,10,13,11,14,6,1,9,9,9,9,10,14,10
15,7,12,14,12,11,11,7,12,11,12,12,6,13,20,10,13,8,6,11,8,12,9,9,9,10,13,9,14,6,1,13,9,9,9,10,14
16,15,7,12,14,12,11,11,8,12,11,13,12,6,13,20,10,13,8,7,12,8,12,9,9,9,10,14,9,14,6,8,13,9,9,9,10
