ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,2,4,3,1,2,None,None,1,None,1,None,None,None,1,2,2,1,None,2,1,1,2,1,4,1,None,1,4,1,2,1,2,1,4,1,None
1,2,2,6,3,3,2,None,None,None,None,2,None,1,None,1,2,2,1,None,2,1,1,2,1,4,1,None,1,4,1,1,1,2,1,4,1
2,3,3,3,4,3,1,2,None,None,None,None,2,None,1,None,1,2,2,1,None,2,1,1,2,1,4,1,None,1,4,2,1,1,2,1,4
3,6,3,2,1,4,3,1,1,None,None,None,None,None,None,1,None,1,2,2,1,None,2,None,1,2,1,4,1,None,1,None,2,None,1,2,1
4,3,6,3,3,1,3,3,1,2,None,None,None,None,None,None,None,None,2,2,2,1,None,2,None,1,2,1,4,1,None,1,None,2,None,1,2
5,3,4,5,3,4,1,3,3,1,3,1,1,None,None,None,None,None,None,2,2,2,1,None,2,None,1,2,1,4,1,2,1,None,2,None,1
6,7,2,4,5,3,2,1,3,5,1,2,1,1,None,None,None,None,None,None,2,2,2,None,None,2,None,1,2,1,4,1,2,1,None,2,None
7,2,7,3,4,6,2,2,1,4,3,2,2,1,None,None,None,None,None,None,None,2,2,2,None,None,2,1,1,2,1,2,2,2,1,None,2
8,3,1,7,2,4,5,3,2,1,5,4,2,2,1,None,None,None,1,None,None,None,2,2,2,None,None,2,1,1,2,None,2,2,2,1,None
9,8,4,1,7,3,4,6,2,2,1,4,5,2,2,1,1,None,None,1,None,None,None,1,2,2,None,None,2,1,1,None,None,1,2,2,1
10,5,9,4,1,8,2,4,6,2,2,3,4,5,2,2,1,1,None,None,1,None,None,None,1,2,2,None,None,2,1,None,None,None,1,2,2
11,8,5,8,4,1,8,2,4,7,3,2,4,4,5,2,2,1,1,None,None,1,None,None,None,1,1,2,1,None,2,1,None,None,None,1,2
12,7,9,5,8,5,1,8,2,4,6,3,2,4,4,5,2,3,1,1,None,None,1,None,None,None,1,1,2,1,None,None,1,None,None,None,1
13,None,7,9,5,8,6,1,8,2,4,7,3,2,4,4,5,2,3,1,1,None,None,1,None,None,None,2,2,2,1,None,None,1,None,None,None
14,6,3,7,9,5,7,5,2,8,2,3,7,3,2,4,4,5,3,3,1,1,None,None,1,None,None,None,2,2,2,1,None,None,1,None,None
15,6,5,1,7,9,6,8,5,1,8,3,3,9,3,1,4,4,5,3,3,1,1,None,None,1,None,None,None,2,2,1,1,None,None,1,None
16,4,7,5,1,7,9,5,8,5,1,10,3,3,9,3,1,4,4,5,3,3,1,1,None,None,1,None,None,None,2,3,1,1,None,None,1
17,4,4,6,5,1,7,9,5,9,5,2,8,3,3,9,3,1,4,4,5,2,3,1,1,None,None,1,None,None,None,2,3,1,1,None,None
18,5,5,4,6,6,1,7,9,6,8,7,2,8,3,4,9,3,2,4,4,5,2,3,1,1,None,None,1,None,None,5,2,3,1,1,None
19,5,2,6,5,6,5,1,6,9,4,9,7,2,8,3,3,8,3,2,3,4,4,2,3,1,1,None,None,1,None,4,4,2,3,1,1
20,4,6,2,4,4,7,4,1,7,11,5,8,5,1,8,3,3,7,2,2,3,4,4,2,3,1,1,None,None,1,3,4,4,2,3,1
21,3,4,5,1,4,4,5,4,1,7,10,5,8,5,1,8,2,3,7,2,2,3,4,3,2,3,1,1,None,None,2,3,4,4,2,3
22,2,3,1,3,1,4,3,5,3,1,6,10,5,8,5,1,8,2,3,7,2,2,3,4,3,2,3,1,1,None,2,2,3,4,4,2
23,1,1,1,None,2,1,2,3,5,3,2,6,9,5,7,4,1,8,2,3,6,3,2,3,4,3,2,3,1,1,7,3,2,3,4,4
24,2,2,1,None,None,4,None,2,2,4,2,None,6,8,4,7,4,1,7,2,3,5,3,2,3,3,3,2,2,1,4,6,3,2,3,3
