ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
8,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
9,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
10,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
11,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
12,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
13,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
16,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
18,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
19,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
20,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
23,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,0,0,0,1,2,0,0,0,0,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25,0,1,0,0,0,2,0,0,0,0,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26,0,0,0,0,0,0,2,0,0,0,1,0,1,2,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0
27,0,0,0,0,0,0,0,2,0,0,1,1,0,1,2,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
28,0,0,1,0,0,0,0,0,2,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
29,1,0,0,0,0,0,1,0,0,2,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1
30,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0
31,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1
32,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,2,0
33,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1
34,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0
35,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0
36,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0
37,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0
38,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1
39,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
40,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1
41,2,0,0,2,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1
42,0,4,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0
43,1,0,3,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0
44,1,0,0,3,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0
45,1,0,1,0,3,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
46,0,1,0,0,0,3,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
47,1,0,1,0,0,1,3,0,0,1,0,1,0,0,2,1,0,1,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,2,1
48,1,1,0,2,0,0,0,3,0,0,1,0,1,0,0,2,1,0,1,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,2
49,0,1,1,0,1,0,0,0,2,0,1,0,1,1,0,1,2,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0
50,2,0,0,1,0,1,0,0,0,2,1,1,0,1,1,0,1,2,1,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1
51,0,3,0,0,1,0,1,0,0,0,2,1,1,0,1,1,0,1,2,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0
52,0,0,3,0,0,1,0,1,0,0,0,2,1,1,0,1,1,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
53,1,0,0,3,0,0,1,0,1,0,1,0,2,1,1,0,1,1,0,1,2,0,0,1,1,0,0,0,0,0,2,0,0,1,1,0
54,3,0,0,0,3,0,0,1,0,1,0,1,0,2,1,1,0,1,1,0,1,2,1,0,1,1,0,0,0,0,1,2,1,0,1,1
55,1,3,0,0,0,3,0,0,1,0,1,0,1,0,2,1,1,0,1,1,0,1,2,1,0,1,1,0,0,0,0,1,2,1,0,1
56,1,1,2,0,0,0,3,0,0,1,0,1,0,1,0,2,1,1,0,1,1,0,1,3,1,0,1,1,0,0,1,0,1,4,1,0
57,3,1,2,4,0,0,0,3,0,0,1,0,1,0,1,0,2,1,1,0,1,1,0,1,3,1,0,1,0,0,1,1,0,1,3,1
58,1,2,1,2,3,0,0,0,3,0,0,1,0,1,0,1,0,2,1,1,0,1,1,0,0,4,1,0,1,0,0,1,1,0,1,3
59,0,2,2,1,2,1,0,0,0,3,1,0,1,0,1,0,1,0,2,1,1,0,1,1,0,0,5,1,0,1,1,0,0,1,0,1
60,0,0,2,2,1,3,1,0,0,0,2,0,0,1,0,1,0,1,0,2,1,1,0,1,1,1,0,4,1,0,1,1,0,0,1,1
61,5,0,0,2,1,0,2,1,0,0,1,2,0,0,1,0,1,0,1,0,3,1,1,0,2,1,1,0,3,1,3,1,1,0,1,1
62,1,4,0,0,0,1,0,2,1,0,0,1,2,0,0,1,0,1,0,1,0,3,1,1,0,2,1,1,0,2,0,3,1,1,0,1
63,1,0,4,0,0,0,1,0,2,1,1,0,1,2,0,0,1,0,1,0,1,0,1,1,1,0,2,1,1,0,1,0,3,1,1,0
64,0,1,0,4,0,0,0,1,0,2,1,1,0,1,2,0,0,1,0,1,0,1,0,1,1,1,0,2,1,1,0,1,0,4,1,1
65,0,1,1,0,3,0,0,0,1,0,3,1,1,0,1,2,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,1,0,2,1
66,1,1,1,1,0,3,0,0,0,2,0,3,1,1,0,1,2,1,0,1,0,2,0,1,0,1,1,1,0,0,0,2,0,1,0,2
67,1,1,1,1,0,0,3,0,0,0,2,0,3,1,1,0,1,2,1,0,1,0,2,0,1,0,1,1,1,0,1,0,2,0,1,0
68,2,1,2,1,1,0,0,3,0,0,0,2,0,3,1,1,0,1,2,1,0,1,0,2,0,1,0,1,1,1,0,1,0,2,0,1
69,2,1,1,1,1,1,0,0,3,0,0,0,2,0,3,1,1,0,1,2,1,0,1,0,2,0,1,0,1,1,1,0,1,0,2,0
