ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,27,34,42,34,23,32,25,31,27,31,21,28,23,25,19,22,19,17,13,14,16,26,18,19,22,19,22,22,24,20,16,26,19,19,21,19
1,38,27,33,43,36,24,32,24,32,27,24,22,28,23,25,19,22,19,17,14,15,16,27,19,17,21,20,21,23,23,15,16,28,19,18,20
2,37,38,26,33,41,37,24,32,24,31,28,25,21,28,24,25,19,22,20,17,14,15,16,26,19,17,21,20,20,21,11,15,16,26,18,18
3,32,37,39,26,31,40,37,23,33,25,28,26,25,21,27,23,25,19,22,21,17,13,15,16,26,19,17,22,21,18,17,10,15,16,26,18
4,33,33,37,37,28,30,39,38,23,33,24,28,25,25,22,26,23,25,18,22,19,18,12,15,16,26,19,17,22,20,18,17,10,15,16,26
5,29,35,31,37,35,29,29,38,39,24,33,24,28,25,24,22,25,22,25,17,22,20,18,12,15,16,26,19,18,18,24,18,17,10,15,16
6,26,29,33,30,37,34,28,29,39,41,24,32,26,28,25,24,22,24,22,23,16,23,20,19,13,13,16,26,19,18,16,24,18,18,11,13
7,28,25,29,33,30,38,33,29,29,39,40,23,32,25,28,24,25,22,23,23,23,16,22,20,19,12,13,16,26,17,25,16,23,18,18,11
8,25,27,26,29,36,30,37,34,28,30,35,40,22,32,25,28,25,26,22,22,23,25,17,22,20,18,12,13,17,26,24,26,16,23,18,18
9,24,25,25,25,30,34,29,37,34,29,29,35,40,22,31,24,28,25,27,22,21,23,26,17,21,19,18,11,13,17,21,24,26,16,22,18
10,28,24,24,26,25,27,34,29,37,35,25,29,34,39,23,31,24,26,25,28,22,20,23,26,17,21,19,17,11,15,25,20,24,26,16,22
11,30,27,24,25,27,26,25,34,29,37,34,25,29,34,37,23,31,24,26,26,29,24,20,23,26,17,20,19,17,11,31,26,20,24,26,16
12,35,31,26,26,27,26,25,25,34,29,38,36,25,29,35,36,23,31,24,26,27,29,23,20,23,26,17,19,20,17,26,31,25,20,24,26
