ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,23,14,17,16,15,21,23,14,18,19,17,21,17,11,16,16,13,18,17,22,12,19,16,17,18,9,12,13,5,11,11,18,15,15,17,8
1,18,24,14,16,15,17,20,22,15,20,15,17,22,17,10,16,17,13,20,16,23,13,18,16,17,19,8,10,12,5,23,13,17,16,16,19
2,19,18,26,14,17,15,18,21,21,14,21,15,15,21,15,10,13,18,13,20,16,23,16,18,17,18,18,8,10,12,17,22,15,17,17,16
3,30,19,18,24,15,16,14,18,21,21,14,21,14,17,20,13,10,12,18,12,19,16,24,16,18,19,17,18,8,10,18,17,23,15,18,19
4,17,29,19,18,25,15,13,16,18,25,21,12,21,13,15,20,12,11,11,18,12,19,16,23,16,18,19,16,18,8,12,18,16,23,15,18
5,25,17,30,17,18,25,14,14,16,19,24,21,11,21,9,14,20,12,11,10,20,11,19,15,23,17,18,19,15,18,16,11,18,15,23,16
6,17,25,18,29,16,18,25,15,15,16,17,24,21,11,21,10,13,19,13,10,9,18,12,18,15,23,17,18,18,15,12,15,12,17,15,23
7,23,17,24,17,32,16,18,26,15,15,16,17,24,21,9,21,11,13,20,14,10,10,17,12,19,13,23,16,18,19,11,13,15,12,17,14
8,19,22,18,23,17,30,16,18,27,16,16,16,16,24,20,9,20,11,13,19,14,10,10,17,12,19,13,23,18,19,11,11,13,16,12,17
9,21,19,22,18,23,17,30,17,18,26,15,13,16,16,23,20,9,21,12,14,17,14,9,11,16,12,19,13,23,18,17,11,10,13,15,12
10,27,21,19,21,18,24,17,30,16,18,27,14,13,16,16,26,20,7,21,12,14,17,15,9,11,17,12,17,13,23,16,17,12,10,13,16
11,21,28,21,21,21,16,24,17,32,16,17,25,14,13,15,16,28,19,7,21,12,14,16,14,8,13,16,11,16,13,15,16,16,11,9,14
12,25,21,28,22,22,20,16,24,17,31,15,16,27,14,14,15,15,28,19,6,20,12,13,16,13,9,14,15,11,16,20,15,15,16,11,9
13,27,24,21,29,23,23,19,16,25,17,33,15,16,27,13,14,14,16,29,18,5,19,14,14,15,12,10,16,14,11,7,20,16,15,16,11
14,32,28,25,21,29,25,24,19,16,25,16,32,15,16,28,13,16,14,14,29,18,4,19,15,13,16,13,8,16,14,21,7,20,16,14,17
15,28,29,28,26,20,28,25,23,19,16,26,16,34,16,16,28,15,17,15,14,27,17,5,18,15,15,17,11,8,15,24,20,7,20,16,17
16,25,29,30,28,26,20,28,24,24,21,16,26,16,33,17,16,28,15,18,16,14,27,16,6,18,15,16,16,11,8,15,24,19,7,20,16
17,30,27,29,29,29,25,19,28,26,24,19,16,26,15,31,18,16,28,16,19,17,14,27,16,6,18,16,16,16,11,17,15,24,18,7,20
18,28,27,27,29,30,30,24,23,29,26,26,19,17,27,17,31,20,17,28,16,20,17,14,27,16,5,18,16,15,17,20,17,15,24,18,7
19,23,31,28,27,28,28,29,25,22,29,27,26,19,16,25,16,30,20,16,28,15,19,17,14,27,17,6,17,14,15,12,20,17,15,24,18
20,28,21,30,29,29,29,27,27,26,23,30,26,25,20,15,26,20,29,20,16,27,16,21,17,16,25,16,8,19,15,27,13,17,17,16,23
21,28,25,23,32,28,30,28,28,26,29,23,29,25,24,23,15,28,18,29,21,15,25,16,20,17,16,24,18,7,19,16,26,14,17,17,16
22,32,26,28,22,33,28,29,29,27,26,28,25,27,25,22,23,15,26,18,29,21,11,24,14,21,18,17,24,18,7,23,16,26,12,18,17
23,24,31,24,28,21,32,28,30,28,31,27,33,26,24,23,26,24,16,25,18,27,21,10,25,14,20,18,18,20,19,27,23,14,27,12,18
24,23,26,31,23,28,21,29,30,32,30,27,24,33,27,25,22,26,24,15,24,18,26,21,11,26,15,19,16,16,22,18,31,23,14,28,13
25,22,22,27,29,23,26,21,31,27,32,30,27,25,31,26,23,23,28,26,18,24,19,27,22,11,28,13,18,17,15,24,19,31,23,14,28
26,21,23,20,28,30,23,25,21,30,29,31,30,27,26,30,25,25,24,28,25,18,22,19,27,22,13,27,13,17,16,15,26,19,32,23,15
27,16,18,20,18,29,28,26,27,20,30,30,31,31,26,24,30,27,23,24,26,25,14,24,19,26,21,17,29,12,15,24,12,27,19,31,22
28,18,15,18,22,19,26,30,24,28,23,29,30,29,33,28,23,29,24,23,26,27,24,15,27,17,25,23,19,28,12,25,23,12,30,18,28
29,18,19,14,18,22,18,26,30,24,26,26,28,31,29,35,26,22,28,25,21,26,27,24,15,26,16,28,25,18,31,26,26,23,12,30,17
30,24,20,18,14,17,24,16,26,31,19,27,24,26,30,28,36,25,22,29,25,21,28,28,23,14,27,14,29,27,19,21,28,26,23,10,30
31,27,23,20,18,14,18,23,17,26,30,18,25,24,24,28,27,34,25,23,29,24,21,25,26,24,15,27,13,28,25,22,21,27,24,23,11
32,16,27,25,20,18,13,20,23,15,27,32,17,25,24,21,28,26,34,25,22,28,24,20,23,25,26,14,23,15,28,28,21,22,25,24,24
33,17,15,29,24,21,17,13,20,25,15,26,30,18,22,24,25,26,27,35,25,23,28,23,22,23,25,24,13,25,16,25,29,20,23,25,24
34,21,19,17,29,23,20,17,14,19,24,18,27,30,17,22,22,28,25,26,36,28,24,28,23,23,24,26,22,11,26,27,26,28,21,23,26
35,24,19,20,17,28,23,19,16,15,20,26,17,25,30,18,24,21,29,27,26,34,27,22,26,21,25,25,24,25,9,36,27,24,27,20,24
36,26,23,19,19,16,26,23,22,15,15,20,25,16,25,30,18,25,20,31,27,25,34,27,23,26,21,24,26,24,23,26,36,27,24,27,20
37,12,23,23,19,18,14,27,24,22,15,16,21,24,16,23,29,19,25,21,29,25,26,33,26,24,27,23,23,26,20,24,27,35,26,25,27
38,19,12,23,23,17,19,14,27,25,24,15,16,20,24,16,22,29,19,25,24,30,26,24,35,26,24,28,23,22,27,30,24,26,35,26,25
39,17,18,12,22,22,19,20,14,27,24,25,15,17,21,25,16,22,28,19,26,24,29,26,26,35,26,25,29,20,23,24,30,24,27,35,27
40,21,17,19,13,22,23,19,19,15,26,26,24,15,18,21,26,16,23,28,19,26,24,28,27,25,38,25,25,31,20,26,24,30,25,26,36
41,35,19,17,20,13,22,21,20,19,15,28,26,24,15,18,21,25,15,24,26,18,26,24,31,25,26,39,26,25,31,18,26,24,31,24,28
42,29,35,19,17,19,14,22,22,18,19,14,27,27,24,17,18,23,25,15,24,26,16,26,24,32,24,27,36,26,26,27,18,26,24,32,23
43,21,29,35,19,17,19,14,22,22,20,21,17,28,27,23,17,17,23,23,15,24,26,14,26,24,31,24,28,33,26,25,27,17,26,24,31
44,25,18,29,36,18,20,18,15,23,22,18,19,17,27,27,22,17,16,23,23,15,25,25,16,27,23,30,22,26,33,16,26,26,17,27,23
45,20,27,20,29,35,20,19,18,17,22,21,18,20,17,26,27,22,17,16,23,25,15,26,25,16,27,23,31,22,27,25,16,26,26,17,27
46,39,20,26,19,31,35,19,19,18,15,24,22,18,22,17,26,29,22,17,16,21,25,15,26,25,15,28,22,30,22,20,25,16,26,26,16
47,21,38,20,27,20,30,35,18,19,18,14,24,21,18,22,17,25,29,22,17,17,21,25,14,26,24,14,28,22,30,19,20,25,15,26,25
48,34,19,37,20,27,19,30,36,19,19,18,14,24,21,18,21,16,26,29,22,17,18,21,25,14,26,25,14,27,22,15,19,20,25,15,26
49,36,34,20,37,20,26,20,30,36,19,20,18,14,24,21,18,21,16,25,30,22,15,19,22,25,15,28,25,16,26,25,14,19,21,25,15
50,38,36,33,19,36,18,26,20,29,36,21,20,18,13,23,21,17,19,16,27,29,22,15,18,21,25,15,27,25,16,26,24,14,17,20,25
51,40,38,35,35,21,35,18,26,19,28,37,20,20,15,14,23,21,17,19,16,27,29,23,17,17,21,25,15,26,25,27,26,25,16,17,20
52,32,39,38,35,36,20,37,18,25,19,30,37,20,20,14,13,23,21,17,19,15,27,29,23,16,16,20,25,16,26,14,27,26,25,15,16
53,30,32,39,38,34,36,19,35,18,25,18,30,37,19,19,14,12,22,21,17,19,14,27,29,24,16,17,20,24,16,20,13,27,26,25,15
54,29,30,32,40,39,35,35,20,35,18,25,18,30,37,19,19,14,12,23,21,17,19,14,27,30,24,16,17,20,26,19,20,15,27,27,25
55,25,28,30,33,41,37,35,36,22,36,20,25,17,30,36,19,19,14,12,23,20,16,19,14,26,30,23,15,16,20,25,19,20,13,27,27
56,41,26,28,32,32,42,37,36,36,21,36,20,24,17,32,36,19,17,14,12,24,20,16,19,13,25,30,24,15,16,23,24,19,20,13,26
