ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,398,401,400,334,346,321,297,386,347,350,329,313,316,280,285,280,277,250,307,304,319,302,306,341,336,333,354,353,347,341,319,298,307,339,341,328
1,423,398,409,410,336,364,319,293,379,339,338,330,310,320,269,275,267,265,256,308,297,317,299,293,332,329,322,356,363,331,297,318,299,303,353,335
2,451,426,387,414,395,343,365,320,293,356,336,339,320,313,305,261,270,257,262,261,305,295,315,296,291,337,314,306,346,358,301,294,327,295,317,359
3,449,453,417,391,404,400,342,360,320,297,334,326,321,313,309,297,256,264,263,272,258,303,289,320,296,287,327,309,310,338,260,298,299,329,292,315
4,461,443,448,421,384,402,397,338,361,316,263,331,321,325,310,303,292,253,266,255,271,255,301,291,322,300,282,324,303,304,275,258,304,297,329,291
5,519,470,452,447,414,381,404,387,329,357,306,267,324,317,330,306,296,282,255,268,259,268,254,300,297,317,303,279,326,301,259,271,263,303,295,329
6,541,518,473,460,446,405,377,403,383,323,338,298,263,329,307,322,301,297,282,258,271,259,262,251,300,300,318,301,289,329,270,258,269,274,310,295
7,651,541,518,470,463,449,400,376,394,382,316,334,295,260,319,305,325,300,299,283,257,271,259,267,259,294,304,319,304,292,259,270,262,270,280,308
8,647,650,542,512,459,464,451,399,374,386,370,312,334,286,254,314,299,311,295,298,289,252,267,255,258,257,296,308,316,309,285,260,273,262,264,280
9,674,650,651,540,507,461,467,452,398,368,380,369,313,341,285,257,307,288,310,293,298,292,253,268,262,257,259,298,310,317,301,286,262,281,263,265
10,676,671,655,661,538,511,454,462,442,392,356,375,367,319,335,287,260,303,295,313,291,295,290,250,275,261,254,264,302,313,290,303,288,268,289,263
11,678,689,677,660,661,539,512,451,455,440,383,352,369,366,322,329,279,248,300,294,315,291,296,295,256,279,263,254,269,310,316,291,307,288,275,294
12,689,677,679,678,657,657,537,495,453,453,434,379,347,366,366,320,326,276,247,308,283,317,290,298,294,257,287,270,256,276,283,318,293,311,289,277
13,659,691,676,687,676,656,644,538,505,449,453,435,381,339,360,368,322,322,275,242,306,274,320,299,299,299,262,286,272,261,306,285,326,293,316,290
14,714,663,698,673,679,680,649,646,543,498,448,451,425,381,339,361,359,313,324,280,240,304,276,326,299,296,303,268,294,280,240,307,287,334,303,315
15,741,711,675,697,678,687,666,633,631,543,481,451,442,418,378,337,361,358,318,327,278,235,307,277,328,300,292,307,269,299,279,241,309,286,341,310
16,708,739,710,667,703,676,691,668,634,630,537,487,452,440,416,377,338,363,365,317,327,274,233,300,278,332,301,298,308,276,326,279,243,307,287,346
17,729,716,735,707,662,705,676,686,666,632,627,538,492,452,440,417,379,338,366,365,321,323,273,234,299,284,330,302,292,316,326,326,282,241,308,288
18,745,740,714,737,713,670,707,674,690,667,626,636,540,490,450,433,418,379,347,371,361,322,322,274,230,302,289,331,298,307,366,329,331,280,241,309
19,687,750,744,715,730,720,679,711,678,709,663,642,645,544,489,457,432,428,400,361,369,368,320,320,290,243,319,303,345,319,371,364,331,328,280,242
20,691,702,760,760,752,750,728,701,710,690,701,684,636,656,555,489,459,450,435,413,373,369,376,333,348,305,273,336,329,373,365,368,371,327,327,281
21,649,693,705,759,768,766,751,740,701,717,700,705,692,658,659,555,492,479,465,456,429,386,375,382,341,355,339,298,356,364,420,361,376,366,327,327
22,657,659,698,709,764,772,755,758,728,716,708,706,701,699,654,654,551,494,493,482,464,433,406,383,388,338,387,367,322,393,464,415,370,370,364,327
23,604,660,660,692,712,778,788,755,751,734,703,706,693,716,698,644,652,553,511,511,488,472,444,417,391,406,357,420,393,353,494,458,426,364,368,365
24,685,609,662,677,675,714,789,781,764,758,715,708,703,683,701,684,634,652,572,536,526,485,492,445,413,400,437,387,448,413,531,492,471,419,362,368
25,651,690,622,677,681,695,724,796,774,760,747,727,704,707,662,706,680,631,675,596,537,549,511,497,453,432,436,463,431,465,535,524,522,463,416,363
26,667,668,677,640,688,690,698,737,776,767,731,751,715,700,696,650,691,678,672,702,624,540,552,538,487,461,471,440,487,464,619,528,539,513,459,416
27,694,674,683,682,654,701,699,698,737,789,746,732,729,720,705,682,637,668,704,686,731,625,575,567,535,489,482,494,462,535,728,611,544,530,509,458
28,673,711,672,684,703,671,694,708,687,743,752,745,721,727,704,697,670,630,688,730,717,731,653,573,563,538,497,506,519,498,710,718,630,535,525,508
29,647,683,707,687,685,719,675,689,730,705,722,757,721,715,719,703,689,650,664,707,752,718,763,656,592,558,550,516,522,532,744,701,738,619,529,523
30,631,642,684,704,672,699,699,692,677,711,687,702,754,737,688,682,691,662,658,702,718,743,715,760,665,576,559,549,516,549,719,736,747,725,613,527
31,779,624,648,682,700,674,688,695,686,673,690,685,693,739,726,691,667,691,662,683,722,704,760,703,750,653,590,571,552,530,713,713,755,741,717,610
32,809,784,624,640,683,700,659,679,688,685,667,681,680,723,738,728,676,641,708,672,717,725,743,743,692,746,653,588,579,561,700,707,730,783,732,713
33,786,805,777,616,641,691,697,643,671,677,662,664,675,684,724,736,736,677,653,711,679,715,733,721,741,690,764,625,577,602,672,696,723,760,781,729
34,812,782,805,773,605,642,677,689,624,667,651,651,670,679,681,709,731,728,672,645,716,675,727,734,706,738,678,757,615,577,712,670,711,712,751,774
35,965,819,787,806,776,602,642,674,677,609,643,651,638,665,653,661,682,696,724,673,659,703,690,710,716,702,729,661,729,618,651,710,683,728,705,752
36,722,974,818,777,808,765,596,632,667,674,604,643,635,640,669,635,648,674,690,733,688,655,703,681,688,695,697,716,656,740,681,651,722,694,715,700
37,697,722,968,826,777,803,750,590,620,668,665,592,630,636,638,645,619,629,672,683,722,678,673,706,665,677,694,701,699,659,719,682,662,758,684,710
38,713,687,721,971,821,769,806,744,593,616,651,659,577,622,623,640,631,617,623,678,690,715,685,661,706,665,661,682,703,717,683,720,703,657,758,695
39,693,721,679,719,969,820,762,801,737,589,607,650,651,571,617,615,624,610,622,624,671,685,720,677,638,693,659,648,668,722,669,686,730,708,653,753
40,705,686,719,678,707,959,810,748,794,730,589,601,634,634,561,613,605,605,618,620,623,660,688,714,672,621,678,653,643,658,624,672,693,752,706,649
41,833,696,683,724,682,704,969,802,742,777,710,589,595,630,638,548,589,599,609,623,608,617,652,679,701,670,617,670,652,658,609,627,671,690,738,710
42,833,826,690,675,705,689,704,963,785,740,755,690,591,586,612,636,536,578,596,596,621,595,627,647,663,679,686,623,667,645,628,611,632,666,695,726
43,789,839,820,687,685,714,682,706,954,786,729,750,681,578,583,600,634,531,573,607,585,608,589,628,644,663,686,685,622,683,588,622,616,631,664,704
44,825,783,834,816,683,686,709,686,700,943,760,728,737,678,578,573,592,628,534,570,603,585,612,589,615,645,668,679,683,657,600,591,633,617,646,669
45,723,824,774,831,819,690,687,702,677,709,929,762,714,732,672,578,570,578,628,541,566,602,591,600,584,604,654,660,688,684,562,601,595,624,615,635
46,714,723,812,776,828,816,679,679,704,667,692,914,761,704,727,682,572,562,579,618,545,563,607,575,595,581,620,651,654,690,547,562,604,596,618,614
47,706,707,714,812,773,820,816,678,681,695,651,695,913,769,698,726,676,536,566,570,617,541,564,611,557,590,587,613,670,667,614,548,564,603,582,626
48,707,718,714,718,808,773,811,811,678,671,692,653,694,906,762,694,717,667,539,565,569,607,540,554,610,554,594,579,616,689,566,609,549,563,601,580
49,707,703,711,716,713,813,766,801,799,667,667,694,656,692,900,756,685,706,673,542,558,557,614,537,546,605,556,597,585,632,558,564,614,549,560,600
50,723,701,701,712,711,718,801,765,797,790,661,660,683,652,674,888,751,681,699,671,542,547,561,609,536,540,607,558,602,603,540,555,565,613,550,558
51,772,716,705,693,700,716,711,797,749,793,783,667,661,675,643,665,869,743,677,693,668,530,546,564,604,527,546,610,561,607,666,537,562,564,611,549
52,752,771,722,695,700,700,708,710,780,748,779,786,657,660,666,637,659,868,729,675,691,647,535,550,562,597,534,557,611,565,699,656,538,561,561,605
53,766,746,762,720,698,698,693,708,704,773,731,770,789,654,656,662,633,648,862,722,681,681,644,535,554,558,601,528,564,615,686,690,657,537,572,560
54,765,766,748,756,715,693,682,679,698,699,749,723,766,790,653,649,661,629,644,860,713,679,678,640,529,545,561,608,527,584,712,684,688,655,534,568
55,727,761,761,743,753,714,693,688,675,694,688,750,711,748,779,644,635,639,627,632,851,708,671,678,636,527,540,573,604,538,866,701,677,684,654,533
56,792,718,747,758,741,750,712,685,683,662,680,684,744,703,734,766,635,631,637,625,627,845,711,661,666,633,523,533,577,609,625,859,701,673,675,662
57,852,792,717,744,750,737,746,707,683,671,649,668,680,724,696,727,753,622,633,631,625,620,850,714,652,664,637,516,533,580,625,629,858,696,664,677
58,793,841,790,721,729,739,732,747,708,674,657,646,659,676,722,690,728,740,626,631,629,619,625,845,703,645,662,634,522,536,629,617,632,851,689,668
59,810,796,828,784,718,730,724,726,739,703,662,645,647,647,671,709,682,716,738,628,627,623,616,617,841,697,647,661,632,524,631,619,614,622,854,686
60,858,801,796,819,787,713,722,716,722,735,681,651,636,642,639,636,687,673,712,731,624,614,623,612,610,831,690,645,645,632,613,621,618,611,620,844
61,930,854,792,795,811,784,709,719,702,717,717,670,648,624,640,632,629,679,672,709,727,611,618,615,605,602,825,684,651,648,726,604,622,628,605,615
62,543,914,838,774,786,806,784,705,705,698,703,710,660,641,608,636,628,628,678,664,702,727,603,598,608,598,596,822,677,654,706,726,599,606,623,600
63,407,532,905,838,752,795,798,781,693,691,685,689,700,654,635,601,633,614,622,666,661,696,722,604,589,610,600,594,811,676,672,700,724,598,599,627
64,387,400,527,896,823,739,778,790,770,680,669,668,682,701,643,630,594,624,609,612,667,662,689,725,605,586,610,604,584,807,663,671,692,727,604,598
65,465,383,393,528,879,818,731,767,778,764,660,663,662,675,698,632,614,584,620,600,611,659,654,683,721,594,585,604,600,577,610,655,660,688,726,597
