ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,5,2,3,6,4,4,2,4,4,7,9,4,7,7,11,5,11,10,5,9,6,6,8,10,12,16,11,7,9,7,6,7,8,12,11,15
1,3,4,2,3,6,3,6,2,4,3,9,8,6,8,5,13,5,8,10,5,8,6,9,8,13,12,16,11,9,10,8,5,8,8,10,11
2,4,4,4,2,4,7,4,2,2,4,6,9,10,7,8,5,14,6,8,10,5,9,6,10,7,13,13,15,10,8,5,8,5,10,5,10
3,6,3,4,5,2,3,7,4,2,2,5,4,11,8,10,8,6,15,6,8,10,4,9,6,11,7,13,13,13,8,10,5,8,5,11,6
4,8,6,4,6,4,2,4,7,4,3,3,5,3,8,10,10,8,6,15,7,7,8,4,9,6,8,8,12,13,13,8,8,4,8,5,9
5,9,8,6,3,6,5,4,3,7,4,3,3,5,4,7,10,10,8,6,15,7,7,8,4,9,8,10,8,10,12,7,8,8,5,8,7
6,8,9,7,5,3,6,5,2,4,8,4,4,3,6,4,7,11,10,7,7,16,8,8,9,5,7,9,10,6,8,16,9,9,8,6,7
7,6,8,9,7,5,4,6,4,2,4,9,6,4,4,6,4,9,10,10,6,7,16,7,9,9,5,7,9,10,6,6,16,8,9,8,5
8,9,6,8,9,8,5,3,6,4,3,4,9,6,4,4,8,5,9,11,11,6,8,16,7,8,9,7,6,8,11,6,7,17,8,8,8
9,10,8,7,8,9,9,5,4,7,4,2,5,11,9,4,6,9,5,9,11,11,6,8,15,9,9,10,5,8,9,12,6,7,16,10,9
10,14,12,8,7,8,11,8,6,5,7,4,3,6,11,9,5,7,9,7,9,10,10,7,8,16,10,11,10,5,9,9,11,7,7,17,10
11,13,14,13,9,8,10,10,9,6,5,6,4,3,7,10,9,5,6,9,7,10,13,10,8,8,17,11,11,9,5,10,12,12,8,7,18
